epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573800419052,2019-11-15T14.46.59.052,0.000,-0.000049562,-0.000006625,0.000007875
1573800419092,2019-11-15T14.46.59.092,0.040,-0.000050313,-0.000005875,0.000007125
1573800419131,2019-11-15T14.46.59.131,0.079,-0.000050688,-0.000005875,0.000008312
1573800419171,2019-11-15T14.46.59.171,0.119,-0.000049937,-0.000006250,0.000006687
1573800419210,2019-11-15T14.46.59.210,0.158,-0.000051062,-0.000006250,0.000006687
1573800419250,2019-11-15T14.46.59.250,0.198,-0.000050688,-0.000005500,0.000006312
1573800419289,2019-11-15T14.46.59.289,0.237,-0.000050313,-0.000006625,0.000007500
1573800419329,2019-11-15T14.46.59.329,0.277,-0.000051062,-0.000006250,0.000006687
1573800419369,2019-11-15T14.46.59.369,0.317,-0.000050688,-0.000007000,0.000007125
1573800419410,2019-11-15T14.46.59.410,0.358,-0.000051062,-0.000006625,0.000006687
1573800419449,2019-11-15T14.46.59.449,0.397,-0.000050688,-0.000007750,0.000006687
1573800419489,2019-11-15T14.46.59.489,0.437,-0.000050313,-0.000007000,0.000006312
1573800419528,2019-11-15T14.46.59.528,0.476,-0.000050688,-0.000006250,0.000007125
1573800419568,2019-11-15T14.46.59.568,0.516,-0.000051437,-0.000005875,0.000006687
1573800419607,2019-11-15T14.46.59.607,0.555,-0.000050688,-0.000006250,0.000006687
1573800419647,2019-11-15T14.46.59.647,0.595,-0.000051375,-0.000006625,0.000006687
1573800419686,2019-11-15T14.46.59.686,0.634,-0.000051062,-0.000008500,0.000007500
1573800419726,2019-11-15T14.46.59.726,0.674,-0.000050688,-0.000005500,0.000006687
1573800419767,2019-11-15T14.46.59.767,0.715,-0.000051062,-0.000006625,0.000006687
1573800419807,2019-11-15T14.46.59.807,0.755,-0.000050313,-0.000005875,0.000007500
1573800419846,2019-11-15T14.46.59.846,0.794,-0.000050313,-0.000005125,0.000006312
1573800419886,2019-11-15T14.46.59.886,0.834,-0.000051062,-0.000006250,0.000007875
1573800419925,2019-11-15T14.46.59.925,0.873,-0.000050313,-0.000006625,0.000007875
1573800419965,2019-11-15T14.46.59.965,0.913,-0.000051062,-0.000007375,0.000005938
1573800420004,2019-11-15T14.47.00.004,0.952,-0.000050688,-0.000004750,0.000007875
1573800420044,2019-11-15T14.47.00.044,0.992,-0.000049937,-0.000006250,0.000006687
1573800420083,2019-11-15T14.47.00.083,1.031,-0.000051062,-0.000006250,0.000006687
1573800420124,2019-11-15T14.47.00.124,1.072,-0.000050688,-0.000005500,0.000007500
1573800420164,2019-11-15T14.47.00.164,1.112,-0.000050688,-0.000007000,0.000006687
1573800420204,2019-11-15T14.47.00.204,1.152,-0.000050688,-0.000007750,0.000007125
1573800420243,2019-11-15T14.47.00.243,1.191,-0.000049937,-0.000008125,0.000007125
1573800420283,2019-11-15T14.47.00.283,1.231,-0.000050688,-0.000005875,0.000007500
1573800420322,2019-11-15T14.47.00.322,1.270,-0.000050688,-0.000006625,0.000006687
1573800420362,2019-11-15T14.47.00.362,1.310,-0.000049937,-0.000006625,0.000006687
