epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1573800419347,2019-11-15T14.46.59.347,0.000,0.061,-3.171,0.671
1573800419358,2019-11-15T14.46.59.358,0.011,-0.122,-2.805,0.549
1573800419368,2019-11-15T14.46.59.368,0.021,-0.244,-2.500,0.549
1573800419378,2019-11-15T14.46.59.378,0.031,-0.305,-1.402,0.427
1573800419388,2019-11-15T14.46.59.388,0.041,-0.549,-0.183,0.549
1573800419399,2019-11-15T14.46.59.399,0.052,-0.488,0.793,0.671
1573800419409,2019-11-15T14.46.59.409,0.062,-0.244,0.793,0.732
1573800419419,2019-11-15T14.46.59.419,0.072,0.000,0.305,0.610
1573800419428,2019-11-15T14.46.59.428,0.081,0.122,-0.671,0.610
1573800419438,2019-11-15T14.46.59.438,0.091,0.305,-2.012,0.732
1573800419448,2019-11-15T14.46.59.448,0.101,0.061,-2.805,0.732
1573800419459,2019-11-15T14.46.59.459,0.112,-0.366,-2.378,0.610
1573800419469,2019-11-15T14.46.59.469,0.122,-0.549,-1.341,0.671
1573800419479,2019-11-15T14.46.59.479,0.132,-0.305,-0.976,0.610
1573800419489,2019-11-15T14.46.59.489,0.142,-0.122,-1.220,0.488
1573800419500,2019-11-15T14.46.59.500,0.153,0.000,-1.159,0.427
1573800419510,2019-11-15T14.46.59.510,0.163,0.183,-0.610,0.549
1573800419519,2019-11-15T14.46.59.519,0.172,0.244,-0.427,0.610
1573800419529,2019-11-15T14.46.59.529,0.182,0.000,-0.854,0.610
1573800419539,2019-11-15T14.46.59.539,0.192,-0.427,-1.280,0.488
1573800419549,2019-11-15T14.46.59.549,0.202,-0.915,-0.915,0.366
1573800419560,2019-11-15T14.46.59.560,0.213,-0.610,-0.671,0.000
1573800419570,2019-11-15T14.46.59.570,0.223,0.183,-0.854,-0.061
1573800419580,2019-11-15T14.46.59.580,0.233,0.671,-1.159,0.244
1573800419590,2019-11-15T14.46.59.590,0.243,0.610,-1.098,0.610
1573800419601,2019-11-15T14.46.59.601,0.254,0.122,-0.915,0.732
