epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1573801794526,2019-11-15T15.09.54.526,0.000,-0.036,0.858,0.492
1573801794537,2019-11-15T15.09.54.537,0.011,-0.035,0.864,0.497
1573801794547,2019-11-15T15.09.54.547,0.021,-0.033,0.863,0.497
1573801794557,2019-11-15T15.09.54.557,0.031,-0.035,0.868,0.496
1573801794568,2019-11-15T15.09.54.568,0.042,-0.036,0.867,0.496
1573801794576,2019-11-15T15.09.54.576,0.050,-0.037,0.863,0.495
1573801794587,2019-11-15T15.09.54.587,0.061,-0.041,0.858,0.495
1573801794597,2019-11-15T15.09.54.597,0.071,-0.042,0.854,0.493
1573801794607,2019-11-15T15.09.54.607,0.081,-0.038,0.859,0.495
1573801794617,2019-11-15T15.09.54.617,0.091,-0.035,0.863,0.499
1573801794628,2019-11-15T15.09.54.628,0.102,-0.031,0.860,0.496
1573801794638,2019-11-15T15.09.54.638,0.112,-0.029,0.854,0.497
1573801794648,2019-11-15T15.09.54.648,0.122,-0.031,0.854,0.496
1573801794658,2019-11-15T15.09.54.658,0.132,-0.034,0.851,0.496
1573801794669,2019-11-15T15.09.54.669,0.143,-0.036,0.847,0.493
1573801794679,2019-11-15T15.09.54.679,0.153,-0.036,0.847,0.493
1573801794689,2019-11-15T15.09.54.689,0.163,-0.040,0.858,0.495
1573801794699,2019-11-15T15.09.54.699,0.173,-0.039,0.867,0.499
1573801794708,2019-11-15T15.09.54.708,0.182,-0.036,0.866,0.499
1573801794718,2019-11-15T15.09.54.718,0.192,-0.031,0.860,0.497
1573801794729,2019-11-15T15.09.54.729,0.203,-0.032,0.862,0.497
1573801794739,2019-11-15T15.09.54.739,0.213,-0.032,0.861,0.495
1573801794749,2019-11-15T15.09.54.749,0.223,-0.034,0.854,0.497
1573801794759,2019-11-15T15.09.54.759,0.233,-0.033,0.855,0.496
1573801794770,2019-11-15T15.09.54.770,0.244,-0.036,0.858,0.496
1573801794780,2019-11-15T15.09.54.780,0.254,-0.036,0.857,0.493
1573801794790,2019-11-15T15.09.54.790,0.264,-0.034,0.856,0.496
1573801794800,2019-11-15T15.09.54.800,0.274,-0.035,0.860,0.495
1573801794811,2019-11-15T15.09.54.811,0.285,-0.034,0.863,0.495
