epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573801952734,2019-11-15T15.12.32.734,0.000,0.000014875,-0.000028312,0.000012875
1573801952775,2019-11-15T15.12.32.775,0.041,0.000014187,-0.000028375,0.000013687
1573801952815,2019-11-15T15.12.32.815,0.081,0.000013063,-0.000029812,0.000014437
1573801952854,2019-11-15T15.12.32.854,0.120,0.000013812,-0.000029062,0.000014062
1573801952894,2019-11-15T15.12.32.894,0.160,0.000014500,-0.000029812,0.000014875
1573801952935,2019-11-15T15.12.32.935,0.201,0.000014500,-0.000028688,0.000013250
1573801952975,2019-11-15T15.12.32.975,0.241,0.000014500,-0.000029062,0.000013687
1573801953014,2019-11-15T15.12.33.014,0.280,0.000014187,-0.000028375,0.000014062
1573801953054,2019-11-15T15.12.33.054,0.320,0.000015250,-0.000029438,0.000014500
1573801953095,2019-11-15T15.12.33.095,0.361,0.000015250,-0.000029438,0.000014875
1573801953134,2019-11-15T15.12.33.134,0.400,0.000015250,-0.000027625,0.000015250
1573801953174,2019-11-15T15.12.33.174,0.440,0.000014500,-0.000028688,0.000013687
1573801953213,2019-11-15T15.12.33.213,0.479,0.000014875,-0.000029062,0.000013687
1573801953254,2019-11-15T15.12.33.254,0.520,0.000013437,-0.000028375,0.000014500
1573801953294,2019-11-15T15.12.33.294,0.560,0.000015250,-0.000029438,0.000014500
1573801953333,2019-11-15T15.12.33.333,0.599,0.000015250,-0.000028000,0.000014062
1573801953373,2019-11-15T15.12.33.373,0.639,0.000014875,-0.000028000,0.000013250
1573801953414,2019-11-15T15.12.33.414,0.680,0.000014500,-0.000028375,0.000014875
1573801953454,2019-11-15T15.12.33.454,0.720,0.000015250,-0.000028000,0.000014500
1573801953493,2019-11-15T15.12.33.493,0.759,0.000013437,-0.000027625,0.000014875
1573801953533,2019-11-15T15.12.33.533,0.799,0.000013437,-0.000029062,0.000014062
1573801953574,2019-11-15T15.12.33.574,0.840,0.000014187,-0.000028375,0.000014500
1573801953613,2019-11-15T15.12.33.613,0.879,0.000014187,-0.000029062,0.000014062
1573801953653,2019-11-15T15.12.33.653,0.919,0.000014187,-0.000029062,0.000013250
1573801953692,2019-11-15T15.12.33.692,0.958,0.000015250,-0.000028000,0.000014500
1573801953733,2019-11-15T15.12.33.733,0.999,0.000014187,-0.000029438,0.000013687
1573801953773,2019-11-15T15.12.33.773,1.039,0.000015250,-0.000029812,0.000014875
1573801953812,2019-11-15T15.12.33.812,1.078,0.000014187,-0.000028375,0.000014875
1573801953852,2019-11-15T15.12.33.852,1.118,0.000013812,-0.000028688,0.000014062
1573801953893,2019-11-15T15.12.33.893,1.159,0.000014187,-0.000029062,0.000012875
1573801953933,2019-11-15T15.12.33.933,1.199,0.000013063,-0.000028375,0.000014875
1573801953972,2019-11-15T15.12.33.972,1.238,0.000014500,-0.000028000,0.000013687
1573801954013,2019-11-15T15.12.34.013,1.279,0.000014187,-0.000028000,0.000014062
1573801954053,2019-11-15T15.12.34.053,1.319,0.000013812,-0.000029062,0.000014500
1573801954092,2019-11-15T15.12.34.092,1.358,0.000013437,-0.000029812,0.000014875
1573801954132,2019-11-15T15.12.34.132,1.398,0.000014875,-0.000029062,0.000013687
1573801954171,2019-11-15T15.12.34.171,1.437,0.000013437,-0.000028688,0.000013687
1573801954212,2019-11-15T15.12.34.212,1.478,0.000012313,-0.000028000,0.000013687
1573801954252,2019-11-15T15.12.34.252,1.518,0.000015625,-0.000028375,0.000014062
1573801954291,2019-11-15T15.12.34.291,1.557,0.000013812,-0.000029438,0.000014062
1573801954331,2019-11-15T15.12.34.331,1.597,0.000015625,-0.000027625,0.000014062
1573801954372,2019-11-15T15.12.34.372,1.638,0.000013437,-0.000029812,0.000013687
1573801954412,2019-11-15T15.12.34.412,1.678,0.000014187,-0.000029438,0.000013687
1573801954451,2019-11-15T15.12.34.451,1.717,0.000013063,-0.000029812,0.000014062
1573801954492,2019-11-15T15.12.34.492,1.758,0.000014500,-0.000028688,0.000014500
1573801954532,2019-11-15T15.12.34.532,1.798,0.000014500,-0.000029438,0.000014500
1573801954571,2019-11-15T15.12.34.571,1.837,0.000014500,-0.000028000,0.000014062
1573801954611,2019-11-15T15.12.34.611,1.877,0.000012688,-0.000029438,0.000014875
1573801954652,2019-11-15T15.12.34.652,1.918,0.000014500,-0.000029438,0.000014062
1573801954691,2019-11-15T15.12.34.691,1.957,0.000013812,-0.000029438,0.000014062
1573801954731,2019-11-15T15.12.34.731,1.997,0.000014500,-0.000029062,0.000014500
1573801954770,2019-11-15T15.12.34.770,2.036,0.000014875,-0.000029438,0.000014062
1573801954812,2019-11-15T15.12.34.812,2.078,0.000014500,-0.000028375,0.000013250
1573801954851,2019-11-15T15.12.34.851,2.117,0.000014500,-0.000027625,0.000013687
1573801954891,2019-11-15T15.12.34.891,2.157,0.000013063,-0.000029062,0.000014875
1573801954930,2019-11-15T15.12.34.930,2.196,0.000014875,-0.000029438,0.000014500
1573801954971,2019-11-15T15.12.34.971,2.237,0.000014875,-0.000029438,0.000013687
1573801955011,2019-11-15T15.12.35.011,2.277,0.000013437,-0.000030188,0.000013250
1573801955050,2019-11-15T15.12.35.050,2.316,0.000013812,-0.000029812,0.000014062
1573801955090,2019-11-15T15.12.35.090,2.356,0.000012688,-0.000029062,0.000013250
1573801955131,2019-11-15T15.12.35.131,2.397,0.000014875,-0.000029812,0.000013687
1573801955170,2019-11-15T15.12.35.170,2.436,0.000013812,-0.000028688,0.000014875
1573801955210,2019-11-15T15.12.35.210,2.476,0.000012000,-0.000030188,0.000013687
1573801955249,2019-11-15T15.12.35.249,2.515,0.000013063,-0.000029812,0.000013250
1573801955291,2019-11-15T15.12.35.291,2.557,0.000015250,-0.000030188,0.000013687
1573801955330,2019-11-15T15.12.35.330,2.596,0.000014875,-0.000029438,0.000013687
1573801955370,2019-11-15T15.12.35.370,2.636,0.000014875,-0.000029438,0.000014062
1573801955409,2019-11-15T15.12.35.409,2.675,0.000014187,-0.000030562,0.000013687
1573801955450,2019-11-15T15.12.35.450,2.716,0.000012688,-0.000029812,0.000014500
1573801955490,2019-11-15T15.12.35.490,2.756,0.000014500,-0.000029438,0.000013250
1573801955529,2019-11-15T15.12.35.529,2.795,0.000014500,-0.000030562,0.000014062
1573801955570,2019-11-15T15.12.35.570,2.836,0.000015250,-0.000030188,0.000014500
1573801955610,2019-11-15T15.12.35.610,2.876,0.000013063,-0.000029062,0.000014062
1573801955649,2019-11-15T15.12.35.649,2.915,0.000014187,-0.000028688,0.000014062
