epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1573801951861,2019-11-15T15.12.31.861,0.000,0.488,-0.427,1.646
1573801951871,2019-11-15T15.12.31.871,0.010,0.793,-0.244,1.037
1573801951881,2019-11-15T15.12.31.881,0.020,0.427,-0.732,0.610
1573801951892,2019-11-15T15.12.31.892,0.031,0.244,-1.463,0.732
1573801951902,2019-11-15T15.12.31.902,0.041,0.061,-1.829,0.854
1573801951912,2019-11-15T15.12.31.912,0.051,0.122,-1.341,0.976
1573801951922,2019-11-15T15.12.31.922,0.061,0.305,-0.610,1.159
1573801951933,2019-11-15T15.12.31.933,0.072,0.732,0.427,1.341
1573801951943,2019-11-15T15.12.31.943,0.082,0.732,1.098,1.341
1573801951953,2019-11-15T15.12.31.953,0.092,0.549,0.610,1.402
1573801951963,2019-11-15T15.12.31.963,0.102,0.610,0.061,1.220
1573801951974,2019-11-15T15.12.31.974,0.113,0.854,0.061,1.159
1573801951984,2019-11-15T15.12.31.984,0.123,0.854,-0.122,0.976
1573801951994,2019-11-15T15.12.31.994,0.133,0.854,-0.610,0.854
1573801952004,2019-11-15T15.12.32.004,0.143,0.732,-0.366,0.854
1573801952015,2019-11-15T15.12.32.015,0.154,0.610,0.061,1.037
1573801952024,2019-11-15T15.12.32.024,0.163,0.610,0.000,1.098
1573801952034,2019-11-15T15.12.32.034,0.173,0.793,-0.183,1.098
1573801952044,2019-11-15T15.12.32.044,0.183,0.915,-0.183,0.793
1573801952054,2019-11-15T15.12.32.054,0.193,0.854,-0.610,0.610
1573801952065,2019-11-15T15.12.32.065,0.204,0.854,-0.915,0.549
1573801952075,2019-11-15T15.12.32.075,0.214,0.915,-1.037,0.549
1573801952085,2019-11-15T15.12.32.085,0.224,0.854,-0.549,0.488
1573801952095,2019-11-15T15.12.32.095,0.234,0.854,0.183,0.793
1573801952106,2019-11-15T15.12.32.106,0.245,0.915,0.732,0.854
1573801952116,2019-11-15T15.12.32.116,0.255,0.793,-0.061,0.671
1573801952126,2019-11-15T15.12.32.126,0.265,0.793,-1.098,0.305
1573801952136,2019-11-15T15.12.32.136,0.275,0.854,-1.829,-0.061
1573801952147,2019-11-15T15.12.32.147,0.286,0.854,-2.317,-0.305
1573801952157,2019-11-15T15.12.32.157,0.296,0.793,-1.951,-0.427
1573801952167,2019-11-15T15.12.32.167,0.306,0.671,-0.915,-0.061
1573801952177,2019-11-15T15.12.32.177,0.316,0.610,-0.732,-0.061
1573801952186,2019-11-15T15.12.32.186,0.325,0.610,-1.037,-0.244
