epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1573801951504,2019-11-15T15.12.31.504,0.000,0.184,0.974,-0.013
1573801951514,2019-11-15T15.12.31.514,0.010,0.179,0.985,-0.019
1573801951525,2019-11-15T15.12.31.525,0.021,0.175,0.978,-0.027
1573801951535,2019-11-15T15.12.31.535,0.031,0.180,0.976,-0.023
1573801951545,2019-11-15T15.12.31.545,0.041,0.178,0.980,-0.024
1573801951554,2019-11-15T15.12.31.554,0.050,0.181,0.978,-0.023
1573801951564,2019-11-15T15.12.31.564,0.060,0.171,0.979,-0.021
1573801951574,2019-11-15T15.12.31.574,0.070,0.155,0.983,-0.020
1573801951585,2019-11-15T15.12.31.585,0.081,0.147,0.979,-0.027
1573801951595,2019-11-15T15.12.31.595,0.091,0.146,0.982,-0.033
1573801951605,2019-11-15T15.12.31.605,0.101,0.151,0.982,-0.025
1573801951615,2019-11-15T15.12.31.615,0.111,0.149,0.984,-0.012
1573801951626,2019-11-15T15.12.31.626,0.122,0.149,0.985,-0.019
1573801951636,2019-11-15T15.12.31.636,0.132,0.158,0.980,-0.033
1573801951645,2019-11-15T15.12.31.645,0.141,0.166,0.982,-0.027
1573801951655,2019-11-15T15.12.31.655,0.151,0.166,0.977,-0.019
1573801951665,2019-11-15T15.12.31.665,0.161,0.155,0.979,-0.035
1573801951675,2019-11-15T15.12.31.675,0.171,0.153,0.983,-0.030
1573801951686,2019-11-15T15.12.31.686,0.182,0.154,0.985,-0.016
1573801951696,2019-11-15T15.12.31.696,0.192,0.157,0.981,-0.019
1573801951706,2019-11-15T15.12.31.706,0.202,0.163,0.974,-0.016
1573801951716,2019-11-15T15.12.31.716,0.212,0.158,0.979,-0.017
1573801951727,2019-11-15T15.12.31.727,0.223,0.157,0.986,-0.027
1573801951735,2019-11-15T15.12.31.735,0.231,0.160,0.984,-0.031
1573801951746,2019-11-15T15.12.31.746,0.242,0.153,0.978,-0.032
1573801951756,2019-11-15T15.12.31.756,0.252,0.151,0.981,-0.025
1573801951766,2019-11-15T15.12.31.766,0.262,0.156,0.981,-0.025
1573801951777,2019-11-15T15.12.31.777,0.273,0.162,0.981,-0.022
1573801951787,2019-11-15T15.12.31.787,0.283,0.169,0.983,-0.016
1573801951797,2019-11-15T15.12.31.797,0.293,0.165,0.985,-0.018
1573801951807,2019-11-15T15.12.31.807,0.303,0.152,0.983,-0.025
1573801951818,2019-11-15T15.12.31.818,0.314,0.148,0.982,-0.037
