epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1573802127450,2019-11-15T15.15.27.450,0.000,-0.126,0.897,-0.088
1573802127461,2019-11-15T15.15.27.461,0.011,-0.139,0.893,-0.110
1573802127469,2019-11-15T15.15.27.469,0.019,-0.129,0.875,-0.116
1573802127480,2019-11-15T15.15.27.480,0.030,-0.108,0.880,-0.113
1573802127490,2019-11-15T15.15.27.490,0.040,-0.083,0.896,-0.099
1573802127500,2019-11-15T15.15.27.500,0.050,-0.069,0.907,-0.081
1573802127510,2019-11-15T15.15.27.510,0.060,-0.067,0.912,-0.066
1573802127521,2019-11-15T15.15.27.521,0.071,-0.090,0.914,-0.065
1573802127531,2019-11-15T15.15.27.531,0.081,-0.120,0.911,-0.075
1573802127540,2019-11-15T15.15.27.540,0.090,-0.136,0.892,-0.103
1573802127550,2019-11-15T15.15.27.550,0.100,-0.115,0.870,-0.121
1573802127560,2019-11-15T15.15.27.560,0.110,-0.097,0.876,-0.114
1573802127570,2019-11-15T15.15.27.570,0.120,-0.101,0.883,-0.099
1573802127581,2019-11-15T15.15.27.581,0.131,-0.094,0.884,-0.089
1573802127591,2019-11-15T15.15.27.591,0.141,-0.077,0.894,-0.090
1573802127601,2019-11-15T15.15.27.601,0.151,-0.073,0.909,-0.093
1573802127611,2019-11-15T15.15.27.611,0.161,-0.075,0.909,-0.091
1573802127622,2019-11-15T15.15.27.622,0.172,-0.073,0.904,-0.085
1573802127632,2019-11-15T15.15.27.632,0.182,-0.087,0.903,-0.087
1573802127641,2019-11-15T15.15.27.641,0.191,-0.103,0.900,-0.093
1573802127651,2019-11-15T15.15.27.651,0.201,-0.110,0.892,-0.097
1573802127661,2019-11-15T15.15.27.661,0.211,-0.106,0.894,-0.100
1573802127672,2019-11-15T15.15.27.672,0.222,-0.100,0.902,-0.102
1573802127682,2019-11-15T15.15.27.682,0.232,-0.091,0.900,-0.102
1573802127692,2019-11-15T15.15.27.692,0.242,-0.092,0.895,-0.101
1573802127702,2019-11-15T15.15.27.702,0.252,-0.098,0.889,-0.103
1573802127713,2019-11-15T15.15.27.713,0.263,-0.109,0.896,-0.110
1573802127723,2019-11-15T15.15.27.723,0.273,-0.123,0.896,-0.114
1573802127733,2019-11-15T15.15.27.733,0.283,-0.117,0.892,-0.107
1573802127743,2019-11-15T15.15.27.743,0.293,-0.111,0.896,-0.098
1573802127752,2019-11-15T15.15.27.752,0.302,-0.102,0.901,-0.088
1573802127762,2019-11-15T15.15.27.762,0.312,-0.094,0.904,-0.092
1573802127773,2019-11-15T15.15.27.773,0.323,-0.082,0.904,-0.087
1573802127783,2019-11-15T15.15.27.783,0.333,-0.099,0.910,-0.094
1573802127793,2019-11-15T15.15.27.793,0.343,-0.113,0.900,-0.110
1573802127803,2019-11-15T15.15.27.803,0.353,-0.119,0.890,-0.117
1573802127814,2019-11-15T15.15.27.814,0.364,-0.124,0.886,-0.119
1573802127824,2019-11-15T15.15.27.824,0.374,-0.130,0.889,-0.108
1573802127834,2019-11-15T15.15.27.834,0.384,-0.129,0.895,-0.094
1573802127844,2019-11-15T15.15.27.844,0.394,-0.115,0.895,-0.079
1573802127853,2019-11-15T15.15.27.853,0.403,-0.109,0.892,-0.068
1573802127863,2019-11-15T15.15.27.863,0.413,-0.112,0.887,-0.083
1573802127874,2019-11-15T15.15.27.874,0.424,-0.105,0.885,-0.100
1573802127884,2019-11-15T15.15.27.884,0.434,-0.103,0.895,-0.114
1573802127894,2019-11-15T15.15.27.894,0.444,-0.105,0.904,-0.136
1573802127904,2019-11-15T15.15.27.904,0.454,-0.084,0.912,-0.127
1573802127915,2019-11-15T15.15.27.915,0.465,-0.093,0.910,-0.110
1573802127925,2019-11-15T15.15.27.925,0.475,-0.098,0.892,-0.095
1573802127935,2019-11-15T15.15.27.935,0.485,-0.091,0.883,-0.075
1573802127945,2019-11-15T15.15.27.945,0.495,-0.086,0.887,-0.074
1573802127954,2019-11-15T15.15.27.954,0.504,-0.106,0.896,-0.085
1573802127964,2019-11-15T15.15.27.964,0.514,-0.120,0.897,-0.108
1573802127975,2019-11-15T15.15.27.975,0.525,-0.115,0.893,-0.113
1573802127985,2019-11-15T15.15.27.985,0.535,-0.125,0.890,-0.119
1573802127995,2019-11-15T15.15.27.995,0.545,-0.098,0.879,-0.122
1573802128006,2019-11-15T15.15.28.006,0.556,-0.078,0.883,-0.111
1573802128016,2019-11-15T15.15.28.016,0.566,-0.089,0.896,-0.104
1573802128026,2019-11-15T15.15.28.026,0.576,-0.097,0.906,-0.097
1573802128036,2019-11-15T15.15.28.036,0.586,-0.107,0.915,-0.094
1573802128047,2019-11-15T15.15.28.047,0.597,-0.121,0.915,-0.097
1573802128057,2019-11-15T15.15.28.057,0.607,-0.125,0.899,-0.101
1573802128066,2019-11-15T15.15.28.066,0.616,-0.125,0.898,-0.109
1573802128076,2019-11-15T15.15.28.076,0.626,-0.119,0.901,-0.116
1573802128086,2019-11-15T15.15.28.086,0.636,-0.108,0.893,-0.124
1573802128096,2019-11-15T15.15.28.096,0.646,-0.094,0.893,-0.123
1573802128107,2019-11-15T15.15.28.107,0.657,-0.101,0.902,-0.118
1573802128117,2019-11-15T15.15.28.117,0.667,-0.120,0.904,-0.104
1573802128127,2019-11-15T15.15.28.127,0.677,-0.130,0.896,-0.099
1573802128137,2019-11-15T15.15.28.137,0.687,-0.133,0.895,-0.101
1573802128148,2019-11-15T15.15.28.148,0.698,-0.125,0.907,-0.103
1573802128158,2019-11-15T15.15.28.158,0.708,-0.109,0.906,-0.094
1573802128167,2019-11-15T15.15.28.167,0.717,-0.105,0.888,-0.088
1573802128177,2019-11-15T15.15.28.177,0.727,-0.100,0.882,-0.083
1573802128187,2019-11-15T15.15.28.187,0.737,-0.099,0.883,-0.097
1573802128197,2019-11-15T15.15.28.197,0.747,-0.090,0.890,-0.106
1573802128208,2019-11-15T15.15.28.208,0.758,-0.099,0.897,-0.120
1573802128218,2019-11-15T15.15.28.218,0.768,-0.114,0.897,-0.130
1573802128228,2019-11-15T15.15.28.228,0.778,-0.119,0.902,-0.122
1573802128238,2019-11-15T15.15.28.238,0.788,-0.115,0.907,-0.104
1573802128249,2019-11-15T15.15.28.249,0.799,-0.103,0.907,-0.086
1573802128259,2019-11-15T15.15.28.259,0.809,-0.095,0.907,-0.087
1573802128268,2019-11-15T15.15.28.268,0.818,-0.101,0.906,-0.100
1573802128278,2019-11-15T15.15.28.278,0.828,-0.110,0.904,-0.125
1573802128288,2019-11-15T15.15.28.288,0.838,-0.115,0.896,-0.135
1573802128298,2019-11-15T15.15.28.298,0.848,-0.122,0.896,-0.134
1573802128309,2019-11-15T15.15.28.309,0.859,-0.121,0.905,-0.123
1573802128319,2019-11-15T15.15.28.319,0.869,-0.114,0.908,-0.105
1573802128329,2019-11-15T15.15.28.329,0.879,-0.098,0.901,-0.092
1573802128339,2019-11-15T15.15.28.339,0.889,-0.093,0.897,-0.083
1573802128350,2019-11-15T15.15.28.350,0.900,-0.120,0.887,-0.105
1573802128360,2019-11-15T15.15.28.360,0.910,-0.136,0.875,-0.123
1573802128369,2019-11-15T15.15.28.369,0.919,-0.139,0.875,-0.127
1573802128379,2019-11-15T15.15.28.379,0.929,-0.138,0.887,-0.127
1573802128389,2019-11-15T15.15.28.389,0.939,-0.123,0.899,-0.116
1573802128400,2019-11-15T15.15.28.400,0.950,-0.111,0.912,-0.105
1573802128410,2019-11-15T15.15.28.410,0.960,-0.106,0.915,-0.106
1573802128420,2019-11-15T15.15.28.420,0.970,-0.100,0.905,-0.100
1573802128430,2019-11-15T15.15.28.430,0.980,-0.100,0.889,-0.101
1573802128441,2019-11-15T15.15.28.441,0.991,-0.099,0.885,-0.106
