epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1573802125408,2019-11-15T15.15.25.408,0.000,0.055,-0.996,0.014
1573802125418,2019-11-15T15.15.25.418,0.010,0.058,-1.008,0.003
1573802125427,2019-11-15T15.15.25.427,0.019,0.054,-1.005,0.004
1573802125437,2019-11-15T15.15.25.437,0.029,0.045,-0.999,0.009
1573802125448,2019-11-15T15.15.25.448,0.040,0.042,-0.994,0.002
1573802125458,2019-11-15T15.15.25.458,0.050,0.040,-0.994,0.003
1573802125467,2019-11-15T15.15.25.467,0.059,0.046,-0.999,0.008
1573802125477,2019-11-15T15.15.25.477,0.069,0.051,-1.001,0.009
1573802125487,2019-11-15T15.15.25.487,0.079,0.049,-0.996,0.016
1573802125496,2019-11-15T15.15.25.496,0.088,0.043,-0.995,0.015
1573802125506,2019-11-15T15.15.25.506,0.098,0.047,-0.997,0.003
1573802125517,2019-11-15T15.15.25.517,0.109,0.047,-1.003,0.003
1573802125527,2019-11-15T15.15.25.527,0.119,0.041,-1.001,-0.005
1573802125536,2019-11-15T15.15.25.536,0.128,0.041,-1.000,-0.004
1573802125546,2019-11-15T15.15.25.546,0.138,0.047,-0.999,0.008
1573802125556,2019-11-15T15.15.25.556,0.148,0.050,-1.001,0.016
1573802125565,2019-11-15T15.15.25.565,0.157,0.059,-1.002,0.016
1573802125575,2019-11-15T15.15.25.575,0.167,0.062,-0.999,0.006
1573802125585,2019-11-15T15.15.25.585,0.177,0.066,-0.996,0.007
1573802125596,2019-11-15T15.15.25.596,0.188,0.068,-1.000,0.008
1573802125604,2019-11-15T15.15.25.604,0.196,0.063,-1.001,0.002
1573802125615,2019-11-15T15.15.25.615,0.207,0.060,-1.000,0.001
1573802125625,2019-11-15T15.15.25.625,0.217,0.052,-1.000,0.001
1573802125634,2019-11-15T15.15.25.634,0.226,0.041,-1.003,0.002
1573802125644,2019-11-15T15.15.25.644,0.236,0.046,-0.995,0.005
1573802125654,2019-11-15T15.15.25.654,0.246,0.057,-0.993,0.010
1573802125664,2019-11-15T15.15.25.664,0.256,0.057,-0.993,0.009
1573802125673,2019-11-15T15.15.25.673,0.265,0.057,-0.996,0.010
1573802125684,2019-11-15T15.15.25.684,0.276,0.056,-1.002,0.003
1573802125694,2019-11-15T15.15.25.694,0.286,0.053,-1.000,-0.008
1573802125703,2019-11-15T15.15.25.703,0.295,0.053,-0.996,-0.000
1573802125713,2019-11-15T15.15.25.713,0.305,0.051,-0.999,0.005
1573802125723,2019-11-15T15.15.25.723,0.315,0.045,-1.000,0.008
1573802125733,2019-11-15T15.15.25.733,0.325,0.046,-1.003,0.009
1573802125742,2019-11-15T15.15.25.742,0.334,0.041,-1.002,0.001
1573802125752,2019-11-15T15.15.25.752,0.344,0.038,-1.000,-0.006
1573802125763,2019-11-15T15.15.25.763,0.355,0.043,-0.997,-0.001
1573802125771,2019-11-15T15.15.25.771,0.363,0.049,-0.994,0.001
1573802125782,2019-11-15T15.15.25.782,0.374,0.054,-1.000,0.005
1573802125792,2019-11-15T15.15.25.792,0.384,0.062,-1.005,0.003
1573802125802,2019-11-15T15.15.25.802,0.394,0.061,-1.001,0.001
1573802125811,2019-11-15T15.15.25.811,0.403,0.053,-0.998,0.002
1573802125821,2019-11-15T15.15.25.821,0.413,0.050,-0.995,0.006
1573802125831,2019-11-15T15.15.25.831,0.423,0.049,-0.996,0.008
1573802125842,2019-11-15T15.15.25.842,0.434,0.057,-1.002,0.013
1573802125851,2019-11-15T15.15.25.851,0.443,0.061,-1.004,0.009
1573802125861,2019-11-15T15.15.25.861,0.453,0.054,-1.002,0.004
1573802125871,2019-11-15T15.15.25.871,0.463,0.051,-0.997,0.010
1573802125880,2019-11-15T15.15.25.880,0.472,0.051,-0.996,0.009
1573802125890,2019-11-15T15.15.25.890,0.482,0.047,-1.000,0.002
1573802125900,2019-11-15T15.15.25.900,0.492,0.046,-1.000,0.008
1573802125911,2019-11-15T15.15.25.911,0.503,0.050,-1.003,0.016
1573802125919,2019-11-15T15.15.25.919,0.511,0.047,-1.000,0.016
1573802125930,2019-11-15T15.15.25.930,0.522,0.043,-0.997,0.012
1573802125940,2019-11-15T15.15.25.940,0.532,0.041,-0.997,0.008
1573802125949,2019-11-15T15.15.25.949,0.541,0.042,-0.999,0.011
1573802125959,2019-11-15T15.15.25.959,0.551,0.044,-0.996,0.004
1573802125969,2019-11-15T15.15.25.969,0.561,0.051,-1.000,0.004
1573802125979,2019-11-15T15.15.25.979,0.571,0.046,-1.002,0.005
1573802125988,2019-11-15T15.15.25.988,0.580,0.041,-0.997,0.010
1573802125998,2019-11-15T15.15.25.998,0.590,0.037,-0.994,0.010
1573802126009,2019-11-15T15.15.26.009,0.601,0.047,-1.003,0.016
1573802126018,2019-11-15T15.15.26.018,0.610,0.051,-1.002,0.015
1573802126028,2019-11-15T15.15.26.028,0.620,0.052,-1.000,0.012
1573802126038,2019-11-15T15.15.26.038,0.630,0.053,-1.001,0.010
1573802126048,2019-11-15T15.15.26.048,0.640,0.044,-0.995,0.003
1573802126057,2019-11-15T15.15.26.057,0.649,0.046,-0.994,0.001
1573802126067,2019-11-15T15.15.26.067,0.659,0.054,-0.999,-0.005
1573802126078,2019-11-15T15.15.26.078,0.670,0.050,-1.002,-0.001
1573802126086,2019-11-15T15.15.26.086,0.678,0.044,-0.996,0.010
1573802126097,2019-11-15T15.15.26.097,0.689,0.046,-0.994,0.005
1573802126107,2019-11-15T15.15.26.107,0.699,0.042,-0.999,0.002
1573802126117,2019-11-15T15.15.26.117,0.709,0.046,-1.007,0.004
1573802126126,2019-11-15T15.15.26.126,0.718,0.059,-1.007,0.010
1573802126136,2019-11-15T15.15.26.136,0.728,0.068,-0.999,0.012
1573802126146,2019-11-15T15.15.26.146,0.738,0.070,-0.995,0.011
1573802126155,2019-11-15T15.15.26.155,0.747,0.061,-0.997,0.006
1573802126165,2019-11-15T15.15.26.165,0.757,0.046,-0.995,-0.003
1573802126176,2019-11-15T15.15.26.176,0.768,0.042,-1.000,-0.001
1573802126186,2019-11-15T15.15.26.186,0.778,0.047,-1.007,-0.002
1573802126195,2019-11-15T15.15.26.195,0.787,0.048,-1.007,-0.001
1573802126205,2019-11-15T15.15.26.205,0.797,0.047,-1.001,0.003
1573802126215,2019-11-15T15.15.26.215,0.807,0.049,-0.995,0.015
1573802126224,2019-11-15T15.15.26.224,0.816,0.052,-0.996,0.010
1573802126234,2019-11-15T15.15.26.234,0.826,0.054,-1.000,0.009
1573802126245,2019-11-15T15.15.26.245,0.837,0.055,-0.997,0.007
1573802126255,2019-11-15T15.15.26.255,0.847,0.051,-0.998,0.004
1573802126264,2019-11-15T15.15.26.264,0.856,0.043,-1.002,0.001
1573802126274,2019-11-15T15.15.26.274,0.866,0.044,-1.007,0.003
1573802126284,2019-11-15T15.15.26.284,0.876,0.048,-1.002,0.001
1573802126293,2019-11-15T15.15.26.293,0.885,0.050,-0.997,-0.005
1573802126303,2019-11-15T15.15.26.303,0.895,0.056,-0.999,0.002
1573802126313,2019-11-15T15.15.26.313,0.905,0.060,-0.997,0.013
1573802126324,2019-11-15T15.15.26.324,0.916,0.055,-0.998,0.015
1573802126332,2019-11-15T15.15.26.332,0.924,0.043,-0.994,0.010
1573802126343,2019-11-15T15.15.26.343,0.935,0.031,-1.000,0.003
1573802126353,2019-11-15T15.15.26.353,0.945,0.029,-1.000,0.000
1573802126362,2019-11-15T15.15.26.362,0.954,0.033,-1.000,0.005
1573802126372,2019-11-15T15.15.26.372,0.964,0.039,-0.997,0.002
