epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1573802432888,2019-11-15T15.20.32.888,0.000,-0.207,-1.027,0.062
1573802432898,2019-11-15T15.20.32.898,0.010,-0.198,-1.045,0.066
1573802432909,2019-11-15T15.20.32.909,0.021,-0.202,-1.044,0.073
1573802432919,2019-11-15T15.20.32.919,0.031,-0.210,-1.043,0.068
1573802432929,2019-11-15T15.20.32.929,0.041,-0.207,-1.042,0.067
1573802432939,2019-11-15T15.20.32.939,0.051,-0.191,-1.037,0.071
1573802432950,2019-11-15T15.20.32.950,0.062,-0.180,-1.029,0.071
1573802432960,2019-11-15T15.20.32.960,0.072,-0.189,-1.023,0.070
1573802432970,2019-11-15T15.20.32.970,0.082,-0.191,-1.022,0.072
1573802432980,2019-11-15T15.20.32.980,0.092,-0.191,-1.023,0.067
1573802432991,2019-11-15T15.20.32.991,0.103,-0.195,-1.025,0.074
1573802433000,2019-11-15T15.20.33.000,0.112,-0.188,-1.025,0.075
1573802433010,2019-11-15T15.20.33.010,0.122,-0.178,-1.024,0.078
1573802433020,2019-11-15T15.20.33.020,0.132,-0.190,-1.023,0.075
1573802433030,2019-11-15T15.20.33.030,0.142,-0.195,-1.023,0.069
1573802433041,2019-11-15T15.20.33.041,0.153,-0.190,-1.027,0.063
1573802433051,2019-11-15T15.20.33.051,0.163,-0.186,-1.036,0.062
1573802433061,2019-11-15T15.20.33.061,0.173,-0.182,-1.043,0.067
1573802433071,2019-11-15T15.20.33.071,0.183,-0.182,-1.037,0.072
1573802433082,2019-11-15T15.20.33.082,0.194,-0.186,-1.034,0.069
1573802433092,2019-11-15T15.20.33.092,0.204,-0.185,-1.036,0.067
1573802433102,2019-11-15T15.20.33.102,0.214,-0.180,-1.042,0.065
1573802433112,2019-11-15T15.20.33.112,0.224,-0.169,-1.045,0.065
1573802433123,2019-11-15T15.20.33.123,0.235,-0.170,-1.045,0.063
1573802433133,2019-11-15T15.20.33.133,0.245,-0.176,-1.037,0.062
1573802433143,2019-11-15T15.20.33.143,0.255,-0.179,-1.028,0.064
1573802433153,2019-11-15T15.20.33.153,0.265,-0.188,-1.023,0.061
1573802433164,2019-11-15T15.20.33.164,0.276,-0.192,-1.023,0.058
1573802433174,2019-11-15T15.20.33.174,0.286,-0.183,-1.029,0.057
1573802433183,2019-11-15T15.20.33.183,0.295,-0.186,-1.035,0.059
1573802433193,2019-11-15T15.20.33.193,0.305,-0.195,-1.037,0.054
1573802433203,2019-11-15T15.20.33.203,0.315,-0.181,-1.039,0.054
1573802433213,2019-11-15T15.20.33.213,0.325,-0.165,-1.045,0.060
1573802433224,2019-11-15T15.20.33.224,0.336,-0.168,-1.049,0.059
1573802433234,2019-11-15T15.20.33.234,0.346,-0.180,-1.050,0.060
1573802433244,2019-11-15T15.20.33.244,0.356,-0.183,-1.043,0.058
1573802433254,2019-11-15T15.20.33.254,0.366,-0.185,-1.038,0.063
1573802433265,2019-11-15T15.20.33.265,0.377,-0.188,-1.034,0.068
1573802433275,2019-11-15T15.20.33.275,0.387,-0.191,-1.030,0.074
1573802433285,2019-11-15T15.20.33.285,0.397,-0.205,-1.023,0.074
1573802433295,2019-11-15T15.20.33.295,0.407,-0.187,-1.016,0.076
1573802433306,2019-11-15T15.20.33.306,0.418,-0.172,-1.011,0.075
1573802433316,2019-11-15T15.20.33.316,0.428,-0.173,-1.009,0.076
1573802433326,2019-11-15T15.20.33.326,0.438,-0.182,-1.008,0.075
1573802433336,2019-11-15T15.20.33.336,0.448,-0.183,-1.016,0.077
1573802433347,2019-11-15T15.20.33.347,0.459,-0.193,-1.025,0.076
1573802433357,2019-11-15T15.20.33.357,0.469,-0.184,-1.036,0.084
1573802433366,2019-11-15T15.20.33.366,0.478,-0.187,-1.047,0.084
1573802433376,2019-11-15T15.20.33.376,0.488,-0.191,-1.061,0.079
1573802433386,2019-11-15T15.20.33.386,0.498,-0.184,-1.063,0.083
1573802433397,2019-11-15T15.20.33.397,0.509,-0.180,-1.051,0.083
1573802433407,2019-11-15T15.20.33.407,0.519,-0.188,-1.046,0.081
1573802433417,2019-11-15T15.20.33.417,0.529,-0.183,-1.043,0.082
1573802433427,2019-11-15T15.20.33.427,0.539,-0.189,-1.034,0.082
1573802433438,2019-11-15T15.20.33.438,0.550,-0.195,-1.037,0.075
1573802433448,2019-11-15T15.20.33.448,0.560,-0.195,-1.041,0.081
1573802433458,2019-11-15T15.20.33.458,0.570,-0.199,-1.035,0.083
1573802433468,2019-11-15T15.20.33.468,0.580,-0.204,-1.037,0.079
1573802433479,2019-11-15T15.20.33.479,0.591,-0.194,-1.042,0.078
1573802433489,2019-11-15T15.20.33.489,0.601,-0.180,-1.044,0.080
1573802433499,2019-11-15T15.20.33.499,0.611,-0.178,-1.044,0.083
1573802433509,2019-11-15T15.20.33.509,0.621,-0.177,-1.042,0.083
1573802433520,2019-11-15T15.20.33.520,0.632,-0.186,-1.043,0.079
1573802433530,2019-11-15T15.20.33.530,0.642,-0.199,-1.045,0.077
1573802433539,2019-11-15T15.20.33.539,0.651,-0.210,-1.023,0.070
1573802433549,2019-11-15T15.20.33.549,0.661,-0.212,-1.011,0.073
1573802433559,2019-11-15T15.20.33.559,0.671,-0.206,-1.024,0.076
1573802433569,2019-11-15T15.20.33.569,0.681,-0.203,-1.035,0.073
1573802433580,2019-11-15T15.20.33.580,0.692,-0.204,-1.035,0.063
1573802433590,2019-11-15T15.20.33.590,0.702,-0.174,-1.037,0.055
1573802433600,2019-11-15T15.20.33.600,0.712,-0.135,-1.039,0.065
1573802433610,2019-11-15T15.20.33.610,0.722,-0.145,-1.034,0.072
1573802433621,2019-11-15T15.20.33.621,0.733,-0.181,-1.024,0.069
1573802433631,2019-11-15T15.20.33.631,0.743,-0.192,-1.023,0.066
1573802433641,2019-11-15T15.20.33.641,0.753,-0.194,-1.025,0.068
1573802433651,2019-11-15T15.20.33.651,0.763,-0.222,-1.022,0.063
1573802433662,2019-11-15T15.20.33.662,0.774,-0.230,-1.019,0.062
1573802433672,2019-11-15T15.20.33.672,0.784,-0.204,-1.018,0.070
1573802433682,2019-11-15T15.20.33.682,0.794,-0.181,-1.021,0.074
1573802433692,2019-11-15T15.20.33.692,0.804,-0.175,-1.032,0.071
1573802433703,2019-11-15T15.20.33.703,0.815,-0.174,-1.044,0.067
1573802433713,2019-11-15T15.20.33.713,0.825,-0.176,-1.042,0.071
1573802433722,2019-11-15T15.20.33.722,0.834,-0.182,-1.037,0.071
1573802433732,2019-11-15T15.20.33.732,0.844,-0.193,-1.037,0.071
1573802433742,2019-11-15T15.20.33.742,0.854,-0.194,-1.035,0.072
1573802433752,2019-11-15T15.20.33.752,0.864,-0.194,-1.026,0.069
1573802433763,2019-11-15T15.20.33.763,0.875,-0.192,-1.020,0.070
1573802433773,2019-11-15T15.20.33.773,0.885,-0.188,-1.016,0.074
1573802433783,2019-11-15T15.20.33.783,0.895,-0.180,-1.017,0.073
1573802433793,2019-11-15T15.20.33.793,0.905,-0.179,-1.024,0.069
1573802433804,2019-11-15T15.20.33.804,0.916,-0.181,-1.045,0.065
1573802433814,2019-11-15T15.20.33.814,0.926,-0.184,-1.056,0.065
1573802433824,2019-11-15T15.20.33.824,0.936,-0.176,-1.045,0.067
1573802433834,2019-11-15T15.20.33.834,0.946,-0.180,-1.037,0.068
1573802433845,2019-11-15T15.20.33.845,0.957,-0.192,-1.039,0.063
1573802433855,2019-11-15T15.20.33.855,0.967,-0.188,-1.039,0.062
1573802433865,2019-11-15T15.20.33.865,0.977,-0.174,-1.039,0.067
1573802433876,2019-11-15T15.20.33.876,0.988,-0.174,-1.041,0.072
1573802433886,2019-11-15T15.20.33.886,0.998,-0.186,-1.038,0.071
1573802433895,2019-11-15T15.20.33.895,1.007,-0.183,-1.033,0.073
1573802433905,2019-11-15T15.20.33.905,1.017,-0.168,-1.029,0.078
1573802433915,2019-11-15T15.20.33.915,1.027,-0.171,-1.032,0.077
1573802433925,2019-11-15T15.20.33.925,1.037,-0.187,-1.037,0.078
1573802433936,2019-11-15T15.20.33.936,1.048,-0.190,-1.036,0.081
1573802433946,2019-11-15T15.20.33.946,1.058,-0.188,-1.032,0.080
1573802433956,2019-11-15T15.20.33.956,1.068,-0.184,-1.028,0.078
1573802433966,2019-11-15T15.20.33.966,1.078,-0.184,-1.029,0.080
1573802433977,2019-11-15T15.20.33.977,1.089,-0.181,-1.035,0.080
1573802433987,2019-11-15T15.20.33.987,1.099,-0.170,-1.046,0.079
1573802433997,2019-11-15T15.20.33.997,1.109,-0.162,-1.064,0.075
1573802434007,2019-11-15T15.20.34.007,1.119,-0.190,-1.062,0.081
1573802434018,2019-11-15T15.20.34.018,1.130,-0.205,-1.041,0.088
1573802434028,2019-11-15T15.20.34.028,1.140,-0.207,-1.026,0.090
1573802434038,2019-11-15T15.20.34.038,1.150,-0.211,-1.029,0.088
1573802434048,2019-11-15T15.20.34.048,1.160,-0.210,-1.034,0.083
1573802434059,2019-11-15T15.20.34.059,1.171,-0.197,-1.036,0.089
1573802434069,2019-11-15T15.20.34.069,1.181,-0.184,-1.029,0.088
1573802434078,2019-11-15T15.20.34.078,1.190,-0.184,-1.022,0.084
1573802434088,2019-11-15T15.20.34.088,1.200,-0.182,-1.015,0.086
1573802434098,2019-11-15T15.20.34.098,1.210,-0.172,-1.001,0.091
1573802434108,2019-11-15T15.20.34.108,1.220,-0.182,-0.999,0.085
1573802434119,2019-11-15T15.20.34.119,1.231,-0.188,-1.017,0.072
1573802434129,2019-11-15T15.20.34.129,1.241,-0.175,-1.031,0.067
1573802434139,2019-11-15T15.20.34.139,1.251,-0.179,-1.030,0.069
1573802434149,2019-11-15T15.20.34.149,1.261,-0.188,-1.028,0.068
1573802434160,2019-11-15T15.20.34.160,1.272,-0.177,-1.024,0.063
1573802434170,2019-11-15T15.20.34.170,1.282,-0.161,-1.021,0.059
1573802434180,2019-11-15T15.20.34.180,1.292,-0.151,-1.025,0.055
1573802434190,2019-11-15T15.20.34.190,1.302,-0.154,-1.033,0.054
1573802434201,2019-11-15T15.20.34.201,1.313,-0.171,-1.040,0.048
1573802434211,2019-11-15T15.20.34.211,1.323,-0.188,-1.045,0.047
1573802434221,2019-11-15T15.20.34.221,1.333,-0.184,-1.039,0.051
1573802434231,2019-11-15T15.20.34.231,1.343,-0.167,-1.036,0.045
1573802434242,2019-11-15T15.20.34.242,1.354,-0.154,-1.033,0.049
1573802434251,2019-11-15T15.20.34.251,1.363,-0.155,-1.027,0.047
1573802434261,2019-11-15T15.20.34.261,1.373,-0.174,-1.022,0.052
1573802434271,2019-11-15T15.20.34.271,1.383,-0.178,-1.025,0.056
1573802434281,2019-11-15T15.20.34.281,1.393,-0.177,-1.029,0.059
1573802434292,2019-11-15T15.20.34.292,1.404,-0.189,-1.027,0.063
1573802434302,2019-11-15T15.20.34.302,1.414,-0.194,-1.030,0.066
1573802434312,2019-11-15T15.20.34.312,1.424,-0.192,-1.034,0.068
1573802434322,2019-11-15T15.20.34.322,1.434,-0.182,-1.038,0.072
1573802434333,2019-11-15T15.20.34.333,1.445,-0.172,-1.048,0.077
1573802434343,2019-11-15T15.20.34.343,1.455,-0.177,-1.051,0.074
1573802434353,2019-11-15T15.20.34.353,1.465,-0.182,-1.045,0.075
1573802434363,2019-11-15T15.20.34.363,1.475,-0.178,-1.037,0.084
1573802434374,2019-11-15T15.20.34.374,1.486,-0.172,-1.031,0.091
1573802434384,2019-11-15T15.20.34.384,1.496,-0.188,-1.023,0.091
1573802434394,2019-11-15T15.20.34.394,1.506,-0.199,-1.017,0.088
1573802434404,2019-11-15T15.20.34.404,1.516,-0.194,-1.023,0.090
1573802434415,2019-11-15T15.20.34.415,1.527,-0.188,-1.035,0.088
1573802434425,2019-11-15T15.20.34.425,1.537,-0.185,-1.042,0.088
1573802434434,2019-11-15T15.20.34.434,1.546,-0.174,-1.042,0.089
1573802434444,2019-11-15T15.20.34.444,1.556,-0.169,-1.044,0.088
1573802434454,2019-11-15T15.20.34.454,1.566,-0.175,-1.049,0.090
1573802434464,2019-11-15T15.20.34.464,1.576,-0.180,-1.054,0.088
1573802434475,2019-11-15T15.20.34.475,1.587,-0.177,-1.049,0.084
1573802434485,2019-11-15T15.20.34.485,1.597,-0.187,-1.033,0.083
1573802434495,2019-11-15T15.20.34.495,1.607,-0.190,-1.021,0.082
1573802434505,2019-11-15T15.20.34.505,1.617,-0.182,-1.021,0.082
1573802434516,2019-11-15T15.20.34.516,1.628,-0.183,-1.032,0.082
1573802434526,2019-11-15T15.20.34.526,1.638,-0.192,-1.042,0.084
1573802434536,2019-11-15T15.20.34.536,1.648,-0.185,-1.053,0.084
1573802434546,2019-11-15T15.20.34.546,1.658,-0.173,-1.057,0.079
1573802434557,2019-11-15T15.20.34.557,1.669,-0.167,-1.056,0.077
1573802434567,2019-11-15T15.20.34.567,1.679,-0.157,-1.043,0.070
