epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1573802433770,2019-11-15T15.20.33.770,0.000,-0.061,-0.854,0.793
1573802433779,2019-11-15T15.20.33.779,0.009,-0.305,-0.610,0.793
1573802433789,2019-11-15T15.20.33.789,0.019,-0.427,0.610,0.976
1573802433800,2019-11-15T15.20.33.800,0.030,-0.366,0.976,1.159
1573802433810,2019-11-15T15.20.33.810,0.040,0.000,-0.427,1.463
1573802433820,2019-11-15T15.20.33.820,0.050,0.305,-2.439,1.463
1573802433830,2019-11-15T15.20.33.830,0.060,0.671,-3.537,0.976
1573802433841,2019-11-15T15.20.33.841,0.071,1.220,-3.354,0.732
1573802433851,2019-11-15T15.20.33.851,0.081,1.220,-2.805,0.671
1573802433861,2019-11-15T15.20.33.861,0.091,1.280,-1.890,0.488
1573802433870,2019-11-15T15.20.33.870,0.100,1.402,-0.854,0.488
1573802433880,2019-11-15T15.20.33.880,0.110,0.854,-0.976,0.366
1573802433890,2019-11-15T15.20.33.890,0.120,0.610,-2.317,0.427
1573802433901,2019-11-15T15.20.33.901,0.131,0.488,-2.988,0.793
1573802433911,2019-11-15T15.20.33.911,0.141,0.732,-2.439,0.976
1573802433921,2019-11-15T15.20.33.921,0.151,1.280,-0.915,0.305
1573802433931,2019-11-15T15.20.33.931,0.161,1.707,0.671,-0.183
1573802433942,2019-11-15T15.20.33.942,0.172,1.890,1.524,-0.793
1573802433952,2019-11-15T15.20.33.952,0.182,2.073,1.341,-1.220
1573802433962,2019-11-15T15.20.33.962,0.192,1.646,0.549,-1.463
1573802433971,2019-11-15T15.20.33.971,0.201,1.220,0.183,-1.280
1573802433981,2019-11-15T15.20.33.981,0.211,0.610,0.000,-0.854
1573802433991,2019-11-15T15.20.33.991,0.221,0.000,-0.183,-0.366
1573802434002,2019-11-15T15.20.34.002,0.232,0.122,0.000,0.305
1573802434012,2019-11-15T15.20.34.012,0.242,0.061,-0.061,0.122
1573802434022,2019-11-15T15.20.34.022,0.252,-0.183,-0.793,-0.549
1573802434032,2019-11-15T15.20.34.032,0.262,-0.244,-1.524,-1.037
1573802434043,2019-11-15T15.20.34.043,0.273,-0.305,-1.951,-1.402
1573802434053,2019-11-15T15.20.34.053,0.283,-0.732,-2.134,-1.463
1573802434063,2019-11-15T15.20.34.063,0.293,-1.220,-2.134,-1.098
1573802434072,2019-11-15T15.20.34.072,0.302,-1.829,-1.646,-0.732
1573802434082,2019-11-15T15.20.34.082,0.312,-2.073,-1.280,-0.549
1573802434093,2019-11-15T15.20.34.093,0.323,-1.951,-1.646,-0.610
1573802434103,2019-11-15T15.20.34.103,0.333,-1.951,-1.646,-0.854
1573802434113,2019-11-15T15.20.34.113,0.343,-2.378,-1.280,-0.793
1573802434123,2019-11-15T15.20.34.123,0.353,-2.378,-1.037,-0.549
1573802434134,2019-11-15T15.20.34.134,0.364,-2.439,-0.854,-0.366
1573802434144,2019-11-15T15.20.34.144,0.374,-2.439,-0.610,0.305
1573802434154,2019-11-15T15.20.34.154,0.384,-2.378,-0.793,0.732
1573802434164,2019-11-15T15.20.34.164,0.394,-2.378,-0.976,0.854
