epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1573802434271,2019-11-15T15.20.34.271,0.000,0.854,-1.402,-0.122
1573802434281,2019-11-15T15.20.34.281,0.010,0.732,-1.341,0.305
1573802434290,2019-11-15T15.20.34.290,0.019,-0.488,-1.890,0.000
1573802434300,2019-11-15T15.20.34.300,0.029,-1.585,-1.341,0.122
1573802434310,2019-11-15T15.20.34.310,0.039,-1.524,0.000,0.305
1573802434320,2019-11-15T15.20.34.320,0.049,-1.463,0.671,0.732
1573802434331,2019-11-15T15.20.34.331,0.060,-1.463,-0.183,1.220
1573802434341,2019-11-15T15.20.34.341,0.070,-0.610,-0.488,1.280
1573802434351,2019-11-15T15.20.34.351,0.080,0.610,-0.427,1.159
1573802434361,2019-11-15T15.20.34.361,0.090,1.280,-1.037,0.854
1573802434372,2019-11-15T15.20.34.372,0.101,0.793,-1.341,0.610
1573802434380,2019-11-15T15.20.34.380,0.109,0.000,-1.220,0.488
1573802434391,2019-11-15T15.20.34.391,0.120,-0.427,-1.402,0.549
1573802434401,2019-11-15T15.20.34.401,0.130,-0.305,-1.402,0.793
1573802434411,2019-11-15T15.20.34.411,0.140,-0.366,-1.646,0.793
1573802434421,2019-11-15T15.20.34.421,0.150,-0.915,-2.439,0.671
1573802434432,2019-11-15T15.20.34.432,0.161,-1.829,-2.561,0.549
1573802434442,2019-11-15T15.20.34.442,0.171,-1.646,-1.707,0.732
1573802434452,2019-11-15T15.20.34.452,0.181,-0.549,-1.524,0.793
1573802434462,2019-11-15T15.20.34.462,0.191,-0.061,-1.585,0.915
1573802434471,2019-11-15T15.20.34.471,0.200,0.549,-0.793,1.280
1573802434482,2019-11-15T15.20.34.482,0.211,1.280,1.220,1.890
1573802434492,2019-11-15T15.20.34.492,0.221,0.183,2.561,1.890
1573802434502,2019-11-15T15.20.34.502,0.231,-1.524,2.073,1.098
1573802434512,2019-11-15T15.20.34.512,0.241,-1.098,0.610,0.793
1573802434523,2019-11-15T15.20.34.523,0.252,-0.305,-1.585,0.854
1573802434533,2019-11-15T15.20.34.533,0.262,0.305,-2.866,0.549
1573802434543,2019-11-15T15.20.34.543,0.272,-0.427,-1.768,0.427
1573802434552,2019-11-15T15.20.34.552,0.281,-0.976,0.061,0.366
1573802434562,2019-11-15T15.20.34.562,0.291,-1.341,1.037,0.427
1573802434572,2019-11-15T15.20.34.572,0.301,-1.829,0.732,0.488
1573802434583,2019-11-15T15.20.34.583,0.312,-2.195,-0.122,0.488
1573802434593,2019-11-15T15.20.34.593,0.322,-1.890,-1.890,0.732
1573802434603,2019-11-15T15.20.34.603,0.332,-2.073,-1.585,1.037
1573802434613,2019-11-15T15.20.34.613,0.342,-1.707,-0.244,1.098
1573802434624,2019-11-15T15.20.34.624,0.353,-1.280,0.122,0.854
1573802434634,2019-11-15T15.20.34.634,0.363,-1.098,-0.610,0.610
1573802434643,2019-11-15T15.20.34.643,0.372,-1.707,-0.732,0.366
1573802434653,2019-11-15T15.20.34.653,0.382,-1.768,-0.854,0.366
1573802434663,2019-11-15T15.20.34.663,0.392,-1.159,-0.610,0.671
1573802434673,2019-11-15T15.20.34.673,0.402,-0.488,0.000,0.915
1573802434684,2019-11-15T15.20.34.684,0.413,-0.061,-0.061,0.854
1573802434694,2019-11-15T15.20.34.694,0.423,-0.122,-0.854,0.610
1573802434704,2019-11-15T15.20.34.704,0.433,-1.341,-1.524,0.488
1573802434714,2019-11-15T15.20.34.714,0.443,-1.829,-1.768,0.366
1573802434725,2019-11-15T15.20.34.725,0.454,-2.073,-2.256,0.061
1573802434733,2019-11-15T15.20.34.733,0.462,-2.073,-2.500,-0.305
1573802434744,2019-11-15T15.20.34.744,0.473,-2.561,-2.561,-0.488
1573802434754,2019-11-15T15.20.34.754,0.483,-2.378,-2.927,-0.305
1573802434764,2019-11-15T15.20.34.764,0.493,-2.317,-3.110,0.183
1573802434774,2019-11-15T15.20.34.774,0.503,-2.561,-2.317,0.427
1573802434785,2019-11-15T15.20.34.785,0.514,-2.500,-1.341,0.366
1573802434795,2019-11-15T15.20.34.795,0.524,-2.744,-0.610,0.122
1573802434805,2019-11-15T15.20.34.805,0.534,-2.988,-0.488,-0.183
1573802434814,2019-11-15T15.20.34.814,0.543,-2.866,-1.098,-0.183
1573802434824,2019-11-15T15.20.34.824,0.553,-2.317,-1.220,0.061
1573802434835,2019-11-15T15.20.34.835,0.564,-1.768,-1.829,0.122
1573802434845,2019-11-15T15.20.34.845,0.574,-1.524,-2.256,0.000
1573802434855,2019-11-15T15.20.34.855,0.584,-1.829,-1.707,-0.183
1573802434865,2019-11-15T15.20.34.865,0.594,-2.256,-0.671,-0.366
1573802434876,2019-11-15T15.20.34.876,0.605,-1.707,0.305,-0.305
1573802434886,2019-11-15T15.20.34.886,0.615,-1.890,0.915,-0.183
1573802434896,2019-11-15T15.20.34.896,0.625,-1.280,0.122,0.061
1573802434905,2019-11-15T15.20.34.905,0.634,-0.793,-0.610,0.183
1573802434915,2019-11-15T15.20.34.915,0.644,-0.366,-0.549,0.061
1573802434925,2019-11-15T15.20.34.925,0.654,-0.183,-0.244,0.000
1573802434936,2019-11-15T15.20.34.936,0.665,-0.122,-0.793,0.000
1573802434946,2019-11-15T15.20.34.946,0.675,0.000,-1.707,-0.122
1573802434956,2019-11-15T15.20.34.956,0.685,-0.183,-1.829,-0.244
1573802434966,2019-11-15T15.20.34.966,0.695,-0.183,-1.341,0.000
1573802434977,2019-11-15T15.20.34.977,0.706,0.000,-0.793,0.427
1573802434985,2019-11-15T15.20.34.985,0.714,-0.061,-0.488,0.549
1573802434996,2019-11-15T15.20.34.996,0.725,0.000,-1.585,0.244
1573802435006,2019-11-15T15.20.35.006,0.735,0.061,-2.561,0.122
1573802435016,2019-11-15T15.20.35.016,0.745,-0.183,-1.707,0.244
1573802435026,2019-11-15T15.20.35.026,0.755,-0.122,-0.427,-0.183
1573802435037,2019-11-15T15.20.35.037,0.766,-0.610,-0.610,-0.366
1573802435047,2019-11-15T15.20.35.047,0.776,-0.427,-1.890,-0.183
