epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1573803762028,2019-11-15T15.42.42.028,0.000,0.427,1.159,-0.244
1573803762038,2019-11-15T15.42.42.038,0.010,0.000,1.280,0.183
1573803762047,2019-11-15T15.42.42.047,0.019,-0.427,0.671,0.061
1573803762057,2019-11-15T15.42.42.057,0.029,-1.220,0.549,-0.305
1573803762067,2019-11-15T15.42.42.067,0.039,-1.707,0.732,-0.610
1573803762077,2019-11-15T15.42.42.077,0.049,-1.524,1.037,-0.976
1573803762088,2019-11-15T15.42.42.088,0.060,-1.220,0.915,-1.280
1573803762098,2019-11-15T15.42.42.098,0.070,-0.549,0.488,-1.280
1573803762108,2019-11-15T15.42.42.108,0.080,-0.244,-0.183,-1.463
1573803762118,2019-11-15T15.42.42.118,0.090,-0.305,-0.549,-1.585
1573803762129,2019-11-15T15.42.42.129,0.101,-0.366,-0.488,-1.585
1573803762139,2019-11-15T15.42.42.139,0.111,-0.610,-0.061,-1.585
1573803762149,2019-11-15T15.42.42.149,0.121,-1.037,0.244,-1.768
1573803762159,2019-11-15T15.42.42.159,0.131,-1.280,0.244,-1.707
1573803762170,2019-11-15T15.42.42.170,0.142,-0.915,-0.061,-1.463
1573803762178,2019-11-15T15.42.42.178,0.150,-0.549,-0.244,-1.341
1573803762189,2019-11-15T15.42.42.189,0.161,0.244,-0.427,-1.098
1573803762199,2019-11-15T15.42.42.199,0.171,1.037,-0.488,-0.915
1573803762209,2019-11-15T15.42.42.209,0.181,1.829,-0.427,-0.915
1573803762220,2019-11-15T15.42.42.220,0.192,2.073,-0.244,-1.037
1573803762230,2019-11-15T15.42.42.230,0.202,2.012,-0.366,-0.915
1573803762240,2019-11-15T15.42.42.240,0.212,1.890,-0.366,-0.793
1573803762250,2019-11-15T15.42.42.250,0.222,1.768,-0.366,-0.915
1573803762261,2019-11-15T15.42.42.261,0.233,1.890,-0.183,-0.976
1573803762271,2019-11-15T15.42.42.271,0.243,2.195,-0.122,-0.976
1573803762281,2019-11-15T15.42.42.281,0.253,2.561,0.122,-1.159
1573803762291,2019-11-15T15.42.42.291,0.263,2.988,0.488,-1.341
1573803762302,2019-11-15T15.42.42.302,0.274,3.049,0.793,-1.341
1573803762310,2019-11-15T15.42.42.310,0.282,3.049,0.915,-1.220
1573803762321,2019-11-15T15.42.42.321,0.293,2.622,1.098,-0.915
1573803762331,2019-11-15T15.42.42.331,0.303,1.829,1.159,-0.610
1573803762341,2019-11-15T15.42.42.341,0.313,1.220,0.915,-0.183
1573803762351,2019-11-15T15.42.42.351,0.323,0.854,0.610,0.000
1573803762362,2019-11-15T15.42.42.362,0.334,0.610,0.671,0.122
1573803762372,2019-11-15T15.42.42.372,0.344,0.732,0.366,0.305
1573803762382,2019-11-15T15.42.42.382,0.354,0.915,0.122,0.305
1573803762392,2019-11-15T15.42.42.392,0.364,1.280,0.061,0.122
1573803762403,2019-11-15T15.42.42.403,0.375,1.585,0.061,-0.122
1573803762413,2019-11-15T15.42.42.413,0.385,1.890,0.244,-0.244
1573803762423,2019-11-15T15.42.42.423,0.395,2.134,0.183,-0.244
1573803762433,2019-11-15T15.42.42.433,0.405,2.134,0.122,-0.366
1573803762442,2019-11-15T15.42.42.442,0.414,1.829,0.183,-0.854
1573803762452,2019-11-15T15.42.42.452,0.424,1.220,0.854,-1.402
1573803762463,2019-11-15T15.42.42.463,0.435,0.732,1.707,-1.768
1573803762473,2019-11-15T15.42.42.473,0.445,0.183,2.378,-1.646
1573803762483,2019-11-15T15.42.42.483,0.455,-0.061,2.561,-1.220
1573803762493,2019-11-15T15.42.42.493,0.465,-0.183,2.317,-0.732
1573803762504,2019-11-15T15.42.42.504,0.476,0.000,1.829,-0.244
1573803762514,2019-11-15T15.42.42.514,0.486,0.183,1.463,0.244
1573803762524,2019-11-15T15.42.42.524,0.496,0.427,1.524,0.488
1573803762534,2019-11-15T15.42.42.534,0.506,0.915,1.829,0.488
1573803762545,2019-11-15T15.42.42.545,0.517,1.098,1.890,0.427
1573803762555,2019-11-15T15.42.42.555,0.527,1.220,1.646,0.427
1573803762565,2019-11-15T15.42.42.565,0.537,1.220,1.402,0.549
1573803762574,2019-11-15T15.42.42.574,0.546,0.976,1.220,0.671
1573803762584,2019-11-15T15.42.42.584,0.556,1.098,0.976,0.854
1573803762595,2019-11-15T15.42.42.595,0.567,0.976,0.549,1.037
1573803762605,2019-11-15T15.42.42.605,0.577,0.793,0.244,0.793
1573803762615,2019-11-15T15.42.42.615,0.587,0.732,0.244,0.610
1573803762625,2019-11-15T15.42.42.625,0.597,0.488,0.427,0.305
1573803762636,2019-11-15T15.42.42.636,0.608,0.183,0.427,0.122
1573803762646,2019-11-15T15.42.42.646,0.618,-0.061,0.305,0.000
1573803762656,2019-11-15T15.42.42.656,0.628,-0.183,0.183,0.000
1573803762666,2019-11-15T15.42.42.666,0.638,-0.183,0.122,-0.122
1573803762677,2019-11-15T15.42.42.677,0.649,-0.061,0.183,-0.244
1573803762687,2019-11-15T15.42.42.687,0.659,0.061,0.366,-0.366
1573803762697,2019-11-15T15.42.42.697,0.669,0.183,0.488,-0.183
1573803762706,2019-11-15T15.42.42.706,0.678,0.244,0.427,-0.061
1573803762716,2019-11-15T15.42.42.716,0.688,0.061,0.305,0.000
1573803762726,2019-11-15T15.42.42.726,0.698,-0.427,0.488,-0.244
1573803762737,2019-11-15T15.42.42.737,0.709,-0.854,0.671,-0.305
1573803762747,2019-11-15T15.42.42.747,0.719,-1.098,0.732,-0.305
1573803762757,2019-11-15T15.42.42.757,0.729,-1.220,0.732,-0.305
1573803762767,2019-11-15T15.42.42.767,0.739,-1.037,0.854,-0.244
