epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573803762419,2019-11-15T15.42.42.419,0.000,-0.000002625,0.000053312,0.000044000
1573803762458,2019-11-15T15.42.42.458,0.039,-0.000004063,0.000053000,0.000042812
1573803762498,2019-11-15T15.42.42.498,0.079,-0.000004812,0.000053312,0.000041562
1573803762537,2019-11-15T15.42.42.537,0.118,-0.000002625,0.000053688,0.000042812
1573803762577,2019-11-15T15.42.42.577,0.158,-0.000003312,0.000053312,0.000043188
1573803762615,2019-11-15T15.42.42.615,0.196,-0.000003312,0.000053312,0.000043188
1573803762655,2019-11-15T15.42.42.655,0.236,-0.000004063,0.000052625,0.000042000
1573803762694,2019-11-15T15.42.42.694,0.275,-0.000004438,0.000053688,0.000043188
1573803762734,2019-11-15T15.42.42.734,0.315,-0.000004438,0.000053000,0.000042437
1573803762773,2019-11-15T15.42.42.773,0.354,-0.000004438,0.000052625,0.000043250
1573803762813,2019-11-15T15.42.42.813,0.394,-0.000002625,0.000053375,0.000043250
1573803762851,2019-11-15T15.42.42.851,0.432,-0.000002625,0.000052250,0.000042812
1573803762890,2019-11-15T15.42.42.890,0.471,-0.000003688,0.000051875,0.000042812
1573803762930,2019-11-15T15.42.42.930,0.511,-0.000003312,0.000052625,0.000042812
1573803762970,2019-11-15T15.42.42.970,0.551,-0.000004063,0.000053000,0.000043250
1573803763009,2019-11-15T15.42.43.009,0.590,-0.000002250,0.000052250,0.000043250
1573803763049,2019-11-15T15.42.43.049,0.630,-0.000001875,0.000053375,0.000042437
1573803763087,2019-11-15T15.42.43.087,0.668,-0.000003688,0.000052250,0.000042437
1573803763126,2019-11-15T15.42.43.126,0.707,-0.000002625,0.000053688,0.000043625
1573803763166,2019-11-15T15.42.43.166,0.747,-0.000002250,0.000053375,0.000042812
1573803763205,2019-11-15T15.42.43.205,0.786,-0.000003312,0.000053000,0.000042437
1573803763245,2019-11-15T15.42.43.245,0.826,-0.000002625,0.000052625,0.000042812
1573803763284,2019-11-15T15.42.43.284,0.865,-0.000003000,0.000053000,0.000043625
1573803763324,2019-11-15T15.42.43.324,0.905,-0.000002625,0.000052250,0.000043625
1573803763362,2019-11-15T15.42.43.362,0.943,-0.000002250,0.000053000,0.000042000
1573803763402,2019-11-15T15.42.43.402,0.983,-0.000003000,0.000052250,0.000043250
1573803763441,2019-11-15T15.42.43.441,1.022,-0.000003000,0.000052250,0.000043250
1573803763481,2019-11-15T15.42.43.481,1.062,-0.000004438,0.000051125,0.000043250
1573803763520,2019-11-15T15.42.43.520,1.101,-0.000004063,0.000051875,0.000043250
1573803763560,2019-11-15T15.42.43.560,1.141,-0.000003688,0.000052250,0.000043250
1573803763598,2019-11-15T15.42.43.598,1.179,-0.000002625,0.000052625,0.000043250
1573803763637,2019-11-15T15.42.43.637,1.218,-0.000001500,0.000052250,0.000042812
1573803763677,2019-11-15T15.42.43.677,1.258,-0.000002250,0.000051500,0.000044063
1573803763717,2019-11-15T15.42.43.717,1.298,-0.000003312,0.000052625,0.000043250
1573803763756,2019-11-15T15.42.43.756,1.337,-0.000001875,0.000052625,0.000043250
1573803763796,2019-11-15T15.42.43.796,1.377,-0.000001875,0.000053000,0.000042437
1573803763834,2019-11-15T15.42.43.834,1.415,-0.000003312,0.000051500,0.000042437
1573803763873,2019-11-15T15.42.43.873,1.454,-0.000003312,0.000052250,0.000043250
1573803763913,2019-11-15T15.42.43.913,1.494,-0.000001875,0.000053375,0.000043625
1573803763952,2019-11-15T15.42.43.952,1.533,-0.000003688,0.000051875,0.000043625
