epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573803967788,2019-11-15T15.46.07.788,0.000,-0.000014375,0.000048125,-0.000011937
1573803967829,2019-11-15T15.46.07.829,0.041,-0.000014000,0.000047750,-0.000012313
1573803967869,2019-11-15T15.46.07.869,0.081,-0.000015437,0.000046312,-0.000011937
1573803967910,2019-11-15T15.46.07.910,0.122,-0.000015813,0.000047000,-0.000011937
1573803967949,2019-11-15T15.46.07.949,0.161,-0.000015437,0.000047750,-0.000011562
1573803967989,2019-11-15T15.46.07.989,0.201,-0.000015813,0.000046687,-0.000012313
1573803968030,2019-11-15T15.46.08.030,0.242,-0.000015437,0.000047375,-0.000011937
1573803968069,2019-11-15T15.46.08.069,0.281,-0.000013625,0.000048500,-0.000011125
1573803968110,2019-11-15T15.46.08.110,0.322,-0.000015813,0.000048125,-0.000012750
1573803968150,2019-11-15T15.46.08.150,0.362,-0.000015437,0.000047375,-0.000012750
1573803968191,2019-11-15T15.46.08.191,0.403,-0.000014000,0.000048125,-0.000012375
1573803968231,2019-11-15T15.46.08.231,0.443,-0.000015063,0.000046312,-0.000013125
1573803968272,2019-11-15T15.46.08.272,0.484,-0.000015063,0.000047000,-0.000013125
1573803968311,2019-11-15T15.46.08.311,0.523,-0.000016187,0.000046687,-0.000011562
1573803968352,2019-11-15T15.46.08.352,0.564,-0.000015813,0.000048125,-0.000012750
1573803968392,2019-11-15T15.46.08.392,0.604,-0.000015437,0.000046312,-0.000013125
1573803968433,2019-11-15T15.46.08.433,0.645,-0.000016937,0.000045187,-0.000013125
1573803968472,2019-11-15T15.46.08.472,0.684,-0.000016187,0.000048500,-0.000012750
1573803968513,2019-11-15T15.46.08.513,0.725,-0.000014375,0.000047375,-0.000013562
1573803968553,2019-11-15T15.46.08.553,0.765,-0.000015437,0.000047000,-0.000012375
1573803968592,2019-11-15T15.46.08.592,0.804,-0.000015063,0.000048500,-0.000012750
1573803968633,2019-11-15T15.46.08.633,0.845,-0.000015813,0.000046687,-0.000013562
