epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573804224965,2019-11-15T15.50.24.965,0.000,-0.000041812,0.000039937,-0.000017063
1573804225004,2019-11-15T15.50.25.004,0.039,-0.000041437,0.000038813,-0.000017812
1573804225042,2019-11-15T15.50.25.042,0.077,-0.000041812,0.000038813,-0.000017812
1573804225082,2019-11-15T15.50.25.082,0.117,-0.000041437,0.000038813,-0.000017063
1573804225121,2019-11-15T15.50.25.121,0.156,-0.000040313,0.000039188,-0.000018250
1573804225160,2019-11-15T15.50.25.160,0.195,-0.000042875,0.000038813,-0.000017437
1573804225199,2019-11-15T15.50.25.199,0.234,-0.000043625,0.000039188,-0.000016625
1573804225239,2019-11-15T15.50.25.239,0.274,-0.000042875,0.000039562,-0.000017437
1573804225277,2019-11-15T15.50.25.277,0.312,-0.000041437,0.000039188,-0.000017875
1573804225316,2019-11-15T15.50.25.316,0.351,-0.000041812,0.000037750,-0.000017437
1573804225356,2019-11-15T15.50.25.356,0.391,-0.000040688,0.000039188,-0.000017875
1573804225394,2019-11-15T15.50.25.394,0.429,-0.000042563,0.000038813,-0.000018250
1573804225433,2019-11-15T15.50.25.433,0.468,-0.000040313,0.000039188,-0.000017437
1573804225473,2019-11-15T15.50.25.473,0.508,-0.000041437,0.000038438,-0.000017437
1573804225511,2019-11-15T15.50.25.511,0.546,-0.000042188,0.000039188,-0.000017437
1573804225551,2019-11-15T15.50.25.551,0.586,-0.000042875,0.000039937,-0.000016250
1573804225590,2019-11-15T15.50.25.590,0.625,-0.000042875,0.000039188,-0.000017875
1573804225628,2019-11-15T15.50.25.628,0.663,-0.000042875,0.000039188,-0.000016687
1573804225668,2019-11-15T15.50.25.668,0.703,-0.000041062,0.000039937,-0.000017875
1573804225707,2019-11-15T15.50.25.707,0.742,-0.000042563,0.000039937,-0.000018250
1573804225745,2019-11-15T15.50.25.745,0.780,-0.000042563,0.000039562,-0.000018250
1573804225785,2019-11-15T15.50.25.785,0.820,-0.000043625,0.000039562,-0.000018250
1573804225823,2019-11-15T15.50.25.823,0.858,-0.000042188,0.000039188,-0.000017875
