epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573804223599,2019-11-15T15.50.23.599,0.000,-0.000014750,0.000046875,-0.000031063
1573804223639,2019-11-15T15.50.23.639,0.040,-0.000014437,0.000047250,-0.000031500
1573804223678,2019-11-15T15.50.23.678,0.079,-0.000014437,0.000046875,-0.000031500
1573804223718,2019-11-15T15.50.23.718,0.119,-0.000015875,0.000045750,-0.000030688
1573804223757,2019-11-15T15.50.23.757,0.158,-0.000013687,0.000046500,-0.000029938
1573804223797,2019-11-15T15.50.23.797,0.198,-0.000014750,0.000046875,-0.000029938
1573804223838,2019-11-15T15.50.23.838,0.239,-0.000014750,0.000046875,-0.000031125
1573804223877,2019-11-15T15.50.23.877,0.278,-0.000014437,0.000046125,-0.000031125
1573804223917,2019-11-15T15.50.23.917,0.318,-0.000014750,0.000047250,-0.000030688
1573804223956,2019-11-15T15.50.23.956,0.357,-0.000014437,0.000046875,-0.000032688
1573804223996,2019-11-15T15.50.23.996,0.397,-0.000015125,0.000047938,-0.000031875
1573804224035,2019-11-15T15.50.24.035,0.436,-0.000015500,0.000046500,-0.000031875
1573804224075,2019-11-15T15.50.24.075,0.476,-0.000014750,0.000046875,-0.000029938
1573804224115,2019-11-15T15.50.24.115,0.516,-0.000013687,0.000047250,-0.000030688
1573804224154,2019-11-15T15.50.24.154,0.555,-0.000014750,0.000046875,-0.000031500
1573804224194,2019-11-15T15.50.24.194,0.595,-0.000014437,0.000046875,-0.000030688
1573804224233,2019-11-15T15.50.24.233,0.634,-0.000014437,0.000047625,-0.000031875
1573804224273,2019-11-15T15.50.24.273,0.674,-0.000015500,0.000047625,-0.000030312
1573804224314,2019-11-15T15.50.24.314,0.715,-0.000014750,0.000047250,-0.000030688
1573804224353,2019-11-15T15.50.24.353,0.754,-0.000015125,0.000046875,-0.000029500
1573804224393,2019-11-15T15.50.24.393,0.794,-0.000014813,0.000046500,-0.000031125
1573804224432,2019-11-15T15.50.24.432,0.833,-0.000015125,0.000046875,-0.000031125
1573804224472,2019-11-15T15.50.24.472,0.873,-0.000015125,0.000046125,-0.000031125
1573804224512,2019-11-15T15.50.24.512,0.913,-0.000014813,0.000047250,-0.000031125
1573804224551,2019-11-15T15.50.24.551,0.952,-0.000014437,0.000046500,-0.000030688
1573804224591,2019-11-15T15.50.24.591,0.992,-0.000014813,0.000046875,-0.000031125
1573804224630,2019-11-15T15.50.24.630,1.031,-0.000014813,0.000047625,-0.000030688
1573804224670,2019-11-15T15.50.24.670,1.071,-0.000014437,0.000047250,-0.000031125
1573804224709,2019-11-15T15.50.24.709,1.110,-0.000014750,0.000047250,-0.000030312
1573804224749,2019-11-15T15.50.24.749,1.150,-0.000014437,0.000047250,-0.000030312
1573804224788,2019-11-15T15.50.24.788,1.189,-0.000014813,0.000046500,-0.000030688
1573804224829,2019-11-15T15.50.24.829,1.230,-0.000014813,0.000047250,-0.000030312
1573804224869,2019-11-15T15.50.24.869,1.270,-0.000015125,0.000046125,-0.000030688
1573804224909,2019-11-15T15.50.24.909,1.310,-0.000014437,0.000046875,-0.000030312
1573804224948,2019-11-15T15.50.24.948,1.349,-0.000013687,0.000048000,-0.000031125
1573804224988,2019-11-15T15.50.24.988,1.389,-0.000014437,0.000047250,-0.000031500
1573804225027,2019-11-15T15.50.25.027,1.428,-0.000014813,0.000046875,-0.000031500
1573804225067,2019-11-15T15.50.25.067,1.468,-0.000015125,0.000047250,-0.000030312
1573804225106,2019-11-15T15.50.25.106,1.507,-0.000015500,0.000047250,-0.000030312
