epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1573804427802,2019-11-15T15.53.47.802,0.000,0.488,1.037,0.793
1573804427812,2019-11-15T15.53.47.812,0.010,0.488,0.732,1.402
1573804427823,2019-11-15T15.53.47.823,0.021,0.610,2.195,1.463
1573804427833,2019-11-15T15.53.47.833,0.031,0.793,4.695,1.768
1573804427842,2019-11-15T15.53.47.842,0.040,1.098,7.073,1.463
1573804427852,2019-11-15T15.53.47.852,0.050,0.915,7.256,0.793
1573804427862,2019-11-15T15.53.47.862,0.060,0.122,4.695,-0.244
1573804427872,2019-11-15T15.53.47.872,0.070,-0.244,1.341,-1.220
1573804427883,2019-11-15T15.53.47.883,0.081,-0.244,-0.244,-1.707
1573804427893,2019-11-15T15.53.47.893,0.091,0.183,0.427,-1.829
1573804427903,2019-11-15T15.53.47.903,0.101,0.488,1.463,-1.098
1573804427913,2019-11-15T15.53.47.913,0.111,0.732,2.988,-0.122
1573804427924,2019-11-15T15.53.47.924,0.122,0.854,5.244,0.915
1573804427934,2019-11-15T15.53.47.934,0.132,0.976,7.073,1.402
1573804427944,2019-11-15T15.53.47.944,0.142,0.976,6.646,1.280
1573804427954,2019-11-15T15.53.47.954,0.152,0.854,4.878,0.610
1573804427965,2019-11-15T15.53.47.965,0.163,0.671,3.415,0.427
1573804427975,2019-11-15T15.53.47.975,0.173,0.488,2.927,0.427
1573804427985,2019-11-15T15.53.47.985,0.183,0.366,2.439,0.793
1573804427995,2019-11-15T15.53.47.995,0.193,0.244,2.073,1.098
1573804428006,2019-11-15T15.53.48.006,0.204,0.122,2.500,1.341
1573804428016,2019-11-15T15.53.48.016,0.214,0.244,3.232,1.341
1573804428025,2019-11-15T15.53.48.025,0.223,0.366,3.354,0.610
1573804428035,2019-11-15T15.53.48.035,0.233,0.366,3.415,0.061
1573804428045,2019-11-15T15.53.48.045,0.243,0.427,3.659,-0.305
1573804428055,2019-11-15T15.53.48.055,0.253,0.366,3.659,-0.732
1573804428066,2019-11-15T15.53.48.066,0.264,0.244,3.476,-1.098
1573804428076,2019-11-15T15.53.48.076,0.274,0.305,3.476,-1.159
1573804428086,2019-11-15T15.53.48.086,0.284,0.549,3.537,-0.549
1573804428096,2019-11-15T15.53.48.096,0.294,0.732,4.207,0.732
1573804428107,2019-11-15T15.53.48.107,0.305,0.366,3.598,1.768
1573804428117,2019-11-15T15.53.48.117,0.315,0.061,2.195,2.500
1573804428127,2019-11-15T15.53.48.127,0.325,0.000,0.915,2.134
1573804428138,2019-11-15T15.53.48.138,0.336,0.122,0.793,1.220
1573804428148,2019-11-15T15.53.48.148,0.346,0.427,2.500,0.427
1573804428158,2019-11-15T15.53.48.158,0.356,0.854,5.183,-0.061
1573804428168,2019-11-15T15.53.48.168,0.366,1.037,6.890,-0.244
1573804428179,2019-11-15T15.53.48.179,0.377,0.793,6.098,0.000
1573804428189,2019-11-15T15.53.48.189,0.387,0.305,3.963,0.549
1573804428198,2019-11-15T15.53.48.198,0.396,-0.183,2.195,1.341
1573804428208,2019-11-15T15.53.48.208,0.406,-0.366,0.366,1.707
1573804428218,2019-11-15T15.53.48.218,0.416,-0.488,-2.317,1.402
1573804428228,2019-11-15T15.53.48.228,0.426,-0.549,-3.537,0.976
1573804428239,2019-11-15T15.53.48.239,0.437,-0.305,-2.683,0.671
1573804428249,2019-11-15T15.53.48.249,0.447,-0.122,-1.098,0.488
1573804428259,2019-11-15T15.53.48.259,0.457,0.061,-0.305,0.244
1573804428269,2019-11-15T15.53.48.269,0.467,0.183,0.122,0.427
1573804428280,2019-11-15T15.53.48.280,0.478,0.244,0.915,1.098
1573804428290,2019-11-15T15.53.48.290,0.488,0.000,0.610,1.707
1573804428300,2019-11-15T15.53.48.300,0.498,-0.549,-1.646,2.622
1573804428310,2019-11-15T15.53.48.310,0.508,-1.098,-4.390,3.354
1573804428321,2019-11-15T15.53.48.321,0.519,-1.220,-5.793,3.171
1573804428331,2019-11-15T15.53.48.331,0.529,-0.793,-5.488,2.500
1573804428341,2019-11-15T15.53.48.341,0.539,-0.427,-3.720,1.220
1573804428351,2019-11-15T15.53.48.351,0.549,0.183,-0.610,0.610
1573804428362,2019-11-15T15.53.48.362,0.560,0.732,2.927,0.488
1573804428372,2019-11-15T15.53.48.372,0.570,0.610,3.659,0.427
1573804428381,2019-11-15T15.53.48.381,0.579,0.000,1.280,1.220
1573804428391,2019-11-15T15.53.48.391,0.589,-0.610,-2.378,2.195
1573804428401,2019-11-15T15.53.48.401,0.599,-0.976,-4.878,2.622
1573804428411,2019-11-15T15.53.48.411,0.609,-0.915,-5.183,2.439
1573804428422,2019-11-15T15.53.48.422,0.620,-0.366,-2.744,2.195
1573804428432,2019-11-15T15.53.48.432,0.630,0.244,0.244,1.646
1573804428442,2019-11-15T15.53.48.442,0.640,0.671,2.500,1.463
1573804428452,2019-11-15T15.53.48.452,0.650,0.488,2.500,1.159
1573804428463,2019-11-15T15.53.48.463,0.661,0.183,0.732,1.098
1573804428473,2019-11-15T15.53.48.473,0.671,-0.305,-0.488,1.098
1573804428483,2019-11-15T15.53.48.483,0.681,-0.366,-1.220,1.341
1573804428493,2019-11-15T15.53.48.493,0.691,-0.488,-1.829,1.707
1573804428504,2019-11-15T15.53.48.504,0.702,-0.610,-2.256,2.256
1573804428514,2019-11-15T15.53.48.514,0.712,-0.427,-2.622,2.500
1573804428524,2019-11-15T15.53.48.524,0.722,-0.183,-2.012,2.439
1573804428534,2019-11-15T15.53.48.534,0.732,0.122,-0.549,1.829
1573804428545,2019-11-15T15.53.48.545,0.743,0.000,0.854,1.098
1573804428555,2019-11-15T15.53.48.555,0.753,-0.061,1.646,0.305
1573804428564,2019-11-15T15.53.48.564,0.762,0.183,2.561,-0.244
1573804428574,2019-11-15T15.53.48.574,0.772,0.000,2.378,-0.244
1573804428584,2019-11-15T15.53.48.584,0.782,-0.427,-0.183,0.122
1573804428595,2019-11-15T15.53.48.595,0.793,-0.732,-2.378,0.976
1573804428605,2019-11-15T15.53.48.605,0.803,-0.671,-2.683,1.707
1573804428615,2019-11-15T15.53.48.615,0.813,-0.610,-2.622,1.951
1573804428625,2019-11-15T15.53.48.625,0.823,-0.549,-1.951,1.646
1573804428636,2019-11-15T15.53.48.636,0.834,-0.305,0.305,0.976
1573804428646,2019-11-15T15.53.48.646,0.844,0.305,2.683,-0.366
1573804428656,2019-11-15T15.53.48.656,0.854,0.671,4.146,-1.159
1573804428666,2019-11-15T15.53.48.666,0.864,0.549,3.659,-1.463
1573804428677,2019-11-15T15.53.48.677,0.875,0.000,1.159,-1.402
1573804428687,2019-11-15T15.53.48.687,0.885,-0.305,-1.890,-0.732
1573804428697,2019-11-15T15.53.48.697,0.895,-0.427,-4.085,0.671
1573804428707,2019-11-15T15.53.48.707,0.905,-0.305,-5.000,1.768
1573804428718,2019-11-15T15.53.48.718,0.916,-0.183,-4.329,2.439
1573804428728,2019-11-15T15.53.48.728,0.926,0.122,-2.622,2.683
1573804428737,2019-11-15T15.53.48.737,0.935,0.366,-1.707,2.134
1573804428747,2019-11-15T15.53.48.747,0.945,0.671,-1.159,1.037
1573804428757,2019-11-15T15.53.48.757,0.955,0.793,0.122,0.061
1573804428767,2019-11-15T15.53.48.767,0.965,0.915,1.402,-0.244
1573804428778,2019-11-15T15.53.48.778,0.976,0.976,2.805,-0.122
1573804428788,2019-11-15T15.53.48.788,0.986,0.854,2.134,-0.122
1573804428798,2019-11-15T15.53.48.798,0.996,0.488,0.061,0.061
1573804428808,2019-11-15T15.53.48.808,1.006,0.366,-0.305,0.610
1573804428819,2019-11-15T15.53.48.819,1.017,0.183,0.183,0.793
1573804428829,2019-11-15T15.53.48.829,1.027,-0.244,-0.061,0.610
1573804428839,2019-11-15T15.53.48.839,1.037,-0.549,-0.915,0.244
