epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1573804428210,2019-11-15T15.53.48.210,0.000,0.389,0.865,-0.164
1573804428220,2019-11-15T15.53.48.220,0.010,0.389,0.871,-0.162
1573804428231,2019-11-15T15.53.48.231,0.021,0.383,0.869,-0.165
1573804428241,2019-11-15T15.53.48.241,0.031,0.378,0.871,-0.165
1573804428251,2019-11-15T15.53.48.251,0.041,0.374,0.875,-0.162
1573804428261,2019-11-15T15.53.48.261,0.051,0.376,0.877,-0.164
1573804428272,2019-11-15T15.53.48.272,0.062,0.381,0.877,-0.162
1573804428282,2019-11-15T15.53.48.282,0.072,0.385,0.869,-0.163
1573804428292,2019-11-15T15.53.48.292,0.082,0.378,0.870,-0.169
1573804428302,2019-11-15T15.53.48.302,0.092,0.385,0.877,-0.165
1573804428311,2019-11-15T15.53.48.311,0.101,0.386,0.871,-0.166
1573804428321,2019-11-15T15.53.48.321,0.111,0.376,0.867,-0.164
1573804428332,2019-11-15T15.53.48.332,0.122,0.378,0.870,-0.165
1573804428342,2019-11-15T15.53.48.342,0.132,0.384,0.869,-0.165
1573804428352,2019-11-15T15.53.48.352,0.142,0.381,0.868,-0.163
1573804428362,2019-11-15T15.53.48.362,0.152,0.383,0.874,-0.162
1573804428373,2019-11-15T15.53.48.373,0.163,0.381,0.875,-0.164
1573804428383,2019-11-15T15.53.48.383,0.173,0.375,0.874,-0.167
1573804428393,2019-11-15T15.53.48.393,0.183,0.377,0.873,-0.167
1573804428404,2019-11-15T15.53.48.404,0.194,0.385,0.874,-0.167
1573804428414,2019-11-15T15.53.48.414,0.204,0.385,0.872,-0.167
1573804428423,2019-11-15T15.53.48.423,0.213,0.383,0.867,-0.166
1573804428433,2019-11-15T15.53.48.433,0.223,0.382,0.867,-0.163
1573804428443,2019-11-15T15.53.48.443,0.233,0.381,0.870,-0.160
1573804428453,2019-11-15T15.53.48.453,0.243,0.382,0.873,-0.164
1573804428464,2019-11-15T15.53.48.464,0.254,0.378,0.869,-0.165
1573804428474,2019-11-15T15.53.48.474,0.264,0.379,0.869,-0.165
1573804428484,2019-11-15T15.53.48.484,0.274,0.381,0.874,-0.165
1573804428494,2019-11-15T15.53.48.494,0.284,0.376,0.875,-0.164
1573804428505,2019-11-15T15.53.48.505,0.295,0.376,0.874,-0.168
1573804428515,2019-11-15T15.53.48.515,0.305,0.376,0.872,-0.172
1573804428525,2019-11-15T15.53.48.525,0.315,0.385,0.868,-0.165
1573804428534,2019-11-15T15.53.48.534,0.324,0.392,0.870,-0.165
1573804428544,2019-11-15T15.53.48.544,0.334,0.389,0.869,-0.160
1573804428554,2019-11-15T15.53.48.554,0.344,0.388,0.870,-0.160
1573804428565,2019-11-15T15.53.48.565,0.355,0.388,0.870,-0.163
1573804428575,2019-11-15T15.53.48.575,0.365,0.387,0.870,-0.164
