epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1573804589877,2019-11-15T15.56.29.877,0.000,-0.274,-0.981,-0.087
1573804589887,2019-11-15T15.56.29.887,0.010,-0.249,-0.992,-0.088
1573804589897,2019-11-15T15.56.29.897,0.020,-0.229,-0.997,-0.081
1573804589907,2019-11-15T15.56.29.907,0.030,-0.219,-0.996,-0.072
1573804589918,2019-11-15T15.56.29.918,0.041,-0.223,-0.997,-0.062
1573804589928,2019-11-15T15.56.29.928,0.051,-0.236,-1.003,-0.057
1573804589938,2019-11-15T15.56.29.938,0.061,-0.250,-1.011,-0.059
1573804589947,2019-11-15T15.56.29.947,0.070,-0.269,-1.011,-0.059
1573804589957,2019-11-15T15.56.29.957,0.080,-0.282,-0.992,-0.069
1573804589967,2019-11-15T15.56.29.967,0.090,-0.287,-0.972,-0.083
1573804589978,2019-11-15T15.56.29.978,0.101,-0.280,-0.967,-0.091
1573804589988,2019-11-15T15.56.29.988,0.111,-0.267,-0.973,-0.091
1573804589998,2019-11-15T15.56.29.998,0.121,-0.248,-0.983,-0.090
1573804590008,2019-11-15T15.56.30.008,0.131,-0.234,-0.999,-0.085
1573804590019,2019-11-15T15.56.30.019,0.142,-0.227,-1.007,-0.070
1573804590028,2019-11-15T15.56.30.028,0.151,-0.228,-1.010,-0.054
1573804590038,2019-11-15T15.56.30.038,0.161,-0.233,-1.006,-0.048
1573804590048,2019-11-15T15.56.30.048,0.171,-0.246,-0.992,-0.044
1573804590058,2019-11-15T15.56.30.058,0.181,-0.262,-0.981,-0.053
1573804590069,2019-11-15T15.56.30.069,0.192,-0.267,-0.985,-0.080
1573804590079,2019-11-15T15.56.30.079,0.202,-0.263,-0.983,-0.101
1573804590089,2019-11-15T15.56.30.089,0.212,-0.260,-0.986,-0.105
1573804590099,2019-11-15T15.56.30.099,0.222,-0.250,-0.994,-0.102
1573804590108,2019-11-15T15.56.30.108,0.231,-0.241,-1.000,-0.087
1573804590118,2019-11-15T15.56.30.118,0.241,-0.240,-0.991,-0.064
1573804590129,2019-11-15T15.56.30.129,0.252,-0.246,-0.990,-0.041
1573804590139,2019-11-15T15.56.30.139,0.262,-0.252,-0.998,-0.037
1573804590149,2019-11-15T15.56.30.149,0.272,-0.266,-1.000,-0.039
1573804590159,2019-11-15T15.56.30.159,0.282,-0.278,-0.995,-0.052
1573804590170,2019-11-15T15.56.30.170,0.293,-0.267,-0.982,-0.081
1573804590180,2019-11-15T15.56.30.180,0.303,-0.261,-0.973,-0.092
1573804590189,2019-11-15T15.56.30.189,0.312,-0.254,-0.972,-0.092
1573804590199,2019-11-15T15.56.30.199,0.322,-0.259,-0.979,-0.092
1573804590209,2019-11-15T15.56.30.209,0.332,-0.254,-0.986,-0.088
1573804590219,2019-11-15T15.56.30.219,0.342,-0.244,-0.993,-0.075
1573804590230,2019-11-15T15.56.30.230,0.353,-0.240,-1.003,-0.057
1573804590240,2019-11-15T15.56.30.240,0.363,-0.235,-1.006,-0.050
1573804590250,2019-11-15T15.56.30.250,0.373,-0.234,-1.008,-0.048
1573804590260,2019-11-15T15.56.30.260,0.383,-0.245,-0.997,-0.053
1573804590269,2019-11-15T15.56.30.269,0.392,-0.264,-0.985,-0.064
