epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573804594334,2019-11-15T15.56.34.334,0.000,-0.000055000,0.000008562,0.000034812
1573804594374,2019-11-15T15.56.34.374,0.040,-0.000056125,0.000008187,0.000035187
1573804594413,2019-11-15T15.56.34.413,0.079,-0.000056500,0.000008562,0.000036000
1573804594453,2019-11-15T15.56.34.453,0.119,-0.000060562,0.000009312,0.000034812
1573804594491,2019-11-15T15.56.34.491,0.157,-0.000056125,0.000008562,0.000035625
1573804594530,2019-11-15T15.56.34.530,0.196,-0.000058000,0.000008937,0.000034812
1573804594570,2019-11-15T15.56.34.570,0.236,-0.000057250,0.000008562,0.000036000
1573804594610,2019-11-15T15.56.34.610,0.276,-0.000056125,0.000009312,0.000036438
1573804594649,2019-11-15T15.56.34.649,0.315,-0.000058000,0.000008187,0.000035187
1573804594689,2019-11-15T15.56.34.689,0.355,-0.000055000,0.000008937,0.000035625
1573804594727,2019-11-15T15.56.34.727,0.393,-0.000051688,0.000008937,0.000037625
1573804594766,2019-11-15T15.56.34.766,0.432,-0.000057250,0.000008187,0.000036813
1573804594806,2019-11-15T15.56.34.806,0.472,-0.000055750,0.000009312,0.000035625
1573804594845,2019-11-15T15.56.34.845,0.511,-0.000055000,0.000008187,0.000036000
1573804594885,2019-11-15T15.56.34.885,0.551,-0.000057625,0.000008187,0.000035250
1573804594923,2019-11-15T15.56.34.923,0.589,-0.000055000,0.000008187,0.000036438
1573804594963,2019-11-15T15.56.34.963,0.629,-0.000052812,0.000008562,0.000036813
1573804595002,2019-11-15T15.56.35.002,0.668,-0.000055750,0.000008562,0.000036438
1573804595042,2019-11-15T15.56.35.042,0.708,-0.000055375,0.000008937,0.000036063
1573804595081,2019-11-15T15.56.35.081,0.747,-0.000056125,0.000008562,0.000037250
1573804595121,2019-11-15T15.56.35.121,0.787,-0.000053188,0.000008187,0.000036813
1573804595159,2019-11-15T15.56.35.159,0.825,-0.000053188,0.000008187,0.000036438
1573804595198,2019-11-15T15.56.35.198,0.864,-0.000057625,0.000008187,0.000036813
1573804595238,2019-11-15T15.56.35.238,0.904,-0.000056125,0.000008562,0.000036438
1573804595278,2019-11-15T15.56.35.278,0.944,-0.000056875,0.000008187,0.000036063
1573804595317,2019-11-15T15.56.35.317,0.983,-0.000058375,0.000007813,0.000037250
1573804595355,2019-11-15T15.56.35.355,1.021,-0.000057250,0.000008562,0.000036063
1573804595395,2019-11-15T15.56.35.395,1.061,-0.000050562,0.000008937,0.000036813
1573804595434,2019-11-15T15.56.35.434,1.100,-0.000058000,0.000008562,0.000036813
1573804595474,2019-11-15T15.56.35.474,1.140,-0.000057625,0.000007813,0.000036063
1573804595513,2019-11-15T15.56.35.513,1.179,-0.000056875,0.000008562,0.000036438
1573804595551,2019-11-15T15.56.35.551,1.217,-0.000056875,0.000008937,0.000036063
1573804595591,2019-11-15T15.56.35.591,1.257,-0.000055750,0.000008562,0.000037250
1573804595631,2019-11-15T15.56.35.631,1.297,-0.000056875,0.000008562,0.000037250
1573804595670,2019-11-15T15.56.35.670,1.336,-0.000059875,0.000007437,0.000036438
1573804595710,2019-11-15T15.56.35.710,1.376,-0.000056500,0.000008562,0.000035250
1573804595748,2019-11-15T15.56.35.748,1.414,-0.000058000,0.000008562,0.000035625
1573804595787,2019-11-15T15.56.35.787,1.453,-0.000058000,0.000009312,0.000036438
1573804595827,2019-11-15T15.56.35.827,1.493,-0.000058000,0.000008562,0.000036813
1573804595866,2019-11-15T15.56.35.866,1.532,-0.000056875,0.000008562,0.000036438
1573804595906,2019-11-15T15.56.35.906,1.572,-0.000056125,0.000008562,0.000037625
1573804595946,2019-11-15T15.56.35.946,1.612,-0.000056500,0.000008187,0.000035625
1573804595984,2019-11-15T15.56.35.984,1.650,-0.000056125,0.000008187,0.000035250
1573804596023,2019-11-15T15.56.36.023,1.689,-0.000053188,0.000009688,0.000036063
1573804596063,2019-11-15T15.56.36.063,1.729,-0.000052437,0.000008187,0.000036438
1573804596102,2019-11-15T15.56.36.102,1.768,-0.000055375,0.000007813,0.000036438
1573804596142,2019-11-15T15.56.36.142,1.808,-0.000056125,0.000008562,0.000036438
1573804596180,2019-11-15T15.56.36.180,1.846,-0.000058000,0.000008562,0.000036813
1573804596219,2019-11-15T15.56.36.219,1.885,-0.000055000,0.000008562,0.000036438
1573804596259,2019-11-15T15.56.36.259,1.925,-0.000058375,0.000008937,0.000036438
1573804596299,2019-11-15T15.56.36.299,1.965,-0.000058375,0.000007813,0.000036063
1573804596338,2019-11-15T15.56.36.338,2.004,-0.000056500,0.000009312,0.000036875
1573804596376,2019-11-15T15.56.36.376,2.042,-0.000052437,0.000008937,0.000036063
1573804596416,2019-11-15T15.56.36.416,2.082,-0.000057625,0.000006750,0.000036063
1573804596455,2019-11-15T15.56.36.455,2.121,-0.000056125,0.000007063,0.000036438
1573804596495,2019-11-15T15.56.36.495,2.161,-0.000056875,0.000008562,0.000037250
1573804596534,2019-11-15T15.56.36.534,2.200,-0.000058750,0.000008562,0.000036438
1573804596572,2019-11-15T15.56.36.572,2.238,-0.000053188,0.000008562,0.000037250
1573804596612,2019-11-15T15.56.36.612,2.278,-0.000053188,0.000009312,0.000036063
1573804596652,2019-11-15T15.56.36.652,2.318,-0.000056875,0.000007437,0.000036813
1573804596691,2019-11-15T15.56.36.691,2.357,-0.000056125,0.000008187,0.000036813
1573804596731,2019-11-15T15.56.36.731,2.397,-0.000058000,0.000008562,0.000036813
1573804596769,2019-11-15T15.56.36.769,2.435,-0.000058000,0.000009688,0.000036875
1573804596808,2019-11-15T15.56.36.808,2.474,-0.000056875,0.000010438,0.000038062
1573804596848,2019-11-15T15.56.36.848,2.514,-0.000053875,0.000007813,0.000036063
1573804596887,2019-11-15T15.56.36.887,2.553,-0.000058750,0.000008562,0.000036063
1573804596927,2019-11-15T15.56.36.927,2.593,-0.000057250,0.000009312,0.000036438
1573804596967,2019-11-15T15.56.36.967,2.633,-0.000056500,0.000008562,0.000036875
1573804597005,2019-11-15T15.56.37.005,2.671,-0.000056125,0.000007437,0.000036063
1573804597044,2019-11-15T15.56.37.044,2.710,-0.000057250,0.000010812,0.000036875
1573804597084,2019-11-15T15.56.37.084,2.750,-0.000059500,0.000009312,0.000036438
1573804597123,2019-11-15T15.56.37.123,2.789,-0.000057625,0.000008187,0.000036875
1573804597163,2019-11-15T15.56.37.163,2.829,-0.000057625,0.000008187,0.000036438
1573804597201,2019-11-15T15.56.37.201,2.867,-0.000055000,0.000007437,0.000035625
1573804597240,2019-11-15T15.56.37.240,2.906,-0.000055000,0.000007063,0.000036438
1573804597280,2019-11-15T15.56.37.280,2.946,-0.000053875,0.000009688,0.000037250
1573804597320,2019-11-15T15.56.37.320,2.986,-0.000056500,0.000007437,0.000036438
1573804597359,2019-11-15T15.56.37.359,3.025,-0.000054250,0.000008187,0.000036438
1573804597397,2019-11-15T15.56.37.397,3.063,-0.000056125,0.000009312,0.000036813
1573804597437,2019-11-15T15.56.37.437,3.103,-0.000054625,0.000008562,0.000036875
1573804597476,2019-11-15T15.56.37.476,3.142,-0.000054625,0.000008562,0.000036875
1573804597516,2019-11-15T15.56.37.516,3.182,-0.000056875,0.000008187,0.000037250
1573804597555,2019-11-15T15.56.37.555,3.221,-0.000055000,0.000007813,0.000035250
1573804597593,2019-11-15T15.56.37.593,3.259,-0.000058750,0.000007813,0.000036813
1573804597633,2019-11-15T15.56.37.633,3.299,-0.000057250,0.000008937,0.000037250
