epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1573804784241,2019-11-15T15.59.44.241,0.000,-0.133,-0.992,-0.061
1573804784250,2019-11-15T15.59.44.250,0.009,-0.132,-1.000,-0.066
1573804784260,2019-11-15T15.59.44.260,0.019,-0.134,-0.997,-0.068
1573804784270,2019-11-15T15.59.44.270,0.029,-0.136,-1.000,-0.065
1573804784281,2019-11-15T15.59.44.281,0.040,-0.139,-1.010,-0.068
1573804784291,2019-11-15T15.59.44.291,0.050,-0.143,-1.013,-0.062
1573804784301,2019-11-15T15.59.44.301,0.060,-0.145,-1.004,-0.056
1573804784311,2019-11-15T15.59.44.311,0.070,-0.146,-0.996,-0.059
1573804784322,2019-11-15T15.59.44.322,0.081,-0.146,-0.994,-0.059
1573804784332,2019-11-15T15.59.44.332,0.091,-0.144,-0.998,-0.070
1573804784341,2019-11-15T15.59.44.341,0.100,-0.138,-1.000,-0.077
1573804784351,2019-11-15T15.59.44.351,0.110,-0.142,-1.002,-0.065
1573804784361,2019-11-15T15.59.44.361,0.120,-0.141,-1.000,-0.057
1573804784371,2019-11-15T15.59.44.371,0.130,-0.141,-0.994,-0.066
1573804784382,2019-11-15T15.59.44.382,0.141,-0.146,-0.993,-0.075
1573804784392,2019-11-15T15.59.44.392,0.151,-0.150,-0.996,-0.075
1573804784402,2019-11-15T15.59.44.402,0.161,-0.147,-1.000,-0.075
1573804784412,2019-11-15T15.59.44.412,0.171,-0.143,-1.002,-0.067
1573804784421,2019-11-15T15.59.44.421,0.180,-0.143,-1.002,-0.066
1573804784431,2019-11-15T15.59.44.431,0.190,-0.144,-1.001,-0.066
1573804784442,2019-11-15T15.59.44.442,0.201,-0.141,-1.000,-0.068
1573804784452,2019-11-15T15.59.44.452,0.211,-0.136,-1.000,-0.071
1573804784462,2019-11-15T15.59.44.462,0.221,-0.136,-0.998,-0.075
1573804784472,2019-11-15T15.59.44.472,0.231,-0.138,-0.998,-0.076
1573804784483,2019-11-15T15.59.44.483,0.242,-0.142,-0.998,-0.076
1573804784493,2019-11-15T15.59.44.493,0.252,-0.143,-0.999,-0.074
1573804784503,2019-11-15T15.59.44.503,0.262,-0.142,-0.999,-0.068
1573804784512,2019-11-15T15.59.44.512,0.271,-0.138,-1.002,-0.069
1573804784522,2019-11-15T15.59.44.522,0.281,-0.138,-1.000,-0.069
1573804784532,2019-11-15T15.59.44.532,0.291,-0.139,-0.998,-0.070
1573804784543,2019-11-15T15.59.44.543,0.302,-0.140,-0.999,-0.068
1573804784553,2019-11-15T15.59.44.553,0.312,-0.137,-1.000,-0.071
1573804784563,2019-11-15T15.59.44.563,0.322,-0.135,-1.002,-0.076
1573804784573,2019-11-15T15.59.44.573,0.332,-0.136,-0.998,-0.074
1573804784584,2019-11-15T15.59.44.584,0.343,-0.136,-0.995,-0.071
1573804784593,2019-11-15T15.59.44.593,0.352,-0.139,-0.996,-0.070
1573804784603,2019-11-15T15.59.44.603,0.362,-0.140,-0.995,-0.067
1573804784613,2019-11-15T15.59.44.613,0.372,-0.141,-0.995,-0.065
1573804784623,2019-11-15T15.59.44.623,0.382,-0.143,-1.000,-0.070
1573804784634,2019-11-15T15.59.44.634,0.393,-0.142,-1.006,-0.065
1573804784644,2019-11-15T15.59.44.644,0.403,-0.144,-1.003,-0.062
1573804784654,2019-11-15T15.59.44.654,0.413,-0.144,-1.000,-0.062
1573804784664,2019-11-15T15.59.44.664,0.423,-0.146,-0.999,-0.068
1573804784675,2019-11-15T15.59.44.675,0.434,-0.145,-0.997,-0.070
1573804784683,2019-11-15T15.59.44.683,0.442,-0.139,-1.001,-0.072
1573804784694,2019-11-15T15.59.44.694,0.453,-0.130,-1.000,-0.071
1573804784704,2019-11-15T15.59.44.704,0.463,-0.130,-0.997,-0.071
1573804784714,2019-11-15T15.59.44.714,0.473,-0.130,-1.000,-0.066
1573804784724,2019-11-15T15.59.44.724,0.483,-0.133,-0.998,-0.069
1573804784735,2019-11-15T15.59.44.735,0.494,-0.141,-0.999,-0.076
1573804784745,2019-11-15T15.59.44.745,0.504,-0.150,-1.001,-0.074
1573804784755,2019-11-15T15.59.44.755,0.514,-0.148,-1.001,-0.073
1573804784765,2019-11-15T15.59.44.765,0.524,-0.143,-1.008,-0.071
1573804784774,2019-11-15T15.59.44.774,0.533,-0.135,-1.007,-0.068
1573804784784,2019-11-15T15.59.44.784,0.543,-0.134,-1.000,-0.068
1573804784795,2019-11-15T15.59.44.795,0.554,-0.147,-1.000,-0.069
1573804784805,2019-11-15T15.59.44.805,0.564,-0.153,-1.003,-0.080
1573804784815,2019-11-15T15.59.44.815,0.574,-0.147,-1.000,-0.083
1573804784825,2019-11-15T15.59.44.825,0.584,-0.141,-0.998,-0.081
1573804784836,2019-11-15T15.59.44.836,0.595,-0.142,-1.005,-0.078
1573804784846,2019-11-15T15.59.44.846,0.605,-0.139,-1.001,-0.067
1573804784856,2019-11-15T15.59.44.856,0.615,-0.133,-0.992,-0.068
1573804784865,2019-11-15T15.59.44.865,0.624,-0.135,-0.993,-0.077
1573804784875,2019-11-15T15.59.44.875,0.634,-0.137,-0.997,-0.079
1573804784885,2019-11-15T15.59.44.885,0.644,-0.137,-1.000,-0.076
1573804784896,2019-11-15T15.59.44.896,0.655,-0.142,-1.003,-0.072
1573804784906,2019-11-15T15.59.44.906,0.665,-0.141,-1.003,-0.073
1573804784916,2019-11-15T15.59.44.916,0.675,-0.146,-1.003,-0.073
1573804784927,2019-11-15T15.59.44.927,0.686,-0.146,-1.000,-0.069
1573804784937,2019-11-15T15.59.44.937,0.696,-0.146,-1.002,-0.066
1573804784946,2019-11-15T15.59.44.946,0.705,-0.146,-1.000,-0.070
1573804784956,2019-11-15T15.59.44.956,0.715,-0.141,-1.001,-0.077
1573804784966,2019-11-15T15.59.44.966,0.725,-0.137,-1.000,-0.075
1573804784976,2019-11-15T15.59.44.976,0.735,-0.132,-0.995,-0.078
1573804784987,2019-11-15T15.59.44.987,0.746,-0.136,-0.997,-0.076
1573804784997,2019-11-15T15.59.44.997,0.756,-0.138,-0.997,-0.072
1573804785007,2019-11-15T15.59.45.007,0.766,-0.135,-0.997,-0.076
1573804785017,2019-11-15T15.59.45.017,0.776,-0.138,-0.996,-0.077
1573804785028,2019-11-15T15.59.45.028,0.787,-0.141,-1.001,-0.082
1573804785036,2019-11-15T15.59.45.036,0.795,-0.141,-1.000,-0.077
1573804785047,2019-11-15T15.59.45.047,0.806,-0.140,-1.000,-0.074
1573804785057,2019-11-15T15.59.45.057,0.816,-0.137,-0.997,-0.073
1573804785067,2019-11-15T15.59.45.067,0.826,-0.136,-0.997,-0.077
1573804785077,2019-11-15T15.59.45.077,0.836,-0.136,-1.000,-0.076
1573804785088,2019-11-15T15.59.45.088,0.847,-0.137,-0.999,-0.072
1573804785098,2019-11-15T15.59.45.098,0.857,-0.142,-0.997,-0.074
1573804785108,2019-11-15T15.59.45.108,0.867,-0.150,-0.995,-0.072
1573804785118,2019-11-15T15.59.45.118,0.877,-0.150,-0.997,-0.075
1573804785127,2019-11-15T15.59.45.127,0.886,-0.147,-1.000,-0.079
1573804785137,2019-11-15T15.59.45.137,0.896,-0.140,-1.003,-0.082
1573804785148,2019-11-15T15.59.45.148,0.907,-0.137,-1.000,-0.076
1573804785158,2019-11-15T15.59.45.158,0.917,-0.135,-1.000,-0.079
1573804785168,2019-11-15T15.59.45.168,0.927,-0.138,-1.002,-0.080
1573804785178,2019-11-15T15.59.45.178,0.937,-0.145,-0.998,-0.071
1573804785189,2019-11-15T15.59.45.189,0.948,-0.141,-0.998,-0.072
1573804785199,2019-11-15T15.59.45.199,0.958,-0.141,-1.000,-0.072
1573804785208,2019-11-15T15.59.45.208,0.967,-0.139,-0.998,-0.076
1573804785218,2019-11-15T15.59.45.218,0.977,-0.139,-0.994,-0.083
1573804785228,2019-11-15T15.59.45.228,0.987,-0.144,-0.997,-0.087
1573804785239,2019-11-15T15.59.45.239,0.998,-0.141,-1.002,-0.076
1573804785249,2019-11-15T15.59.45.249,1.008,-0.142,-1.008,-0.075
1573804785259,2019-11-15T15.59.45.259,1.018,-0.144,-1.003,-0.068
1573804785269,2019-11-15T15.59.45.269,1.028,-0.140,-1.000,-0.060
1573804785280,2019-11-15T15.59.45.280,1.039,-0.146,-1.000,-0.059
1573804785290,2019-11-15T15.59.45.290,1.049,-0.145,-1.001,-0.073
1573804785299,2019-11-15T15.59.45.299,1.058,-0.137,-1.000,-0.082
1573804785309,2019-11-15T15.59.45.309,1.068,-0.130,-1.003,-0.084
1573804785319,2019-11-15T15.59.45.319,1.078,-0.132,-1.001,-0.071
1573804785329,2019-11-15T15.59.45.329,1.088,-0.140,-0.999,-0.058
1573804785340,2019-11-15T15.59.45.340,1.099,-0.143,-0.997,-0.055
1573804785350,2019-11-15T15.59.45.350,1.109,-0.147,-0.996,-0.061
1573804785360,2019-11-15T15.59.45.360,1.119,-0.142,-0.997,-0.066
1573804785370,2019-11-15T15.59.45.370,1.129,-0.132,-1.001,-0.068
1573804785379,2019-11-15T15.59.45.379,1.138,-0.131,-1.009,-0.072
1573804785389,2019-11-15T15.59.45.389,1.148,-0.133,-1.005,-0.076
1573804785400,2019-11-15T15.59.45.400,1.159,-0.137,-0.998,-0.077
1573804785410,2019-11-15T15.59.45.410,1.169,-0.141,-0.998,-0.078
1573804785420,2019-11-15T15.59.45.420,1.179,-0.146,-1.000,-0.075
1573804785430,2019-11-15T15.59.45.430,1.189,-0.141,-0.998,-0.079
1573804785441,2019-11-15T15.59.45.441,1.200,-0.137,-0.998,-0.076
1573804785451,2019-11-15T15.59.45.451,1.210,-0.134,-0.997,-0.080
1573804785461,2019-11-15T15.59.45.461,1.220,-0.134,-0.997,-0.083
1573804785470,2019-11-15T15.59.45.470,1.229,-0.131,-1.004,-0.076
1573804785480,2019-11-15T15.59.45.480,1.239,-0.136,-1.009,-0.071
