epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1573800603305,2019-11-15T14.50.03.305,0.000,1.646,2.622,-0.305
1573800603315,2019-11-15T14.50.03.315,0.010,2.073,2.256,-0.488
1573800603325,2019-11-15T14.50.03.325,0.020,1.829,-0.305,-0.061
1573800603335,2019-11-15T14.50.03.335,0.030,1.829,-2.744,-0.244
1573800603346,2019-11-15T14.50.03.346,0.041,1.829,-4.024,-0.061
1573800603356,2019-11-15T14.50.03.356,0.051,1.341,-3.720,0.183
1573800603366,2019-11-15T14.50.03.366,0.061,1.524,-0.427,0.183
1573800603376,2019-11-15T14.50.03.376,0.071,1.768,1.159,0.122
1573800603387,2019-11-15T14.50.03.387,0.082,1.341,1.341,-0.122
1573800603395,2019-11-15T14.50.03.395,0.090,1.037,1.463,-0.854
1573800603406,2019-11-15T14.50.03.406,0.101,1.341,-1.768,-1.585
1573800603416,2019-11-15T14.50.03.416,0.111,1.341,-3.232,-1.463
1573800603426,2019-11-15T14.50.03.426,0.121,0.793,-1.829,-0.854
1573800603436,2019-11-15T14.50.03.436,0.131,0.061,-0.732,-0.610
1573800603447,2019-11-15T14.50.03.447,0.142,0.183,-0.610,-0.732
1573800603457,2019-11-15T14.50.03.457,0.152,1.098,0.427,-0.549
1573800603467,2019-11-15T14.50.03.467,0.162,-0.244,3.293,-0.793
1573800603477,2019-11-15T14.50.03.477,0.172,-0.061,1.585,-1.037
1573800603488,2019-11-15T14.50.03.488,0.183,0.854,-2.500,-1.280
1573800603498,2019-11-15T14.50.03.498,0.193,1.341,-5.061,-1.585
1573800603507,2019-11-15T14.50.03.507,0.202,1.585,-5.244,-1.098
1573800603517,2019-11-15T14.50.03.517,0.212,1.037,-2.988,-0.671
1573800603527,2019-11-15T14.50.03.527,0.222,0.244,-0.671,-0.671
1573800603537,2019-11-15T14.50.03.537,0.232,-0.549,2.683,-0.610
1573800603548,2019-11-15T14.50.03.548,0.243,-1.280,4.756,-0.610
1573800603558,2019-11-15T14.50.03.558,0.253,-0.610,0.305,-1.220
1573800603568,2019-11-15T14.50.03.568,0.263,0.305,-4.512,-1.524
1573800603578,2019-11-15T14.50.03.578,0.273,0.915,-5.610,-1.402
1573800603589,2019-11-15T14.50.03.589,0.284,0.732,-5.000,-1.280
1573800603599,2019-11-15T14.50.03.599,0.294,0.427,-1.707,-0.610
1573800603608,2019-11-15T14.50.03.608,0.303,0.122,3.049,-0.305
1573800603618,2019-11-15T14.50.03.618,0.313,0.488,3.841,-0.671
1573800603628,2019-11-15T14.50.03.628,0.323,0.915,1.402,-1.280
1573800603639,2019-11-15T14.50.03.639,0.334,0.854,-1.585,-1.341
1573800603649,2019-11-15T14.50.03.649,0.344,1.280,-3.354,-0.488
1573800603659,2019-11-15T14.50.03.659,0.354,2.134,-2.561,-0.122
1573800603669,2019-11-15T14.50.03.669,0.364,1.463,-2.805,-0.793
1573800603680,2019-11-15T14.50.03.680,0.375,0.305,-2.256,-1.220
1573800603690,2019-11-15T14.50.03.690,0.385,-0.732,-0.244,-1.220
1573800603700,2019-11-15T14.50.03.700,0.395,-0.366,0.671,-0.976
1573800603709,2019-11-15T14.50.03.709,0.404,-0.244,0.976,-0.854
1573800603719,2019-11-15T14.50.03.719,0.414,-0.061,3.049,-0.854
1573800603729,2019-11-15T14.50.03.729,0.424,0.488,3.049,-0.854
1573800603740,2019-11-15T14.50.03.740,0.435,0.732,-0.183,-1.159
1573800603750,2019-11-15T14.50.03.750,0.445,0.244,-2.378,-1.280
1573800603760,2019-11-15T14.50.03.760,0.455,0.244,-2.439,-1.463
1573800603770,2019-11-15T14.50.03.770,0.465,0.610,-0.183,-1.402
1573800603781,2019-11-15T14.50.03.781,0.476,0.915,1.646,-1.037
1573800603791,2019-11-15T14.50.03.791,0.486,0.976,2.256,-0.488
1573800603801,2019-11-15T14.50.03.801,0.496,0.671,0.244,-0.427
1573800603810,2019-11-15T14.50.03.810,0.505,0.793,-1.524,-0.671
1573800603820,2019-11-15T14.50.03.820,0.515,0.183,-0.183,-0.610
1573800603830,2019-11-15T14.50.03.830,0.525,-0.305,0.732,-0.061
1573800603841,2019-11-15T14.50.03.841,0.536,-1.037,1.341,-0.122
1573800603851,2019-11-15T14.50.03.851,0.546,-0.732,3.780,-0.488
1573800603861,2019-11-15T14.50.03.861,0.556,-0.671,4.146,-0.305
1573800603871,2019-11-15T14.50.03.871,0.566,-0.793,3.354,0.061
1573800603882,2019-11-15T14.50.03.882,0.577,-0.915,2.500,0.122
1573800603892,2019-11-15T14.50.03.892,0.587,-1.524,2.195,0.366
1573800603902,2019-11-15T14.50.03.902,0.597,-1.951,2.195,0.427
1573800603911,2019-11-15T14.50.03.911,0.606,-2.744,1.951,0.671
1573800603921,2019-11-15T14.50.03.921,0.616,-2.195,-0.488,0.671
1573800603931,2019-11-15T14.50.03.931,0.626,-0.244,-5.000,0.244
1573800603942,2019-11-15T14.50.03.942,0.637,0.549,-6.707,-0.427
1573800603952,2019-11-15T14.50.03.952,0.647,0.244,-3.659,-0.671
1573800603962,2019-11-15T14.50.03.962,0.657,-0.305,0.671,-0.305
1573800603972,2019-11-15T14.50.03.972,0.667,-1.646,5.183,0.122
