epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573800600269,2019-11-15T14.50.00.269,0.000,-0.000055187,-0.000060250,0.000014250
1573800600309,2019-11-15T14.50.00.309,0.040,-0.000057375,-0.000059875,0.000016250
1573800600348,2019-11-15T14.50.00.348,0.079,-0.000056312,-0.000059500,0.000015437
1573800600388,2019-11-15T14.50.00.388,0.119,-0.000056312,-0.000059875,0.000015813
1573800600427,2019-11-15T14.50.00.427,0.158,-0.000056312,-0.000060250,0.000016250
1573800600467,2019-11-15T14.50.00.467,0.198,-0.000055187,-0.000059875,0.000014687
1573800600506,2019-11-15T14.50.00.506,0.237,-0.000057375,-0.000059875,0.000015437
1573800600546,2019-11-15T14.50.00.546,0.277,-0.000055187,-0.000060250,0.000015437
1573800600585,2019-11-15T14.50.00.585,0.316,-0.000055187,-0.000059875,0.000015063
1573800600625,2019-11-15T14.50.00.625,0.356,-0.000057375,-0.000061000,0.000015437
1573800600665,2019-11-15T14.50.00.665,0.396,-0.000057063,-0.000059875,0.000014687
1573800600704,2019-11-15T14.50.00.704,0.435,-0.000056312,-0.000059875,0.000014687
1573800600744,2019-11-15T14.50.00.744,0.475,-0.000056687,-0.000059187,0.000015875
1573800600783,2019-11-15T14.50.00.783,0.514,-0.000056687,-0.000059562,0.000015063
1573800600823,2019-11-15T14.50.00.823,0.554,-0.000057063,-0.000059187,0.000015063
1573800600862,2019-11-15T14.50.00.862,0.593,-0.000056687,-0.000058813,0.000015875
1573800600902,2019-11-15T14.50.00.902,0.633,-0.000055938,-0.000060625,0.000015875
1573800600941,2019-11-15T14.50.00.941,0.672,-0.000056312,-0.000060250,0.000015063
1573800600981,2019-11-15T14.50.00.981,0.712,-0.000057438,-0.000059562,0.000015063
1573800601021,2019-11-15T14.50.01.021,0.752,-0.000057063,-0.000059562,0.000015063
1573800601060,2019-11-15T14.50.01.060,0.791,-0.000056312,-0.000059562,0.000014687
1573800601100,2019-11-15T14.50.01.100,0.831,-0.000057063,-0.000061000,0.000015437
1573800601139,2019-11-15T14.50.01.139,0.870,-0.000056687,-0.000061000,0.000015063
1573800601179,2019-11-15T14.50.01.179,0.910,-0.000057063,-0.000059562,0.000014687
1573800601218,2019-11-15T14.50.01.218,0.949,-0.000055563,-0.000059875,0.000015437
1573800601258,2019-11-15T14.50.01.258,0.989,-0.000057438,-0.000059875,0.000014687
1573800601297,2019-11-15T14.50.01.297,1.028,-0.000055563,-0.000059875,0.000014687
1573800601337,2019-11-15T14.50.01.337,1.068,-0.000056312,-0.000059875,0.000014687
1573800601376,2019-11-15T14.50.01.376,1.107,-0.000055563,-0.000059187,0.000015063
1573800601416,2019-11-15T14.50.01.416,1.147,-0.000056312,-0.000059562,0.000015063
1573800601456,2019-11-15T14.50.01.456,1.187,-0.000057438,-0.000059187,0.000014687
1573800601495,2019-11-15T14.50.01.495,1.226,-0.000056687,-0.000061375,0.000015875
1573800601535,2019-11-15T14.50.01.535,1.266,-0.000056312,-0.000059562,0.000015437
1573800601573,2019-11-15T14.50.01.573,1.304,-0.000056312,-0.000059875,0.000015875
1573800601612,2019-11-15T14.50.01.612,1.343,-0.000055938,-0.000061750,0.000015437
1573800601652,2019-11-15T14.50.01.652,1.383,-0.000056687,-0.000060250,0.000015875
1573800601691,2019-11-15T14.50.01.691,1.422,-0.000056312,-0.000061750,0.000014687
1573800601731,2019-11-15T14.50.01.731,1.462,-0.000056312,-0.000060625,0.000015437
1573800601771,2019-11-15T14.50.01.771,1.502,-0.000056312,-0.000060250,0.000015875
1573800601810,2019-11-15T14.50.01.810,1.541,-0.000056312,-0.000060250,0.000015063
1573800601850,2019-11-15T14.50.01.850,1.581,-0.000057750,-0.000059875,0.000015437
1573800601889,2019-11-15T14.50.01.889,1.620,-0.000056312,-0.000061000,0.000015437
1573800601929,2019-11-15T14.50.01.929,1.660,-0.000057063,-0.000059875,0.000015875
1573800601970,2019-11-15T14.50.01.970,1.701,-0.000056687,-0.000060250,0.000015437
1573800602008,2019-11-15T14.50.02.008,1.739,-0.000055563,-0.000059875,0.000015063
1573800602047,2019-11-15T14.50.02.047,1.778,-0.000056312,-0.000059875,0.000015437
1573800602087,2019-11-15T14.50.02.087,1.818,-0.000057063,-0.000059875,0.000015437
1573800602126,2019-11-15T14.50.02.126,1.857,-0.000056312,-0.000061000,0.000015063
1573800602166,2019-11-15T14.50.02.166,1.897,-0.000055563,-0.000061750,0.000016250
1573800602206,2019-11-15T14.50.02.206,1.937,-0.000056687,-0.000059938,0.000015437
1573800602245,2019-11-15T14.50.02.245,1.976,-0.000055938,-0.000059938,0.000015437
1573800602285,2019-11-15T14.50.02.285,2.016,-0.000057063,-0.000061000,0.000014687
1573800602324,2019-11-15T14.50.02.324,2.055,-0.000057438,-0.000060250,0.000015063
1573800602364,2019-11-15T14.50.02.364,2.095,-0.000056687,-0.000060250,0.000015437
1573800602403,2019-11-15T14.50.02.403,2.134,-0.000056312,-0.000059938,0.000015875
1573800602443,2019-11-15T14.50.02.443,2.174,-0.000056312,-0.000059875,0.000015875
1573800602482,2019-11-15T14.50.02.482,2.213,-0.000055938,-0.000059562,0.000015437
1573800602522,2019-11-15T14.50.02.522,2.253,-0.000056312,-0.000059187,0.000015063
1573800602562,2019-11-15T14.50.02.562,2.293,-0.000056312,-0.000060250,0.000014687
1573800602601,2019-11-15T14.50.02.601,2.332,-0.000056687,-0.000059562,0.000015875
1573800602641,2019-11-15T14.50.02.641,2.372,-0.000055563,-0.000060250,0.000015437
1573800602680,2019-11-15T14.50.02.680,2.411,-0.000057750,-0.000061000,0.000015063
1573800602720,2019-11-15T14.50.02.720,2.451,-0.000055563,-0.000059875,0.000014687
1573800602759,2019-11-15T14.50.02.759,2.490,-0.000057063,-0.000059938,0.000014687
1573800602799,2019-11-15T14.50.02.799,2.530,-0.000056312,-0.000060250,0.000015063
1573800602838,2019-11-15T14.50.02.838,2.569,-0.000058125,-0.000060250,0.000015063
1573800602878,2019-11-15T14.50.02.878,2.609,-0.000055563,-0.000059187,0.000015063
1573800602917,2019-11-15T14.50.02.917,2.648,-0.000057063,-0.000059875,0.000015875
1573800602957,2019-11-15T14.50.02.957,2.688,-0.000056687,-0.000059562,0.000014687
1573800602997,2019-11-15T14.50.02.997,2.728,-0.000056687,-0.000059562,0.000013875
1573800603036,2019-11-15T14.50.03.036,2.767,-0.000056312,-0.000060250,0.000015437
1573800603076,2019-11-15T14.50.03.076,2.807,-0.000056687,-0.000059875,0.000015875
1573800603115,2019-11-15T14.50.03.115,2.846,-0.000055187,-0.000059875,0.000015063
1573800603155,2019-11-15T14.50.03.155,2.886,-0.000056312,-0.000060625,0.000015063
1573800603194,2019-11-15T14.50.03.194,2.925,-0.000056687,-0.000060625,0.000015875
1573800603234,2019-11-15T14.50.03.234,2.965,-0.000056312,-0.000060250,0.000015437
1573800603273,2019-11-15T14.50.03.273,3.004,-0.000057438,-0.000059562,0.000015063
1573800603313,2019-11-15T14.50.03.313,3.044,-0.000057063,-0.000060250,0.000015437
1573800603353,2019-11-15T14.50.03.353,3.084,-0.000056312,-0.000061000,0.000015437
1573800603392,2019-11-15T14.50.03.392,3.123,-0.000056312,-0.000058813,0.000015875
1573800603432,2019-11-15T14.50.03.432,3.163,-0.000057063,-0.000060625,0.000016250
1573800603471,2019-11-15T14.50.03.471,3.202,-0.000058125,-0.000061000,0.000015437
1573800603511,2019-11-15T14.50.03.511,3.242,-0.000055563,-0.000061000,0.000014687
1573800603550,2019-11-15T14.50.03.550,3.281,-0.000056687,-0.000060625,0.000015875
1573800603590,2019-11-15T14.50.03.590,3.321,-0.000055250,-0.000060250,0.000015063
1573800603629,2019-11-15T14.50.03.629,3.360,-0.000056687,-0.000060250,0.000015063
1573800603669,2019-11-15T14.50.03.669,3.400,-0.000056312,-0.000061375,0.000014687
1573800603708,2019-11-15T14.50.03.708,3.439,-0.000056312,-0.000060625,0.000016250
1573800603748,2019-11-15T14.50.03.748,3.479,-0.000056687,-0.000059562,0.000014687
1573800603788,2019-11-15T14.50.03.788,3.519,-0.000056312,-0.000060250,0.000015063
1573800603827,2019-11-15T14.50.03.827,3.558,-0.000056687,-0.000059562,0.000014687
1573800603867,2019-11-15T14.50.03.867,3.598,-0.000056312,-0.000059875,0.000016250
1573800603906,2019-11-15T14.50.03.906,3.637,-0.000055938,-0.000060250,0.000015437
1573800603946,2019-11-15T14.50.03.946,3.677,-0.000055563,-0.000059938,0.000016687
1573800603985,2019-11-15T14.50.03.985,3.716,-0.000057063,-0.000059562,0.000015063
1573800604023,2019-11-15T14.50.04.023,3.754,-0.000055563,-0.000060250,0.000015875
1573800604063,2019-11-15T14.50.04.063,3.794,-0.000056312,-0.000060250,0.000014687
1573800604103,2019-11-15T14.50.04.103,3.834,-0.000056312,-0.000061000,0.000014687
1573800604142,2019-11-15T14.50.04.142,3.873,-0.000056687,-0.000060250,0.000014250
1573800604182,2019-11-15T14.50.04.182,3.913,-0.000055938,-0.000060250,0.000014687
1573800604221,2019-11-15T14.50.04.221,3.952,-0.000057750,-0.000059938,0.000015063
1573800604261,2019-11-15T14.50.04.261,3.992,-0.000056312,-0.000059938,0.000015437
1573800604300,2019-11-15T14.50.04.300,4.031,-0.000055563,-0.000061000,0.000015063
