epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573800603711,2019-11-15T14.50.03.711,0.000,-0.000073000,-0.000001813,0.000010625
1573800603751,2019-11-15T14.50.03.751,0.040,-0.000075187,-0.000004313,0.000009438
1573800603789,2019-11-15T14.50.03.789,0.078,-0.000074500,-0.000002500,0.000009875
1573800603829,2019-11-15T14.50.03.829,0.118,-0.000075187,-0.000003250,0.000010250
1573800603868,2019-11-15T14.50.03.868,0.157,-0.000074125,-0.000002500,0.000010250
1573800603908,2019-11-15T14.50.03.908,0.197,-0.000074125,-0.000002500,0.000010250
1573800603947,2019-11-15T14.50.03.947,0.236,-0.000073375,-0.000003625,0.000009875
1573800603987,2019-11-15T14.50.03.987,0.276,-0.000074875,-0.000003625,0.000010250
1573800604026,2019-11-15T14.50.04.026,0.315,-0.000075563,-0.000002875,0.000010250
1573800604064,2019-11-15T14.50.04.064,0.353,-0.000073750,-0.000004313,0.000010250
1573800604104,2019-11-15T14.50.04.104,0.393,-0.000075187,-0.000005062,0.000010250
1573800604144,2019-11-15T14.50.04.144,0.433,-0.000075187,-0.000002500,0.000009875
1573800604183,2019-11-15T14.50.04.183,0.472,-0.000075187,-0.000002500,0.000010625
1573800604223,2019-11-15T14.50.04.223,0.512,-0.000074500,-0.000001438,0.000010250
1573800604262,2019-11-15T14.50.04.262,0.551,-0.000074500,-0.000003250,0.000011812
1573800604302,2019-11-15T14.50.04.302,0.591,-0.000075187,-0.000003250,0.000011062
1573800604340,2019-11-15T14.50.04.340,0.629,-0.000075187,-0.000003250,0.000009875
1573800604379,2019-11-15T14.50.04.379,0.668,-0.000074500,-0.000005438,0.000009875
1573800604419,2019-11-15T14.50.04.419,0.708,-0.000074875,-0.000003250,0.000009062
1573800604459,2019-11-15T14.50.04.459,0.748,-0.000076312,-0.000002125,0.000009438
1573800604498,2019-11-15T14.50.04.498,0.787,-0.000074125,-0.000003250,0.000009875
1573800604538,2019-11-15T14.50.04.538,0.827,-0.000074500,-0.000002125,0.000010250
1573800604577,2019-11-15T14.50.04.577,0.866,-0.000074875,-0.000002875,0.000011062
1573800604615,2019-11-15T14.50.04.615,0.904,-0.000074875,-0.000003625,0.000010625
1573800604655,2019-11-15T14.50.04.655,0.944,-0.000074500,-0.000003250,0.000009438
1573800604694,2019-11-15T14.50.04.694,0.983,-0.000074875,-0.000004313,0.000010250
1573800604734,2019-11-15T14.50.04.734,1.023,-0.000074500,-0.000002125,0.000010250
1573800604773,2019-11-15T14.50.04.773,1.062,-0.000074875,-0.000003250,0.000010250
1573800604813,2019-11-15T14.50.04.813,1.102,-0.000075187,-0.000002500,0.000010250
1573800604853,2019-11-15T14.50.04.853,1.142,-0.000075187,-0.000002500,0.000009062
1573800604891,2019-11-15T14.50.04.891,1.180,-0.000075187,-0.000002875,0.000009875
1573800604930,2019-11-15T14.50.04.930,1.219,-0.000074500,-0.000002875,0.000011062
1573800604970,2019-11-15T14.50.04.970,1.259,-0.000074125,-0.000003625,0.000009875
1573800605009,2019-11-15T14.50.05.009,1.298,-0.000075563,-0.000005062,0.000010250
1573800605049,2019-11-15T14.50.05.049,1.338,-0.000075563,-0.000003250,0.000010250
1573800605088,2019-11-15T14.50.05.088,1.377,-0.000074500,-0.000002125,0.000010625
1573800605128,2019-11-15T14.50.05.128,1.417,-0.000075938,-0.000002500,0.000009875
1573800605166,2019-11-15T14.50.05.166,1.455,-0.000075187,-0.000002875,0.000010625
1573800605206,2019-11-15T14.50.05.206,1.495,-0.000074875,-0.000004688,0.000009875
1573800605245,2019-11-15T14.50.05.245,1.534,-0.000074875,-0.000001813,0.000009438
1573800605285,2019-11-15T14.50.05.285,1.574,-0.000074125,-0.000003625,0.000009438
1573800605324,2019-11-15T14.50.05.324,1.613,-0.000075563,-0.000002125,0.000010250
1573800605364,2019-11-15T14.50.05.364,1.653,-0.000075563,-0.000003625,0.000010250
1573800605403,2019-11-15T14.50.05.403,1.692,-0.000075187,-0.000001063,0.000010250
1573800605443,2019-11-15T14.50.05.443,1.732,-0.000074125,-0.000005438,0.000010625
1573800605481,2019-11-15T14.50.05.481,1.770,-0.000075187,-0.000002500,0.000010625
1573800605521,2019-11-15T14.50.05.521,1.810,-0.000073750,-0.000002875,0.000009875
1573800605560,2019-11-15T14.50.05.560,1.849,-0.000074875,-0.000003250,0.000009875
1573800605600,2019-11-15T14.50.05.600,1.889,-0.000076312,-0.000002125,0.000010250
1573800605639,2019-11-15T14.50.05.639,1.928,-0.000074875,-0.000003250,0.000010250
1573800605679,2019-11-15T14.50.05.679,1.968,-0.000074875,-0.000003250,0.000011812
1573800605718,2019-11-15T14.50.05.718,2.007,-0.000075187,-0.000004688,0.000009875
1573800605756,2019-11-15T14.50.05.756,2.045,-0.000075187,-0.000002875,0.000009875
1573800605796,2019-11-15T14.50.05.796,2.085,-0.000074875,-0.000002500,0.000009875
1573800605835,2019-11-15T14.50.05.835,2.124,-0.000074875,-0.000003937,0.000009875
1573800605875,2019-11-15T14.50.05.875,2.164,-0.000074875,-0.000001813,0.000009875
1573800605915,2019-11-15T14.50.05.915,2.204,-0.000074875,-0.000002875,0.000009062
1573800605954,2019-11-15T14.50.05.954,2.243,-0.000076312,-0.000004313,0.000010625
1573800605994,2019-11-15T14.50.05.994,2.283,-0.000074500,-0.000001063,0.000009875
1573800606032,2019-11-15T14.50.06.032,2.321,-0.000074875,-0.000003250,0.000010625
1573800606071,2019-11-15T14.50.06.071,2.360,-0.000074875,-0.000002875,0.000010625
1573800606111,2019-11-15T14.50.06.111,2.400,-0.000074875,-0.000001438,0.000009875
1573800606150,2019-11-15T14.50.06.150,2.439,-0.000074500,-0.000002875,0.000009875
1573800606190,2019-11-15T14.50.06.190,2.479,-0.000074875,-0.000001813,0.000010250
1573800606230,2019-11-15T14.50.06.230,2.519,-0.000076312,-0.000002500,0.000009062
1573800606269,2019-11-15T14.50.06.269,2.558,-0.000075563,-0.000003625,0.000010625
1573800606309,2019-11-15T14.50.06.309,2.598,-0.000074500,-0.000004688,0.000010250
1573800606347,2019-11-15T14.50.06.347,2.636,-0.000074875,-0.000003250,0.000009875
1573800606386,2019-11-15T14.50.06.386,2.675,-0.000075187,-0.000002125,0.000010625
1573800606426,2019-11-15T14.50.06.426,2.715,-0.000075187,0.000000000,0.000009875
1573800606465,2019-11-15T14.50.06.465,2.754,-0.000075938,-0.000003625,0.000008687
1573800606505,2019-11-15T14.50.06.505,2.794,-0.000074875,-0.000002500,0.000009875
1573800606544,2019-11-15T14.50.06.544,2.833,-0.000074500,-0.000002500,0.000009875
1573800606584,2019-11-15T14.50.06.584,2.873,-0.000075563,-0.000004313,0.000009438
1573800606622,2019-11-15T14.50.06.622,2.911,-0.000075250,-0.000002125,0.000010250
1573800606662,2019-11-15T14.50.06.662,2.951,-0.000074875,-0.000003625,0.000011437
1573800606701,2019-11-15T14.50.06.701,2.990,-0.000075563,-0.000002875,0.000009875
1573800606741,2019-11-15T14.50.06.741,3.030,-0.000074875,-0.000002875,0.000009875
1573800606780,2019-11-15T14.50.06.780,3.069,-0.000074875,-0.000002125,0.000009875
1573800606820,2019-11-15T14.50.06.820,3.109,-0.000074875,-0.000003937,0.000009438
1573800606859,2019-11-15T14.50.06.859,3.148,-0.000073375,-0.000001813,0.000009875
1573800606898,2019-11-15T14.50.06.898,3.187,-0.000074125,-0.000003937,0.000010625
1573800606937,2019-11-15T14.50.06.937,3.226,-0.000075187,-0.000002500,0.000012250
1573800606977,2019-11-15T14.50.06.977,3.266,-0.000075250,-0.000002875,0.000010250
1573800607016,2019-11-15T14.50.07.016,3.305,-0.000074875,-0.000002125,0.000009438
1573800607056,2019-11-15T14.50.07.056,3.345,-0.000074500,-0.000003250,0.000010250
1573800607095,2019-11-15T14.50.07.095,3.384,-0.000074875,-0.000002875,0.000009438
1573800607135,2019-11-15T14.50.07.135,3.424,-0.000074500,-0.000003937,0.000010250
1573800607173,2019-11-15T14.50.07.173,3.462,-0.000074875,-0.000003250,0.000011062
1573800607212,2019-11-15T14.50.07.212,3.501,-0.000075563,-0.000002500,0.000009875
1573800607252,2019-11-15T14.50.07.252,3.541,-0.000074875,-0.000002125,0.000009875
1573800607292,2019-11-15T14.50.07.292,3.581,-0.000074500,-0.000003250,0.000010250
1573800607331,2019-11-15T14.50.07.331,3.620,-0.000074875,-0.000002875,0.000010625
1573800607371,2019-11-15T14.50.07.371,3.660,-0.000075250,-0.000003625,0.000009875
1573800607410,2019-11-15T14.50.07.410,3.699,-0.000075187,-0.000002875,0.000009875
1573800607448,2019-11-15T14.50.07.448,3.737,-0.000074125,-0.000005438,0.000010250
1573800607488,2019-11-15T14.50.07.488,3.777,-0.000074875,-0.000002875,0.000011437
1573800607527,2019-11-15T14.50.07.527,3.816,-0.000074500,-0.000002875,0.000009875
1573800607567,2019-11-15T14.50.07.567,3.856,-0.000075250,-0.000002500,0.000010250
1573800607606,2019-11-15T14.50.07.606,3.895,-0.000074125,-0.000002500,0.000010250
1573800607646,2019-11-15T14.50.07.646,3.935,-0.000075187,-0.000002500,0.000009875
1573800607686,2019-11-15T14.50.07.686,3.975,-0.000074875,-0.000003250,0.000010625
1573800607724,2019-11-15T14.50.07.724,4.013,-0.000074500,-0.000003250,0.000009875
1573800607763,2019-11-15T14.50.07.763,4.052,-0.000075250,-0.000002125,0.000009875
1573800607803,2019-11-15T14.50.07.803,4.092,-0.000075563,-0.000002125,0.000009438
1573800607842,2019-11-15T14.50.07.842,4.131,-0.000076312,-0.000002500,0.000009875
1573800607882,2019-11-15T14.50.07.882,4.171,-0.000074500,-0.000004313,0.000011437
1573800607921,2019-11-15T14.50.07.921,4.210,-0.000074875,-0.000003250,0.000009875
1573800607961,2019-11-15T14.50.07.961,4.250,-0.000075187,-0.000002875,0.000009875
1573800607999,2019-11-15T14.50.07.999,4.288,-0.000074875,-0.000003625,0.000011062
1573800608039,2019-11-15T14.50.08.039,4.328,-0.000076312,-0.000001813,0.000009875
1573800608078,2019-11-15T14.50.08.078,4.367,-0.000075938,-0.000002500,0.000010250
1573800608118,2019-11-15T14.50.08.118,4.407,-0.000075563,-0.000003937,0.000010625
1573800608157,2019-11-15T14.50.08.157,4.446,-0.000074500,-0.000002125,0.000010250
1573800608197,2019-11-15T14.50.08.197,4.486,-0.000075187,-0.000002500,0.000010250
1573800608236,2019-11-15T14.50.08.236,4.525,-0.000075187,-0.000002875,0.000011437
1573800608274,2019-11-15T14.50.08.274,4.563,-0.000074500,-0.000002500,0.000010625
1573800608314,2019-11-15T14.50.08.314,4.603,-0.000075938,-0.000003937,0.000010625
1573800608354,2019-11-15T14.50.08.354,4.643,-0.000073375,-0.000002125,0.000009875
1573800608393,2019-11-15T14.50.08.393,4.682,-0.000075938,-0.000002125,0.000009875
1573800608433,2019-11-15T14.50.08.433,4.722,-0.000074500,-0.000003937,0.000009875
1573800608472,2019-11-15T14.50.08.472,4.761,-0.000074500,-0.000003937,0.000011437
1573800608512,2019-11-15T14.50.08.512,4.801,-0.000074125,-0.000003625,0.000010250
1573800608550,2019-11-15T14.50.08.550,4.839,-0.000075187,-0.000002500,0.000009438
1573800608589,2019-11-15T14.50.08.589,4.878,-0.000074125,-0.000002875,0.000009438
1573800608629,2019-11-15T14.50.08.629,4.918,-0.000074875,-0.000002125,0.000009438
1573800608668,2019-11-15T14.50.08.668,4.957,-0.000075250,-0.000002875,0.000010250
1573800608708,2019-11-15T14.50.08.708,4.997,-0.000074500,-0.000002875,0.000009875
1573800608748,2019-11-15T14.50.08.748,5.037,-0.000074500,-0.000003625,0.000009875
1573800608787,2019-11-15T14.50.08.787,5.076,-0.000074875,-0.000002500,0.000009875
1573800608825,2019-11-15T14.50.08.825,5.114,-0.000074500,-0.000002500,0.000010250
1573800608865,2019-11-15T14.50.08.865,5.154,-0.000074500,-0.000002125,0.000010250
1573800608904,2019-11-15T14.50.08.904,5.193,-0.000073750,-0.000003250,0.000010625
1573800608944,2019-11-15T14.50.08.944,5.233,-0.000073750,-0.000004313,0.000009438
1573800608983,2019-11-15T14.50.08.983,5.272,-0.000074875,-0.000003625,0.000010250
1573800609023,2019-11-15T14.50.09.023,5.312,-0.000075563,-0.000004313,0.000009875
1573800609063,2019-11-15T14.50.09.063,5.352,-0.000075563,-0.000002875,0.000009875
1573800609101,2019-11-15T14.50.09.101,5.390,-0.000074500,-0.000002875,0.000010250
1573800609140,2019-11-15T14.50.09.140,5.429,-0.000074875,-0.000004313,0.000010250
1573800609180,2019-11-15T14.50.09.180,5.469,-0.000074500,-0.000001813,0.000010625
1573800609219,2019-11-15T14.50.09.219,5.508,-0.000074875,-0.000002875,0.000010250
1573800609259,2019-11-15T14.50.09.259,5.548,-0.000074875,-0.000002125,0.000010250
1573800609298,2019-11-15T14.50.09.298,5.587,-0.000074125,-0.000003625,0.000009438
1573800609338,2019-11-15T14.50.09.338,5.627,-0.000076312,-0.000003250,0.000011062
1573800609376,2019-11-15T14.50.09.376,5.665,-0.000075250,-0.000003250,0.000010625
1573800609416,2019-11-15T14.50.09.416,5.705,-0.000074125,-0.000003937,0.000009875
1573800609455,2019-11-15T14.50.09.455,5.744,-0.000074875,-0.000003250,0.000011437
1573800609495,2019-11-15T14.50.09.495,5.784,-0.000074875,-0.000001813,0.000011062
1573800609534,2019-11-15T14.50.09.534,5.823,-0.000074500,-0.000001063,0.000009062
1573800609574,2019-11-15T14.50.09.574,5.863,-0.000074875,-0.000001813,0.000009438
1573800609613,2019-11-15T14.50.09.613,5.902,-0.000074500,-0.000003625,0.000009875
1573800609651,2019-11-15T14.50.09.651,5.940,-0.000073750,-0.000002125,0.000009875
1573800609691,2019-11-15T14.50.09.691,5.980,-0.000074500,-0.000002875,0.000011437
1573800609731,2019-11-15T14.50.09.731,6.020,-0.000075938,-0.000003250,0.000011062
1573800609770,2019-11-15T14.50.09.770,6.059,-0.000075938,-0.000002875,0.000009875
1573800609810,2019-11-15T14.50.09.810,6.099,-0.000075938,-0.000001813,0.000009438
1573800609849,2019-11-15T14.50.09.849,6.138,-0.000074500,-0.000003937,0.000009438
1573800609889,2019-11-15T14.50.09.889,6.178,-0.000075250,-0.000003250,0.000010625
1573800609927,2019-11-15T14.50.09.927,6.216,-0.000074875,-0.000002500,0.000010250
1573800609966,2019-11-15T14.50.09.966,6.255,-0.000076312,-0.000002125,0.000010625
1573800610006,2019-11-15T14.50.10.006,6.295,-0.000074500,-0.000002125,0.000011437
1573800610045,2019-11-15T14.50.10.045,6.334,-0.000074500,-0.000003937,0.000010625
1573800610085,2019-11-15T14.50.10.085,6.374,-0.000075938,-0.000003625,0.000009062
1573800610125,2019-11-15T14.50.10.125,6.414,-0.000074875,-0.000002500,0.000010250
1573800610164,2019-11-15T14.50.10.164,6.453,-0.000074500,-0.000001063,0.000010250
1573800610202,2019-11-15T14.50.10.202,6.491,-0.000075187,-0.000003937,0.000009875
1573800610242,2019-11-15T14.50.10.242,6.531,-0.000074875,-0.000002125,0.000009875
1573800610281,2019-11-15T14.50.10.281,6.570,-0.000074500,-0.000003250,0.000010250
1573800610321,2019-11-15T14.50.10.321,6.610,-0.000076312,-0.000005062,0.000009438
1573800610360,2019-11-15T14.50.10.360,6.649,-0.000075563,-0.000003625,0.000010625
1573800610400,2019-11-15T14.50.10.400,6.689,-0.000074875,-0.000003250,0.000010625
1573800610439,2019-11-15T14.50.10.439,6.728,-0.000075187,-0.000002125,0.000011062
1573800610478,2019-11-15T14.50.10.478,6.767,-0.000074875,-0.000002875,0.000010625
1573800610517,2019-11-15T14.50.10.517,6.806,-0.000074500,-0.000001813,0.000010250
1573800610557,2019-11-15T14.50.10.557,6.846,-0.000074500,-0.000003625,0.000009438
1573800610596,2019-11-15T14.50.10.596,6.885,-0.000075187,-0.000003937,0.000010250
1573800610636,2019-11-15T14.50.10.636,6.925,-0.000075563,-0.000003937,0.000009438
1573800610675,2019-11-15T14.50.10.675,6.964,-0.000074500,-0.000001438,0.000010625
1573800610715,2019-11-15T14.50.10.715,7.004,-0.000074875,-0.000002875,0.000008687
1573800610753,2019-11-15T14.50.10.753,7.042,-0.000075563,-0.000003625,0.000010625
1573800610793,2019-11-15T14.50.10.793,7.082,-0.000074500,-0.000001813,0.000010250
1573800610832,2019-11-15T14.50.10.832,7.121,-0.000073750,-0.000002500,0.000009875
