epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1573804976144,2019-11-15T16.02.56.144,0.000,0.064,0.909,-0.236
1573804976154,2019-11-15T16.02.56.154,0.010,0.065,0.915,-0.240
1573804976165,2019-11-15T16.02.56.165,0.021,0.058,0.915,-0.239
1573804976175,2019-11-15T16.02.56.175,0.031,0.063,0.915,-0.235
1573804976184,2019-11-15T16.02.56.184,0.040,0.065,0.917,-0.235
1573804976194,2019-11-15T16.02.56.194,0.050,0.062,0.917,-0.235
1573804976204,2019-11-15T16.02.56.204,0.060,0.061,0.919,-0.238
1573804976214,2019-11-15T16.02.56.214,0.070,0.063,0.917,-0.237
1573804976225,2019-11-15T16.02.56.225,0.081,0.064,0.917,-0.237
1573804976233,2019-11-15T16.02.56.233,0.089,0.062,0.914,-0.243
1573804976244,2019-11-15T16.02.56.244,0.100,0.064,0.915,-0.240
1573804976254,2019-11-15T16.02.56.254,0.110,0.062,0.918,-0.236
1573804976264,2019-11-15T16.02.56.264,0.120,0.064,0.917,-0.236
1573804976273,2019-11-15T16.02.56.273,0.129,0.066,0.918,-0.237
1573804976283,2019-11-15T16.02.56.283,0.139,0.061,0.917,-0.239
1573804976294,2019-11-15T16.02.56.294,0.150,0.054,0.916,-0.239
1573804976304,2019-11-15T16.02.56.304,0.160,0.060,0.917,-0.241
1573804976314,2019-11-15T16.02.56.314,0.170,0.064,0.915,-0.239
1573804976323,2019-11-15T16.02.56.323,0.179,0.055,0.916,-0.240
1573804976333,2019-11-15T16.02.56.333,0.189,0.064,0.916,-0.239
1573804976343,2019-11-15T16.02.56.343,0.199,0.066,0.918,-0.238
1573804976354,2019-11-15T16.02.56.354,0.210,0.063,0.915,-0.238
1573804976362,2019-11-15T16.02.56.362,0.218,0.064,0.917,-0.237
1573804976373,2019-11-15T16.02.56.373,0.229,0.062,0.915,-0.243
1573804976383,2019-11-15T16.02.56.383,0.239,0.059,0.915,-0.240
1573804976393,2019-11-15T16.02.56.393,0.249,0.061,0.916,-0.239
1573804976403,2019-11-15T16.02.56.403,0.259,0.057,0.914,-0.242
1573804976412,2019-11-15T16.02.56.412,0.268,0.057,0.912,-0.239
1573804976422,2019-11-15T16.02.56.422,0.278,0.059,0.920,-0.236
1573804976433,2019-11-15T16.02.56.433,0.289,0.059,0.918,-0.235
1573804976443,2019-11-15T16.02.56.443,0.299,0.062,0.916,-0.236
1573804976452,2019-11-15T16.02.56.452,0.308,0.058,0.914,-0.239
1573804976462,2019-11-15T16.02.56.462,0.318,0.065,0.915,-0.237
1573804976472,2019-11-15T16.02.56.472,0.328,0.067,0.919,-0.235
1573804976482,2019-11-15T16.02.56.482,0.338,0.065,0.919,-0.235
1573804976491,2019-11-15T16.02.56.491,0.347,0.065,0.913,-0.234
1573804976502,2019-11-15T16.02.56.502,0.358,0.061,0.914,-0.236
1573804976512,2019-11-15T16.02.56.512,0.368,0.061,0.915,-0.238
1573804976522,2019-11-15T16.02.56.522,0.378,0.059,0.917,-0.241
1573804976532,2019-11-15T16.02.56.532,0.388,0.061,0.920,-0.238
1573804976541,2019-11-15T16.02.56.541,0.397,0.063,0.916,-0.241
1573804976551,2019-11-15T16.02.56.551,0.407,0.060,0.917,-0.236
1573804976562,2019-11-15T16.02.56.562,0.418,0.063,0.912,-0.237
1573804976572,2019-11-15T16.02.56.572,0.428,0.067,0.915,-0.240
1573804976581,2019-11-15T16.02.56.581,0.437,0.065,0.917,-0.240
1573804976591,2019-11-15T16.02.56.591,0.447,0.058,0.914,-0.240
1573804976601,2019-11-15T16.02.56.601,0.457,0.056,0.917,-0.238
1573804976611,2019-11-15T16.02.56.611,0.467,0.059,0.919,-0.238
1573804976622,2019-11-15T16.02.56.622,0.478,0.062,0.917,-0.241
1573804976630,2019-11-15T16.02.56.630,0.486,0.059,0.915,-0.243
1573804976641,2019-11-15T16.02.56.641,0.497,0.063,0.914,-0.238
1573804976651,2019-11-15T16.02.56.651,0.507,0.062,0.915,-0.239
1573804976661,2019-11-15T16.02.56.661,0.517,0.061,0.914,-0.239
1573804976670,2019-11-15T16.02.56.670,0.526,0.058,0.917,-0.238
1573804976680,2019-11-15T16.02.56.680,0.536,0.061,0.918,-0.239
1573804976690,2019-11-15T16.02.56.690,0.546,0.059,0.917,-0.237
1573804976701,2019-11-15T16.02.56.701,0.557,0.062,0.915,-0.240
1573804976711,2019-11-15T16.02.56.711,0.567,0.061,0.914,-0.244
1573804976720,2019-11-15T16.02.56.720,0.576,0.060,0.917,-0.242
1573804976730,2019-11-15T16.02.56.730,0.586,0.059,0.917,-0.241
1573804976740,2019-11-15T16.02.56.740,0.596,0.057,0.920,-0.236
1573804976751,2019-11-15T16.02.56.751,0.607,0.063,0.916,-0.240
1573804976759,2019-11-15T16.02.56.759,0.615,0.062,0.915,-0.239
1573804976770,2019-11-15T16.02.56.770,0.626,0.064,0.916,-0.238
1573804976780,2019-11-15T16.02.56.780,0.636,0.061,0.914,-0.242
1573804976790,2019-11-15T16.02.56.790,0.646,0.057,0.917,-0.242
1573804976799,2019-11-15T16.02.56.799,0.655,0.060,0.917,-0.236
1573804976809,2019-11-15T16.02.56.809,0.665,0.062,0.917,-0.241
1573804976819,2019-11-15T16.02.56.819,0.675,0.061,0.916,-0.243
1573804976830,2019-11-15T16.02.56.830,0.686,0.058,0.913,-0.240
1573804976840,2019-11-15T16.02.56.840,0.696,0.061,0.914,-0.238
1573804976849,2019-11-15T16.02.56.849,0.705,0.057,0.917,-0.236
1573804976859,2019-11-15T16.02.56.859,0.715,0.057,0.918,-0.240
1573804976869,2019-11-15T16.02.56.869,0.725,0.058,0.919,-0.240
1573804976879,2019-11-15T16.02.56.879,0.735,0.058,0.917,-0.241
1573804976888,2019-11-15T16.02.56.888,0.744,0.059,0.912,-0.243
1573804976898,2019-11-15T16.02.56.898,0.754,0.060,0.909,-0.240
