epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1573804976154,2019-11-15T16.02.56.154,0.000,0.244,-0.549,0.854
1573804976165,2019-11-15T16.02.56.165,0.011,0.427,-0.549,-1.585
1573804976175,2019-11-15T16.02.56.175,0.021,0.305,-0.610,-0.793
1573804976185,2019-11-15T16.02.56.185,0.031,0.244,-0.732,-0.122
1573804976194,2019-11-15T16.02.56.194,0.040,0.244,-0.671,-0.305
1573804976204,2019-11-15T16.02.56.204,0.050,0.427,-0.610,-0.305
1573804976214,2019-11-15T16.02.56.214,0.060,0.549,-0.610,-0.427
1573804976225,2019-11-15T16.02.56.225,0.071,0.671,-0.549,-0.427
1573804976233,2019-11-15T16.02.56.233,0.079,0.732,-0.549,-0.549
1573804976244,2019-11-15T16.02.56.244,0.090,0.732,-0.488,-0.671
1573804976254,2019-11-15T16.02.56.254,0.100,0.732,-0.488,-0.610
1573804976264,2019-11-15T16.02.56.264,0.110,0.610,-0.488,-0.610
1573804976273,2019-11-15T16.02.56.273,0.119,0.671,-0.427,-0.610
1573804976283,2019-11-15T16.02.56.283,0.129,0.915,-0.366,-0.610
1573804976294,2019-11-15T16.02.56.294,0.140,0.732,-0.305,-0.549
1573804976304,2019-11-15T16.02.56.304,0.150,0.549,-0.244,-0.488
1573804976314,2019-11-15T16.02.56.314,0.160,0.549,-0.183,-0.488
1573804976323,2019-11-15T16.02.56.323,0.169,0.427,-0.061,-0.549
1573804976333,2019-11-15T16.02.56.333,0.179,0.305,0.000,-0.610
1573804976343,2019-11-15T16.02.56.343,0.189,0.488,0.122,-0.549
1573804976354,2019-11-15T16.02.56.354,0.200,0.549,0.000,-0.732
1573804976362,2019-11-15T16.02.56.362,0.208,0.854,-0.061,-0.793
1573804976373,2019-11-15T16.02.56.373,0.219,0.915,-0.061,-0.854
1573804976383,2019-11-15T16.02.56.383,0.229,0.671,0.122,-0.915
1573804976393,2019-11-15T16.02.56.393,0.239,0.366,0.183,-0.915
1573804976403,2019-11-15T16.02.56.403,0.249,0.244,0.183,-0.793
1573804976412,2019-11-15T16.02.56.412,0.258,0.122,0.244,-0.854
1573804976422,2019-11-15T16.02.56.422,0.268,-0.183,0.366,-0.793
