epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1573805122830,2019-11-15T16.05.22.830,0.000,-0.183,0.122,-0.732
1573805122841,2019-11-15T16.05.22.841,0.011,0.122,-0.061,-0.854
1573805122851,2019-11-15T16.05.22.851,0.021,0.122,0.244,-0.549
1573805122861,2019-11-15T16.05.22.861,0.031,0.122,0.244,-0.488
1573805122871,2019-11-15T16.05.22.871,0.041,0.183,0.244,-0.488
1573805122882,2019-11-15T16.05.22.882,0.052,0.000,0.061,-0.366
1573805122892,2019-11-15T16.05.22.892,0.062,-0.244,-0.122,-0.244
1573805122901,2019-11-15T16.05.22.901,0.071,-0.061,0.183,-0.305
1573805122911,2019-11-15T16.05.22.911,0.081,0.061,0.305,-0.366
1573805122921,2019-11-15T16.05.22.921,0.091,-0.122,0.061,-0.427
1573805122931,2019-11-15T16.05.22.931,0.101,0.000,0.366,-0.549
1573805122942,2019-11-15T16.05.22.942,0.112,0.122,0.427,-0.610
1573805122952,2019-11-15T16.05.22.952,0.122,-0.061,0.061,-0.549
1573805122962,2019-11-15T16.05.22.962,0.132,-0.061,0.244,-0.427
1573805122972,2019-11-15T16.05.22.972,0.142,0.000,0.549,-0.427
1573805122983,2019-11-15T16.05.22.983,0.153,-0.122,0.549,-0.488
1573805122993,2019-11-15T16.05.22.993,0.163,-0.122,0.427,-0.244
1573805123003,2019-11-15T16.05.23.003,0.173,-0.183,0.366,-0.122
1573805123013,2019-11-15T16.05.23.013,0.183,-0.183,-0.061,0.061
1573805123022,2019-11-15T16.05.23.022,0.192,-0.244,-0.427,0.122
1573805123033,2019-11-15T16.05.23.033,0.203,-0.244,-0.976,0.183
1573805123043,2019-11-15T16.05.23.043,0.213,-0.244,-0.671,0.000
1573805123053,2019-11-15T16.05.23.053,0.223,-0.061,-0.549,-0.305
1573805123063,2019-11-15T16.05.23.063,0.233,0.122,0.061,-0.610
1573805123074,2019-11-15T16.05.23.074,0.244,0.183,0.488,-0.793
1573805123084,2019-11-15T16.05.23.084,0.254,0.427,0.671,-0.854
1573805123094,2019-11-15T16.05.23.094,0.264,0.305,0.793,-0.732
1573805123104,2019-11-15T16.05.23.104,0.274,0.122,0.183,-0.549
1573805123115,2019-11-15T16.05.23.115,0.285,0.061,-0.244,-0.427
1573805123125,2019-11-15T16.05.23.125,0.295,0.000,0.000,-0.305
1573805123134,2019-11-15T16.05.23.134,0.304,-0.305,-0.244,-0.427
1573805123144,2019-11-15T16.05.23.144,0.314,-0.305,-0.610,-0.549
1573805123154,2019-11-15T16.05.23.154,0.324,0.000,-0.061,-0.732
1573805123164,2019-11-15T16.05.23.164,0.334,0.244,0.793,-1.159
1573805123175,2019-11-15T16.05.23.175,0.345,0.366,1.341,-1.402
1573805123185,2019-11-15T16.05.23.185,0.355,0.305,1.098,-1.463
1573805123195,2019-11-15T16.05.23.195,0.365,0.244,0.854,-1.402
1573805123205,2019-11-15T16.05.23.205,0.375,0.244,0.732,-1.341
1573805123216,2019-11-15T16.05.23.216,0.386,0.183,0.366,-1.402
1573805123226,2019-11-15T16.05.23.226,0.396,0.244,0.549,-1.341
1573805123236,2019-11-15T16.05.23.236,0.406,0.427,0.976,-1.463
1573805123245,2019-11-15T16.05.23.245,0.415,0.427,0.549,-1.524
1573805123255,2019-11-15T16.05.23.255,0.425,0.305,0.122,-1.463
1573805123265,2019-11-15T16.05.23.265,0.435,0.305,0.671,-1.402
1573805123276,2019-11-15T16.05.23.276,0.446,0.305,1.098,-1.402
1573805123286,2019-11-15T16.05.23.286,0.456,0.305,0.915,-1.463
1573805123296,2019-11-15T16.05.23.296,0.466,0.183,1.037,-1.220
1573805123306,2019-11-15T16.05.23.306,0.476,0.122,1.037,-1.037
1573805123317,2019-11-15T16.05.23.317,0.487,0.000,0.366,-0.793
1573805123327,2019-11-15T16.05.23.327,0.497,-0.183,-0.183,-0.610
1573805123337,2019-11-15T16.05.23.337,0.507,-0.244,-0.427,-0.732
1573805123347,2019-11-15T16.05.23.347,0.517,0.000,-0.305,-0.793
1573805123356,2019-11-15T16.05.23.356,0.526,0.061,-0.061,-0.732
1573805123367,2019-11-15T16.05.23.367,0.537,0.061,0.183,-0.671
1573805123377,2019-11-15T16.05.23.377,0.547,0.000,0.183,-0.610
1573805123387,2019-11-15T16.05.23.387,0.557,0.000,0.305,-0.610
1573805123397,2019-11-15T16.05.23.397,0.567,-0.061,0.244,-0.488
1573805123408,2019-11-15T16.05.23.408,0.578,-0.244,-0.427,-0.305
1573805123418,2019-11-15T16.05.23.418,0.588,-0.183,-0.671,-0.244
1573805123428,2019-11-15T16.05.23.428,0.598,0.000,-0.793,-0.244
1573805123438,2019-11-15T16.05.23.438,0.608,-0.061,-0.671,-0.305
1573805123449,2019-11-15T16.05.23.449,0.619,0.000,-0.061,-0.488
1573805123457,2019-11-15T16.05.23.457,0.627,0.061,0.000,-0.732
1573805123468,2019-11-15T16.05.23.468,0.638,0.061,-0.366,-0.793
