epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573800882587,2019-11-15T14.54.42.587,0.000,0.000006500,0.000040750,-0.000027063
1573800882627,2019-11-15T14.54.42.627,0.040,0.000005438,0.000039313,-0.000026625
1573800882665,2019-11-15T14.54.42.665,0.078,0.000006875,0.000038938,-0.000027063
1573800882704,2019-11-15T14.54.42.704,0.117,0.000004688,0.000038562,-0.000026625
1573800882744,2019-11-15T14.54.42.744,0.157,0.000007250,0.000038938,-0.000026250
1573800882783,2019-11-15T14.54.42.783,0.196,0.000005813,0.000038938,-0.000027813
1573800882821,2019-11-15T14.54.42.821,0.234,0.000006125,0.000038187,-0.000028250
1573800882861,2019-11-15T14.54.42.861,0.274,0.000006125,0.000038562,-0.000026250
1573800882900,2019-11-15T14.54.42.900,0.313,0.000005813,0.000039313,-0.000027437
1573800882940,2019-11-15T14.54.42.940,0.353,0.000005062,0.000038562,-0.000026625
1573800882978,2019-11-15T14.54.42.978,0.391,0.000006500,0.000039313,-0.000026250
1573800883018,2019-11-15T14.54.43.018,0.431,0.000005062,0.000038938,-0.000026625
1573800883057,2019-11-15T14.54.43.057,0.470,0.000005813,0.000038562,-0.000026250
1573800883097,2019-11-15T14.54.43.097,0.510,0.000005062,0.000040375,-0.000026687
1573800883135,2019-11-15T14.54.43.135,0.548,0.000006500,0.000038562,-0.000026250
1573800883174,2019-11-15T14.54.43.174,0.587,0.000006500,0.000038938,-0.000026250
1573800883214,2019-11-15T14.54.43.214,0.627,0.000005062,0.000039313,-0.000026687
1573800883253,2019-11-15T14.54.43.253,0.666,0.000005438,0.000038938,-0.000026250
1573800883293,2019-11-15T14.54.43.293,0.706,0.000004313,0.000040062,-0.000027437
1573800883331,2019-11-15T14.54.43.331,0.744,0.000005813,0.000038562,-0.000026625
1573800883371,2019-11-15T14.54.43.371,0.784,0.000005062,0.000039313,-0.000026250
1573800883410,2019-11-15T14.54.43.410,0.823,0.000006125,0.000038938,-0.000027063
1573800883450,2019-11-15T14.54.43.450,0.863,0.000005813,0.000038562,-0.000026250
1573800883488,2019-11-15T14.54.43.488,0.901,0.000005438,0.000039313,-0.000026250
1573800883527,2019-11-15T14.54.43.527,0.940,0.000006500,0.000038250,-0.000026687
1573800883567,2019-11-15T14.54.43.567,0.980,0.000006125,0.000038562,-0.000026250
1573800883607,2019-11-15T14.54.43.607,1.020,0.000005438,0.000038562,-0.000026250
1573800883645,2019-11-15T14.54.43.645,1.058,0.000004688,0.000038938,-0.000025438
1573800883684,2019-11-15T14.54.43.684,1.097,0.000005438,0.000038938,-0.000026687
1573800883724,2019-11-15T14.54.43.724,1.137,0.000005813,0.000037875,-0.000027437
1573800883763,2019-11-15T14.54.43.763,1.176,0.000006500,0.000039688,-0.000025875
1573800883801,2019-11-15T14.54.43.801,1.214,0.000006125,0.000039688,-0.000026625
1573800883841,2019-11-15T14.54.43.841,1.254,0.000005438,0.000039688,-0.000027063
1573800883880,2019-11-15T14.54.43.880,1.293,0.000005438,0.000039688,-0.000026250
1573800883920,2019-11-15T14.54.43.920,1.333,0.000005062,0.000038938,-0.000025500
1573800883960,2019-11-15T14.54.43.960,1.373,0.000006125,0.000038250,-0.000025875
1573800883998,2019-11-15T14.54.43.998,1.411,0.000006125,0.000038938,-0.000025875
1573800884037,2019-11-15T14.54.44.037,1.450,0.000006125,0.000039313,-0.000026250
1573800884077,2019-11-15T14.54.44.077,1.490,0.000006500,0.000038562,-0.000027437
1573800884116,2019-11-15T14.54.44.116,1.529,0.000006500,0.000039313,-0.000025875
1573800884154,2019-11-15T14.54.44.154,1.567,0.000006875,0.000038562,-0.000026687
1573800884194,2019-11-15T14.54.44.194,1.607,0.000004688,0.000039313,-0.000025438
1573800884233,2019-11-15T14.54.44.233,1.646,0.000006125,0.000039688,-0.000024688
1573800884273,2019-11-15T14.54.44.273,1.686,0.000005062,0.000038250,-0.000026250
1573800884311,2019-11-15T14.54.44.311,1.724,0.000005438,0.000040062,-0.000026687
1573800884351,2019-11-15T14.54.44.351,1.764,0.000005062,0.000038938,-0.000025875
1573800884390,2019-11-15T14.54.44.390,1.803,0.000005438,0.000039313,-0.000025875
1573800884430,2019-11-15T14.54.44.430,1.843,0.000004000,0.000038250,-0.000026313
1573800884468,2019-11-15T14.54.44.468,1.881,0.000004313,0.000039688,-0.000027437
1573800884507,2019-11-15T14.54.44.507,1.920,0.000005438,0.000038938,-0.000025875
1573800884547,2019-11-15T14.54.44.547,1.960,0.000004313,0.000037500,-0.000027063
1573800884587,2019-11-15T14.54.44.587,2.000,0.000005438,0.000038938,-0.000025875
1573800884626,2019-11-15T14.54.44.626,2.039,0.000005813,0.000038562,-0.000025438
1573800884664,2019-11-15T14.54.44.664,2.077,0.000004688,0.000038250,-0.000025062
1573800884704,2019-11-15T14.54.44.704,2.117,0.000005062,0.000038250,-0.000025875
1573800884743,2019-11-15T14.54.44.743,2.156,0.000004688,0.000039688,-0.000025500
1573800884783,2019-11-15T14.54.44.783,2.196,0.000005813,0.000038938,-0.000025062
1573800884821,2019-11-15T14.54.44.821,2.234,0.000005062,0.000039313,-0.000026687
1573800884860,2019-11-15T14.54.44.860,2.273,0.000005813,0.000038938,-0.000026250
1573800884900,2019-11-15T14.54.44.900,2.313,0.000004313,0.000039313,-0.000026250
1573800884940,2019-11-15T14.54.44.940,2.353,0.000005438,0.000038938,-0.000025875
1573800884978,2019-11-15T14.54.44.978,2.391,0.000005438,0.000039313,-0.000025875
1573800885017,2019-11-15T14.54.45.017,2.430,0.000005813,0.000039313,-0.000026250
1573800885057,2019-11-15T14.54.45.057,2.470,0.000004313,0.000038938,-0.000025500
1573800885096,2019-11-15T14.54.45.096,2.509,0.000005813,0.000038938,-0.000025875
1573800885134,2019-11-15T14.54.45.134,2.547,0.000005438,0.000040062,-0.000027437
1573800885174,2019-11-15T14.54.45.174,2.587,0.000004313,0.000040062,-0.000026250
1573800885213,2019-11-15T14.54.45.213,2.626,0.000005438,0.000038938,-0.000025500
1573800885253,2019-11-15T14.54.45.253,2.666,0.000007250,0.000038250,-0.000025875
1573800885291,2019-11-15T14.54.45.291,2.704,0.000004688,0.000039313,-0.000026250
1573800885331,2019-11-15T14.54.45.331,2.744,0.000005062,0.000038938,-0.000025875
1573800885370,2019-11-15T14.54.45.370,2.783,0.000006125,0.000038938,-0.000025875
1573800885410,2019-11-15T14.54.45.410,2.823,0.000004000,0.000038938,-0.000026250
1573800885449,2019-11-15T14.54.45.449,2.862,0.000005813,0.000039313,-0.000027063
1573800885487,2019-11-15T14.54.45.487,2.900,0.000004313,0.000039688,-0.000025500
1573800885527,2019-11-15T14.54.45.527,2.940,0.000006125,0.000038938,-0.000026687
1573800885566,2019-11-15T14.54.45.566,2.979,0.000005062,0.000038562,-0.000025500
1573800885606,2019-11-15T14.54.45.606,3.019,0.000003250,0.000039313,-0.000025500
1573800885644,2019-11-15T14.54.45.644,3.057,0.000004313,0.000038562,-0.000026250
1573800885684,2019-11-15T14.54.45.684,3.097,0.000005062,0.000038562,-0.000026250
1573800885723,2019-11-15T14.54.45.723,3.136,0.000003250,0.000039688,-0.000026687
1573800885763,2019-11-15T14.54.45.763,3.176,0.000003625,0.000038562,-0.000026250
1573800885801,2019-11-15T14.54.45.801,3.214,0.000006125,0.000038250,-0.000026687
1573800885840,2019-11-15T14.54.45.840,3.253,0.000004000,0.000038562,-0.000026687
1573800885880,2019-11-15T14.54.45.880,3.293,0.000005813,0.000039313,-0.000026687
1573800885920,2019-11-15T14.54.45.920,3.333,0.000003625,0.000038562,-0.000027437
1573800885958,2019-11-15T14.54.45.958,3.371,0.000005438,0.000037500,-0.000026250
1573800885997,2019-11-15T14.54.45.997,3.410,0.000005438,0.000038938,-0.000025062
1573800886037,2019-11-15T14.54.46.037,3.450,0.000005062,0.000038562,-0.000025875
1573800886076,2019-11-15T14.54.46.076,3.489,0.000006125,0.000038938,-0.000025875
1573800886116,2019-11-15T14.54.46.116,3.529,0.000005062,0.000038250,-0.000026687
1573800886154,2019-11-15T14.54.46.154,3.567,0.000005062,0.000040062,-0.000026250
1573800886193,2019-11-15T14.54.46.193,3.606,0.000005062,0.000038250,-0.000027063
1573800886233,2019-11-15T14.54.46.233,3.646,0.000005062,0.000039313,-0.000025875
1573800886273,2019-11-15T14.54.46.273,3.686,0.000005062,0.000038562,-0.000025062
1573800886311,2019-11-15T14.54.46.311,3.724,0.000004313,0.000040375,-0.000025875
1573800886350,2019-11-15T14.54.46.350,3.763,0.000005813,0.000038562,-0.000026687
1573800886390,2019-11-15T14.54.46.390,3.803,0.000004688,0.000038938,-0.000025500
1573800886429,2019-11-15T14.54.46.429,3.842,0.000004688,0.000038562,-0.000026687
1573800886467,2019-11-15T14.54.46.467,3.880,0.000005438,0.000040375,-0.000025875
1573800886507,2019-11-15T14.54.46.507,3.920,0.000005813,0.000038938,-0.000026687
1573800886546,2019-11-15T14.54.46.546,3.959,0.000005438,0.000038938,-0.000025500
1573800886586,2019-11-15T14.54.46.586,3.999,0.000004313,0.000038250,-0.000026250
1573800886626,2019-11-15T14.54.46.626,4.039,0.000004313,0.000038938,-0.000027063
1573800886664,2019-11-15T14.54.46.664,4.077,0.000005062,0.000039313,-0.000027875
1573800886703,2019-11-15T14.54.46.703,4.116,0.000003625,0.000037875,-0.000026250
1573800886743,2019-11-15T14.54.46.743,4.156,0.000005438,0.000038250,-0.000027437
1573800886782,2019-11-15T14.54.46.782,4.195,0.000005813,0.000038938,-0.000027063
1573800886820,2019-11-15T14.54.46.820,4.233,0.000005813,0.000038938,-0.000026250
1573800886860,2019-11-15T14.54.46.860,4.273,0.000005438,0.000038562,-0.000026250
1573800886899,2019-11-15T14.54.46.899,4.312,0.000004313,0.000038562,-0.000025875
1573800886939,2019-11-15T14.54.46.939,4.352,0.000006875,0.000038562,-0.000026687
1573800886977,2019-11-15T14.54.46.977,4.390,0.000004688,0.000039688,-0.000027063
1573800887017,2019-11-15T14.54.47.017,4.430,0.000005813,0.000040062,-0.000026687
1573800887056,2019-11-15T14.54.47.056,4.469,0.000005813,0.000038938,-0.000026687
1573800887096,2019-11-15T14.54.47.096,4.509,0.000006500,0.000038938,-0.000026687
1573800887134,2019-11-15T14.54.47.134,4.547,0.000005438,0.000038938,-0.000026313
1573800887173,2019-11-15T14.54.47.173,4.586,0.000005438,0.000039313,-0.000026250
1573800887213,2019-11-15T14.54.47.213,4.626,0.000005813,0.000040375,-0.000027063
1573800887253,2019-11-15T14.54.47.253,4.666,0.000006125,0.000038938,-0.000027500
1573800887292,2019-11-15T14.54.47.292,4.705,0.000005813,0.000039313,-0.000025875
1573800887330,2019-11-15T14.54.47.330,4.743,0.000005813,0.000038562,-0.000026250
1573800887370,2019-11-15T14.54.47.370,4.783,0.000005438,0.000038562,-0.000027063
1573800887409,2019-11-15T14.54.47.409,4.822,0.000005062,0.000039313,-0.000025875
1573800887449,2019-11-15T14.54.47.449,4.862,0.000004313,0.000038562,-0.000026687
1573800887487,2019-11-15T14.54.47.487,4.900,0.000005062,0.000038938,-0.000026687
1573800887526,2019-11-15T14.54.47.526,4.939,0.000005062,0.000040062,-0.000026687
1573800887566,2019-11-15T14.54.47.566,4.979,0.000004688,0.000038938,-0.000027063
1573800887606,2019-11-15T14.54.47.606,5.019,0.000004688,0.000037875,-0.000026250
1573800887644,2019-11-15T14.54.47.644,5.057,0.000006500,0.000037875,-0.000027063
1573800887683,2019-11-15T14.54.47.683,5.096,0.000004313,0.000039313,-0.000027063
1573800887723,2019-11-15T14.54.47.723,5.136,0.000005813,0.000037875,-0.000026687
1573800887762,2019-11-15T14.54.47.762,5.175,0.000004000,0.000040062,-0.000026687
1573800887800,2019-11-15T14.54.47.800,5.213,0.000004688,0.000038562,-0.000025500
1573800887840,2019-11-15T14.54.47.840,5.253,0.000004688,0.000037500,-0.000025875
1573800887879,2019-11-15T14.54.47.879,5.292,0.000005062,0.000039313,-0.000025875
1573800887919,2019-11-15T14.54.47.919,5.332,0.000004688,0.000038938,-0.000027875
1573800887957,2019-11-15T14.54.47.957,5.370,0.000004313,0.000039688,-0.000027063
1573800887997,2019-11-15T14.54.47.997,5.410,0.000006125,0.000038562,-0.000026250
1573800888036,2019-11-15T14.54.48.036,5.449,0.000005813,0.000039688,-0.000027063
1573800888076,2019-11-15T14.54.48.076,5.489,0.000005813,0.000038562,-0.000026687
1573800888115,2019-11-15T14.54.48.115,5.528,0.000005813,0.000038938,-0.000025875
1573800888153,2019-11-15T14.54.48.153,5.566,0.000004313,0.000039313,-0.000025062
1573800888193,2019-11-15T14.54.48.193,5.606,0.000005438,0.000039313,-0.000025875
1573800888232,2019-11-15T14.54.48.232,5.645,0.000004688,0.000037875,-0.000025500
1573800888272,2019-11-15T14.54.48.272,5.685,0.000005438,0.000038250,-0.000026250
1573800888310,2019-11-15T14.54.48.310,5.723,0.000004000,0.000038938,-0.000025500
1573800888350,2019-11-15T14.54.48.350,5.763,0.000004000,0.000039313,-0.000026250
1573800888389,2019-11-15T14.54.48.389,5.802,0.000004000,0.000038562,-0.000025875
1573800888429,2019-11-15T14.54.48.429,5.842,0.000004688,0.000038562,-0.000025875
1573800888467,2019-11-15T14.54.48.467,5.880,0.000005813,0.000038562,-0.000026250
1573800888506,2019-11-15T14.54.48.506,5.919,0.000006500,0.000039313,-0.000025875
