epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573800879687,2019-11-15T14.54.39.687,0.000,0.000000312,-0.000012438,-0.000004313
1573800879727,2019-11-15T14.54.39.727,0.040,-0.000000375,-0.000011687,-0.000005875
1573800879768,2019-11-15T14.54.39.768,0.081,-0.000000375,-0.000012813,-0.000004313
1573800879807,2019-11-15T14.54.39.807,0.120,0.000000000,-0.000011687,-0.000003937
1573800879847,2019-11-15T14.54.39.847,0.160,-0.000000750,-0.000011687,-0.000003937
1573800879887,2019-11-15T14.54.39.887,0.200,-0.000001500,-0.000012438,-0.000004688
1573800879926,2019-11-15T14.54.39.926,0.239,-0.000000750,-0.000011000,-0.000004313
1573800879966,2019-11-15T14.54.39.966,0.279,-0.000001125,-0.000012438,-0.000003937
1573800880005,2019-11-15T14.54.40.005,0.318,-0.000001875,-0.000012813,-0.000004313
1573800880046,2019-11-15T14.54.40.046,0.359,-0.000001125,-0.000012438,-0.000004313
1573800880086,2019-11-15T14.54.40.086,0.399,-0.000000375,-0.000013188,-0.000003937
1573800880125,2019-11-15T14.54.40.125,0.438,0.000000000,-0.000012062,-0.000004688
1573800880165,2019-11-15T14.54.40.165,0.478,-0.000000375,-0.000012062,-0.000003500
1573800880204,2019-11-15T14.54.40.204,0.517,-0.000001125,-0.000012813,-0.000003500
1573800880244,2019-11-15T14.54.40.244,0.557,-0.000002250,-0.000011000,-0.000004688
1573800880284,2019-11-15T14.54.40.284,0.597,-0.000000375,-0.000013188,-0.000003563
1573800880325,2019-11-15T14.54.40.325,0.638,-0.000002250,-0.000011000,-0.000003937
1573800880364,2019-11-15T14.54.40.364,0.677,-0.000001125,-0.000011687,-0.000003937
1573800880404,2019-11-15T14.54.40.404,0.717,-0.000000375,-0.000011375,-0.000003937
1573800880443,2019-11-15T14.54.40.443,0.756,0.000000000,-0.000012062,-0.000003937
1573800880483,2019-11-15T14.54.40.483,0.796,-0.000001500,-0.000013188,-0.000003937
1573800880522,2019-11-15T14.54.40.522,0.835,-0.000000750,-0.000012438,-0.000003500
1573800880562,2019-11-15T14.54.40.562,0.875,-0.000000375,-0.000012062,-0.000004688
1573800880603,2019-11-15T14.54.40.603,0.916,-0.000000375,-0.000011687,-0.000004313
1573800880642,2019-11-15T14.54.40.642,0.955,0.000000000,-0.000011375,-0.000003937
1573800880682,2019-11-15T14.54.40.682,0.995,-0.000000750,-0.000013188,-0.000005125
1573800880722,2019-11-15T14.54.40.722,1.035,-0.000002250,-0.000011687,-0.000003937
1573800880761,2019-11-15T14.54.40.761,1.074,-0.000000375,-0.000012062,-0.000003937
