epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1573801025913,2019-11-15T14.57.05.913,0.000,-0.064,0.968,-0.024
1573801025924,2019-11-15T14.57.05.924,0.011,-0.075,0.979,-0.026
1573801025934,2019-11-15T14.57.05.934,0.021,-0.073,0.977,-0.028
1573801025944,2019-11-15T14.57.05.944,0.031,-0.065,0.980,-0.029
1573801025955,2019-11-15T14.57.05.955,0.042,-0.060,0.975,-0.032
1573801025965,2019-11-15T14.57.05.965,0.052,-0.059,0.969,-0.039
1573801025975,2019-11-15T14.57.05.975,0.062,-0.058,0.969,-0.041
1573801025984,2019-11-15T14.57.05.984,0.071,-0.056,0.971,-0.037
1573801025994,2019-11-15T14.57.05.994,0.081,-0.059,0.969,-0.035
1573801026004,2019-11-15T14.57.06.004,0.091,-0.064,0.966,-0.035
1573801026015,2019-11-15T14.57.06.015,0.102,-0.068,0.969,-0.035
1573801026025,2019-11-15T14.57.06.025,0.112,-0.068,0.973,-0.034
1573801026035,2019-11-15T14.57.06.035,0.122,-0.064,0.972,-0.038
1573801026045,2019-11-15T14.57.06.045,0.132,-0.060,0.972,-0.038
1573801026054,2019-11-15T14.57.06.054,0.141,-0.060,0.973,-0.038
1573801026064,2019-11-15T14.57.06.064,0.151,-0.065,0.975,-0.037
1573801026075,2019-11-15T14.57.06.075,0.162,-0.067,0.975,-0.035
1573801026085,2019-11-15T14.57.06.085,0.172,-0.067,0.975,-0.040
1573801026095,2019-11-15T14.57.06.095,0.182,-0.061,0.974,-0.039
1573801026105,2019-11-15T14.57.06.105,0.192,-0.060,0.974,-0.038
1573801026114,2019-11-15T14.57.06.114,0.201,-0.059,0.972,-0.040
1573801026124,2019-11-15T14.57.06.124,0.211,-0.060,0.973,-0.036
1573801026135,2019-11-15T14.57.06.135,0.222,-0.065,0.976,-0.028
1573801026145,2019-11-15T14.57.06.145,0.232,-0.068,0.979,-0.025
1573801026155,2019-11-15T14.57.06.155,0.242,-0.070,0.974,-0.040
1573801026165,2019-11-15T14.57.06.165,0.252,-0.061,0.963,-0.056
1573801026176,2019-11-15T14.57.06.176,0.263,-0.060,0.972,-0.026
1573801026184,2019-11-15T14.57.06.184,0.271,-0.062,0.974,-0.024
1573801026195,2019-11-15T14.57.06.195,0.282,-0.047,0.973,-0.050
1573801026205,2019-11-15T14.57.06.205,0.292,-0.057,0.964,-0.045
1573801026215,2019-11-15T14.57.06.215,0.302,-0.062,0.964,-0.013
1573801026226,2019-11-15T14.57.06.226,0.313,-0.069,0.978,-0.033
1573801026236,2019-11-15T14.57.06.236,0.323,-0.066,0.975,-0.051
1573801026246,2019-11-15T14.57.06.246,0.333,-0.062,0.976,-0.031
1573801026255,2019-11-15T14.57.06.255,0.342,-0.062,0.982,-0.022
1573801026265,2019-11-15T14.57.06.265,0.352,-0.063,0.975,-0.034
1573801026275,2019-11-15T14.57.06.275,0.362,-0.065,0.969,-0.034
1573801026286,2019-11-15T14.57.06.286,0.373,-0.060,0.973,-0.036
1573801026296,2019-11-15T14.57.06.296,0.383,-0.057,0.977,-0.041
1573801026306,2019-11-15T14.57.06.306,0.393,-0.054,0.974,-0.043
1573801026315,2019-11-15T14.57.06.315,0.402,-0.060,0.972,-0.041
1573801026325,2019-11-15T14.57.06.325,0.412,-0.070,0.973,-0.042
1573801026335,2019-11-15T14.57.06.335,0.422,-0.077,0.975,-0.039
1573801026346,2019-11-15T14.57.06.346,0.433,-0.078,0.971,-0.037
1573801026356,2019-11-15T14.57.06.356,0.443,-0.072,0.970,-0.038
1573801026366,2019-11-15T14.57.06.366,0.453,-0.060,0.973,-0.036
1573801026376,2019-11-15T14.57.06.376,0.463,-0.054,0.977,-0.036
1573801026385,2019-11-15T14.57.06.385,0.472,-0.055,0.979,-0.038
1573801026395,2019-11-15T14.57.06.395,0.482,-0.062,0.974,-0.044
1573801026406,2019-11-15T14.57.06.406,0.493,-0.072,0.975,-0.016
1573801026416,2019-11-15T14.57.06.416,0.503,-0.074,0.975,-0.041
1573801026426,2019-11-15T14.57.06.426,0.513,-0.062,0.968,-0.046
1573801026436,2019-11-15T14.57.06.436,0.523,-0.055,0.975,-0.043
1573801026445,2019-11-15T14.57.06.445,0.532,-0.055,0.972,-0.045
1573801026455,2019-11-15T14.57.06.455,0.542,-0.059,0.967,-0.036
1573801026466,2019-11-15T14.57.06.466,0.553,-0.064,0.970,-0.034
1573801026476,2019-11-15T14.57.06.476,0.563,-0.065,0.971,-0.035
1573801026486,2019-11-15T14.57.06.486,0.573,-0.066,0.975,-0.030
1573801026497,2019-11-15T14.57.06.497,0.584,-0.063,0.976,-0.029
1573801026507,2019-11-15T14.57.06.507,0.594,-0.063,0.971,-0.033
1573801026516,2019-11-15T14.57.06.516,0.603,-0.059,0.971,-0.034
1573801026526,2019-11-15T14.57.06.526,0.613,-0.057,0.969,-0.038
1573801026536,2019-11-15T14.57.06.536,0.623,-0.065,0.969,-0.038
1573801026546,2019-11-15T14.57.06.546,0.633,-0.072,0.972,-0.037
1573801026557,2019-11-15T14.57.06.557,0.644,-0.071,0.972,-0.034
1573801026567,2019-11-15T14.57.06.567,0.654,-0.067,0.972,-0.036
1573801026577,2019-11-15T14.57.06.577,0.664,-0.059,0.972,-0.037
1573801026586,2019-11-15T14.57.06.586,0.673,-0.057,0.971,-0.037
1573801026596,2019-11-15T14.57.06.596,0.683,-0.056,0.970,-0.037
1573801026606,2019-11-15T14.57.06.606,0.693,-0.062,0.972,-0.035
1573801026617,2019-11-15T14.57.06.617,0.704,-0.070,0.970,-0.034
1573801026627,2019-11-15T14.57.06.627,0.714,-0.072,0.970,-0.036
1573801026637,2019-11-15T14.57.06.637,0.724,-0.065,0.972,-0.035
1573801026646,2019-11-15T14.57.06.646,0.733,-0.064,0.977,-0.031
1573801026656,2019-11-15T14.57.06.656,0.743,-0.062,0.979,-0.036
1573801026666,2019-11-15T14.57.06.666,0.753,-0.058,0.972,-0.036
1573801026677,2019-11-15T14.57.06.677,0.764,-0.059,0.973,-0.040
