epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1573801026430,2019-11-15T14.57.06.430,0.000,-0.122,-0.610,-0.549
1573801026441,2019-11-15T14.57.06.441,0.011,0.061,-0.122,0.305
1573801026450,2019-11-15T14.57.06.450,0.020,0.122,-0.305,0.061
1573801026460,2019-11-15T14.57.06.460,0.030,0.244,-0.305,-0.244
1573801026470,2019-11-15T14.57.06.470,0.040,0.183,-0.366,-0.244
1573801026480,2019-11-15T14.57.06.480,0.050,0.061,-0.366,-0.122
1573801026491,2019-11-15T14.57.06.491,0.061,-0.122,-0.427,-0.061
1573801026499,2019-11-15T14.57.06.499,0.069,-0.061,-0.366,0.000
1573801026510,2019-11-15T14.57.06.510,0.080,-0.183,-0.366,0.061
1573801026520,2019-11-15T14.57.06.520,0.090,-0.122,-0.427,-0.061
1573801026530,2019-11-15T14.57.06.530,0.100,-0.061,-0.488,0.000
1573801026540,2019-11-15T14.57.06.540,0.110,0.000,-0.488,0.000
1573801026549,2019-11-15T14.57.06.549,0.119,0.000,-0.488,-0.183
1573801026559,2019-11-15T14.57.06.559,0.129,-0.122,-0.488,-0.061
1573801026570,2019-11-15T14.57.06.570,0.140,-0.122,-0.427,-0.061
1573801026580,2019-11-15T14.57.06.580,0.150,-0.183,-0.366,-0.061
1573801026589,2019-11-15T14.57.06.589,0.159,-0.305,-0.366,0.061
1573801026599,2019-11-15T14.57.06.599,0.169,-0.488,-0.366,0.122
1573801026609,2019-11-15T14.57.06.609,0.179,-0.793,-0.488,0.122
1573801026619,2019-11-15T14.57.06.619,0.189,-0.610,-0.366,0.122
1573801026630,2019-11-15T14.57.06.630,0.200,-0.610,-0.366,0.122
1573801026638,2019-11-15T14.57.06.638,0.208,-0.610,-0.366,0.000
1573801026649,2019-11-15T14.57.06.649,0.219,-0.671,-0.488,0.061
1573801026659,2019-11-15T14.57.06.659,0.229,-0.671,-0.610,0.183
1573801026669,2019-11-15T14.57.06.669,0.239,-0.610,-0.549,0.183
1573801026679,2019-11-15T14.57.06.679,0.249,-0.488,-0.488,0.122
1573801026688,2019-11-15T14.57.06.688,0.258,-0.427,-0.427,0.183
1573801026699,2019-11-15T14.57.06.699,0.269,-0.305,-0.183,0.366
1573801026709,2019-11-15T14.57.06.709,0.279,-0.244,-0.061,0.488
1573801026719,2019-11-15T14.57.06.719,0.289,-0.305,-0.183,0.305
1573801026728,2019-11-15T14.57.06.728,0.298,-0.183,-0.244,0.183
1573801026738,2019-11-15T14.57.06.738,0.308,-0.122,-0.366,0.122
1573801026748,2019-11-15T14.57.06.748,0.318,-0.305,-0.610,0.122
1573801026759,2019-11-15T14.57.06.759,0.329,-0.061,-0.671,0.183
1573801026769,2019-11-15T14.57.06.769,0.339,-0.122,-0.549,0.183
1573801026778,2019-11-15T14.57.06.778,0.348,-0.122,-0.488,0.244
1573801026788,2019-11-15T14.57.06.788,0.358,0.061,-0.366,0.122
1573801026798,2019-11-15T14.57.06.798,0.368,0.061,-0.244,0.122
1573801026808,2019-11-15T14.57.06.808,0.378,-0.061,-0.183,0.183
1573801026817,2019-11-15T14.57.06.817,0.387,0.122,-0.244,0.183
