epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1573801165594,2019-11-15T14.59.25.594,0.000,2.317,-0.976,0.427
1573801165605,2019-11-15T14.59.25.605,0.011,2.866,-0.915,0.549
1573801165615,2019-11-15T14.59.25.615,0.021,2.866,0.488,0.000
1573801165625,2019-11-15T14.59.25.625,0.031,3.293,1.951,-0.488
1573801165636,2019-11-15T14.59.25.636,0.042,2.622,1.463,-0.915
1573801165646,2019-11-15T14.59.25.646,0.052,-1.037,-0.183,-0.488
1573801165655,2019-11-15T14.59.25.655,0.061,-2.439,-0.915,0.305
1573801165665,2019-11-15T14.59.25.665,0.071,-1.463,-1.524,0.366
1573801165675,2019-11-15T14.59.25.675,0.081,-0.488,-1.829,0.305
1573801165685,2019-11-15T14.59.25.685,0.091,-0.122,-0.122,0.976
1573801165696,2019-11-15T14.59.25.696,0.102,1.220,2.195,1.341
1573801165706,2019-11-15T14.59.25.706,0.112,2.866,1.829,1.280
1573801165716,2019-11-15T14.59.25.716,0.122,3.110,-0.061,1.524
1573801165726,2019-11-15T14.59.25.726,0.132,2.561,-1.951,1.220
1573801165735,2019-11-15T14.59.25.735,0.141,1.220,-2.988,0.488
1573801165745,2019-11-15T14.59.25.745,0.151,-2.012,-2.622,0.244
1573801165756,2019-11-15T14.59.25.756,0.162,-2.317,-1.524,0.061
1573801165766,2019-11-15T14.59.25.766,0.172,-0.061,-0.549,-0.183
1573801165776,2019-11-15T14.59.25.776,0.182,1.159,0.793,0.061
1573801165786,2019-11-15T14.59.25.786,0.192,1.402,1.524,0.671
1573801165797,2019-11-15T14.59.25.797,0.203,2.012,1.098,0.976
1573801165807,2019-11-15T14.59.25.807,0.213,3.232,1.280,1.341
1573801165816,2019-11-15T14.59.25.816,0.222,2.683,1.829,1.341
1573801165826,2019-11-15T14.59.25.826,0.232,0.122,2.134,1.037
1573801165836,2019-11-15T14.59.25.836,0.242,-1.159,2.988,0.793
1573801165846,2019-11-15T14.59.25.846,0.252,0.122,3.232,0.793
1573801165857,2019-11-15T14.59.25.857,0.263,1.037,1.402,0.732
1573801165867,2019-11-15T14.59.25.867,0.273,0.671,-0.549,0.549
1573801165877,2019-11-15T14.59.25.877,0.283,0.793,-0.732,0.488
1573801165887,2019-11-15T14.59.25.887,0.293,1.829,0.061,0.061
1573801165896,2019-11-15T14.59.25.896,0.302,2.561,0.061,-0.427
1573801165907,2019-11-15T14.59.25.907,0.313,1.890,-0.671,-0.427
1573801165917,2019-11-15T14.59.25.917,0.323,0.244,-1.098,-0.122
1573801165927,2019-11-15T14.59.25.927,0.333,0.305,-1.220,-0.122
1573801165937,2019-11-15T14.59.25.937,0.343,0.061,0.122,0.000
1573801165948,2019-11-15T14.59.25.948,0.354,1.037,1.280,-0.122
1573801165958,2019-11-15T14.59.25.958,0.364,2.866,0.854,-0.427
1573801165968,2019-11-15T14.59.25.968,0.374,3.415,0.305,-0.305
1573801165977,2019-11-15T14.59.25.977,0.383,3.537,-0.427,-0.305
1573801165987,2019-11-15T14.59.25.987,0.393,3.476,-1.463,-0.671
1573801165997,2019-11-15T14.59.25.997,0.403,0.976,-0.976,-1.037
1573801166008,2019-11-15T14.59.26.008,0.414,-1.524,0.000,-1.707
1573801166018,2019-11-15T14.59.26.018,0.424,-0.549,-1.341,-1.951
1573801166028,2019-11-15T14.59.26.028,0.434,0.122,-2.439,-1.585
1573801166038,2019-11-15T14.59.26.038,0.444,-0.061,-2.195,-1.463
1573801166049,2019-11-15T14.59.26.049,0.455,-0.061,-1.951,-1.220
1573801166057,2019-11-15T14.59.26.057,0.463,-0.915,-1.829,-0.976
1573801166068,2019-11-15T14.59.26.068,0.474,-1.707,-0.915,-0.549
1573801166078,2019-11-15T14.59.26.078,0.484,-0.244,0.244,-0.427
1573801166088,2019-11-15T14.59.26.088,0.494,1.585,0.549,-0.427
1573801166098,2019-11-15T14.59.26.098,0.504,2.256,-0.488,-0.488
1573801166109,2019-11-15T14.59.26.109,0.515,1.768,-1.220,-0.793
1573801166119,2019-11-15T14.59.26.119,0.525,0.122,0.000,-0.854
1573801166129,2019-11-15T14.59.26.129,0.535,-0.244,0.244,-0.854
1573801166138,2019-11-15T14.59.26.138,0.544,-0.427,-1.524,-0.976
1573801166148,2019-11-15T14.59.26.148,0.554,-0.061,-2.073,-1.402
1573801166158,2019-11-15T14.59.26.158,0.564,1.280,-2.744,-1.402
1573801166169,2019-11-15T14.59.26.169,0.575,1.524,-3.537,-0.976
1573801166179,2019-11-15T14.59.26.179,0.585,1.402,-2.744,-0.915
1573801166189,2019-11-15T14.59.26.189,0.595,2.012,0.000,-1.707
1573801166199,2019-11-15T14.59.26.199,0.605,1.829,0.427,-1.951
1573801166210,2019-11-15T14.59.26.210,0.616,0.305,-2.012,-1.524
1573801166219,2019-11-15T14.59.26.219,0.625,-1.159,-3.110,-0.915
1573801166229,2019-11-15T14.59.26.229,0.635,-1.524,-2.805,-0.305
1573801166239,2019-11-15T14.59.26.239,0.645,-0.671,-1.951,-0.122
1573801166249,2019-11-15T14.59.26.249,0.655,0.671,0.183,-0.671
1573801166260,2019-11-15T14.59.26.260,0.666,1.707,1.585,-1.220
1573801166270,2019-11-15T14.59.26.270,0.676,1.890,-0.061,-1.280
1573801166280,2019-11-15T14.59.26.280,0.686,1.098,-1.463,-1.220
1573801166290,2019-11-15T14.59.26.290,0.696,-0.915,-2.134,-0.854
1573801166299,2019-11-15T14.59.26.299,0.705,-0.549,-3.720,-1.220
1573801166309,2019-11-15T14.59.26.309,0.715,0.000,-5.976,-2.134
1573801166320,2019-11-15T14.59.26.320,0.726,-0.305,-7.866,-2.378
1573801166330,2019-11-15T14.59.26.330,0.736,-0.244,-8.720,-2.439
1573801166340,2019-11-15T14.59.26.340,0.746,-0.671,-7.988,-2.500
