epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573801337492,2019-11-15T15.02.17.492,0.000,0.000015687,-0.000013063,0.000017500
1573801337533,2019-11-15T15.02.17.533,0.041,0.000014938,-0.000012688,0.000017938
1573801337573,2019-11-15T15.02.17.573,0.081,0.000016063,-0.000013063,0.000017063
1573801337613,2019-11-15T15.02.17.613,0.121,0.000015313,-0.000012688,0.000017500
1573801337654,2019-11-15T15.02.17.654,0.162,0.000015313,-0.000013063,0.000017500
1573801337693,2019-11-15T15.02.17.693,0.201,0.000014562,-0.000012688,0.000016687
1573801337734,2019-11-15T15.02.17.734,0.242,0.000016437,-0.000012688,0.000018750
1573801337774,2019-11-15T15.02.17.774,0.282,0.000016063,-0.000012313,0.000017063
1573801337813,2019-11-15T15.02.17.813,0.321,0.000015687,-0.000012313,0.000015875
1573801337854,2019-11-15T15.02.17.854,0.362,0.000017562,-0.000013063,0.000017125
1573801337894,2019-11-15T15.02.17.894,0.402,0.000016813,-0.000012313,0.000017125
1573801337935,2019-11-15T15.02.17.935,0.443,0.000015687,-0.000013063,0.000015875
1573801337974,2019-11-15T15.02.17.974,0.482,0.000016813,-0.000012313,0.000017500
1573801338014,2019-11-15T15.02.18.014,0.522,0.000017187,-0.000012313,0.000017500
1573801338055,2019-11-15T15.02.18.055,0.563,0.000014562,-0.000013063,0.000016687
1573801338095,2019-11-15T15.02.18.095,0.603,0.000016063,-0.000012688,0.000016687
1573801338136,2019-11-15T15.02.18.136,0.644,0.000016813,-0.000012688,0.000017938
1573801338175,2019-11-15T15.02.18.175,0.683,0.000014938,-0.000011937,0.000016250
1573801338216,2019-11-15T15.02.18.216,0.724,0.000016437,-0.000012688,0.000017125
1573801338256,2019-11-15T15.02.18.256,0.764,0.000016813,-0.000013063,0.000017125
1573801338295,2019-11-15T15.02.18.295,0.803,0.000018312,-0.000012313,0.000016687
1573801338336,2019-11-15T15.02.18.336,0.844,0.000017187,-0.000012313,0.000017125
1573801338376,2019-11-15T15.02.18.376,0.884,0.000017187,-0.000012313,0.000016687
1573801338417,2019-11-15T15.02.18.417,0.925,0.000015687,-0.000013063,0.000017500
1573801338456,2019-11-15T15.02.18.456,0.964,0.000016437,-0.000011937,0.000017500
1573801338496,2019-11-15T15.02.18.496,1.004,0.000015687,-0.000013063,0.000016687
1573801338537,2019-11-15T15.02.18.537,1.045,0.000016063,-0.000013437,0.000019125
1573801338576,2019-11-15T15.02.18.576,1.084,0.000017562,-0.000012688,0.000017938
1573801338617,2019-11-15T15.02.18.617,1.125,0.000015313,-0.000013063,0.000017125
1573801338657,2019-11-15T15.02.18.657,1.165,0.000015313,-0.000012688,0.000016313
1573801338697,2019-11-15T15.02.18.697,1.205,0.000016813,-0.000012688,0.000017500
1573801338738,2019-11-15T15.02.18.738,1.246,0.000016063,-0.000012688,0.000016313
1573801338777,2019-11-15T15.02.18.777,1.285,0.000016813,-0.000013063,0.000017500
1573801338818,2019-11-15T15.02.18.818,1.326,0.000016063,-0.000011937,0.000016313
1573801338858,2019-11-15T15.02.18.858,1.366,0.000015687,-0.000012313,0.000017125
1573801338897,2019-11-15T15.02.18.897,1.405,0.000017187,-0.000011937,0.000017125
1573801338938,2019-11-15T15.02.18.938,1.446,0.000016063,-0.000013063,0.000017500
1573801338978,2019-11-15T15.02.18.978,1.486,0.000015313,-0.000012688,0.000017938
1573801339019,2019-11-15T15.02.19.019,1.527,0.000015313,-0.000012688,0.000017125
1573801339058,2019-11-15T15.02.19.058,1.566,0.000016063,-0.000011562,0.000017125
1573801339099,2019-11-15T15.02.19.099,1.607,0.000015687,-0.000012313,0.000016313
1573801339139,2019-11-15T15.02.19.139,1.647,0.000016437,-0.000013063,0.000017500
1573801339179,2019-11-15T15.02.19.179,1.687,0.000015687,-0.000012313,0.000017500
1573801339220,2019-11-15T15.02.19.220,1.728,0.000014938,-0.000012688,0.000017938
1573801339259,2019-11-15T15.02.19.259,1.767,0.000016063,-0.000013063,0.000017938
1573801339300,2019-11-15T15.02.19.300,1.808,0.000017938,-0.000012688,0.000017500
1573801339340,2019-11-15T15.02.19.340,1.848,0.000016813,-0.000013063,0.000017500
1573801339379,2019-11-15T15.02.19.379,1.887,0.000015687,-0.000012313,0.000017125
1573801339420,2019-11-15T15.02.19.420,1.928,0.000017187,-0.000011937,0.000016687
1573801339460,2019-11-15T15.02.19.460,1.968,0.000016813,-0.000012313,0.000017500
1573801339501,2019-11-15T15.02.19.501,2.009,0.000016063,-0.000012313,0.000017500
1573801339540,2019-11-15T15.02.19.540,2.048,0.000015687,-0.000012313,0.000017500
1573801339580,2019-11-15T15.02.19.580,2.088,0.000016813,-0.000011187,0.000017500
1573801339621,2019-11-15T15.02.19.621,2.129,0.000019438,-0.000011562,0.000017938
1573801339660,2019-11-15T15.02.19.660,2.168,0.000016063,-0.000011562,0.000017500
1573801339701,2019-11-15T15.02.19.701,2.209,0.000016437,-0.000011562,0.000016313
1573801339741,2019-11-15T15.02.19.741,2.249,0.000016063,-0.000012313,0.000017500
1573801339781,2019-11-15T15.02.19.781,2.289,0.000016063,-0.000012688,0.000018312
1573801339822,2019-11-15T15.02.19.822,2.330,0.000015313,-0.000012688,0.000015875
1573801339861,2019-11-15T15.02.19.861,2.369,0.000016813,-0.000011937,0.000016687
1573801339902,2019-11-15T15.02.19.902,2.410,0.000017938,-0.000011562,0.000017125
1573801339942,2019-11-15T15.02.19.942,2.450,0.000015313,-0.000013063,0.000017500
1573801339983,2019-11-15T15.02.19.983,2.491,0.000017187,-0.000012313,0.000017500
1573801340022,2019-11-15T15.02.20.022,2.530,0.000015687,-0.000011562,0.000016313
1573801340062,2019-11-15T15.02.20.062,2.570,0.000016063,-0.000011562,0.000017938
1573801340103,2019-11-15T15.02.20.103,2.611,0.000014562,-0.000012688,0.000016313
1573801340142,2019-11-15T15.02.20.142,2.650,0.000016437,-0.000012688,0.000017125
1573801340183,2019-11-15T15.02.20.183,2.691,0.000016437,-0.000012688,0.000016687
1573801340223,2019-11-15T15.02.20.223,2.731,0.000015687,-0.000012313,0.000017938
1573801340262,2019-11-15T15.02.20.262,2.770,0.000017187,-0.000012313,0.000017500
1573801340304,2019-11-15T15.02.20.304,2.812,0.000016437,-0.000011562,0.000017500
1573801340343,2019-11-15T15.02.20.343,2.851,0.000016437,-0.000012688,0.000017500
1573801340384,2019-11-15T15.02.20.384,2.892,0.000018312,-0.000012688,0.000016313
1573801340424,2019-11-15T15.02.20.424,2.932,0.000018688,-0.000012313,0.000017500
1573801340463,2019-11-15T15.02.20.463,2.971,0.000016063,-0.000011937,0.000016313
1573801340504,2019-11-15T15.02.20.504,3.012,0.000016813,-0.000014562,0.000016687
