epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1573801340912,2019-11-15T15.02.20.912,0.000,0.039,-1.039,-0.177
1573801340922,2019-11-15T15.02.20.922,0.010,0.035,-1.045,-0.179
1573801340931,2019-11-15T15.02.20.931,0.019,0.033,-1.042,-0.175
1573801340941,2019-11-15T15.02.20.941,0.029,0.034,-1.040,-0.178
1573801340952,2019-11-15T15.02.20.952,0.040,0.034,-1.041,-0.176
1573801340962,2019-11-15T15.02.20.962,0.050,0.034,-1.043,-0.176
1573801340972,2019-11-15T15.02.20.972,0.060,0.036,-1.046,-0.180
1573801340981,2019-11-15T15.02.20.981,0.069,0.032,-1.042,-0.178
1573801340991,2019-11-15T15.02.20.991,0.079,0.031,-1.042,-0.181
1573801341001,2019-11-15T15.02.21.001,0.089,0.030,-1.041,-0.182
1573801341012,2019-11-15T15.02.21.012,0.100,0.032,-1.041,-0.179
1573801341021,2019-11-15T15.02.21.021,0.109,0.034,-1.043,-0.182
1573801341031,2019-11-15T15.02.21.031,0.119,0.034,-1.044,-0.179
1573801341041,2019-11-15T15.02.21.041,0.129,0.033,-1.046,-0.180
1573801341051,2019-11-15T15.02.21.051,0.139,0.031,-1.043,-0.179
1573801341062,2019-11-15T15.02.21.062,0.150,0.032,-1.039,-0.181
1573801341070,2019-11-15T15.02.21.070,0.158,0.034,-1.042,-0.181
1573801341081,2019-11-15T15.02.21.081,0.169,0.033,-1.039,-0.184
1573801341091,2019-11-15T15.02.21.091,0.179,0.035,-1.039,-0.181
1573801341101,2019-11-15T15.02.21.101,0.189,0.036,-1.042,-0.176
1573801341111,2019-11-15T15.02.21.111,0.199,0.035,-1.045,-0.181
1573801341120,2019-11-15T15.02.21.120,0.208,0.031,-1.042,-0.182
1573801341130,2019-11-15T15.02.21.130,0.218,0.031,-1.041,-0.183
1573801341141,2019-11-15T15.02.21.141,0.229,0.032,-1.040,-0.184
1573801341151,2019-11-15T15.02.21.151,0.239,0.033,-1.042,-0.184
1573801341160,2019-11-15T15.02.21.160,0.248,0.031,-1.041,-0.178
1573801341170,2019-11-15T15.02.21.170,0.258,0.031,-1.042,-0.180
1573801341180,2019-11-15T15.02.21.180,0.268,0.036,-1.042,-0.180
1573801341190,2019-11-15T15.02.21.190,0.278,0.033,-1.046,-0.179
1573801341201,2019-11-15T15.02.21.201,0.289,0.031,-1.043,-0.180
1573801341209,2019-11-15T15.02.21.209,0.297,0.034,-1.040,-0.181
1573801341220,2019-11-15T15.02.21.220,0.308,0.030,-1.041,-0.183
1573801341230,2019-11-15T15.02.21.230,0.318,0.031,-1.038,-0.184
1573801341240,2019-11-15T15.02.21.240,0.328,0.033,-1.040,-0.184
1573801341249,2019-11-15T15.02.21.249,0.337,0.034,-1.044,-0.180
1573801341259,2019-11-15T15.02.21.259,0.347,0.031,-1.042,-0.182
1573801341270,2019-11-15T15.02.21.270,0.358,0.032,-1.042,-0.180
1573801341280,2019-11-15T15.02.21.280,0.368,0.037,-1.042,-0.181
1573801341290,2019-11-15T15.02.21.290,0.378,0.033,-1.042,-0.181
1573801341299,2019-11-15T15.02.21.299,0.387,0.035,-1.042,-0.180
1573801341309,2019-11-15T15.02.21.309,0.397,0.034,-1.043,-0.183
1573801341319,2019-11-15T15.02.21.319,0.407,0.035,-1.042,-0.182
1573801341330,2019-11-15T15.02.21.330,0.418,0.036,-1.041,-0.181
1573801341340,2019-11-15T15.02.21.340,0.428,0.033,-1.043,-0.180
1573801341349,2019-11-15T15.02.21.349,0.437,0.033,-1.042,-0.181
1573801341359,2019-11-15T15.02.21.359,0.447,0.029,-1.043,-0.184
1573801341369,2019-11-15T15.02.21.369,0.457,0.033,-1.041,-0.186
1573801341379,2019-11-15T15.02.21.379,0.467,0.036,-1.037,-0.182
1573801341388,2019-11-15T15.02.21.388,0.476,0.030,-1.039,-0.184
1573801341398,2019-11-15T15.02.21.398,0.486,0.034,-1.040,-0.182
1573801341409,2019-11-15T15.02.21.409,0.497,0.035,-1.041,-0.177
1573801341419,2019-11-15T15.02.21.419,0.507,0.035,-1.042,-0.176
1573801341429,2019-11-15T15.02.21.429,0.517,0.034,-1.041,-0.179
1573801341438,2019-11-15T15.02.21.438,0.526,0.034,-1.040,-0.182
1573801341448,2019-11-15T15.02.21.448,0.536,0.032,-1.042,-0.183
1573801341459,2019-11-15T15.02.21.459,0.547,0.030,-1.040,-0.182
1573801341469,2019-11-15T15.02.21.469,0.557,0.031,-1.039,-0.184
1573801341478,2019-11-15T15.02.21.478,0.566,0.032,-1.042,-0.182
1573801341488,2019-11-15T15.02.21.488,0.576,0.032,-1.042,-0.178
1573801341498,2019-11-15T15.02.21.498,0.586,0.035,-1.043,-0.179
1573801341508,2019-11-15T15.02.21.508,0.596,0.033,-1.044,-0.180
1573801341519,2019-11-15T15.02.21.519,0.607,0.033,-1.042,-0.181
1573801341527,2019-11-15T15.02.21.527,0.615,0.032,-1.040,-0.182
1573801341538,2019-11-15T15.02.21.538,0.626,0.033,-1.040,-0.181
1573801341548,2019-11-15T15.02.21.548,0.636,0.030,-1.044,-0.182
1573801341558,2019-11-15T15.02.21.558,0.646,0.034,-1.043,-0.179
1573801341568,2019-11-15T15.02.21.568,0.656,0.036,-1.042,-0.179
1573801341577,2019-11-15T15.02.21.577,0.665,0.033,-1.040,-0.180
1573801341587,2019-11-15T15.02.21.587,0.675,0.034,-1.041,-0.178
1573801341598,2019-11-15T15.02.21.598,0.686,0.035,-1.040,-0.178
1573801341608,2019-11-15T15.02.21.608,0.696,0.035,-1.040,-0.180
1573801341617,2019-11-15T15.02.21.617,0.705,0.037,-1.041,-0.179
1573801341627,2019-11-15T15.02.21.627,0.715,0.033,-1.042,-0.178
1573801341637,2019-11-15T15.02.21.637,0.725,0.033,-1.043,-0.182
1573801341647,2019-11-15T15.02.21.647,0.735,0.034,-1.042,-0.179
1573801341658,2019-11-15T15.02.21.658,0.746,0.035,-1.042,-0.181
1573801341667,2019-11-15T15.02.21.667,0.755,0.034,-1.041,-0.179
1573801341677,2019-11-15T15.02.21.677,0.765,0.033,-1.042,-0.181
1573801341687,2019-11-15T15.02.21.687,0.775,0.036,-1.042,-0.179
1573801341697,2019-11-15T15.02.21.697,0.785,0.033,-1.041,-0.182
1573801341708,2019-11-15T15.02.21.708,0.796,0.036,-1.041,-0.180
1573801341716,2019-11-15T15.02.21.716,0.804,0.033,-1.040,-0.176
1573801341727,2019-11-15T15.02.21.727,0.815,0.031,-1.044,-0.177
1573801341737,2019-11-15T15.02.21.737,0.825,0.033,-1.042,-0.176
1573801341747,2019-11-15T15.02.21.747,0.835,0.032,-1.040,-0.181
1573801341756,2019-11-15T15.02.21.756,0.844,0.033,-1.045,-0.178
1573801341766,2019-11-15T15.02.21.766,0.854,0.031,-1.043,-0.179
1573801341776,2019-11-15T15.02.21.776,0.864,0.036,-1.043,-0.179
1573801341787,2019-11-15T15.02.21.787,0.875,0.036,-1.042,-0.175
1573801341797,2019-11-15T15.02.21.797,0.885,0.035,-1.042,-0.178
1573801341806,2019-11-15T15.02.21.806,0.894,0.034,-1.042,-0.179
1573801341816,2019-11-15T15.02.21.816,0.904,0.033,-1.044,-0.179
1573801341826,2019-11-15T15.02.21.826,0.914,0.033,-1.042,-0.182
1573801341836,2019-11-15T15.02.21.836,0.924,0.034,-1.041,-0.180
1573801341845,2019-11-15T15.02.21.845,0.933,0.034,-1.039,-0.181
1573801341855,2019-11-15T15.02.21.855,0.943,0.035,-1.037,-0.179
1573801341866,2019-11-15T15.02.21.866,0.954,0.036,-1.038,-0.173
1573801341876,2019-11-15T15.02.21.876,0.964,0.033,-1.042,-0.175
1573801341886,2019-11-15T15.02.21.886,0.974,0.037,-1.045,-0.177
