epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1573801492926,2019-11-15T15.04.52.926,0.000,1.280,-1.951,0.854
1573801492937,2019-11-15T15.04.52.937,0.011,1.707,-1.951,1.159
1573801492947,2019-11-15T15.04.52.947,0.021,1.280,-1.341,0.488
1573801492956,2019-11-15T15.04.52.956,0.030,1.341,-1.341,0.549
1573801492966,2019-11-15T15.04.52.966,0.040,1.341,-1.646,0.915
1573801492976,2019-11-15T15.04.52.976,0.050,1.220,-1.524,0.976
1573801492986,2019-11-15T15.04.52.986,0.060,0.793,-1.463,0.793
1573801492997,2019-11-15T15.04.52.997,0.071,0.854,-1.280,0.488
1573801493007,2019-11-15T15.04.53.007,0.081,0.732,-1.280,0.305
1573801493017,2019-11-15T15.04.53.017,0.091,0.610,-1.159,0.305
1573801493026,2019-11-15T15.04.53.026,0.100,0.793,-1.159,0.366
1573801493036,2019-11-15T15.04.53.036,0.110,0.976,-1.159,0.610
1573801493047,2019-11-15T15.04.53.047,0.121,0.854,-1.037,0.732
1573801493057,2019-11-15T15.04.53.057,0.131,0.671,-1.707,0.976
1573801493067,2019-11-15T15.04.53.067,0.141,0.366,-2.378,1.159
1573801493077,2019-11-15T15.04.53.077,0.151,0.488,-1.585,0.732
1573801493086,2019-11-15T15.04.53.086,0.160,2.012,0.061,-0.305
1573801493096,2019-11-15T15.04.53.096,0.170,2.073,0.976,-0.549
1573801493107,2019-11-15T15.04.53.107,0.181,1.707,0.915,-0.915
1573801493117,2019-11-15T15.04.53.117,0.191,2.073,-0.732,0.000
1573801493127,2019-11-15T15.04.53.127,0.201,1.829,-2.378,1.768
1573801493137,2019-11-15T15.04.53.137,0.211,1.402,-3.720,2.500
1573801493148,2019-11-15T15.04.53.148,0.222,1.037,-2.500,2.134
1573801493156,2019-11-15T15.04.53.156,0.230,2.012,-0.122,0.549
1573801493167,2019-11-15T15.04.53.167,0.241,2.500,1.280,-0.671
1573801493177,2019-11-15T15.04.53.177,0.251,1.768,1.585,-0.976
1573801493187,2019-11-15T15.04.53.187,0.261,1.220,1.585,-0.488
1573801493197,2019-11-15T15.04.53.197,0.271,1.220,0.854,-0.183
1573801493208,2019-11-15T15.04.53.208,0.282,1.341,-0.061,0.061
1573801493218,2019-11-15T15.04.53.218,0.292,1.098,-0.183,0.122
1573801493227,2019-11-15T15.04.53.227,0.301,0.915,-0.183,-0.122
1573801493237,2019-11-15T15.04.53.237,0.311,0.793,0.122,-0.183
1573801493247,2019-11-15T15.04.53.247,0.321,0.610,0.061,0.183
1573801493257,2019-11-15T15.04.53.257,0.331,0.488,-0.305,0.427
1573801493268,2019-11-15T15.04.53.268,0.342,0.366,-0.732,0.549
1573801493278,2019-11-15T15.04.53.278,0.352,0.366,-0.854,0.366
1573801493287,2019-11-15T15.04.53.287,0.361,0.244,-0.488,0.061
1573801493297,2019-11-15T15.04.53.297,0.371,0.305,0.000,0.061
1573801493307,2019-11-15T15.04.53.307,0.381,0.122,-0.610,0.549
1573801493318,2019-11-15T15.04.53.318,0.392,0.061,-1.402,1.220
1573801493328,2019-11-15T15.04.53.328,0.402,0.366,-1.159,1.098
1573801493338,2019-11-15T15.04.53.338,0.412,0.610,-1.220,0.610
1573801493348,2019-11-15T15.04.53.348,0.422,0.122,-1.280,0.610
