epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1573801491167,2019-11-15T15.04.51.167,0.000,0.244,1.463,-1.829
1573801491177,2019-11-15T15.04.51.177,0.010,0.488,1.646,-1.341
1573801491186,2019-11-15T15.04.51.186,0.019,0.427,2.378,-1.707
1573801491196,2019-11-15T15.04.51.196,0.029,-0.549,1.463,-1.280
1573801491207,2019-11-15T15.04.51.207,0.040,-0.671,0.244,-0.488
1573801491215,2019-11-15T15.04.51.215,0.048,-0.549,1.341,-0.305
1573801491226,2019-11-15T15.04.51.226,0.059,0.000,2.622,-0.671
1573801491236,2019-11-15T15.04.51.236,0.069,0.549,3.902,-1.159
1573801491246,2019-11-15T15.04.51.246,0.079,1.159,4.390,-1.280
1573801491255,2019-11-15T15.04.51.255,0.088,1.037,4.756,-1.341
1573801491265,2019-11-15T15.04.51.265,0.098,0.610,4.329,-1.280
1573801491275,2019-11-15T15.04.51.275,0.108,0.427,2.805,-0.915
1573801491284,2019-11-15T15.04.51.284,0.117,0.061,1.402,-0.488
1573801491294,2019-11-15T15.04.51.294,0.127,-0.366,2.378,-0.732
1573801491305,2019-11-15T15.04.51.305,0.138,-0.488,3.232,-0.915
1573801491315,2019-11-15T15.04.51.315,0.148,0.122,2.744,-1.159
1573801491324,2019-11-15T15.04.51.324,0.157,1.037,3.476,-1.524
1573801491334,2019-11-15T15.04.51.334,0.167,0.854,2.988,-1.829
1573801491344,2019-11-15T15.04.51.344,0.177,0.610,2.439,-2.012
1573801491353,2019-11-15T15.04.51.353,0.186,0.610,3.110,-2.012
1573801491363,2019-11-15T15.04.51.363,0.196,0.549,3.110,-1.829
1573801491374,2019-11-15T15.04.51.374,0.207,0.610,3.354,-1.829
1573801491384,2019-11-15T15.04.51.384,0.217,0.549,2.012,-1.768
1573801491393,2019-11-15T15.04.51.393,0.226,0.610,0.793,-1.829
1573801491403,2019-11-15T15.04.51.403,0.236,0.244,0.549,-2.317
1573801491413,2019-11-15T15.04.51.413,0.246,-0.244,0.305,-2.866
1573801491422,2019-11-15T15.04.51.422,0.255,-0.244,1.951,-3.171
1573801491432,2019-11-15T15.04.51.432,0.265,-0.793,4.573,-2.683
1573801491442,2019-11-15T15.04.51.442,0.275,-0.610,4.573,-2.073
1573801491453,2019-11-15T15.04.51.453,0.286,0.000,2.988,-2.317
1573801491461,2019-11-15T15.04.51.461,0.294,0.793,2.317,-2.439
1573801491472,2019-11-15T15.04.51.472,0.305,0.854,2.988,-1.890
1573801491482,2019-11-15T15.04.51.482,0.315,0.488,4.024,-1.890
1573801491491,2019-11-15T15.04.51.491,0.324,0.671,3.354,-2.012
1573801491501,2019-11-15T15.04.51.501,0.334,0.854,1.463,-1.829
1573801491511,2019-11-15T15.04.51.511,0.344,0.305,0.854,-1.463
1573801491522,2019-11-15T15.04.51.522,0.355,0.244,0.183,-0.549
1573801491530,2019-11-15T15.04.51.530,0.363,0.671,0.000,-0.305
1573801491541,2019-11-15T15.04.51.541,0.374,0.549,1.890,-1.037
1573801491551,2019-11-15T15.04.51.551,0.384,0.183,4.756,-1.098
1573801491560,2019-11-15T15.04.51.560,0.393,0.122,5.183,-0.732
1573801491570,2019-11-15T15.04.51.570,0.403,-0.183,2.256,-0.427
1573801491580,2019-11-15T15.04.51.580,0.413,-0.183,0.732,-0.244
1573801491590,2019-11-15T15.04.51.590,0.423,-0.183,2.378,-0.183
1573801491599,2019-11-15T15.04.51.599,0.432,-0.488,3.049,0.000
