epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573801490760,2019-11-15T15.04.50.760,0.000,-0.000024750,0.000024375,-0.000018188
1573801490799,2019-11-15T15.04.50.799,0.039,-0.000025813,0.000024000,-0.000019750
1573801490839,2019-11-15T15.04.50.839,0.079,-0.000025438,0.000024375,-0.000018938
1573801490879,2019-11-15T15.04.50.879,0.119,-0.000025125,0.000024000,-0.000018562
1573801490920,2019-11-15T15.04.50.920,0.160,-0.000025125,0.000023250,-0.000019750
1573801490959,2019-11-15T15.04.50.959,0.199,-0.000025813,0.000024000,-0.000017000
1573801490999,2019-11-15T15.04.50.999,0.239,-0.000025125,0.000022938,-0.000019375
1573801491038,2019-11-15T15.04.51.038,0.278,-0.000026563,0.000024375,-0.000019750
1573801491078,2019-11-15T15.04.51.078,0.318,-0.000026563,0.000023625,-0.000018562
1573801491119,2019-11-15T15.04.51.119,0.359,-0.000024750,0.000022938,-0.000018562
1573801491158,2019-11-15T15.04.51.158,0.398,-0.000025813,0.000023250,-0.000017812
1573801491198,2019-11-15T15.04.51.198,0.438,-0.000026187,0.000023625,-0.000019375
1573801491237,2019-11-15T15.04.51.237,0.477,-0.000026563,0.000024000,-0.000019375
1573801491277,2019-11-15T15.04.51.277,0.517,-0.000026187,0.000023250,-0.000019000
1573801491318,2019-11-15T15.04.51.318,0.558,-0.000026187,0.000023625,-0.000019000
1573801491358,2019-11-15T15.04.51.358,0.598,-0.000024750,0.000023625,-0.000019375
1573801491397,2019-11-15T15.04.51.397,0.637,-0.000025813,0.000023625,-0.000019750
1573801491437,2019-11-15T15.04.51.437,0.677,-0.000025813,0.000023625,-0.000018188
1573801491478,2019-11-15T15.04.51.478,0.718,-0.000025813,0.000023625,-0.000019750
1573801491517,2019-11-15T15.04.51.517,0.757,-0.000025438,0.000023250,-0.000019375
1573801491557,2019-11-15T15.04.51.557,0.797,-0.000025438,0.000024000,-0.000019000
1573801491596,2019-11-15T15.04.51.596,0.836,-0.000024750,0.000025125,-0.000018188
1573801491636,2019-11-15T15.04.51.636,0.876,-0.000025438,0.000022563,-0.000018562
1573801491677,2019-11-15T15.04.51.677,0.917,-0.000024750,0.000024375,-0.000019750
1573801491716,2019-11-15T15.04.51.716,0.956,-0.000026187,0.000024375,-0.000019375
1573801491756,2019-11-15T15.04.51.756,0.996,-0.000025813,0.000023625,-0.000019375
1573801491796,2019-11-15T15.04.51.796,1.036,-0.000025438,0.000024000,-0.000018562
1573801491835,2019-11-15T15.04.51.835,1.075,-0.000025813,0.000024375,-0.000017812
1573801491876,2019-11-15T15.04.51.876,1.116,-0.000025438,0.000023625,-0.000019375
1573801491916,2019-11-15T15.04.51.916,1.156,-0.000025438,0.000023625,-0.000019750
1573801491955,2019-11-15T15.04.51.955,1.195,-0.000026187,0.000023625,-0.000018562
1573801491995,2019-11-15T15.04.51.995,1.235,-0.000026187,0.000023625,-0.000018562
1573801492036,2019-11-15T15.04.52.036,1.276,-0.000025813,0.000022938,-0.000018562
1573801492075,2019-11-15T15.04.52.075,1.315,-0.000025813,0.000024375,-0.000019000
1573801492115,2019-11-15T15.04.52.115,1.355,-0.000026563,0.000024750,-0.000019375
1573801492154,2019-11-15T15.04.52.154,1.394,-0.000025438,0.000024375,-0.000018188
1573801492194,2019-11-15T15.04.52.194,1.434,-0.000025813,0.000023625,-0.000019375
1573801492235,2019-11-15T15.04.52.235,1.475,-0.000025813,0.000024375,-0.000018625
1573801492275,2019-11-15T15.04.52.275,1.515,-0.000025125,0.000023625,-0.000018625
1573801492314,2019-11-15T15.04.52.314,1.554,-0.000025813,0.000024000,-0.000019000
1573801492354,2019-11-15T15.04.52.354,1.594,-0.000025438,0.000023625,-0.000018188
1573801492393,2019-11-15T15.04.52.393,1.633,-0.000025125,0.000024375,-0.000019000
1573801492434,2019-11-15T15.04.52.434,1.674,-0.000025438,0.000023625,-0.000018188
1573801492474,2019-11-15T15.04.52.474,1.714,-0.000026563,0.000023250,-0.000019000
1573801492513,2019-11-15T15.04.52.513,1.753,-0.000024375,0.000023625,-0.000020187
1573801492553,2019-11-15T15.04.52.553,1.793,-0.000025813,0.000022938,-0.000019000
1573801492592,2019-11-15T15.04.52.592,1.832,-0.000025438,0.000024375,-0.000018625
1573801492633,2019-11-15T15.04.52.633,1.873,-0.000025813,0.000023625,-0.000019000
1573801492673,2019-11-15T15.04.52.673,1.913,-0.000025125,0.000023625,-0.000020563
1573801492713,2019-11-15T15.04.52.713,1.953,-0.000024750,0.000023625,-0.000019812
1573801492752,2019-11-15T15.04.52.752,1.992,-0.000025813,0.000024000,-0.000019000
1573801492792,2019-11-15T15.04.52.792,2.032,-0.000026187,0.000025125,-0.000019375
1573801492833,2019-11-15T15.04.52.833,2.073,-0.000025813,0.000024000,-0.000019000
1573801492872,2019-11-15T15.04.52.872,2.112,-0.000025813,0.000023250,-0.000019812
1573801492912,2019-11-15T15.04.52.912,2.152,-0.000025125,0.000023250,-0.000018625
1573801492951,2019-11-15T15.04.52.951,2.191,-0.000026187,0.000024375,-0.000018188
1573801492991,2019-11-15T15.04.52.991,2.231,-0.000026187,0.000024000,-0.000018625
1573801493032,2019-11-15T15.04.53.032,2.272,-0.000026187,0.000023625,-0.000019375
1573801493071,2019-11-15T15.04.53.071,2.311,-0.000026187,0.000024375,-0.000018188
1573801493111,2019-11-15T15.04.53.111,2.351,-0.000025125,0.000024375,-0.000018562
1573801493151,2019-11-15T15.04.53.151,2.391,-0.000025125,0.000023250,-0.000018188
1573801493190,2019-11-15T15.04.53.190,2.430,-0.000025813,0.000024000,-0.000019812
1573801493231,2019-11-15T15.04.53.231,2.471,-0.000026187,0.000024375,-0.000019812
1573801493271,2019-11-15T15.04.53.271,2.511,-0.000025438,0.000024000,-0.000019375
1573801493310,2019-11-15T15.04.53.310,2.550,-0.000026187,0.000024000,-0.000019000
1573801493350,2019-11-15T15.04.53.350,2.590,-0.000026187,0.000024000,-0.000020187
1573801493391,2019-11-15T15.04.53.391,2.631,-0.000025438,0.000024000,-0.000020187
1573801493430,2019-11-15T15.04.53.430,2.670,-0.000025438,0.000024375,-0.000019000
1573801493470,2019-11-15T15.04.53.470,2.710,-0.000026187,0.000024000,-0.000019000
1573801493509,2019-11-15T15.04.53.509,2.749,-0.000025438,0.000023625,-0.000018625
1573801493549,2019-11-15T15.04.53.549,2.789,-0.000025813,0.000024375,-0.000019000
1573801493590,2019-11-15T15.04.53.590,2.830,-0.000025438,0.000024000,-0.000019812
1573801493630,2019-11-15T15.04.53.630,2.870,-0.000025813,0.000024375,-0.000018625
1573801493669,2019-11-15T15.04.53.669,2.909,-0.000025125,0.000023625,-0.000018625
1573801493709,2019-11-15T15.04.53.709,2.949,-0.000025125,0.000025438,-0.000019000
1573801493748,2019-11-15T15.04.53.748,2.988,-0.000025813,0.000023625,-0.000018188
1573801493789,2019-11-15T15.04.53.789,3.029,-0.000026937,0.000024000,-0.000019375
1573801493829,2019-11-15T15.04.53.829,3.069,-0.000025813,0.000023312,-0.000019375
1573801493868,2019-11-15T15.04.53.868,3.108,-0.000024750,0.000023625,-0.000018625
1573801493908,2019-11-15T15.04.53.908,3.148,-0.000025438,0.000023312,-0.000019375
1573801493947,2019-11-15T15.04.53.947,3.187,-0.000025438,0.000024000,-0.000019375
1573801493988,2019-11-15T15.04.53.988,3.228,-0.000025125,0.000023625,-0.000019375
1573801494028,2019-11-15T15.04.54.028,3.268,-0.000026937,0.000024375,-0.000018625
1573801494068,2019-11-15T15.04.54.068,3.308,-0.000025813,0.000024375,-0.000018188
1573801494107,2019-11-15T15.04.54.107,3.347,-0.000025438,0.000024375,-0.000019375
1573801494147,2019-11-15T15.04.54.147,3.387,-0.000025813,0.000022938,-0.000017812
1573801494188,2019-11-15T15.04.54.188,3.428,-0.000024750,0.000023625,-0.000018188
1573801494227,2019-11-15T15.04.54.227,3.467,-0.000024375,0.000023625,-0.000019375
1573801494267,2019-11-15T15.04.54.267,3.507,-0.000025813,0.000023625,-0.000019000
1573801494306,2019-11-15T15.04.54.306,3.546,-0.000025438,0.000022563,-0.000019000
1573801494346,2019-11-15T15.04.54.346,3.586,-0.000025125,0.000023625,-0.000017812
1573801494387,2019-11-15T15.04.54.387,3.627,-0.000025125,0.000024375,-0.000019375
1573801494426,2019-11-15T15.04.54.426,3.666,-0.000026187,0.000024375,-0.000019375
1573801494466,2019-11-15T15.04.54.466,3.706,-0.000026563,0.000024750,-0.000019812
1573801494506,2019-11-15T15.04.54.506,3.746,-0.000024375,0.000024375,-0.000018188
1573801494545,2019-11-15T15.04.54.545,3.785,-0.000025813,0.000023250,-0.000019812
1573801494586,2019-11-15T15.04.54.586,3.826,-0.000025438,0.000024000,-0.000020187
1573801494626,2019-11-15T15.04.54.626,3.866,-0.000025438,0.000023625,-0.000018625
1573801494665,2019-11-15T15.04.54.665,3.905,-0.000025813,0.000023625,-0.000019375
1573801494705,2019-11-15T15.04.54.705,3.945,-0.000025438,0.000024000,-0.000018625
1573801494746,2019-11-15T15.04.54.746,3.986,-0.000025813,0.000023625,-0.000019812
1573801494785,2019-11-15T15.04.54.785,4.025,-0.000025813,0.000024750,-0.000019375
1573801494825,2019-11-15T15.04.54.825,4.065,-0.000025438,0.000023250,-0.000019000
1573801494864,2019-11-15T15.04.54.864,4.104,-0.000025438,0.000023250,-0.000019000
1573801494904,2019-11-15T15.04.54.904,4.144,-0.000025125,0.000023250,-0.000018625
1573801494945,2019-11-15T15.04.54.945,4.185,-0.000025438,0.000024375,-0.000018625
1573801494985,2019-11-15T15.04.54.985,4.225,-0.000025438,0.000023312,-0.000020187
1573801495024,2019-11-15T15.04.55.024,4.264,-0.000025438,0.000024000,-0.000019000
1573801495064,2019-11-15T15.04.55.064,4.304,-0.000026187,0.000024000,-0.000019375
1573801495103,2019-11-15T15.04.55.103,4.343,-0.000026187,0.000023625,-0.000019812
1573801495144,2019-11-15T15.04.55.144,4.384,-0.000025813,0.000023625,-0.000018625
1573801495184,2019-11-15T15.04.55.184,4.424,-0.000026563,0.000023312,-0.000019375
1573801495223,2019-11-15T15.04.55.223,4.463,-0.000025125,0.000024000,-0.000019000
1573801495263,2019-11-15T15.04.55.263,4.503,-0.000026187,0.000023625,-0.000019812
1573801495302,2019-11-15T15.04.55.302,4.542,-0.000025125,0.000022938,-0.000019375
1573801495343,2019-11-15T15.04.55.343,4.583,-0.000026187,0.000023250,-0.000019375
1573801495383,2019-11-15T15.04.55.383,4.623,-0.000026187,0.000023625,-0.000019812
1573801495423,2019-11-15T15.04.55.423,4.663,-0.000026187,0.000024375,-0.000019375
1573801495462,2019-11-15T15.04.55.462,4.702,-0.000025438,0.000024000,-0.000018625
1573801495503,2019-11-15T15.04.55.503,4.743,-0.000026187,0.000024000,-0.000018625
1573801495543,2019-11-15T15.04.55.543,4.783,-0.000026187,0.000023312,-0.000019812
1573801495582,2019-11-15T15.04.55.582,4.822,-0.000025125,0.000023625,-0.000018625
1573801495622,2019-11-15T15.04.55.622,4.862,-0.000025813,0.000023625,-0.000019000
1573801495661,2019-11-15T15.04.55.661,4.901,-0.000025438,0.000022938,-0.000017812
1573801495702,2019-11-15T15.04.55.702,4.942,-0.000025125,0.000024000,-0.000019375
1573801495742,2019-11-15T15.04.55.742,4.982,-0.000025125,0.000024375,-0.000019000
1573801495781,2019-11-15T15.04.55.781,5.021,-0.000025813,0.000024000,-0.000019375
1573801495821,2019-11-15T15.04.55.821,5.061,-0.000026563,0.000024750,-0.000018625
1573801495861,2019-11-15T15.04.55.861,5.101,-0.000027250,0.000023250,-0.000019000
1573801495902,2019-11-15T15.04.55.902,5.142,-0.000025438,0.000024375,-0.000018625
1573801495941,2019-11-15T15.04.55.941,5.181,-0.000026187,0.000023625,-0.000019375
1573801495981,2019-11-15T15.04.55.981,5.221,-0.000025438,0.000023625,-0.000017812
1573801496020,2019-11-15T15.04.56.020,5.260,-0.000025438,0.000023625,-0.000019375
1573801496061,2019-11-15T15.04.56.061,5.301,-0.000025438,0.000023625,-0.000019000
1573801496101,2019-11-15T15.04.56.101,5.341,-0.000025813,0.000024000,-0.000019375
1573801496140,2019-11-15T15.04.56.140,5.380,-0.000025125,0.000024000,-0.000018625
1573801496180,2019-11-15T15.04.56.180,5.420,-0.000025438,0.000023625,-0.000019375
1573801496219,2019-11-15T15.04.56.219,5.459,-0.000025813,0.000023625,-0.000018188
1573801496260,2019-11-15T15.04.56.260,5.500,-0.000024750,0.000023625,-0.000019812
1573801496300,2019-11-15T15.04.56.300,5.540,-0.000025125,0.000023312,-0.000019375
1573801496340,2019-11-15T15.04.56.340,5.580,-0.000026187,0.000022938,-0.000017812
1573801496379,2019-11-15T15.04.56.379,5.619,-0.000025438,0.000023625,-0.000019812
1573801496419,2019-11-15T15.04.56.419,5.659,-0.000025813,0.000023312,-0.000018625
1573801496460,2019-11-15T15.04.56.460,5.700,-0.000026563,0.000023312,-0.000019375
1573801496499,2019-11-15T15.04.56.499,5.739,-0.000025438,0.000022938,-0.000019812
1573801496539,2019-11-15T15.04.56.539,5.779,-0.000024750,0.000023625,-0.000019375
1573801496578,2019-11-15T15.04.56.578,5.818,-0.000025813,0.000024000,-0.000018625
1573801496619,2019-11-15T15.04.56.619,5.859,-0.000025813,0.000023312,-0.000018188
1573801496659,2019-11-15T15.04.56.659,5.899,-0.000025125,0.000024375,-0.000019000
1573801496698,2019-11-15T15.04.56.698,5.938,-0.000025125,0.000023312,-0.000018625
1573801496738,2019-11-15T15.04.56.738,5.978,-0.000025438,0.000024375,-0.000018625
1573801496778,2019-11-15T15.04.56.778,6.018,-0.000025438,0.000023312,-0.000019000
1573801496819,2019-11-15T15.04.56.819,6.059,-0.000025438,0.000023625,-0.000020187
1573801496858,2019-11-15T15.04.56.858,6.098,-0.000025438,0.000024000,-0.000018625
1573801496898,2019-11-15T15.04.56.898,6.138,-0.000024750,0.000023312,-0.000020187
1573801496937,2019-11-15T15.04.56.937,6.177,-0.000025438,0.000023625,-0.000019375
1573801496977,2019-11-15T15.04.56.977,6.217,-0.000025813,0.000024375,-0.000018625
1573801497018,2019-11-15T15.04.57.018,6.258,-0.000026563,0.000024000,-0.000019375
1573801497057,2019-11-15T15.04.57.057,6.297,-0.000025125,0.000024375,-0.000019375
1573801497097,2019-11-15T15.04.57.097,6.337,-0.000025125,0.000024000,-0.000019375
1573801497136,2019-11-15T15.04.57.136,6.376,-0.000026187,0.000025125,-0.000019000
1573801497177,2019-11-15T15.04.57.177,6.417,-0.000025125,0.000024000,-0.000018625
1573801497217,2019-11-15T15.04.57.217,6.457,-0.000024375,0.000023625,-0.000018188
1573801497257,2019-11-15T15.04.57.257,6.497,-0.000024750,0.000025125,-0.000019000
1573801497296,2019-11-15T15.04.57.296,6.536,-0.000026187,0.000023625,-0.000018188
1573801497336,2019-11-15T15.04.57.336,6.576,-0.000025438,0.000022938,-0.000018625
1573801497377,2019-11-15T15.04.57.377,6.617,-0.000024375,0.000024000,-0.000020187
1573801497416,2019-11-15T15.04.57.416,6.656,-0.000025813,0.000024375,-0.000019375
1573801497456,2019-11-15T15.04.57.456,6.696,-0.000025125,0.000023625,-0.000019812
1573801497495,2019-11-15T15.04.57.495,6.735,-0.000025813,0.000024000,-0.000019812
1573801497536,2019-11-15T15.04.57.536,6.776,-0.000025438,0.000023625,-0.000019375
1573801497576,2019-11-15T15.04.57.576,6.816,-0.000026187,0.000023625,-0.000018188
1573801497615,2019-11-15T15.04.57.615,6.855,-0.000026187,0.000023625,-0.000019000
1573801497655,2019-11-15T15.04.57.655,6.895,-0.000025813,0.000023625,-0.000019000
1573801497695,2019-11-15T15.04.57.695,6.935,-0.000026187,0.000023625,-0.000018625
1573801497736,2019-11-15T15.04.57.736,6.976,-0.000024375,0.000024000,-0.000019000
1573801497775,2019-11-15T15.04.57.775,7.015,-0.000025813,0.000025125,-0.000019375
1573801497815,2019-11-15T15.04.57.815,7.055,-0.000025813,0.000022938,-0.000018188
1573801497854,2019-11-15T15.04.57.854,7.094,-0.000026563,0.000023312,-0.000019375
1573801497894,2019-11-15T15.04.57.894,7.134,-0.000025813,0.000024750,-0.000018625
1573801497935,2019-11-15T15.04.57.935,7.175,-0.000025125,0.000022938,-0.000018188
1573801497974,2019-11-15T15.04.57.974,7.214,-0.000025438,0.000023625,-0.000019000
1573801498014,2019-11-15T15.04.58.014,7.254,-0.000025125,0.000024000,-0.000019812
1573801498053,2019-11-15T15.04.58.053,7.293,-0.000026563,0.000022938,-0.000019812
1573801498093,2019-11-15T15.04.58.093,7.333,-0.000025813,0.000023625,-0.000018625
1573801498134,2019-11-15T15.04.58.134,7.374,-0.000026187,0.000023625,-0.000018188
1573801498174,2019-11-15T15.04.58.174,7.414,-0.000026563,0.000023625,-0.000019000
1573801498213,2019-11-15T15.04.58.213,7.453,-0.000025125,0.000024000,-0.000019000
1573801498253,2019-11-15T15.04.58.253,7.493,-0.000025125,0.000024000,-0.000019000
1573801498294,2019-11-15T15.04.58.294,7.534,-0.000025125,0.000024000,-0.000019000
1573801498333,2019-11-15T15.04.58.333,7.573,-0.000025438,0.000024750,-0.000019375
1573801498373,2019-11-15T15.04.58.373,7.613,-0.000025438,0.000024375,-0.000019000
1573801498412,2019-11-15T15.04.58.412,7.652,-0.000026937,0.000024750,-0.000019375
1573801498452,2019-11-15T15.04.58.452,7.692,-0.000025125,0.000024000,-0.000019375
1573801498493,2019-11-15T15.04.58.493,7.733,-0.000026187,0.000024000,-0.000019000
1573801498532,2019-11-15T15.04.58.532,7.772,-0.000025125,0.000023625,-0.000019375
1573801498572,2019-11-15T15.04.58.572,7.812,-0.000025813,0.000024000,-0.000019000
1573801498611,2019-11-15T15.04.58.611,7.851,-0.000025438,0.000022563,-0.000019812
1573801498653,2019-11-15T15.04.58.653,7.893,-0.000025125,0.000024375,-0.000018625
1573801498692,2019-11-15T15.04.58.692,7.932,-0.000025438,0.000024000,-0.000019375
1573801498732,2019-11-15T15.04.58.732,7.972,-0.000025813,0.000023312,-0.000019375
1573801498771,2019-11-15T15.04.58.771,8.011,-0.000024750,0.000023625,-0.000019000
1573801498811,2019-11-15T15.04.58.811,8.051,-0.000025438,0.000024000,-0.000019375
1573801498850,2019-11-15T15.04.58.850,8.090,-0.000025813,0.000024375,-0.000019375
1573801498891,2019-11-15T15.04.58.891,8.131,-0.000025813,0.000024375,-0.000019375
1573801498931,2019-11-15T15.04.58.931,8.171,-0.000025438,0.000023625,-0.000020187
1573801498970,2019-11-15T15.04.58.970,8.210,-0.000025813,0.000023312,-0.000019375
1573801499010,2019-11-15T15.04.59.010,8.250,-0.000025813,0.000023625,-0.000019375
1573801499051,2019-11-15T15.04.59.051,8.291,-0.000025438,0.000023625,-0.000018625
1573801499090,2019-11-15T15.04.59.090,8.330,-0.000025813,0.000023625,-0.000020187
1573801499130,2019-11-15T15.04.59.130,8.370,-0.000025438,0.000024000,-0.000019812
1573801499170,2019-11-15T15.04.59.170,8.410,-0.000025813,0.000023312,-0.000018625
1573801499209,2019-11-15T15.04.59.209,8.449,-0.000025125,0.000023625,-0.000019375
1573801499250,2019-11-15T15.04.59.250,8.490,-0.000025125,0.000023625,-0.000019000
1573801499290,2019-11-15T15.04.59.290,8.530,-0.000025813,0.000024750,-0.000018625
1573801499329,2019-11-15T15.04.59.329,8.569,-0.000025438,0.000023625,-0.000018625
1573801499369,2019-11-15T15.04.59.369,8.609,-0.000025125,0.000023625,-0.000019375
1573801499408,2019-11-15T15.04.59.408,8.648,-0.000026187,0.000022938,-0.000020187
1573801499449,2019-11-15T15.04.59.449,8.689,-0.000025438,0.000023625,-0.000019375
1573801499489,2019-11-15T15.04.59.489,8.729,-0.000025813,0.000023312,-0.000019375
1573801499528,2019-11-15T15.04.59.528,8.768,-0.000025438,0.000024000,-0.000018625
1573801499568,2019-11-15T15.04.59.568,8.808,-0.000026563,0.000024000,-0.000019000
1573801499608,2019-11-15T15.04.59.608,8.848,-0.000025438,0.000023625,-0.000017812
1573801499649,2019-11-15T15.04.59.649,8.889,-0.000025125,0.000024000,-0.000019375
1573801499688,2019-11-15T15.04.59.688,8.928,-0.000025125,0.000022938,-0.000018188
1573801499728,2019-11-15T15.04.59.728,8.968,-0.000025813,0.000024000,-0.000019375
1573801499767,2019-11-15T15.04.59.767,9.007,-0.000024750,0.000024000,-0.000019812
1573801499807,2019-11-15T15.04.59.807,9.047,-0.000026563,0.000024375,-0.000017812
1573801499848,2019-11-15T15.04.59.848,9.088,-0.000025813,0.000024000,-0.000019000
1573801499887,2019-11-15T15.04.59.887,9.127,-0.000025813,0.000023625,-0.000019000
1573801499927,2019-11-15T15.04.59.927,9.167,-0.000026187,0.000023625,-0.000019000
1573801499966,2019-11-15T15.04.59.966,9.206,-0.000025438,0.000022563,-0.000019375
1573801500007,2019-11-15T15.05.00.007,9.247,-0.000025438,0.000024000,-0.000019812
1573801500047,2019-11-15T15.05.00.047,9.287,-0.000025813,0.000023625,-0.000019812
1573801500087,2019-11-15T15.05.00.087,9.327,-0.000025813,0.000024000,-0.000019000
1573801500126,2019-11-15T15.05.00.126,9.366,-0.000026563,0.000023312,-0.000019000
1573801500166,2019-11-15T15.05.00.166,9.406,-0.000025813,0.000024000,-0.000019812
1573801500207,2019-11-15T15.05.00.207,9.447,-0.000025813,0.000024000,-0.000019812
1573801500246,2019-11-15T15.05.00.246,9.486,-0.000025438,0.000024000,-0.000019812
1573801500286,2019-11-15T15.05.00.286,9.526,-0.000026563,0.000024000,-0.000018188
1573801500325,2019-11-15T15.05.00.325,9.565,-0.000026187,0.000023312,-0.000019375
1573801500365,2019-11-15T15.05.00.365,9.605,-0.000025438,0.000023312,-0.000020563
1573801500406,2019-11-15T15.05.00.406,9.646,-0.000025813,0.000023625,-0.000019812
1573801500445,2019-11-15T15.05.00.445,9.685,-0.000025438,0.000024375,-0.000019375
1573801500485,2019-11-15T15.05.00.485,9.725,-0.000025813,0.000024000,-0.000019812
1573801500525,2019-11-15T15.05.00.525,9.765,-0.000026187,0.000023312,-0.000018188
1573801500564,2019-11-15T15.05.00.564,9.804,-0.000025813,0.000024000,-0.000019812
1573801500605,2019-11-15T15.05.00.605,9.845,-0.000025438,0.000023312,-0.000019812
