epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1573801654695,2019-11-15T15.07.34.695,0.000,-0.146,0.953,0.045
1573801654705,2019-11-15T15.07.34.705,0.010,-0.139,0.944,0.043
1573801654714,2019-11-15T15.07.34.714,0.019,-0.147,0.942,0.039
1573801654724,2019-11-15T15.07.34.724,0.029,-0.154,0.949,0.037
1573801654734,2019-11-15T15.07.34.734,0.039,-0.155,0.952,0.041
1573801654744,2019-11-15T15.07.34.744,0.049,-0.151,0.958,0.038
1573801654755,2019-11-15T15.07.34.755,0.060,-0.146,0.969,0.036
1573801654765,2019-11-15T15.07.34.765,0.070,-0.131,0.976,0.037
1573801654775,2019-11-15T15.07.34.775,0.080,-0.129,0.980,0.032
1573801654785,2019-11-15T15.07.34.785,0.090,-0.128,0.987,0.030
1573801654796,2019-11-15T15.07.34.796,0.101,-0.123,0.980,0.034
1573801654806,2019-11-15T15.07.34.806,0.111,-0.135,0.968,0.039
1573801654815,2019-11-15T15.07.34.815,0.120,-0.157,0.963,0.036
1573801654825,2019-11-15T15.07.34.825,0.130,-0.156,0.962,0.039
1573801654835,2019-11-15T15.07.34.835,0.140,-0.140,0.955,0.045
1573801654845,2019-11-15T15.07.34.845,0.150,-0.125,0.958,0.045
1573801654856,2019-11-15T15.07.34.856,0.161,-0.128,0.964,0.042
1573801654866,2019-11-15T15.07.34.866,0.171,-0.141,0.964,0.044
1573801654876,2019-11-15T15.07.34.876,0.181,-0.144,0.955,0.042
1573801654886,2019-11-15T15.07.34.886,0.191,-0.138,0.953,0.047
1573801654897,2019-11-15T15.07.34.897,0.202,-0.155,0.958,0.042
1573801654907,2019-11-15T15.07.34.907,0.212,-0.163,0.965,0.048
1573801654916,2019-11-15T15.07.34.916,0.221,-0.151,0.975,0.047
1573801654926,2019-11-15T15.07.34.926,0.231,-0.149,0.984,0.048
1573801654936,2019-11-15T15.07.34.936,0.241,-0.156,0.977,0.041
1573801654947,2019-11-15T15.07.34.947,0.252,-0.157,0.972,0.044
1573801654957,2019-11-15T15.07.34.957,0.262,-0.154,0.978,0.049
1573801654967,2019-11-15T15.07.34.967,0.272,-0.162,0.969,0.048
1573801654977,2019-11-15T15.07.34.977,0.282,-0.170,0.966,0.043
1573801654988,2019-11-15T15.07.34.988,0.293,-0.163,0.968,0.038
1573801654998,2019-11-15T15.07.34.998,0.303,-0.154,0.975,0.042
1573801655008,2019-11-15T15.07.35.008,0.313,-0.154,0.968,0.042
1573801655018,2019-11-15T15.07.35.018,0.323,-0.161,0.954,0.041
1573801655027,2019-11-15T15.07.35.027,0.332,-0.160,0.955,0.048
1573801655037,2019-11-15T15.07.35.037,0.342,-0.160,0.956,0.056
1573801655048,2019-11-15T15.07.35.048,0.353,-0.169,0.963,0.051
1573801655058,2019-11-15T15.07.35.058,0.363,-0.159,0.962,0.045
1573801655068,2019-11-15T15.07.35.068,0.373,-0.146,0.974,0.042
1573801655078,2019-11-15T15.07.35.078,0.383,-0.144,0.978,0.041
1573801655089,2019-11-15T15.07.35.089,0.394,-0.160,0.967,0.036
1573801655099,2019-11-15T15.07.35.099,0.404,-0.168,0.964,0.035
1573801655109,2019-11-15T15.07.35.109,0.414,-0.167,0.966,0.038
1573801655119,2019-11-15T15.07.35.119,0.424,-0.158,0.965,0.047
1573801655128,2019-11-15T15.07.35.128,0.433,-0.162,0.967,0.051
1573801655138,2019-11-15T15.07.35.138,0.443,-0.171,0.967,0.048
1573801655149,2019-11-15T15.07.35.149,0.454,-0.152,0.970,0.042
1573801655159,2019-11-15T15.07.35.159,0.464,-0.134,0.971,0.039
1573801655169,2019-11-15T15.07.35.169,0.474,-0.146,0.970,0.037
1573801655179,2019-11-15T15.07.35.179,0.484,-0.158,0.960,0.034
1573801655190,2019-11-15T15.07.35.190,0.495,-0.158,0.950,0.036
1573801655200,2019-11-15T15.07.35.200,0.505,-0.157,0.953,0.044
1573801655210,2019-11-15T15.07.35.210,0.515,-0.166,0.961,0.044
1573801655220,2019-11-15T15.07.35.220,0.525,-0.172,0.967,0.038
1573801655231,2019-11-15T15.07.35.231,0.536,-0.169,0.967,0.043
1573801655240,2019-11-15T15.07.35.240,0.545,-0.155,0.971,0.042
1573801655250,2019-11-15T15.07.35.250,0.555,-0.156,0.979,0.041
1573801655260,2019-11-15T15.07.35.260,0.565,-0.156,0.977,0.036
1573801655270,2019-11-15T15.07.35.270,0.575,-0.161,0.969,0.038
1573801655281,2019-11-15T15.07.35.281,0.586,-0.157,0.963,0.041
1573801655291,2019-11-15T15.07.35.291,0.596,-0.155,0.960,0.052
1573801655301,2019-11-15T15.07.35.301,0.606,-0.168,0.955,0.052
1573801655311,2019-11-15T15.07.35.311,0.616,-0.177,0.959,0.043
1573801655322,2019-11-15T15.07.35.322,0.627,-0.168,0.966,0.042
1573801655332,2019-11-15T15.07.35.332,0.637,-0.156,0.969,0.039
1573801655341,2019-11-15T15.07.35.341,0.646,-0.158,0.958,0.033
1573801655351,2019-11-15T15.07.35.351,0.656,-0.164,0.955,0.032
1573801655361,2019-11-15T15.07.35.361,0.666,-0.163,0.968,0.041
1573801655371,2019-11-15T15.07.35.371,0.676,-0.160,0.970,0.049
1573801655382,2019-11-15T15.07.35.382,0.687,-0.162,0.968,0.048
1573801655392,2019-11-15T15.07.35.392,0.697,-0.156,0.969,0.050
1573801655402,2019-11-15T15.07.35.402,0.707,-0.140,0.973,0.052
1573801655412,2019-11-15T15.07.35.412,0.717,-0.128,0.966,0.045
1573801655423,2019-11-15T15.07.35.423,0.728,-0.133,0.949,0.040
1573801655433,2019-11-15T15.07.35.433,0.738,-0.139,0.944,0.044
1573801655442,2019-11-15T15.07.35.442,0.747,-0.155,0.948,0.051
1573801655452,2019-11-15T15.07.35.452,0.757,-0.165,0.951,0.058
1573801655462,2019-11-15T15.07.35.462,0.767,-0.166,0.959,0.052
1573801655472,2019-11-15T15.07.35.472,0.777,-0.146,0.968,0.055
1573801655483,2019-11-15T15.07.35.483,0.788,-0.134,0.977,0.054
1573801655493,2019-11-15T15.07.35.493,0.798,-0.130,0.981,0.048
1573801655503,2019-11-15T15.07.35.503,0.808,-0.125,0.979,0.049
1573801655513,2019-11-15T15.07.35.513,0.818,-0.131,0.972,0.042
1573801655524,2019-11-15T15.07.35.524,0.829,-0.156,0.964,0.041
1573801655534,2019-11-15T15.07.35.534,0.839,-0.168,0.962,0.041
1573801655543,2019-11-15T15.07.35.543,0.848,-0.161,0.964,0.045
1573801655553,2019-11-15T15.07.35.553,0.858,-0.151,0.964,0.046
1573801655563,2019-11-15T15.07.35.563,0.868,-0.153,0.974,0.039
1573801655573,2019-11-15T15.07.35.573,0.878,-0.147,0.980,0.037
1573801655584,2019-11-15T15.07.35.584,0.889,-0.146,0.979,0.039
1573801655594,2019-11-15T15.07.35.594,0.899,-0.154,0.967,0.035
1573801655604,2019-11-15T15.07.35.604,0.909,-0.158,0.956,0.038
1573801655615,2019-11-15T15.07.35.615,0.920,-0.162,0.960,0.045
1573801655625,2019-11-15T15.07.35.625,0.930,-0.168,0.961,0.052
1573801655635,2019-11-15T15.07.35.635,0.940,-0.176,0.965,0.052
1573801655645,2019-11-15T15.07.35.645,0.950,-0.180,0.977,0.046
1573801655654,2019-11-15T15.07.35.654,0.959,-0.173,0.981,0.043
1573801655664,2019-11-15T15.07.35.664,0.969,-0.164,0.970,0.049
1573801655675,2019-11-15T15.07.35.675,0.980,-0.166,0.954,0.050
1573801655685,2019-11-15T15.07.35.685,0.990,-0.174,0.949,0.043
1573801655695,2019-11-15T15.07.35.695,1.000,-0.172,0.952,0.044
1573801655705,2019-11-15T15.07.35.705,1.010,-0.166,0.946,0.047
1573801655716,2019-11-15T15.07.35.716,1.021,-0.163,0.947,0.054
1573801655726,2019-11-15T15.07.35.726,1.031,-0.166,0.954,0.059
1573801655736,2019-11-15T15.07.35.736,1.041,-0.166,0.956,0.059
1573801655746,2019-11-15T15.07.35.746,1.051,-0.155,0.962,0.054
1573801655755,2019-11-15T15.07.35.755,1.060,-0.147,0.972,0.049
1573801655765,2019-11-15T15.07.35.765,1.070,-0.148,0.973,0.045
1573801655776,2019-11-15T15.07.35.776,1.081,-0.158,0.970,0.043
1573801655786,2019-11-15T15.07.35.786,1.091,-0.162,0.964,0.050
1573801655796,2019-11-15T15.07.35.796,1.101,-0.169,0.964,0.053
1573801655806,2019-11-15T15.07.35.806,1.111,-0.170,0.961,0.052
1573801655817,2019-11-15T15.07.35.817,1.122,-0.163,0.964,0.050
1573801655827,2019-11-15T15.07.35.827,1.132,-0.147,0.975,0.042
1573801655837,2019-11-15T15.07.35.837,1.142,-0.132,0.980,0.042
1573801655847,2019-11-15T15.07.35.847,1.152,-0.131,0.976,0.043
1573801655858,2019-11-15T15.07.35.858,1.163,-0.134,0.959,0.043
1573801655866,2019-11-15T15.07.35.866,1.171,-0.147,0.950,0.045
1573801655877,2019-11-15T15.07.35.877,1.182,-0.153,0.951,0.051
1573801655887,2019-11-15T15.07.35.887,1.192,-0.162,0.952,0.051
1573801655897,2019-11-15T15.07.35.897,1.202,-0.160,0.955,0.047
1573801655907,2019-11-15T15.07.35.907,1.212,-0.149,0.961,0.046
1573801655918,2019-11-15T15.07.35.918,1.223,-0.143,0.974,0.045
1573801655928,2019-11-15T15.07.35.928,1.233,-0.146,0.979,0.048
1573801655938,2019-11-15T15.07.35.938,1.243,-0.148,0.970,0.041
1573801655948,2019-11-15T15.07.35.948,1.253,-0.161,0.954,0.039
1573801655959,2019-11-15T15.07.35.959,1.264,-0.168,0.959,0.039
1573801655968,2019-11-15T15.07.35.968,1.273,-0.170,0.973,0.042
1573801655978,2019-11-15T15.07.35.978,1.283,-0.161,0.974,0.043
1573801655988,2019-11-15T15.07.35.988,1.293,-0.154,0.974,0.043
1573801655998,2019-11-15T15.07.35.998,1.303,-0.148,0.976,0.047
1573801656009,2019-11-15T15.07.36.009,1.314,-0.149,0.972,0.043
1573801656019,2019-11-15T15.07.36.019,1.324,-0.146,0.961,0.043
1573801656029,2019-11-15T15.07.36.029,1.334,-0.147,0.952,0.048
1573801656039,2019-11-15T15.07.36.039,1.344,-0.160,0.946,0.049
1573801656050,2019-11-15T15.07.36.050,1.355,-0.178,0.944,0.053
