epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1573801650963,2019-11-15T15.07.30.963,0.000,0.085,-0.969,-0.180
1573801650973,2019-11-15T15.07.30.973,0.010,0.085,-0.976,-0.181
1573801650983,2019-11-15T15.07.30.983,0.020,0.087,-0.971,-0.184
1573801650994,2019-11-15T15.07.30.994,0.031,0.084,-0.969,-0.185
1573801651004,2019-11-15T15.07.31.004,0.041,0.085,-0.972,-0.182
1573801651014,2019-11-15T15.07.31.014,0.051,0.084,-0.976,-0.183
1573801651024,2019-11-15T15.07.31.024,0.061,0.084,-0.974,-0.185
1573801651035,2019-11-15T15.07.31.035,0.072,0.083,-0.973,-0.185
1573801651045,2019-11-15T15.07.31.045,0.082,0.082,-0.971,-0.185
1573801651054,2019-11-15T15.07.31.054,0.091,0.084,-0.973,-0.185
1573801651064,2019-11-15T15.07.31.064,0.101,0.085,-0.973,-0.185
1573801651074,2019-11-15T15.07.31.074,0.111,0.085,-0.969,-0.183
1573801651085,2019-11-15T15.07.31.085,0.122,0.083,-0.970,-0.182
1573801651095,2019-11-15T15.07.31.095,0.132,0.083,-0.976,-0.184
1573801651105,2019-11-15T15.07.31.105,0.142,0.085,-0.974,-0.181
1573801651115,2019-11-15T15.07.31.115,0.152,0.083,-0.973,-0.181
1573801651126,2019-11-15T15.07.31.126,0.163,0.082,-0.970,-0.184
1573801651136,2019-11-15T15.07.31.136,0.173,0.083,-0.972,-0.185
1573801651146,2019-11-15T15.07.31.146,0.183,0.080,-0.974,-0.184
1573801651156,2019-11-15T15.07.31.156,0.193,0.081,-0.971,-0.184
1573801651167,2019-11-15T15.07.31.167,0.204,0.086,-0.972,-0.182
1573801651177,2019-11-15T15.07.31.177,0.214,0.081,-0.973,-0.185
1573801651187,2019-11-15T15.07.31.187,0.224,0.080,-0.971,-0.182
1573801651197,2019-11-15T15.07.31.197,0.234,0.082,-0.974,-0.182
1573801651208,2019-11-15T15.07.31.208,0.245,0.083,-0.971,-0.181
1573801651216,2019-11-15T15.07.31.216,0.253,0.085,-0.972,-0.184
1573801651227,2019-11-15T15.07.31.227,0.264,0.085,-0.973,-0.184
1573801651237,2019-11-15T15.07.31.237,0.274,0.083,-0.968,-0.182
1573801651247,2019-11-15T15.07.31.247,0.284,0.082,-0.971,-0.182
1573801651257,2019-11-15T15.07.31.257,0.294,0.081,-0.974,-0.184
1573801651268,2019-11-15T15.07.31.268,0.305,0.081,-0.973,-0.184
1573801651278,2019-11-15T15.07.31.278,0.315,0.084,-0.972,-0.181
1573801651288,2019-11-15T15.07.31.288,0.325,0.081,-0.973,-0.184
1573801651298,2019-11-15T15.07.31.298,0.335,0.084,-0.971,-0.183
1573801651309,2019-11-15T15.07.31.309,0.346,0.083,-0.973,-0.182
1573801651319,2019-11-15T15.07.31.319,0.356,0.081,-0.972,-0.183
1573801651329,2019-11-15T15.07.31.329,0.366,0.080,-0.970,-0.184
1573801651339,2019-11-15T15.07.31.339,0.376,0.079,-0.972,-0.184
1573801651350,2019-11-15T15.07.31.350,0.387,0.081,-0.973,-0.184
1573801651360,2019-11-15T15.07.31.360,0.397,0.079,-0.973,-0.182
1573801651370,2019-11-15T15.07.31.370,0.407,0.081,-0.974,-0.180
1573801651379,2019-11-15T15.07.31.379,0.416,0.081,-0.974,-0.179
1573801651389,2019-11-15T15.07.31.389,0.426,0.083,-0.974,-0.179
1573801651399,2019-11-15T15.07.31.399,0.436,0.081,-0.973,-0.183
