epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573798884551,2019-11-15T14.21.24.551,0.000,0.000043937,0.000019062,0.000017437
1573798884592,2019-11-15T14.21.24.592,0.041,0.000042063,0.000017562,0.000018625
1573798884631,2019-11-15T14.21.24.631,0.080,0.000041313,0.000018688,0.000017812
1573798884672,2019-11-15T14.21.24.672,0.121,0.000041688,0.000018312,0.000017437
1573798884712,2019-11-15T14.21.24.712,0.161,0.000042437,0.000019062,0.000017437
1573798884751,2019-11-15T14.21.24.751,0.200,0.000040937,0.000019812,0.000017437
1573798884792,2019-11-15T14.21.24.792,0.241,0.000040937,0.000019062,0.000016625
1573798884832,2019-11-15T14.21.24.832,0.281,0.000042437,0.000019438,0.000016250
1573798884873,2019-11-15T14.21.24.873,0.322,0.000042063,0.000018688,0.000016625
1573798884913,2019-11-15T14.21.24.913,0.362,0.000040937,0.000019812,0.000016625
1573798884954,2019-11-15T14.21.24.954,0.403,0.000041688,0.000019812,0.000017437
1573798884993,2019-11-15T14.21.24.993,0.442,0.000042812,0.000020500,0.000015875
1573798885034,2019-11-15T14.21.25.034,0.483,0.000040625,0.000019438,0.000016250
1573798885074,2019-11-15T14.21.25.074,0.523,0.000042437,0.000020187,0.000015437
1573798885113,2019-11-15T14.21.25.113,0.562,0.000042063,0.000020187,0.000015875
1573798885154,2019-11-15T14.21.25.154,0.603,0.000043563,0.000020187,0.000015437
1573798885194,2019-11-15T14.21.25.194,0.643,0.000042812,0.000020500,0.000015875
1573798885235,2019-11-15T14.21.25.235,0.684,0.000042812,0.000019812,0.000015875
1573798885274,2019-11-15T14.21.25.274,0.723,0.000042812,0.000019812,0.000016250
1573798885315,2019-11-15T14.21.25.315,0.764,0.000042437,0.000021250,0.000016625
1573798885355,2019-11-15T14.21.25.355,0.804,0.000041313,0.000020187,0.000016250
1573798885394,2019-11-15T14.21.25.394,0.843,0.000041313,0.000019812,0.000016625
1573798885435,2019-11-15T14.21.25.435,0.884,0.000042063,0.000019812,0.000016625
