epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573798882906,2019-11-15T14.21.22.906,0.000,0.000049813,0.000038125,0.000003500
1573798882947,2019-11-15T14.21.22.947,0.041,0.000049813,0.000035938,0.000005125
1573798882987,2019-11-15T14.21.22.987,0.081,0.000049813,0.000034125,0.000005125
1573798883028,2019-11-15T14.21.23.028,0.122,0.000049813,0.000031563,0.000005875
1573798883067,2019-11-15T14.21.23.067,0.161,0.000053500,0.000029000,0.000005500
1573798883109,2019-11-15T14.21.23.109,0.203,0.000051313,0.000029000,0.000006312
1573798883148,2019-11-15T14.21.23.148,0.242,0.000050937,0.000029750,0.000004313
1573798883188,2019-11-15T14.21.23.188,0.282,0.000051688,0.000029375,0.000005875
1573798883229,2019-11-15T14.21.23.229,0.323,0.000051688,0.000029000,0.000004313
1573798883268,2019-11-15T14.21.23.268,0.362,0.000052750,0.000027875,0.000005500
1573798883309,2019-11-15T14.21.23.309,0.403,0.000051688,0.000027875,0.000005125
1573798883349,2019-11-15T14.21.23.349,0.443,0.000050562,0.000026063,0.000005125
1573798883390,2019-11-15T14.21.23.390,0.484,0.000050562,0.000026437,0.000004313
1573798883429,2019-11-15T14.21.23.429,0.523,0.000052750,0.000024250,0.000001937
1573798883470,2019-11-15T14.21.23.470,0.564,0.000054250,0.000024250,0.000002750
1573798883510,2019-11-15T14.21.23.510,0.604,0.000052375,0.000024625,0.000002750
1573798883551,2019-11-15T14.21.23.551,0.645,0.000049813,0.000022375,0.000003125
1573798883590,2019-11-15T14.21.23.590,0.684,0.000052000,0.000024938,0.000003937
1573798883631,2019-11-15T14.21.23.631,0.725,0.000052750,0.000023125,0.000004688
1573798883671,2019-11-15T14.21.23.671,0.765,0.000051313,0.000022375,0.000003937
1573798883711,2019-11-15T14.21.23.711,0.805,0.000051688,0.000023125,0.000003500
1573798883752,2019-11-15T14.21.23.752,0.846,0.000051313,0.000024250,0.000003125
1573798883791,2019-11-15T14.21.23.791,0.885,0.000053125,0.000025312,0.000003937
1573798883832,2019-11-15T14.21.23.832,0.926,0.000055312,0.000026437,0.000002750
1573798883872,2019-11-15T14.21.23.872,0.966,0.000051313,0.000028625,0.000003125
1573798883913,2019-11-15T14.21.23.913,1.007,0.000052750,0.000027500,0.000003125
1573798883952,2019-11-15T14.21.23.952,1.046,0.000052375,0.000027187,0.000003125
1573798883993,2019-11-15T14.21.23.993,1.087,0.000053875,0.000025312,0.000002750
1573798884033,2019-11-15T14.21.24.033,1.127,0.000050562,0.000023500,0.000004688
1573798884074,2019-11-15T14.21.24.074,1.168,0.000052000,0.000025687,0.000005125
1573798884113,2019-11-15T14.21.24.113,1.207,0.000050188,0.000024625,0.000003937
1573798884154,2019-11-15T14.21.24.154,1.248,0.000050937,0.000028250,0.000004688
1573798884194,2019-11-15T14.21.24.194,1.288,0.000049438,0.000026063,0.000006687
1573798884234,2019-11-15T14.21.24.234,1.328,0.000049813,0.000028625,0.000008250
1573798884275,2019-11-15T14.21.24.275,1.369,0.000050188,0.000028625,0.000005125
1573798884314,2019-11-15T14.21.24.314,1.408,0.000052375,0.000030438,0.000006687
1573798884355,2019-11-15T14.21.24.355,1.449,0.000049438,0.000027875,0.000005500
1573798884395,2019-11-15T14.21.24.395,1.489,0.000052000,0.000030125,0.000005500
1573798884436,2019-11-15T14.21.24.436,1.530,0.000050937,0.000029375,0.000003937
1573798884475,2019-11-15T14.21.24.475,1.569,0.000050937,0.000028625,0.000004313
1573798884516,2019-11-15T14.21.24.516,1.610,0.000051313,0.000029375,0.000004313
1573798884556,2019-11-15T14.21.24.556,1.650,0.000052750,0.000027875,0.000005875
1573798884597,2019-11-15T14.21.24.597,1.691,0.000052000,0.000027875,0.000005500
1573798884636,2019-11-15T14.21.24.636,1.730,0.000053125,0.000027500,0.000005125
1573798884677,2019-11-15T14.21.24.677,1.771,0.000052000,0.000028250,0.000005500
1573798884717,2019-11-15T14.21.24.717,1.811,0.000051688,0.000028625,0.000005875
1573798884756,2019-11-15T14.21.24.756,1.850,0.000051313,0.000028250,0.000005875
1573798884797,2019-11-15T14.21.24.797,1.891,0.000051313,0.000028625,0.000004688
1573798884837,2019-11-15T14.21.24.837,1.931,0.000052062,0.000030125,0.000004313
1573798884878,2019-11-15T14.21.24.878,1.972,0.000052375,0.000030438,0.000004313
1573798884918,2019-11-15T14.21.24.918,2.012,0.000051313,0.000030125,0.000005125
1573798884959,2019-11-15T14.21.24.959,2.053,0.000053500,0.000028250,0.000003937
1573798884998,2019-11-15T14.21.24.998,2.092,0.000051688,0.000029000,0.000003125
1573798885039,2019-11-15T14.21.25.039,2.133,0.000051313,0.000029375,0.000003125
1573798885079,2019-11-15T14.21.25.079,2.173,0.000052000,0.000031188,0.000003125
1573798885120,2019-11-15T14.21.25.120,2.214,0.000052750,0.000030438,0.000003125
1573798885159,2019-11-15T14.21.25.159,2.253,0.000052000,0.000029000,0.000003125
1573798885200,2019-11-15T14.21.25.200,2.294,0.000051688,0.000029000,0.000003125
1573798885240,2019-11-15T14.21.25.240,2.334,0.000051688,0.000030125,0.000003125
1573798885279,2019-11-15T14.21.25.279,2.373,0.000051688,0.000030125,0.000003125
1573798885320,2019-11-15T14.21.25.320,2.414,0.000051313,0.000029000,0.000003125
1573798885360,2019-11-15T14.21.25.360,2.454,0.000052000,0.000029375,0.000004313
1573798885401,2019-11-15T14.21.25.401,2.495,0.000051313,0.000029750,0.000003500
1573798885441,2019-11-15T14.21.25.441,2.535,0.000053125,0.000029750,0.000004688
1573798885482,2019-11-15T14.21.25.482,2.576,0.000048000,0.000028625,0.000004313
1573798885521,2019-11-15T14.21.25.521,2.615,0.000053125,0.000029750,0.000004688
1573798885562,2019-11-15T14.21.25.562,2.656,0.000051688,0.000028250,0.000003125
1573798885602,2019-11-15T14.21.25.602,2.696,0.000053875,0.000028625,0.000003125
1573798885643,2019-11-15T14.21.25.643,2.737,0.000052375,0.000029750,0.000003937
1573798885682,2019-11-15T14.21.25.682,2.776,0.000053125,0.000027500,0.000003125
1573798885723,2019-11-15T14.21.25.723,2.817,0.000049813,0.000030062,0.000003125
1573798885763,2019-11-15T14.21.25.763,2.857,0.000052750,0.000028625,0.000003500
1573798885804,2019-11-15T14.21.25.804,2.898,0.000051313,0.000030438,0.000003125
1573798885843,2019-11-15T14.21.25.843,2.937,0.000052000,0.000029750,0.000003500
1573798885883,2019-11-15T14.21.25.883,2.977,0.000052750,0.000028250,0.000003125
1573798885924,2019-11-15T14.21.25.924,3.018,0.000052750,0.000028625,0.000002750
1573798885963,2019-11-15T14.21.25.963,3.057,0.000051688,0.000030438,0.000003125
1573798886004,2019-11-15T14.21.26.004,3.098,0.000051688,0.000028250,0.000003125
1573798886044,2019-11-15T14.21.26.044,3.138,0.000053125,0.000029750,0.000003125
1573798886085,2019-11-15T14.21.26.085,3.179,0.000050188,0.000029000,0.000002313
1573798886125,2019-11-15T14.21.26.125,3.219,0.000052750,0.000029750,0.000003125
1573798886166,2019-11-15T14.21.26.166,3.260,0.000050562,0.000029750,0.000003500
1573798886205,2019-11-15T14.21.26.205,3.299,0.000052062,0.000029375,0.000004313
1573798886246,2019-11-15T14.21.26.246,3.340,0.000052375,0.000030813,0.000003937
1573798886286,2019-11-15T14.21.26.286,3.380,0.000051688,0.000029750,0.000003937
1573798886327,2019-11-15T14.21.26.327,3.421,0.000052375,0.000030125,0.000002750
1573798886366,2019-11-15T14.21.26.366,3.460,0.000052000,0.000030438,0.000003125
1573798886407,2019-11-15T14.21.26.407,3.501,0.000048750,0.000030438,0.000004313
1573798886447,2019-11-15T14.21.26.447,3.541,0.000050562,0.000031188,0.000003125
1573798886486,2019-11-15T14.21.26.486,3.580,0.000053500,0.000029375,0.000002750
1573798886527,2019-11-15T14.21.26.527,3.621,0.000054250,0.000030125,0.000003500
1573798886567,2019-11-15T14.21.26.567,3.661,0.000052750,0.000028625,0.000003125
1573798886608,2019-11-15T14.21.26.608,3.702,0.000053875,0.000029750,0.000002313
1573798886648,2019-11-15T14.21.26.648,3.742,0.000050188,0.000027875,0.000003500
1573798886689,2019-11-15T14.21.26.689,3.783,0.000050937,0.000029375,0.000003500
1573798886728,2019-11-15T14.21.26.728,3.822,0.000052750,0.000028250,0.000003500
1573798886769,2019-11-15T14.21.26.769,3.863,0.000052062,0.000030813,0.000004313
1573798886809,2019-11-15T14.21.26.809,3.903,0.000052375,0.000027500,0.000003500
1573798886850,2019-11-15T14.21.26.850,3.944,0.000052000,0.000031188,0.000002750
1573798886889,2019-11-15T14.21.26.889,3.983,0.000052375,0.000031188,0.000003500
1573798886930,2019-11-15T14.21.26.930,4.024,0.000051313,0.000028250,0.000002313
1573798886970,2019-11-15T14.21.26.970,4.064,0.000052000,0.000029000,0.000003937
1573798887011,2019-11-15T14.21.27.011,4.105,0.000051688,0.000029750,0.000003125
1573798887050,2019-11-15T14.21.27.050,4.144,0.000053125,0.000030438,0.000004313
1573798887090,2019-11-15T14.21.27.090,4.184,0.000051313,0.000029000,0.000003937
1573798887131,2019-11-15T14.21.27.131,4.225,0.000052375,0.000031937,0.000002313
1573798887171,2019-11-15T14.21.27.171,4.265,0.000050562,0.000029750,0.000003500
1573798887212,2019-11-15T14.21.27.212,4.306,0.000050562,0.000030813,0.000004313
1573798887251,2019-11-15T14.21.27.251,4.345,0.000052750,0.000030125,0.000002750
1573798887292,2019-11-15T14.21.27.292,4.386,0.000052750,0.000027875,0.000003500
1573798887332,2019-11-15T14.21.27.332,4.426,0.000049813,0.000028250,0.000003500
1573798887373,2019-11-15T14.21.27.373,4.467,0.000049813,0.000030813,0.000003500
1573798887412,2019-11-15T14.21.27.412,4.506,0.000051313,0.000030438,0.000003500
1573798887453,2019-11-15T14.21.27.453,4.547,0.000050937,0.000029750,0.000003125
1573798887493,2019-11-15T14.21.27.493,4.587,0.000053125,0.000031937,0.000004313
1573798887534,2019-11-15T14.21.27.534,4.628,0.000052750,0.000029750,0.000001937
1573798887573,2019-11-15T14.21.27.573,4.667,0.000051313,0.000029750,0.000002750
1573798887614,2019-11-15T14.21.27.614,4.708,0.000052000,0.000029750,0.000002750
1573798887654,2019-11-15T14.21.27.654,4.748,0.000053500,0.000029375,0.000004313
1573798887693,2019-11-15T14.21.27.693,4.787,0.000051688,0.000031563,0.000003125
1573798887734,2019-11-15T14.21.27.734,4.828,0.000052750,0.000031188,0.000003125
1573798887774,2019-11-15T14.21.27.774,4.868,0.000051313,0.000029750,0.000003937
1573798887815,2019-11-15T14.21.27.815,4.909,0.000052000,0.000030125,0.000003500
1573798887855,2019-11-15T14.21.27.855,4.949,0.000052062,0.000030813,0.000003125
1573798887896,2019-11-15T14.21.27.896,4.990,0.000052750,0.000030438,0.000004313
1573798887935,2019-11-15T14.21.27.935,5.029,0.000052375,0.000031563,0.000003937
1573798887976,2019-11-15T14.21.27.976,5.070,0.000051313,0.000030125,0.000003500
1573798888016,2019-11-15T14.21.28.016,5.110,0.000053125,0.000031188,0.000002750
1573798888057,2019-11-15T14.21.28.057,5.151,0.000053875,0.000030438,0.000003937
1573798888096,2019-11-15T14.21.28.096,5.190,0.000051313,0.000031188,0.000003125
1573798888137,2019-11-15T14.21.28.137,5.231,0.000053125,0.000029375,0.000003937
1573798888177,2019-11-15T14.21.28.177,5.271,0.000052750,0.000030438,0.000002750
1573798888218,2019-11-15T14.21.28.218,5.312,0.000053500,0.000030438,0.000003937
1573798888257,2019-11-15T14.21.28.257,5.351,0.000050562,0.000033000,0.000003937
1573798888297,2019-11-15T14.21.28.297,5.391,0.000054937,0.000030438,0.000003500
1573798888338,2019-11-15T14.21.28.338,5.432,0.000052000,0.000030438,0.000003937
1573798888378,2019-11-15T14.21.28.378,5.472,0.000052750,0.000029750,0.000004688
1573798888419,2019-11-15T14.21.28.419,5.513,0.000050188,0.000030813,0.000003937
1573798888458,2019-11-15T14.21.28.458,5.552,0.000052375,0.000029000,0.000004688
1573798888499,2019-11-15T14.21.28.499,5.593,0.000053500,0.000031563,0.000003500
1573798888539,2019-11-15T14.21.28.539,5.633,0.000051688,0.000033000,0.000002313
1573798888580,2019-11-15T14.21.28.580,5.674,0.000053500,0.000030438,0.000004313
1573798888619,2019-11-15T14.21.28.619,5.713,0.000052375,0.000031188,0.000003500
1573798888660,2019-11-15T14.21.28.660,5.754,0.000050937,0.000030813,0.000003500
1573798888700,2019-11-15T14.21.28.700,5.794,0.000050937,0.000029375,0.000003500
1573798888741,2019-11-15T14.21.28.741,5.835,0.000050188,0.000030125,0.000003500
1573798888780,2019-11-15T14.21.28.780,5.874,0.000052750,0.000029750,0.000003125
1573798888820,2019-11-15T14.21.28.820,5.914,0.000050562,0.000029375,0.000003500
1573798888861,2019-11-15T14.21.28.861,5.955,0.000052062,0.000030438,0.000003937
1573798888900,2019-11-15T14.21.28.900,5.994,0.000051688,0.000030438,0.000003125
1573798888942,2019-11-15T14.21.28.942,6.036,0.000054250,0.000029375,0.000003937
1573798888981,2019-11-15T14.21.28.981,6.075,0.000051688,0.000030438,0.000003125
1573798889022,2019-11-15T14.21.29.022,6.116,0.000052750,0.000030438,0.000003500
1573798889062,2019-11-15T14.21.29.062,6.156,0.000051688,0.000031937,0.000002313
1573798889103,2019-11-15T14.21.29.103,6.197,0.000052750,0.000032688,0.000003937
1573798889142,2019-11-15T14.21.29.142,6.236,0.000053125,0.000031937,0.000002750
1573798889183,2019-11-15T14.21.29.183,6.277,0.000050937,0.000031188,0.000002750
1573798889223,2019-11-15T14.21.29.223,6.317,0.000051688,0.000030813,0.000004313
1573798889264,2019-11-15T14.21.29.264,6.358,0.000050937,0.000030125,0.000004313
