epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573798882222,2019-11-15T14.21.22.222,0.000,0.000057625,0.000036687,0.000005438
1573798882262,2019-11-15T14.21.22.262,0.040,0.000059125,0.000034125,0.000005813
1573798882302,2019-11-15T14.21.22.302,0.080,0.000058750,0.000035250,0.000007000
1573798882341,2019-11-15T14.21.22.341,0.119,0.000058000,0.000034125,0.000007375
1573798882381,2019-11-15T14.21.22.381,0.159,0.000059125,0.000033437,0.000007000
1573798882419,2019-11-15T14.21.22.419,0.197,0.000059125,0.000032688,0.000007375
1573798882458,2019-11-15T14.21.22.458,0.236,0.000059813,0.000033063,0.000005813
1573798882498,2019-11-15T14.21.22.498,0.276,0.000059500,0.000031625,0.000007000
1573798882537,2019-11-15T14.21.22.537,0.315,0.000059813,0.000033063,0.000007000
1573798882575,2019-11-15T14.21.22.575,0.353,0.000058750,0.000030500,0.000006625
1573798882615,2019-11-15T14.21.22.615,0.393,0.000060937,0.000031625,0.000005813
1573798882655,2019-11-15T14.21.22.655,0.433,0.000060562,0.000029438,0.000005813
1573798882694,2019-11-15T14.21.22.694,0.472,0.000061625,0.000029438,0.000006250
1573798882734,2019-11-15T14.21.22.734,0.512,0.000062000,0.000029438,0.000006250
1573798882772,2019-11-15T14.21.22.772,0.550,0.000060937,0.000028312,0.000007437
1573798882811,2019-11-15T14.21.22.811,0.589,0.000062375,0.000026125,0.000007813
1573798882851,2019-11-15T14.21.22.851,0.629,0.000063125,0.000024312,0.000007813
1573798882890,2019-11-15T14.21.22.890,0.668,0.000062000,0.000024312,0.000009375
1573798882930,2019-11-15T14.21.22.930,0.708,0.000062375,0.000021437,0.000010563
1573798882968,2019-11-15T14.21.22.968,0.746,0.000062000,0.000020000,0.000010937
1573798883008,2019-11-15T14.21.23.008,0.786,0.000062375,0.000019250,0.000010563
1573798883047,2019-11-15T14.21.23.047,0.825,0.000060562,0.000016750,0.000011312
1573798883087,2019-11-15T14.21.23.087,0.865,0.000060937,0.000016750,0.000010125
1573798883126,2019-11-15T14.21.23.126,0.904,0.000062375,0.000017437,0.000010937
1573798883164,2019-11-15T14.21.23.164,0.942,0.000062000,0.000017437,0.000010563
1573798883204,2019-11-15T14.21.23.204,0.982,0.000061625,0.000016000,0.000009750
1573798883243,2019-11-15T14.21.23.243,1.021,0.000062375,0.000014187,0.000010937
