epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573798883253,2019-11-15T14.21.23.253,0.000,0.000031875,-0.000006875,-0.000012563
1573798883292,2019-11-15T14.21.23.292,0.039,0.000030438,-0.000009062,-0.000012188
1573798883332,2019-11-15T14.21.23.332,0.079,0.000030062,-0.000010125,-0.000012563
1573798883373,2019-11-15T14.21.23.373,0.120,0.000029688,-0.000010125,-0.000012938
1573798883412,2019-11-15T14.21.23.412,0.159,0.000030062,-0.000009750,-0.000014938
1573798883452,2019-11-15T14.21.23.452,0.199,0.000030813,-0.000010125,-0.000014125
1573798883493,2019-11-15T14.21.23.493,0.240,0.000031875,-0.000011562,-0.000015750
1573798883532,2019-11-15T14.21.23.532,0.279,0.000032250,-0.000012313,-0.000014562
1573798883572,2019-11-15T14.21.23.572,0.319,0.000031188,-0.000013000,-0.000012188
1573798883611,2019-11-15T14.21.23.611,0.358,0.000030813,-0.000011937,-0.000013000
1573798883652,2019-11-15T14.21.23.652,0.399,0.000031875,-0.000012313,-0.000012563
1573798883692,2019-11-15T14.21.23.692,0.439,0.000031875,-0.000011562,-0.000013750
1573798883732,2019-11-15T14.21.23.732,0.479,0.000032625,-0.000010125,-0.000014562
1573798883771,2019-11-15T14.21.23.771,0.518,0.000031875,-0.000009375,-0.000013750
1573798883812,2019-11-15T14.21.23.812,0.559,0.000029375,-0.000008687,-0.000014562
1573798883852,2019-11-15T14.21.23.852,0.599,0.000031875,-0.000007938,-0.000013750
1573798883891,2019-11-15T14.21.23.891,0.638,0.000030438,-0.000007938,-0.000014187
1573798883932,2019-11-15T14.21.23.932,0.679,0.000031500,-0.000008312,-0.000014562
1573798883972,2019-11-15T14.21.23.972,0.719,0.000033687,-0.000009375,-0.000013750
1573798884011,2019-11-15T14.21.24.011,0.758,0.000031500,-0.000010125,-0.000013750
1573798884051,2019-11-15T14.21.24.051,0.798,0.000030438,-0.000009062,-0.000013000
1573798884092,2019-11-15T14.21.24.092,0.839,0.000031875,-0.000009062,-0.000011375
1573798884131,2019-11-15T14.21.24.131,0.878,0.000031500,-0.000009375,-0.000011375
1573798884171,2019-11-15T14.21.24.171,0.918,0.000030062,-0.000009750,-0.000011812
1573798884211,2019-11-15T14.21.24.211,0.958,0.000029375,-0.000006875,-0.000011000
1573798884252,2019-11-15T14.21.24.252,0.999,0.000029688,-0.000007938,-0.000011812
1573798884291,2019-11-15T14.21.24.291,1.038,0.000027875,-0.000006875,-0.000012563
1573798884331,2019-11-15T14.21.24.331,1.078,0.000030062,-0.000007562,-0.000010188
1573798884372,2019-11-15T14.21.24.372,1.119,0.000031875,-0.000007250,-0.000013000
1573798884411,2019-11-15T14.21.24.411,1.158,0.000029375,-0.000006875,-0.000013000
1573798884451,2019-11-15T14.21.24.451,1.198,0.000030062,-0.000005750,-0.000012188
1573798884490,2019-11-15T14.21.24.490,1.237,0.000031188,-0.000005750,-0.000012188
1573798884531,2019-11-15T14.21.24.531,1.278,0.000028625,-0.000005750,-0.000013000
1573798884571,2019-11-15T14.21.24.571,1.318,0.000029688,-0.000007938,-0.000012563
1573798884610,2019-11-15T14.21.24.610,1.357,0.000030813,-0.000005750,-0.000011375
1573798884650,2019-11-15T14.21.24.650,1.397,0.000029000,-0.000006500,-0.000012188
1573798884691,2019-11-15T14.21.24.691,1.438,0.000030438,-0.000007938,-0.000012563
1573798884731,2019-11-15T14.21.24.731,1.478,0.000032250,-0.000006500,-0.000013000
1573798884770,2019-11-15T14.21.24.770,1.517,0.000029000,-0.000006500,-0.000011812
1573798884811,2019-11-15T14.21.24.811,1.558,0.000029000,-0.000006875,-0.000013000
1573798884851,2019-11-15T14.21.24.851,1.598,0.000029688,-0.000006500,-0.000011812
1573798884890,2019-11-15T14.21.24.890,1.637,0.000031188,-0.000004688,-0.000012563
1573798884930,2019-11-15T14.21.24.930,1.677,0.000031188,-0.000005438,-0.000013375
1573798884971,2019-11-15T14.21.24.971,1.718,0.000030062,-0.000006500,-0.000013750
1573798885010,2019-11-15T14.21.25.010,1.757,0.000029688,-0.000006875,-0.000012563
1573798885050,2019-11-15T14.21.25.050,1.797,0.000031188,-0.000005750,-0.000013375
1573798885091,2019-11-15T14.21.25.091,1.838,0.000030062,-0.000005062,-0.000012563
1573798885131,2019-11-15T14.21.25.131,1.878,0.000030438,-0.000005062,-0.000013000
1573798885170,2019-11-15T14.21.25.170,1.917,0.000030062,-0.000005750,-0.000014562
1573798885210,2019-11-15T14.21.25.210,1.957,0.000030438,-0.000005438,-0.000014562
1573798885251,2019-11-15T14.21.25.251,1.998,0.000030438,-0.000005750,-0.000013750
1573798885290,2019-11-15T14.21.25.290,2.037,0.000031500,-0.000005062,-0.000013375
1573798885330,2019-11-15T14.21.25.330,2.077,0.000030438,-0.000006500,-0.000014562
1573798885369,2019-11-15T14.21.25.369,2.116,0.000030438,-0.000005438,-0.000013750
1573798885410,2019-11-15T14.21.25.410,2.157,0.000031875,-0.000004688,-0.000013750
1573798885450,2019-11-15T14.21.25.450,2.197,0.000030813,-0.000006875,-0.000013750
1573798885489,2019-11-15T14.21.25.489,2.236,0.000029688,-0.000006500,-0.000013375
1573798885530,2019-11-15T14.21.25.530,2.277,0.000030813,-0.000005438,-0.000013375
1573798885570,2019-11-15T14.21.25.570,2.317,0.000030813,-0.000004688,-0.000014187
1573798885610,2019-11-15T14.21.25.610,2.357,0.000030062,-0.000005438,-0.000013000
1573798885649,2019-11-15T14.21.25.649,2.396,0.000029375,-0.000005062,-0.000013375
1573798885690,2019-11-15T14.21.25.690,2.437,0.000028625,-0.000006125,-0.000013375
1573798885730,2019-11-15T14.21.25.730,2.477,0.000031188,-0.000005438,-0.000014562
1573798885769,2019-11-15T14.21.25.769,2.516,0.000030062,-0.000006125,-0.000014187
1573798885809,2019-11-15T14.21.25.809,2.556,0.000030438,-0.000006500,-0.000013000
1573798885850,2019-11-15T14.21.25.850,2.597,0.000031188,-0.000005438,-0.000013750
1573798885889,2019-11-15T14.21.25.889,2.636,0.000031188,-0.000005062,-0.000014938
1573798885929,2019-11-15T14.21.25.929,2.676,0.000030062,-0.000005438,-0.000013375
1573798885970,2019-11-15T14.21.25.970,2.717,0.000032250,-0.000006500,-0.000014938
1573798886009,2019-11-15T14.21.26.009,2.756,0.000030438,-0.000005750,-0.000013000
1573798886049,2019-11-15T14.21.26.049,2.796,0.000030813,-0.000006125,-0.000013750
1573798886089,2019-11-15T14.21.26.089,2.836,0.000030062,-0.000006125,-0.000014187
1573798886130,2019-11-15T14.21.26.130,2.877,0.000031875,-0.000005438,-0.000014187
1573798886169,2019-11-15T14.21.26.169,2.916,0.000031188,-0.000006875,-0.000013375
