epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573798883609,2019-11-15T14.21.23.609,0.000,0.000016937,0.000018500,-0.000000375
1573798883650,2019-11-15T14.21.23.650,0.041,0.000015813,0.000018500,-0.000001937
1573798883690,2019-11-15T14.21.23.690,0.081,0.000015437,0.000019938,-0.000003875
1573798883729,2019-11-15T14.21.23.729,0.120,0.000016187,0.000021063,-0.000003500
1573798883769,2019-11-15T14.21.23.769,0.160,0.000016937,0.000021813,-0.000002313
1573798883808,2019-11-15T14.21.23.808,0.199,0.000015063,0.000021813,-0.000002688
1573798883848,2019-11-15T14.21.23.848,0.239,0.000015813,0.000023625,-0.000003875
1573798883887,2019-11-15T14.21.23.887,0.278,0.000015813,0.000021437,-0.000003125
1573798883927,2019-11-15T14.21.23.927,0.318,0.000015063,0.000021813,-0.000003875
1573798883968,2019-11-15T14.21.23.968,0.359,0.000014000,0.000020313,-0.000002688
1573798884008,2019-11-15T14.21.24.008,0.399,0.000015437,0.000019562,-0.000001562
1573798884047,2019-11-15T14.21.24.047,0.438,0.000015437,0.000019188,-0.000001937
1573798884087,2019-11-15T14.21.24.087,0.478,0.000014750,0.000020313,-0.000001125
1573798884126,2019-11-15T14.21.24.126,0.517,0.000015437,0.000021813,-0.000000750
1573798884166,2019-11-15T14.21.24.166,0.557,0.000015125,0.000021813,0.000000000
1573798884205,2019-11-15T14.21.24.205,0.596,0.000015063,0.000021063,-0.000000375
1573798884246,2019-11-15T14.21.24.246,0.637,0.000015125,0.000022563,-0.000000375
1573798884286,2019-11-15T14.21.24.286,0.677,0.000013625,0.000021437,-0.000000750
1573798884325,2019-11-15T14.21.24.325,0.716,0.000014750,0.000022875,0.000001125
1573798884365,2019-11-15T14.21.24.365,0.756,0.000014000,0.000024000,-0.000001125
1573798884405,2019-11-15T14.21.24.405,0.796,0.000015125,0.000023250,-0.000001125
1573798884444,2019-11-15T14.21.24.444,0.835,0.000015437,0.000022875,-0.000001937
