epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573798883729,2019-11-15T14.21.23.729,0.000,-0.000063125,-0.000043375,0.000015563
1573798883768,2019-11-15T14.21.23.768,0.039,-0.000062750,-0.000044438,0.000014813
1573798883808,2019-11-15T14.21.23.808,0.079,-0.000062750,-0.000045187,0.000016000
1573798883848,2019-11-15T14.21.23.848,0.119,-0.000062000,-0.000046625,0.000016000
1573798883887,2019-11-15T14.21.23.887,0.158,-0.000061687,-0.000047375,0.000016375
1573798883927,2019-11-15T14.21.23.927,0.198,-0.000063125,-0.000047000,0.000016375
1573798883966,2019-11-15T14.21.23.966,0.237,-0.000062375,-0.000044812,0.000016000
1573798884006,2019-11-15T14.21.24.006,0.277,-0.000062750,-0.000044812,0.000016000
1573798884045,2019-11-15T14.21.24.045,0.316,-0.000062375,-0.000045187,0.000017562
1573798884085,2019-11-15T14.21.24.085,0.356,-0.000060937,-0.000045187,0.000017562
1573798884124,2019-11-15T14.21.24.124,0.395,-0.000061687,-0.000045187,0.000016750
1573798884164,2019-11-15T14.21.24.164,0.435,-0.000060562,-0.000046250,0.000017938
1573798884204,2019-11-15T14.21.24.204,0.475,-0.000059813,-0.000045938,0.000019500
1573798884243,2019-11-15T14.21.24.243,0.514,-0.000059813,-0.000045563,0.000019500
1573798884283,2019-11-15T14.21.24.283,0.554,-0.000059813,-0.000046625,0.000018312
1573798884322,2019-11-15T14.21.24.322,0.593,-0.000060937,-0.000047375,0.000018750
1573798884362,2019-11-15T14.21.24.362,0.633,-0.000061313,-0.000047375,0.000018312
1573798884401,2019-11-15T14.21.24.401,0.672,-0.000060562,-0.000048500,0.000016375
1573798884441,2019-11-15T14.21.24.441,0.712,-0.000061687,-0.000046625,0.000017187
1573798884480,2019-11-15T14.21.24.480,0.751,-0.000061687,-0.000047750,0.000017938
1573798884520,2019-11-15T14.21.24.520,0.791,-0.000060562,-0.000047375,0.000017562
1573798884559,2019-11-15T14.21.24.559,0.830,-0.000060937,-0.000047000,0.000017938
1573798884599,2019-11-15T14.21.24.599,0.870,-0.000059813,-0.000047750,0.000017562
1573798884639,2019-11-15T14.21.24.639,0.910,-0.000060187,-0.000047375,0.000017938
1573798884678,2019-11-15T14.21.24.678,0.949,-0.000059125,-0.000045938,0.000017938
1573798884718,2019-11-15T14.21.24.718,0.989,-0.000060562,-0.000048125,0.000017938
1573798884757,2019-11-15T14.21.24.757,1.028,-0.000060562,-0.000048125,0.000017562
1573798884797,2019-11-15T14.21.24.797,1.068,-0.000059813,-0.000047750,0.000017187
1573798884836,2019-11-15T14.21.24.836,1.107,-0.000060187,-0.000048500,0.000017938
1573798884876,2019-11-15T14.21.24.876,1.147,-0.000060562,-0.000048125,0.000017938
1573798884915,2019-11-15T14.21.24.915,1.186,-0.000060937,-0.000048500,0.000016375
1573798884955,2019-11-15T14.21.24.955,1.226,-0.000060187,-0.000048813,0.000016813
1573798884995,2019-11-15T14.21.24.995,1.266,-0.000060187,-0.000049187,0.000017562
1573798885034,2019-11-15T14.21.25.034,1.305,-0.000061687,-0.000048125,0.000016375
1573798885074,2019-11-15T14.21.25.074,1.345,-0.000060937,-0.000048500,0.000015625
1573798885113,2019-11-15T14.21.25.113,1.384,-0.000061313,-0.000050313,0.000016750
1573798885153,2019-11-15T14.21.25.153,1.424,-0.000060937,-0.000049187,0.000016000
1573798885192,2019-11-15T14.21.25.192,1.463,-0.000060562,-0.000049562,0.000016375
1573798885232,2019-11-15T14.21.25.232,1.503,-0.000061687,-0.000049187,0.000015625
1573798885271,2019-11-15T14.21.25.271,1.542,-0.000061687,-0.000048813,0.000016750
1573798885311,2019-11-15T14.21.25.311,1.582,-0.000060562,-0.000048500,0.000016375
1573798885350,2019-11-15T14.21.25.350,1.621,-0.000060562,-0.000049562,0.000016375
1573798885390,2019-11-15T14.21.25.390,1.661,-0.000061687,-0.000048813,0.000016375
1573798885430,2019-11-15T14.21.25.430,1.701,-0.000060187,-0.000049562,0.000016750
1573798885469,2019-11-15T14.21.25.469,1.740,-0.000061313,-0.000047750,0.000017187
1573798885509,2019-11-15T14.21.25.509,1.780,-0.000060937,-0.000048500,0.000016750
1573798885548,2019-11-15T14.21.25.548,1.819,-0.000061313,-0.000048500,0.000016000
1573798885588,2019-11-15T14.21.25.588,1.859,-0.000061687,-0.000049187,0.000016000
1573798885627,2019-11-15T14.21.25.627,1.898,-0.000061687,-0.000049187,0.000015625
1573798885667,2019-11-15T14.21.25.667,1.938,-0.000061687,-0.000048500,0.000016375
1573798885706,2019-11-15T14.21.25.706,1.977,-0.000062375,-0.000048125,0.000015625
1573798885746,2019-11-15T14.21.25.746,2.017,-0.000061313,-0.000048500,0.000015625
1573798885786,2019-11-15T14.21.25.786,2.057,-0.000061313,-0.000048500,0.000016000
1573798885825,2019-11-15T14.21.25.825,2.096,-0.000062000,-0.000048500,0.000016750
1573798885865,2019-11-15T14.21.25.865,2.136,-0.000060562,-0.000048125,0.000016750
1573798885904,2019-11-15T14.21.25.904,2.175,-0.000061687,-0.000048125,0.000016375
1573798885944,2019-11-15T14.21.25.944,2.215,-0.000060937,-0.000049937,0.000016750
1573798885983,2019-11-15T14.21.25.983,2.254,-0.000061687,-0.000048813,0.000016750
1573798886023,2019-11-15T14.21.26.023,2.294,-0.000060562,-0.000049187,0.000015625
1573798886062,2019-11-15T14.21.26.062,2.333,-0.000061313,-0.000048500,0.000016375
1573798886102,2019-11-15T14.21.26.102,2.373,-0.000060562,-0.000048813,0.000017187
1573798886141,2019-11-15T14.21.26.141,2.412,-0.000060937,-0.000047375,0.000014437
1573798886181,2019-11-15T14.21.26.181,2.452,-0.000061313,-0.000048500,0.000016750
1573798886221,2019-11-15T14.21.26.221,2.492,-0.000060562,-0.000048500,0.000017187
1573798886260,2019-11-15T14.21.26.260,2.531,-0.000060187,-0.000047750,0.000016750
1573798886300,2019-11-15T14.21.26.300,2.571,-0.000061313,-0.000048813,0.000016750
