epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573798884929,2019-11-15T14.21.24.929,0.000,0.000039188,0.000037438,0.000022063
1573798884967,2019-11-15T14.21.24.967,0.038,0.000036625,0.000036687,0.000022875
1573798885007,2019-11-15T14.21.25.007,0.078,0.000037750,0.000036687,0.000022875
1573798885046,2019-11-15T14.21.25.046,0.117,0.000037000,0.000037062,0.000020875
1573798885086,2019-11-15T14.21.25.086,0.157,0.000037000,0.000038125,0.000022125
1573798885125,2019-11-15T14.21.25.125,0.196,0.000037375,0.000037813,0.000020937
1573798885165,2019-11-15T14.21.25.165,0.236,0.000037750,0.000036687,0.000022125
1573798885204,2019-11-15T14.21.25.204,0.275,0.000036625,0.000037062,0.000022500
1573798885244,2019-11-15T14.21.25.244,0.315,0.000038813,0.000037062,0.000022875
1573798885282,2019-11-15T14.21.25.282,0.353,0.000038438,0.000036687,0.000022500
1573798885322,2019-11-15T14.21.25.322,0.393,0.000037375,0.000037438,0.000022500
1573798885361,2019-11-15T14.21.25.361,0.432,0.000035875,0.000037438,0.000021687
1573798885401,2019-11-15T14.21.25.401,0.472,0.000037750,0.000036687,0.000020937
1573798885440,2019-11-15T14.21.25.440,0.511,0.000035875,0.000035563,0.000021687
1573798885480,2019-11-15T14.21.25.480,0.551,0.000036625,0.000036687,0.000022500
1573798885519,2019-11-15T14.21.25.519,0.590,0.000037375,0.000036687,0.000022125
1573798885557,2019-11-15T14.21.25.557,0.628,0.000036625,0.000036687,0.000021313
1573798885597,2019-11-15T14.21.25.597,0.668,0.000037375,0.000036687,0.000021687
1573798885637,2019-11-15T14.21.25.637,0.708,0.000037750,0.000037438,0.000022500
1573798885676,2019-11-15T14.21.25.676,0.747,0.000039562,0.000036687,0.000022125
1573798885716,2019-11-15T14.21.25.716,0.787,0.000036250,0.000036687,0.000021313
1573798885755,2019-11-15T14.21.25.755,0.826,0.000037000,0.000037438,0.000020937
1573798885795,2019-11-15T14.21.25.795,0.866,0.000038062,0.000037062,0.000022125
1573798885834,2019-11-15T14.21.25.834,0.905,0.000037750,0.000036687,0.000021687
1573798885872,2019-11-15T14.21.25.872,0.943,0.000037000,0.000037438,0.000022500
1573798885912,2019-11-15T14.21.25.912,0.983,0.000037000,0.000037062,0.000021687
1573798885952,2019-11-15T14.21.25.952,1.023,0.000038438,0.000036313,0.000021687
1573798885991,2019-11-15T14.21.25.991,1.062,0.000037000,0.000037438,0.000022125
1573798886031,2019-11-15T14.21.26.031,1.102,0.000038062,0.000036313,0.000022875
1573798886070,2019-11-15T14.21.26.070,1.141,0.000038438,0.000037062,0.000020937
1573798886110,2019-11-15T14.21.26.110,1.181,0.000036625,0.000036687,0.000021687
1573798886148,2019-11-15T14.21.26.148,1.219,0.000039562,0.000037062,0.000022500
1573798886187,2019-11-15T14.21.26.187,1.258,0.000038438,0.000036687,0.000021313
1573798886227,2019-11-15T14.21.26.227,1.298,0.000039937,0.000037438,0.000022875
1573798886266,2019-11-15T14.21.26.266,1.337,0.000038062,0.000037062,0.000022125
1573798886306,2019-11-15T14.21.26.306,1.377,0.000037000,0.000036687,0.000022125
1573798886346,2019-11-15T14.21.26.346,1.417,0.000036625,0.000037438,0.000022125
1573798886385,2019-11-15T14.21.26.385,1.456,0.000038438,0.000037062,0.000021313
1573798886423,2019-11-15T14.21.26.423,1.494,0.000037375,0.000036687,0.000021313
1573798886463,2019-11-15T14.21.26.463,1.534,0.000038062,0.000036687,0.000022125
1573798886502,2019-11-15T14.21.26.502,1.573,0.000036625,0.000036687,0.000023688
1573798886542,2019-11-15T14.21.26.542,1.613,0.000038062,0.000037438,0.000022125
1573798886581,2019-11-15T14.21.26.581,1.652,0.000037750,0.000037438,0.000022500
1573798886621,2019-11-15T14.21.26.621,1.692,0.000037375,0.000036313,0.000022875
1573798886660,2019-11-15T14.21.26.660,1.731,0.000037750,0.000037062,0.000021687
1573798886700,2019-11-15T14.21.26.700,1.771,0.000038438,0.000036687,0.000022125
1573798886738,2019-11-15T14.21.26.738,1.809,0.000037750,0.000036313,0.000021313
1573798886778,2019-11-15T14.21.26.778,1.849,0.000037375,0.000036687,0.000021687
1573798886817,2019-11-15T14.21.26.817,1.888,0.000038062,0.000037062,0.000022125
1573798886857,2019-11-15T14.21.26.857,1.928,0.000036250,0.000037062,0.000020937
1573798886896,2019-11-15T14.21.26.896,1.967,0.000038438,0.000038500,0.000021313
1573798886936,2019-11-15T14.21.26.936,2.007,0.000036250,0.000036313,0.000021687
1573798886975,2019-11-15T14.21.26.975,2.046,0.000038813,0.000037438,0.000020937
1573798887015,2019-11-15T14.21.27.015,2.086,0.000037750,0.000037438,0.000021313
1573798887053,2019-11-15T14.21.27.053,2.124,0.000037375,0.000037813,0.000020937
1573798887093,2019-11-15T14.21.27.093,2.164,0.000039937,0.000037438,0.000021313
1573798887132,2019-11-15T14.21.27.132,2.203,0.000037000,0.000036687,0.000020937
1573798887172,2019-11-15T14.21.27.172,2.243,0.000037375,0.000036313,0.000021750
1573798887211,2019-11-15T14.21.27.211,2.282,0.000039937,0.000036313,0.000021687
1573798887251,2019-11-15T14.21.27.251,2.322,0.000037000,0.000036313,0.000022125
1573798887290,2019-11-15T14.21.27.290,2.361,0.000037000,0.000037062,0.000021687
1573798887330,2019-11-15T14.21.27.330,2.401,0.000037000,0.000037438,0.000021687
1573798887368,2019-11-15T14.21.27.368,2.439,0.000037750,0.000036687,0.000021687
1573798887408,2019-11-15T14.21.27.408,2.479,0.000035875,0.000037438,0.000021687
1573798887447,2019-11-15T14.21.27.447,2.518,0.000037000,0.000037438,0.000021687
1573798887487,2019-11-15T14.21.27.487,2.558,0.000036625,0.000038125,0.000022500
1573798887526,2019-11-15T14.21.27.526,2.597,0.000036250,0.000038500,0.000022500
1573798887566,2019-11-15T14.21.27.566,2.637,0.000037750,0.000038500,0.000022125
1573798887605,2019-11-15T14.21.27.605,2.676,0.000037000,0.000037813,0.000022125
1573798887643,2019-11-15T14.21.27.643,2.714,0.000038813,0.000038125,0.000021687
1573798887683,2019-11-15T14.21.27.683,2.754,0.000038062,0.000038125,0.000021750
1573798887723,2019-11-15T14.21.27.723,2.794,0.000038813,0.000038125,0.000021313
1573798887762,2019-11-15T14.21.27.762,2.833,0.000039562,0.000038875,0.000020937
1573798887802,2019-11-15T14.21.27.802,2.873,0.000038813,0.000038125,0.000022938
1573798887841,2019-11-15T14.21.27.841,2.912,0.000037750,0.000038500,0.000020937
1573798887881,2019-11-15T14.21.27.881,2.952,0.000035875,0.000038125,0.000021313
1573798887919,2019-11-15T14.21.27.919,2.990,0.000038438,0.000036687,0.000021687
1573798887958,2019-11-15T14.21.27.958,3.029,0.000036250,0.000038500,0.000021687
1573798887998,2019-11-15T14.21.27.998,3.069,0.000036625,0.000037813,0.000021313
1573798888037,2019-11-15T14.21.28.037,3.108,0.000038813,0.000039250,0.000022125
1573798888077,2019-11-15T14.21.28.077,3.148,0.000038062,0.000038125,0.000021687
1573798888117,2019-11-15T14.21.28.117,3.188,0.000038062,0.000038125,0.000022125
1573798888156,2019-11-15T14.21.28.156,3.227,0.000037375,0.000037438,0.000020937
1573798888196,2019-11-15T14.21.28.196,3.267,0.000038813,0.000037438,0.000020937
1573798888234,2019-11-15T14.21.28.234,3.305,0.000039937,0.000038875,0.000021750
1573798888273,2019-11-15T14.21.28.273,3.344,0.000038438,0.000038500,0.000021313
1573798888313,2019-11-15T14.21.28.313,3.384,0.000038438,0.000038125,0.000020937
1573798888352,2019-11-15T14.21.28.352,3.423,0.000039188,0.000037062,0.000022500
1573798888392,2019-11-15T14.21.28.392,3.463,0.000037375,0.000037813,0.000022125
1573798888431,2019-11-15T14.21.28.431,3.502,0.000039188,0.000038500,0.000021313
1573798888471,2019-11-15T14.21.28.471,3.542,0.000038062,0.000038125,0.000021313
1573798888509,2019-11-15T14.21.28.509,3.580,0.000036250,0.000037438,0.000021313
1573798888549,2019-11-15T14.21.28.549,3.620,0.000037750,0.000038125,0.000021687
