epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573798881961,2019-11-15T14.21.21.961,0.000,0.000022437,0.000038750,0.000010500
1573798882001,2019-11-15T14.21.22.001,0.040,0.000021375,0.000040562,0.000011250
1573798882040,2019-11-15T14.21.22.040,0.079,0.000019500,0.000042063,0.000009688
1573798882078,2019-11-15T14.21.22.078,0.117,0.000018750,0.000043875,0.000009312
1573798882118,2019-11-15T14.21.22.118,0.157,0.000018062,0.000046875,0.000007750
1573798882157,2019-11-15T14.21.22.157,0.196,0.000017313,0.000046875,0.000008125
1573798882195,2019-11-15T14.21.22.195,0.234,0.000019125,0.000046500,0.000006187
1573798882235,2019-11-15T14.21.22.235,0.274,0.000018750,0.000046125,0.000006625
1573798882275,2019-11-15T14.21.22.275,0.314,0.000016937,0.000044250,0.000009312
1573798882313,2019-11-15T14.21.22.313,0.352,0.000018062,0.000043563,0.000010125
1573798882352,2019-11-15T14.21.22.352,0.391,0.000018062,0.000045375,0.000008937
1573798882392,2019-11-15T14.21.22.392,0.431,0.000020250,0.000043875,0.000007750
1573798882431,2019-11-15T14.21.22.431,0.470,0.000019125,0.000043188,0.000007750
1573798882469,2019-11-15T14.21.22.469,0.508,0.000021375,0.000042063,0.000008187
1573798882509,2019-11-15T14.21.22.509,0.548,0.000020250,0.000043563,0.000007000
1573798882548,2019-11-15T14.21.22.548,0.587,0.000020250,0.000042812,0.000007750
1573798882587,2019-11-15T14.21.22.587,0.626,0.000022813,0.000042437,0.000007750
1573798882626,2019-11-15T14.21.22.626,0.665,0.000022437,0.000041313,0.000008187
1573798882666,2019-11-15T14.21.22.666,0.705,0.000021375,0.000040562,0.000008562
1573798882704,2019-11-15T14.21.22.704,0.743,0.000022063,0.000039125,0.000007375
1573798882743,2019-11-15T14.21.22.743,0.782,0.000023562,0.000039125,0.000008187
1573798882783,2019-11-15T14.21.22.783,0.822,0.000022813,0.000038000,0.000008187
1573798882821,2019-11-15T14.21.22.821,0.860,0.000022437,0.000036187,0.000010500
1573798882860,2019-11-15T14.21.22.860,0.899,0.000025062,0.000033938,0.000010875
1573798882900,2019-11-15T14.21.22.900,0.939,0.000023938,0.000033938,0.000010875
1573798882938,2019-11-15T14.21.22.938,0.977,0.000023938,0.000031000,0.000011687
1573798882978,2019-11-15T14.21.22.978,1.017,0.000025062,0.000029875,0.000012438
1573798883017,2019-11-15T14.21.23.017,1.056,0.000024688,0.000029500,0.000013625
1573798883055,2019-11-15T14.21.23.055,1.094,0.000025062,0.000028063,0.000012062
1573798883095,2019-11-15T14.21.23.095,1.134,0.000022813,0.000027687,0.000013625
1573798883134,2019-11-15T14.21.23.134,1.173,0.000024688,0.000027313,0.000012875
1573798883172,2019-11-15T14.21.23.172,1.211,0.000023938,0.000026937,0.000011312
1573798883212,2019-11-15T14.21.23.212,1.251,0.000027625,0.000025813,0.000011687
1573798883252,2019-11-15T14.21.23.252,1.291,0.000025062,0.000025500,0.000010875
1573798883290,2019-11-15T14.21.23.290,1.329,0.000024688,0.000025125,0.000010875
1573798883329,2019-11-15T14.21.23.329,1.368,0.000027250,0.000023250,0.000011312
1573798883369,2019-11-15T14.21.23.369,1.408,0.000027625,0.000023625,0.000010500
1573798883407,2019-11-15T14.21.23.407,1.446,0.000029062,0.000022125,0.000008562
1573798883446,2019-11-15T14.21.23.446,1.485,0.000027625,0.000022125,0.000008937
1573798883486,2019-11-15T14.21.23.486,1.525,0.000026125,0.000021437,0.000009750
1573798883524,2019-11-15T14.21.23.524,1.563,0.000026875,0.000021437,0.000010875
1573798883564,2019-11-15T14.21.23.564,1.603,0.000025438,0.000021813,0.000010125
1573798883603,2019-11-15T14.21.23.603,1.642,0.000025750,0.000021813,0.000010875
1573798883641,2019-11-15T14.21.23.641,1.680,0.000026125,0.000021063,0.000011312
1573798883681,2019-11-15T14.21.23.681,1.720,0.000025750,0.000022500,0.000010125
1573798883720,2019-11-15T14.21.23.720,1.759,0.000026125,0.000022875,0.000011687
1573798883758,2019-11-15T14.21.23.758,1.797,0.000027625,0.000023250,0.000010500
1573798883798,2019-11-15T14.21.23.798,1.837,0.000026875,0.000025500,0.000009312
1573798883838,2019-11-15T14.21.23.838,1.877,0.000025750,0.000026187,0.000009750
1573798883876,2019-11-15T14.21.23.876,1.915,0.000027250,0.000025125,0.000010500
1573798883915,2019-11-15T14.21.23.915,1.954,0.000027625,0.000025500,0.000009750
1573798883955,2019-11-15T14.21.23.955,1.994,0.000028000,0.000023625,0.000010125
1573798883993,2019-11-15T14.21.23.993,2.032,0.000025438,0.000022875,0.000010125
1573798884032,2019-11-15T14.21.24.032,2.071,0.000026125,0.000022875,0.000011312
1573798884072,2019-11-15T14.21.24.072,2.111,0.000027625,0.000022125,0.000012062
1573798884110,2019-11-15T14.21.24.110,2.149,0.000026500,0.000023625,0.000012062
1573798884150,2019-11-15T14.21.24.150,2.189,0.000025750,0.000024750,0.000012438
1573798884189,2019-11-15T14.21.24.189,2.228,0.000023938,0.000024000,0.000012438
1573798884227,2019-11-15T14.21.24.227,2.266,0.000026125,0.000024375,0.000014000
1573798884267,2019-11-15T14.21.24.267,2.306,0.000024688,0.000025125,0.000014000
1573798884306,2019-11-15T14.21.24.306,2.345,0.000024688,0.000025125,0.000012875
1573798884344,2019-11-15T14.21.24.344,2.383,0.000025062,0.000025500,0.000012875
1573798884384,2019-11-15T14.21.24.384,2.423,0.000024688,0.000025813,0.000012062
1573798884423,2019-11-15T14.21.24.423,2.462,0.000025062,0.000026563,0.000012438
1573798884462,2019-11-15T14.21.24.462,2.501,0.000025438,0.000026187,0.000012062
1573798884501,2019-11-15T14.21.24.501,2.540,0.000025438,0.000025500,0.000012438
1573798884541,2019-11-15T14.21.24.541,2.580,0.000024312,0.000025125,0.000012062
1573798884579,2019-11-15T14.21.24.579,2.618,0.000026125,0.000025813,0.000011687
1573798884618,2019-11-15T14.21.24.618,2.657,0.000025062,0.000025500,0.000012438
1573798884658,2019-11-15T14.21.24.658,2.697,0.000023938,0.000025125,0.000012438
1573798884696,2019-11-15T14.21.24.696,2.735,0.000026500,0.000027687,0.000011687
1573798884735,2019-11-15T14.21.24.735,2.774,0.000025062,0.000026937,0.000014375
1573798884775,2019-11-15T14.21.24.775,2.814,0.000025750,0.000026937,0.000012062
1573798884813,2019-11-15T14.21.24.813,2.852,0.000026500,0.000027687,0.000012438
1573798884853,2019-11-15T14.21.24.853,2.892,0.000025750,0.000026187,0.000011312
1573798884892,2019-11-15T14.21.24.892,2.931,0.000024312,0.000028438,0.000011312
1573798884932,2019-11-15T14.21.24.932,2.971,0.000026125,0.000027687,0.000010875
1573798884970,2019-11-15T14.21.24.970,3.009,0.000025438,0.000026937,0.000010875
1573798885009,2019-11-15T14.21.25.009,3.048,0.000026125,0.000026563,0.000010875
1573798885049,2019-11-15T14.21.25.049,3.088,0.000026125,0.000027687,0.000011312
1573798885087,2019-11-15T14.21.25.087,3.126,0.000026500,0.000027313,0.000009750
1573798885127,2019-11-15T14.21.25.127,3.166,0.000026125,0.000028438,0.000010500
1573798885166,2019-11-15T14.21.25.166,3.205,0.000025062,0.000027687,0.000010500
1573798885204,2019-11-15T14.21.25.204,3.243,0.000027250,0.000028438,0.000010125
1573798885244,2019-11-15T14.21.25.244,3.283,0.000026125,0.000026937,0.000009312
1573798885283,2019-11-15T14.21.25.283,3.322,0.000025438,0.000026937,0.000010875
1573798885321,2019-11-15T14.21.25.321,3.360,0.000025438,0.000026937,0.000009750
1573798885361,2019-11-15T14.21.25.361,3.400,0.000025062,0.000028438,0.000010875
1573798885400,2019-11-15T14.21.25.400,3.439,0.000026125,0.000027687,0.000010875
1573798885439,2019-11-15T14.21.25.439,3.478,0.000026500,0.000027687,0.000010500
1573798885478,2019-11-15T14.21.25.478,3.517,0.000025750,0.000027687,0.000009750
1573798885518,2019-11-15T14.21.25.518,3.557,0.000024688,0.000027313,0.000011687
1573798885556,2019-11-15T14.21.25.556,3.595,0.000025062,0.000028063,0.000009750
1573798885595,2019-11-15T14.21.25.595,3.634,0.000026500,0.000026937,0.000009750
1573798885635,2019-11-15T14.21.25.635,3.674,0.000025062,0.000028063,0.000010500
1573798885673,2019-11-15T14.21.25.673,3.712,0.000026500,0.000025813,0.000009312
1573798885713,2019-11-15T14.21.25.713,3.752,0.000025062,0.000027687,0.000010125
1573798885752,2019-11-15T14.21.25.752,3.791,0.000026500,0.000027313,0.000010125
1573798885790,2019-11-15T14.21.25.790,3.829,0.000026500,0.000028063,0.000010125
1573798885830,2019-11-15T14.21.25.830,3.869,0.000027625,0.000027687,0.000010875
1573798885869,2019-11-15T14.21.25.869,3.908,0.000026125,0.000027313,0.000010125
1573798885907,2019-11-15T14.21.25.907,3.946,0.000026875,0.000025813,0.000010125
1573798885947,2019-11-15T14.21.25.947,3.986,0.000024688,0.000026937,0.000010500
1573798885986,2019-11-15T14.21.25.986,4.025,0.000025750,0.000026937,0.000009750
1573798886025,2019-11-15T14.21.26.025,4.064,0.000024688,0.000027687,0.000008937
