epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573798881966,2019-11-15T14.21.21.966,0.000,0.000020625,-0.000029688,0.000010563
1573798882005,2019-11-15T14.21.22.005,0.039,0.000022813,-0.000028625,0.000009813
1573798882045,2019-11-15T14.21.22.045,0.079,0.000024625,-0.000027563,0.000010188
1573798882086,2019-11-15T14.21.22.086,0.120,0.000026437,-0.000026063,0.000008625
1573798882125,2019-11-15T14.21.22.125,0.159,0.000027187,-0.000025750,0.000009000
1573798882165,2019-11-15T14.21.22.165,0.199,0.000027937,-0.000025375,0.000006625
1573798882205,2019-11-15T14.21.22.205,0.239,0.000027937,-0.000027187,0.000005875
1573798882246,2019-11-15T14.21.22.246,0.280,0.000027937,-0.000026437,0.000008187
1573798882285,2019-11-15T14.21.22.285,0.319,0.000026125,-0.000026437,0.000010188
1573798882325,2019-11-15T14.21.22.325,0.359,0.000027187,-0.000026437,0.000009813
1573798882364,2019-11-15T14.21.22.364,0.398,0.000026063,-0.000027187,0.000008625
1573798882405,2019-11-15T14.21.22.405,0.439,0.000025000,-0.000027937,0.000007813
1573798882445,2019-11-15T14.21.22.445,0.479,0.000025000,-0.000027937,0.000008625
1573798882484,2019-11-15T14.21.22.484,0.518,0.000025000,-0.000028625,0.000008250
1573798882524,2019-11-15T14.21.22.524,0.558,0.000025375,-0.000029375,0.000008625
1573798882565,2019-11-15T14.21.22.565,0.599,0.000025000,-0.000029000,0.000008250
1573798882604,2019-11-15T14.21.22.604,0.638,0.000023938,-0.000030438,0.000007813
1573798882644,2019-11-15T14.21.22.644,0.678,0.000022813,-0.000030813,0.000008625
1573798882684,2019-11-15T14.21.22.684,0.718,0.000022437,-0.000031188,0.000007437
1573798882725,2019-11-15T14.21.22.725,0.759,0.000021375,-0.000031563,0.000007813
1573798882764,2019-11-15T14.21.22.764,0.798,0.000020625,-0.000031563,0.000009375
1573798882804,2019-11-15T14.21.22.804,0.838,0.000020313,-0.000031563,0.000009000
1573798882843,2019-11-15T14.21.22.843,0.877,0.000018812,-0.000032250,0.000010188
1573798882883,2019-11-15T14.21.22.883,0.917,0.000017000,-0.000032250,0.000012563
1573798882924,2019-11-15T14.21.22.924,0.958,0.000014125,-0.000033687,0.000012125
1573798882963,2019-11-15T14.21.22.963,0.997,0.000013375,-0.000033375,0.000012125
1573798883003,2019-11-15T14.21.23.003,1.037,0.000011562,-0.000033375,0.000012563
1573798883042,2019-11-15T14.21.23.042,1.076,0.000011187,-0.000033375,0.000012938
1573798883083,2019-11-15T14.21.23.083,1.117,0.000009750,-0.000034438,0.000012563
1573798883123,2019-11-15T14.21.23.123,1.157,0.000010875,-0.000034063,0.000014125
1573798883163,2019-11-15T14.21.23.163,1.197,0.000010125,-0.000034063,0.000013313
1573798883202,2019-11-15T14.21.23.202,1.236,0.000008687,-0.000035187,0.000012563
1573798883243,2019-11-15T14.21.23.243,1.277,0.000008312,-0.000034438,0.000013313
1573798883283,2019-11-15T14.21.23.283,1.317,0.000006875,-0.000035187,0.000012563
1573798883322,2019-11-15T14.21.23.322,1.356,0.000006500,-0.000035187,0.000011750
1573798883362,2019-11-15T14.21.23.362,1.396,0.000005062,-0.000035187,0.000011375
1573798883403,2019-11-15T14.21.23.403,1.437,0.000004688,-0.000036250,0.000011000
1573798883442,2019-11-15T14.21.23.442,1.476,0.000004313,-0.000035875,0.000010188
1573798883482,2019-11-15T14.21.23.482,1.516,0.000003625,-0.000035500,0.000011375
1573798883521,2019-11-15T14.21.23.521,1.555,0.000003937,-0.000037000,0.000012125
1573798883561,2019-11-15T14.21.23.561,1.595,0.000003937,-0.000036250,0.000011375
1573798883602,2019-11-15T14.21.23.602,1.636,0.000003625,-0.000035500,0.000011750
1573798883642,2019-11-15T14.21.23.642,1.676,0.000003937,-0.000035500,0.000011750
1573798883681,2019-11-15T14.21.23.681,1.715,0.000005062,-0.000034812,0.000010563
1573798883721,2019-11-15T14.21.23.721,1.755,0.000006875,-0.000035875,0.000010563
1573798883762,2019-11-15T14.21.23.762,1.796,0.000006125,-0.000035875,0.000010188
1573798883801,2019-11-15T14.21.23.801,1.835,0.000006875,-0.000035875,0.000010563
1573798883841,2019-11-15T14.21.23.841,1.875,0.000008687,-0.000035500,0.000011000
1573798883880,2019-11-15T14.21.23.880,1.914,0.000008687,-0.000035500,0.000011000
1573798883921,2019-11-15T14.21.23.921,1.955,0.000006875,-0.000035500,0.000012125
1573798883961,2019-11-15T14.21.23.961,1.995,0.000005750,-0.000035875,0.000010563
1573798884000,2019-11-15T14.21.24.000,2.034,0.000005438,-0.000035500,0.000011750
1573798884040,2019-11-15T14.21.24.040,2.074,0.000005750,-0.000035187,0.000011000
1573798884081,2019-11-15T14.21.24.081,2.115,0.000006125,-0.000034812,0.000012125
1573798884121,2019-11-15T14.21.24.121,2.155,0.000006875,-0.000034438,0.000013313
1573798884160,2019-11-15T14.21.24.160,2.194,0.000007562,-0.000033687,0.000013313
1573798884200,2019-11-15T14.21.24.200,2.234,0.000007938,-0.000034063,0.000013750
1573798884239,2019-11-15T14.21.24.239,2.273,0.000008312,-0.000034063,0.000013313
1573798884280,2019-11-15T14.21.24.280,2.314,0.000009750,-0.000034438,0.000012125
1573798884320,2019-11-15T14.21.24.320,2.354,0.000009375,-0.000034438,0.000012125
1573798884359,2019-11-15T14.21.24.359,2.393,0.000007938,-0.000035187,0.000012563
1573798884399,2019-11-15T14.21.24.399,2.433,0.000009750,-0.000035187,0.000012563
1573798884440,2019-11-15T14.21.24.440,2.474,0.000009375,-0.000034438,0.000012125
1573798884479,2019-11-15T14.21.24.479,2.513,0.000009062,-0.000034812,0.000011375
1573798884519,2019-11-15T14.21.24.519,2.553,0.000009375,-0.000034438,0.000011750
1573798884559,2019-11-15T14.21.24.559,2.593,0.000008312,-0.000034063,0.000013313
1573798884600,2019-11-15T14.21.24.600,2.634,0.000007250,-0.000033687,0.000013313
1573798884639,2019-11-15T14.21.24.639,2.673,0.000009062,-0.000033687,0.000014125
1573798884679,2019-11-15T14.21.24.679,2.713,0.000010125,-0.000034438,0.000012938
1573798884718,2019-11-15T14.21.24.718,2.752,0.000008687,-0.000034438,0.000013313
1573798884758,2019-11-15T14.21.24.758,2.792,0.000009062,-0.000034812,0.000012188
1573798884799,2019-11-15T14.21.24.799,2.833,0.000009750,-0.000033000,0.000012938
