epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573798881056,2019-11-15T14.21.21.056,0.000,0.000034625,-0.000008812,-0.000007437
1573798881096,2019-11-15T14.21.21.096,0.040,0.000034250,-0.000010625,-0.000008187
1573798881135,2019-11-15T14.21.21.135,0.079,0.000033875,-0.000009187,-0.000008562
1573798881175,2019-11-15T14.21.21.175,0.119,0.000035000,-0.000010313,-0.000009000
1573798881214,2019-11-15T14.21.21.214,0.158,0.000032750,-0.000009938,-0.000010125
1573798881254,2019-11-15T14.21.21.254,0.198,0.000033500,-0.000011750,-0.000012500
1573798881294,2019-11-15T14.21.21.294,0.238,0.000033125,-0.000012125,-0.000011312
1573798881333,2019-11-15T14.21.21.333,0.277,0.000029438,-0.000013250,-0.000007437
1573798881373,2019-11-15T14.21.21.373,0.317,0.000026875,-0.000014000,-0.000007000
1573798881414,2019-11-15T14.21.21.414,0.358,0.000021313,-0.000015063,-0.000005438
1573798881453,2019-11-15T14.21.21.453,0.397,0.000017313,-0.000015063,-0.000003875
1573798881493,2019-11-15T14.21.21.493,0.437,0.000015063,-0.000014687,-0.000003875
1573798881532,2019-11-15T14.21.21.532,0.476,0.000014312,-0.000015063,-0.000003875
1573798881572,2019-11-15T14.21.21.572,0.516,0.000013625,-0.000015063,-0.000003125
1573798881611,2019-11-15T14.21.21.611,0.555,0.000015437,-0.000016187,-0.000003875
1573798881651,2019-11-15T14.21.21.651,0.595,0.000016187,-0.000015813,-0.000004688
1573798881691,2019-11-15T14.21.21.691,0.635,0.000016937,-0.000015437,-0.000005438
1573798881730,2019-11-15T14.21.21.730,0.674,0.000016187,-0.000015437,-0.000006250
1573798881770,2019-11-15T14.21.21.770,0.714,0.000017625,-0.000016937,-0.000005062
1573798881809,2019-11-15T14.21.21.809,0.753,0.000018750,-0.000015813,-0.000003875
1573798881850,2019-11-15T14.21.21.850,0.794,0.000019875,-0.000015437,-0.000003500
1573798881890,2019-11-15T14.21.21.890,0.834,0.000023938,-0.000014687,-0.000004250
1573798881929,2019-11-15T14.21.21.929,0.873,0.000026875,-0.000014000,-0.000003875
1573798881969,2019-11-15T14.21.21.969,0.913,0.000030188,-0.000012875,-0.000003500
1573798882008,2019-11-15T14.21.22.008,0.952,0.000032000,-0.000011000,-0.000003500
1573798882048,2019-11-15T14.21.22.048,0.992,0.000033500,-0.000010625,-0.000003875
1573798882088,2019-11-15T14.21.22.088,1.032,0.000035687,-0.000010313,-0.000005438
