epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573798881289,2019-11-15T14.21.21.289,0.000,0.000048375,-0.000014625,-0.000022813
1573798881330,2019-11-15T14.21.21.330,0.041,0.000045812,-0.000016500,-0.000021625
1573798881369,2019-11-15T14.21.21.369,0.080,0.000042500,-0.000017187,-0.000019250
1573798881409,2019-11-15T14.21.21.409,0.120,0.000037750,-0.000018688,-0.000016875
1573798881449,2019-11-15T14.21.21.449,0.160,0.000034063,-0.000020125,-0.000016500
1573798881488,2019-11-15T14.21.21.488,0.199,0.000030750,-0.000019750,-0.000014938
1573798881528,2019-11-15T14.21.21.528,0.239,0.000028562,-0.000020125,-0.000015687
1573798881567,2019-11-15T14.21.21.567,0.278,0.000028938,-0.000021625,-0.000015313
1573798881607,2019-11-15T14.21.21.607,0.318,0.000030750,-0.000019062,-0.000014938
1573798881648,2019-11-15T14.21.21.648,0.359,0.000030438,-0.000021625,-0.000015750
1573798881687,2019-11-15T14.21.21.687,0.398,0.000031875,-0.000021250,-0.000016125
1573798881727,2019-11-15T14.21.21.727,0.438,0.000032250,-0.000020500,-0.000017688
1573798881766,2019-11-15T14.21.21.766,0.477,0.000033000,-0.000020125,-0.000016125
1573798881806,2019-11-15T14.21.21.806,0.517,0.000034812,-0.000020875,-0.000015750
1573798881846,2019-11-15T14.21.21.846,0.557,0.000035563,-0.000019062,-0.000015313
1573798881885,2019-11-15T14.21.21.885,0.596,0.000038875,-0.000018688,-0.000014938
1573798881926,2019-11-15T14.21.21.926,0.637,0.000041437,-0.000018312,-0.000014938
1573798881966,2019-11-15T14.21.21.966,0.677,0.000044687,-0.000017187,-0.000015750
1573798882005,2019-11-15T14.21.22.005,0.716,0.000046563,-0.000015375,-0.000015750
1573798882045,2019-11-15T14.21.22.045,0.756,0.000048000,-0.000013562,-0.000014562
1573798882084,2019-11-15T14.21.22.084,0.795,0.000050188,-0.000013188,-0.000016500
1573798882124,2019-11-15T14.21.22.124,0.835,0.000050562,-0.000012813,-0.000016500
1573798882163,2019-11-15T14.21.22.163,0.874,0.000052750,-0.000011000,-0.000016875
1573798882204,2019-11-15T14.21.22.204,0.915,0.000051688,-0.000011312,-0.000018875
1573798882244,2019-11-15T14.21.22.244,0.955,0.000051313,-0.000011312,-0.000016875
1573798882284,2019-11-15T14.21.22.284,0.995,0.000049875,-0.000012438,-0.000015313
1573798882323,2019-11-15T14.21.22.323,1.034,0.000050188,-0.000013188,-0.000016125
1573798882363,2019-11-15T14.21.22.363,1.074,0.000049125,-0.000013562,-0.000016937
1573798882402,2019-11-15T14.21.22.402,1.113,0.000048750,-0.000014625,-0.000017313
1573798882442,2019-11-15T14.21.22.442,1.153,0.000049125,-0.000015000,-0.000016125
1573798882483,2019-11-15T14.21.22.483,1.194,0.000048375,-0.000014625,-0.000016500
1573798882522,2019-11-15T14.21.22.522,1.233,0.000048000,-0.000016125,-0.000017313
1573798882562,2019-11-15T14.21.22.562,1.273,0.000048000,-0.000015750,-0.000017688
1573798882601,2019-11-15T14.21.22.601,1.312,0.000048375,-0.000016500,-0.000016937
1573798882641,2019-11-15T14.21.22.641,1.352,0.000046938,-0.000016500,-0.000016125
1573798882680,2019-11-15T14.21.22.680,1.391,0.000045812,-0.000017187,-0.000016500
1573798882720,2019-11-15T14.21.22.720,1.431,0.000044687,-0.000017562,-0.000017688
1573798882761,2019-11-15T14.21.22.761,1.472,0.000045063,-0.000016813,-0.000016937
1573798882801,2019-11-15T14.21.22.801,1.512,0.000043250,-0.000017187,-0.000015750
1573798882840,2019-11-15T14.21.22.840,1.551,0.000041437,-0.000018312,-0.000014938
1573798882880,2019-11-15T14.21.22.880,1.591,0.000039562,-0.000017938,-0.000014125
1573798882919,2019-11-15T14.21.22.919,1.630,0.000037750,-0.000019062,-0.000012563
1573798882959,2019-11-15T14.21.22.959,1.670,0.000036625,-0.000019750,-0.000013000
1573798882998,2019-11-15T14.21.22.998,1.709,0.000034812,-0.000019438,-0.000011375
1573798883039,2019-11-15T14.21.23.039,1.750,0.000034063,-0.000019750,-0.000011812
1573798883079,2019-11-15T14.21.23.079,1.790,0.000033000,-0.000019438,-0.000012188
1573798883118,2019-11-15T14.21.23.118,1.829,0.000034438,-0.000020875,-0.000011812
1573798883158,2019-11-15T14.21.23.158,1.869,0.000032625,-0.000019438,-0.000012563
1573798883198,2019-11-15T14.21.23.198,1.909,0.000031875,-0.000020125,-0.000013375
1573798883237,2019-11-15T14.21.23.237,1.948,0.000030062,-0.000020875,-0.000012188
1573798883277,2019-11-15T14.21.23.277,1.988,0.000031875,-0.000020875,-0.000012188
1573798883318,2019-11-15T14.21.23.318,2.029,0.000030062,-0.000022000,-0.000012188
1573798883357,2019-11-15T14.21.23.357,2.068,0.000028938,-0.000021250,-0.000013375
1573798883397,2019-11-15T14.21.23.397,2.108,0.000028938,-0.000022313,-0.000015313
1573798883436,2019-11-15T14.21.23.436,2.147,0.000027813,-0.000022000,-0.000014938
1573798883476,2019-11-15T14.21.23.476,2.187,0.000027500,-0.000022000,-0.000014125
1573798883515,2019-11-15T14.21.23.515,2.226,0.000027813,-0.000022313,-0.000013750
1573798883556,2019-11-15T14.21.23.556,2.267,0.000026000,-0.000021625,-0.000013375
1573798883596,2019-11-15T14.21.23.596,2.307,0.000028187,-0.000021250,-0.000013375
1573798883636,2019-11-15T14.21.23.636,2.347,0.000027125,-0.000021250,-0.000014125
1573798883675,2019-11-15T14.21.23.675,2.386,0.000027500,-0.000022687,-0.000013375
1573798883715,2019-11-15T14.21.23.715,2.426,0.000029312,-0.000021250,-0.000014125
1573798883754,2019-11-15T14.21.23.754,2.465,0.000030438,-0.000022313,-0.000015750
1573798883794,2019-11-15T14.21.23.794,2.505,0.000030750,-0.000021625,-0.000013750
1573798883833,2019-11-15T14.21.23.833,2.544,0.000031875,-0.000022313,-0.000014938
1573798883874,2019-11-15T14.21.23.874,2.585,0.000033000,-0.000021250,-0.000015313
1573798883914,2019-11-15T14.21.23.914,2.625,0.000031500,-0.000022000,-0.000013375
1573798883953,2019-11-15T14.21.23.953,2.664,0.000030062,-0.000022313,-0.000014562
1573798883993,2019-11-15T14.21.23.993,2.704,0.000029312,-0.000021250,-0.000014562
