epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573798883655,2019-11-15T14.21.23.655,0.000,-0.000031937,-0.000025687,0.000009750
1573798883695,2019-11-15T14.21.23.695,0.040,-0.000032688,-0.000025687,0.000010125
1573798883734,2019-11-15T14.21.23.734,0.079,-0.000032688,-0.000025000,0.000008937
1573798883774,2019-11-15T14.21.23.774,0.119,-0.000029062,-0.000025750,0.000008562
1573798883812,2019-11-15T14.21.23.812,0.157,-0.000030500,-0.000025375,0.000009750
1573798883852,2019-11-15T14.21.23.852,0.197,-0.000029062,-0.000024250,0.000010125
1573798883891,2019-11-15T14.21.23.891,0.236,-0.000029438,-0.000026063,0.000009375
1573798883931,2019-11-15T14.21.23.931,0.276,-0.000030500,-0.000023938,0.000009000
1573798883970,2019-11-15T14.21.23.970,0.315,-0.000032312,-0.000023938,0.000010125
1573798884010,2019-11-15T14.21.24.010,0.355,-0.000032688,-0.000024625,0.000009375
1573798884049,2019-11-15T14.21.24.049,0.394,-0.000032688,-0.000023562,0.000010937
1573798884087,2019-11-15T14.21.24.087,0.432,-0.000032688,-0.000021750,0.000011312
1573798884127,2019-11-15T14.21.24.127,0.472,-0.000031250,-0.000023188,0.000012125
1573798884167,2019-11-15T14.21.24.167,0.512,-0.000029062,-0.000022813,0.000012875
1573798884206,2019-11-15T14.21.24.206,0.551,-0.000031250,-0.000023562,0.000012875
1573798884246,2019-11-15T14.21.24.246,0.591,-0.000029062,-0.000023938,0.000012125
1573798884285,2019-11-15T14.21.24.285,0.630,-0.000029062,-0.000023188,0.000012125
1573798884325,2019-11-15T14.21.24.325,0.670,-0.000029062,-0.000022813,0.000012125
1573798884364,2019-11-15T14.21.24.364,0.709,-0.000029438,-0.000024625,0.000011312
1573798884402,2019-11-15T14.21.24.402,0.747,-0.000028312,-0.000022813,0.000010937
1573798884442,2019-11-15T14.21.24.442,0.787,-0.000028312,-0.000025750,0.000010937
1573798884481,2019-11-15T14.21.24.481,0.826,-0.000029062,-0.000024250,0.000010563
1573798884521,2019-11-15T14.21.24.521,0.866,-0.000029062,-0.000023938,0.000010563
1573798884561,2019-11-15T14.21.24.561,0.906,-0.000028688,-0.000022063,0.000010563
1573798884600,2019-11-15T14.21.24.600,0.945,-0.000028688,-0.000023188,0.000011687
1573798884640,2019-11-15T14.21.24.640,0.985,-0.000029062,-0.000023188,0.000012500
1573798884678,2019-11-15T14.21.24.678,1.023,-0.000029750,-0.000022437,0.000010937
1573798884717,2019-11-15T14.21.24.717,1.062,-0.000029062,-0.000023938,0.000012500
1573798884757,2019-11-15T14.21.24.757,1.102,-0.000028312,-0.000023562,0.000010937
1573798884796,2019-11-15T14.21.24.796,1.141,-0.000027625,-0.000023938,0.000010125
1573798884836,2019-11-15T14.21.24.836,1.181,-0.000026500,-0.000025375,0.000010563
1573798884876,2019-11-15T14.21.24.876,1.221,-0.000027625,-0.000023938,0.000010937
1573798884915,2019-11-15T14.21.24.915,1.260,-0.000028312,-0.000023188,0.000010125
1573798884953,2019-11-15T14.21.24.953,1.298,-0.000028688,-0.000023938,0.000010563
1573798884993,2019-11-15T14.21.24.993,1.338,-0.000027937,-0.000023938,0.000010125
1573798885032,2019-11-15T14.21.25.032,1.377,-0.000027625,-0.000022437,0.000009375
1573798885072,2019-11-15T14.21.25.072,1.417,-0.000026875,-0.000022813,0.000010937
1573798885111,2019-11-15T14.21.25.111,1.456,-0.000027625,-0.000025000,0.000009750
1573798885151,2019-11-15T14.21.25.151,1.496,-0.000026500,-0.000023562,0.000008562
1573798885190,2019-11-15T14.21.25.190,1.535,-0.000027625,-0.000022437,0.000010563
1573798885230,2019-11-15T14.21.25.230,1.575,-0.000027250,-0.000022813,0.000010125
1573798885268,2019-11-15T14.21.25.268,1.613,-0.000027250,-0.000022813,0.000008562
1573798885308,2019-11-15T14.21.25.308,1.653,-0.000027625,-0.000023938,0.000009375
1573798885347,2019-11-15T14.21.25.347,1.692,-0.000028312,-0.000023938,0.000010125
1573798885387,2019-11-15T14.21.25.387,1.732,-0.000027250,-0.000022813,0.000009750
1573798885426,2019-11-15T14.21.25.426,1.771,-0.000027250,-0.000023562,0.000009750
1573798885466,2019-11-15T14.21.25.466,1.811,-0.000028312,-0.000024250,0.000009375
1573798885505,2019-11-15T14.21.25.505,1.850,-0.000027937,-0.000022813,0.000010125
1573798885544,2019-11-15T14.21.25.544,1.889,-0.000027250,-0.000023938,0.000009375
1573798885583,2019-11-15T14.21.25.583,1.928,-0.000027625,-0.000024250,0.000009750
1573798885623,2019-11-15T14.21.25.623,1.968,-0.000027937,-0.000024250,0.000009000
1573798885662,2019-11-15T14.21.25.662,2.007,-0.000026875,-0.000022125,0.000008562
1573798885702,2019-11-15T14.21.25.702,2.047,-0.000027250,-0.000023562,0.000009000
1573798885741,2019-11-15T14.21.25.741,2.086,-0.000026875,-0.000023188,0.000009375
1573798885781,2019-11-15T14.21.25.781,2.126,-0.000026875,-0.000024250,0.000009375
1573798885819,2019-11-15T14.21.25.819,2.164,-0.000027937,-0.000024250,0.000010125
1573798885858,2019-11-15T14.21.25.858,2.203,-0.000026875,-0.000022437,0.000009750
1573798885898,2019-11-15T14.21.25.898,2.243,-0.000027250,-0.000023938,0.000009000
1573798885938,2019-11-15T14.21.25.938,2.283,-0.000026875,-0.000022813,0.000009000
1573798885977,2019-11-15T14.21.25.977,2.322,-0.000027625,-0.000023188,0.000009000
1573798886017,2019-11-15T14.21.26.017,2.362,-0.000027625,-0.000023562,0.000009375
1573798886056,2019-11-15T14.21.26.056,2.401,-0.000027937,-0.000023188,0.000009750
1573798886094,2019-11-15T14.21.26.094,2.439,-0.000027250,-0.000025000,0.000009750
1573798886134,2019-11-15T14.21.26.134,2.479,-0.000027625,-0.000025000,0.000010563
1573798886173,2019-11-15T14.21.26.173,2.518,-0.000027937,-0.000023188,0.000009750
1573798886213,2019-11-15T14.21.26.213,2.558,-0.000026875,-0.000023938,0.000009375
1573798886252,2019-11-15T14.21.26.252,2.597,-0.000027937,-0.000025000,0.000009375
1573798886292,2019-11-15T14.21.26.292,2.637,-0.000026500,-0.000023562,0.000010125
1573798886332,2019-11-15T14.21.26.332,2.677,-0.000026875,-0.000024250,0.000010563
1573798886371,2019-11-15T14.21.26.371,2.716,-0.000027625,-0.000024250,0.000008562
1573798886409,2019-11-15T14.21.26.409,2.754,-0.000028688,-0.000023562,0.000008562
1573798886449,2019-11-15T14.21.26.449,2.794,-0.000027937,-0.000023562,0.000009375
1573798886488,2019-11-15T14.21.26.488,2.833,-0.000027250,-0.000024625,0.000008187
1573798886528,2019-11-15T14.21.26.528,2.873,-0.000027625,-0.000023938,0.000009000
1573798886567,2019-11-15T14.21.26.567,2.912,-0.000027937,-0.000024250,0.000010125
1573798886607,2019-11-15T14.21.26.607,2.952,-0.000027625,-0.000024250,0.000010125
1573798886647,2019-11-15T14.21.26.647,2.992,-0.000027937,-0.000025375,0.000010125
1573798886685,2019-11-15T14.21.26.685,3.030,-0.000027250,-0.000021750,0.000008187
1573798886724,2019-11-15T14.21.26.724,3.069,-0.000027250,-0.000024250,0.000007813
1573798886764,2019-11-15T14.21.26.764,3.109,-0.000028688,-0.000024250,0.000009750
1573798886803,2019-11-15T14.21.26.803,3.148,-0.000027250,-0.000024625,0.000009375
1573798886843,2019-11-15T14.21.26.843,3.188,-0.000027937,-0.000021000,0.000009750
1573798886882,2019-11-15T14.21.26.882,3.227,-0.000027937,-0.000024250,0.000009750
1573798886922,2019-11-15T14.21.26.922,3.267,-0.000027937,-0.000024250,0.000009375
1573798886961,2019-11-15T14.21.26.961,3.306,-0.000027625,-0.000025750,0.000009000
1573798887000,2019-11-15T14.21.27.000,3.345,-0.000026875,-0.000025000,0.000010563
1573798887039,2019-11-15T14.21.27.039,3.384,-0.000027250,-0.000022813,0.000009750
1573798887079,2019-11-15T14.21.27.079,3.424,-0.000026875,-0.000024625,0.000009750
1573798887118,2019-11-15T14.21.27.118,3.463,-0.000027250,-0.000024250,0.000009750
1573798887158,2019-11-15T14.21.27.158,3.503,-0.000026500,-0.000022813,0.000010937
1573798887197,2019-11-15T14.21.27.197,3.542,-0.000028312,-0.000023188,0.000008187
1573798887237,2019-11-15T14.21.27.237,3.582,-0.000026875,-0.000023562,0.000009750
1573798887275,2019-11-15T14.21.27.275,3.620,-0.000027250,-0.000024625,0.000009750
1573798887314,2019-11-15T14.21.27.314,3.659,-0.000025813,-0.000023188,0.000009750
1573798887354,2019-11-15T14.21.27.354,3.699,-0.000026125,-0.000022813,0.000009000
1573798887394,2019-11-15T14.21.27.394,3.739,-0.000027250,-0.000023188,0.000009750
1573798887433,2019-11-15T14.21.27.433,3.778,-0.000026125,-0.000023562,0.000009750
1573798887473,2019-11-15T14.21.27.473,3.818,-0.000026125,-0.000023562,0.000009375
1573798887512,2019-11-15T14.21.27.512,3.857,-0.000027250,-0.000024625,0.000009750
1573798887550,2019-11-15T14.21.27.550,3.895,-0.000026500,-0.000022813,0.000009375
1573798887590,2019-11-15T14.21.27.590,3.935,-0.000027250,-0.000023562,0.000009375
1573798887629,2019-11-15T14.21.27.629,3.974,-0.000026125,-0.000023938,0.000009375
1573798887669,2019-11-15T14.21.27.669,4.014,-0.000025813,-0.000024625,0.000009000
1573798887709,2019-11-15T14.21.27.709,4.054,-0.000026125,-0.000022813,0.000009000
1573798887748,2019-11-15T14.21.27.748,4.093,-0.000027250,-0.000024625,0.000009375
1573798887788,2019-11-15T14.21.27.788,4.133,-0.000026125,-0.000024625,0.000010125
1573798887827,2019-11-15T14.21.27.827,4.172,-0.000026500,-0.000023562,0.000009750
1573798887865,2019-11-15T14.21.27.865,4.210,-0.000026500,-0.000022813,0.000010125
1573798887905,2019-11-15T14.21.27.905,4.250,-0.000025438,-0.000023938,0.000008187
1573798887944,2019-11-15T14.21.27.944,4.289,-0.000026125,-0.000023562,0.000009000
1573798887984,2019-11-15T14.21.27.984,4.329,-0.000025062,-0.000023188,0.000008562
1573798888023,2019-11-15T14.21.28.023,4.368,-0.000026125,-0.000025000,0.000010125
1573798888063,2019-11-15T14.21.28.063,4.408,-0.000026500,-0.000022437,0.000010125
1573798888103,2019-11-15T14.21.28.103,4.448,-0.000026125,-0.000023562,0.000009750
1573798888141,2019-11-15T14.21.28.141,4.486,-0.000025438,-0.000024625,0.000009375
1573798888180,2019-11-15T14.21.28.180,4.525,-0.000026125,-0.000023562,0.000008187
1573798888220,2019-11-15T14.21.28.220,4.565,-0.000025062,-0.000025375,0.000008187
1573798888259,2019-11-15T14.21.28.259,4.604,-0.000026875,-0.000023188,0.000010125
1573798888299,2019-11-15T14.21.28.299,4.644,-0.000027250,-0.000024250,0.000009000
1573798888338,2019-11-15T14.21.28.338,4.683,-0.000025813,-0.000023188,0.000009750
1573798888378,2019-11-15T14.21.28.378,4.723,-0.000026125,-0.000025750,0.000010937
1573798888418,2019-11-15T14.21.28.418,4.763,-0.000027250,-0.000024250,0.000009375
1573798888456,2019-11-15T14.21.28.456,4.801,-0.000026125,-0.000023562,0.000009375
1573798888495,2019-11-15T14.21.28.495,4.840,-0.000027937,-0.000023188,0.000009375
1573798888535,2019-11-15T14.21.28.535,4.880,-0.000026125,-0.000022437,0.000009750
1573798888574,2019-11-15T14.21.28.574,4.919,-0.000026875,-0.000025375,0.000009000
1573798888614,2019-11-15T14.21.28.614,4.959,-0.000026125,-0.000022813,0.000010125
1573798888653,2019-11-15T14.21.28.653,4.998,-0.000025813,-0.000024625,0.000009000
1573798888693,2019-11-15T14.21.28.693,5.038,-0.000025062,-0.000025000,0.000010125
1573798888731,2019-11-15T14.21.28.731,5.076,-0.000025438,-0.000022813,0.000009000
1573798888771,2019-11-15T14.21.28.771,5.116,-0.000026500,-0.000024250,0.000009000
1573798888810,2019-11-15T14.21.28.810,5.155,-0.000025813,-0.000022437,0.000010937
1573798888850,2019-11-15T14.21.28.850,5.195,-0.000026125,-0.000024625,0.000009375
1573798888889,2019-11-15T14.21.28.889,5.234,-0.000026500,-0.000024250,0.000009750
1573798888929,2019-11-15T14.21.28.929,5.274,-0.000027250,-0.000022437,0.000009375
1573798888968,2019-11-15T14.21.28.968,5.313,-0.000025813,-0.000024250,0.000009750
1573798889008,2019-11-15T14.21.29.008,5.353,-0.000026500,-0.000024250,0.000010125
1573798889046,2019-11-15T14.21.29.046,5.391,-0.000025813,-0.000023188,0.000010563
1573798889085,2019-11-15T14.21.29.085,5.430,-0.000025062,-0.000023562,0.000010188
1573798889125,2019-11-15T14.21.29.125,5.470,-0.000025813,-0.000024625,0.000009000
1573798889165,2019-11-15T14.21.29.165,5.510,-0.000026500,-0.000024625,0.000010563
1573798889204,2019-11-15T14.21.29.204,5.549,-0.000027250,-0.000022437,0.000009000
1573798889244,2019-11-15T14.21.29.244,5.589,-0.000024312,-0.000024625,0.000009000
1573798889283,2019-11-15T14.21.29.283,5.628,-0.000025813,-0.000024625,0.000009750
1573798889323,2019-11-15T14.21.29.323,5.668,-0.000025062,-0.000023938,0.000009750
1573798889361,2019-11-15T14.21.29.361,5.706,-0.000025813,-0.000023188,0.000008187
1573798889400,2019-11-15T14.21.29.400,5.745,-0.000026125,-0.000022813,0.000009000
1573798889440,2019-11-15T14.21.29.440,5.785,-0.000026500,-0.000023188,0.000009000
1573798889480,2019-11-15T14.21.29.480,5.825,-0.000025813,-0.000024625,0.000008562
1573798889519,2019-11-15T14.21.29.519,5.864,-0.000027250,-0.000022437,0.000010125
1573798889559,2019-11-15T14.21.29.559,5.904,-0.000025813,-0.000023562,0.000009750
1573798889598,2019-11-15T14.21.29.598,5.943,-0.000026500,-0.000025000,0.000009750
1573798889636,2019-11-15T14.21.29.636,5.981,-0.000026125,-0.000024625,0.000009750
1573798889676,2019-11-15T14.21.29.676,6.021,-0.000026875,-0.000022813,0.000009750
1573798889715,2019-11-15T14.21.29.715,6.060,-0.000025813,-0.000025375,0.000009375
1573798889755,2019-11-15T14.21.29.755,6.100,-0.000026125,-0.000023188,0.000010125
1573798889794,2019-11-15T14.21.29.794,6.139,-0.000025813,-0.000022125,0.000009375
1573798889834,2019-11-15T14.21.29.834,6.179,-0.000026125,-0.000021375,0.000008562
1573798889874,2019-11-15T14.21.29.874,6.219,-0.000027250,-0.000023562,0.000010937
1573798889913,2019-11-15T14.21.29.913,6.258,-0.000026500,-0.000024250,0.000008187
1573798889951,2019-11-15T14.21.29.951,6.296,-0.000026500,-0.000023562,0.000009750
1573798889991,2019-11-15T14.21.29.991,6.336,-0.000027250,-0.000023188,0.000009375
