epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573798884071,2019-11-15T14.21.24.071,0.000,0.000012188,0.000022625,0.000038938
1573798884111,2019-11-15T14.21.24.111,0.040,0.000012938,0.000022250,0.000039688
1573798884149,2019-11-15T14.21.24.149,0.078,0.000015875,0.000022625,0.000040125
1573798884189,2019-11-15T14.21.24.189,0.118,0.000015875,0.000024125,0.000040937
1573798884228,2019-11-15T14.21.24.228,0.157,0.000012188,0.000024500,0.000042500
1573798884268,2019-11-15T14.21.24.268,0.197,0.000014062,0.000024500,0.000042500
1573798884307,2019-11-15T14.21.24.307,0.236,0.000014062,0.000026000,0.000041688
1573798884347,2019-11-15T14.21.24.347,0.276,0.000013687,0.000025625,0.000041313
1573798884385,2019-11-15T14.21.24.385,0.314,0.000014813,0.000025250,0.000041313
1573798884424,2019-11-15T14.21.24.424,0.353,0.000011437,0.000026000,0.000040125
1573798884464,2019-11-15T14.21.24.464,0.393,0.000012563,0.000026000,0.000040125
1573798884503,2019-11-15T14.21.24.503,0.432,0.000010375,0.000026375,0.000041313
1573798884543,2019-11-15T14.21.24.543,0.472,0.000011812,0.000024875,0.000040562
1573798884583,2019-11-15T14.21.24.583,0.512,0.000015188,0.000026375,0.000040562
1573798884621,2019-11-15T14.21.24.621,0.550,0.000010375,0.000026000,0.000040937
1573798884660,2019-11-15T14.21.24.660,0.589,0.000015563,0.000025625,0.000040937
1573798884700,2019-11-15T14.21.24.700,0.629,0.000015937,0.000026375,0.000041750
1573798884739,2019-11-15T14.21.24.739,0.668,0.000012563,0.000025625,0.000040562
1573798884779,2019-11-15T14.21.24.779,0.708,0.000013313,0.000026000,0.000041750
1573798884817,2019-11-15T14.21.24.817,0.746,0.000013687,0.000026375,0.000040937
1573798884857,2019-11-15T14.21.24.857,0.786,0.000008500,0.000026375,0.000041750
1573798884896,2019-11-15T14.21.24.896,0.825,0.000012188,0.000026687,0.000040188
1573798884936,2019-11-15T14.21.24.936,0.865,0.000012188,0.000027813,0.000040562
1573798884975,2019-11-15T14.21.24.975,0.904,0.000012188,0.000026375,0.000039750
1573798885015,2019-11-15T14.21.25.015,0.944,0.000013687,0.000027437,0.000038187
1573798885053,2019-11-15T14.21.25.053,0.982,0.000015188,0.000026375,0.000038187
1573798885092,2019-11-15T14.21.25.092,1.021,0.000014813,0.000026750,0.000039000
1573798885132,2019-11-15T14.21.25.132,1.061,0.000014437,0.000026687,0.000039375
1573798885171,2019-11-15T14.21.25.171,1.100,0.000015188,0.000026750,0.000039000
1573798885211,2019-11-15T14.21.25.211,1.140,0.000014813,0.000028187,0.000040188
1573798885251,2019-11-15T14.21.25.251,1.180,0.000014813,0.000028562,0.000038562
1573798885289,2019-11-15T14.21.25.289,1.218,0.000011812,0.000028187,0.000039375
1573798885328,2019-11-15T14.21.25.328,1.257,0.000014813,0.000027813,0.000039375
1573798885368,2019-11-15T14.21.25.368,1.297,0.000013313,0.000027437,0.000039375
1573798885407,2019-11-15T14.21.25.407,1.336,0.000012938,0.000027437,0.000039750
1573798885447,2019-11-15T14.21.25.447,1.376,0.000009625,0.000028187,0.000040188
1573798885486,2019-11-15T14.21.25.486,1.415,0.000015563,0.000027063,0.000039000
1573798885524,2019-11-15T14.21.25.524,1.453,0.000014062,0.000027437,0.000039000
1573798885564,2019-11-15T14.21.25.564,1.493,0.000011437,0.000027063,0.000039375
1573798885604,2019-11-15T14.21.25.604,1.533,0.000014062,0.000027063,0.000038562
1573798885643,2019-11-15T14.21.25.643,1.572,0.000012188,0.000027437,0.000039375
1573798885683,2019-11-15T14.21.25.683,1.612,0.000012938,0.000026375,0.000039000
1573798885721,2019-11-15T14.21.25.721,1.650,0.000015563,0.000027063,0.000039375
1573798885760,2019-11-15T14.21.25.760,1.689,0.000014437,0.000026375,0.000039375
1573798885800,2019-11-15T14.21.25.800,1.729,0.000015188,0.000027063,0.000039375
1573798885839,2019-11-15T14.21.25.839,1.768,0.000011812,0.000027063,0.000039750
1573798885879,2019-11-15T14.21.25.879,1.808,0.000014437,0.000026750,0.000039000
1573798885919,2019-11-15T14.21.25.919,1.848,0.000015937,0.000027063,0.000039000
1573798885957,2019-11-15T14.21.25.957,1.886,0.000014062,0.000026375,0.000039375
1573798885996,2019-11-15T14.21.25.996,1.925,0.000015937,0.000027063,0.000039000
1573798886036,2019-11-15T14.21.26.036,1.965,0.000012188,0.000027437,0.000040188
1573798886075,2019-11-15T14.21.26.075,2.004,0.000012188,0.000027063,0.000040188
1573798886115,2019-11-15T14.21.26.115,2.044,0.000013687,0.000027063,0.000039000
1573798886154,2019-11-15T14.21.26.154,2.083,0.000015937,0.000026000,0.000039375
1573798886192,2019-11-15T14.21.26.192,2.121,0.000012188,0.000027063,0.000039000
1573798886232,2019-11-15T14.21.26.232,2.161,0.000008125,0.000027437,0.000039375
1573798886272,2019-11-15T14.21.26.272,2.201,0.000011062,0.000027063,0.000039000
1573798886311,2019-11-15T14.21.26.311,2.240,0.000015188,0.000026750,0.000039750
1573798886351,2019-11-15T14.21.26.351,2.280,0.000012563,0.000026750,0.000038562
1573798886389,2019-11-15T14.21.26.389,2.318,0.000008125,0.000026375,0.000039000
1573798886428,2019-11-15T14.21.26.428,2.357,0.000010688,0.000026750,0.000038562
1573798886468,2019-11-15T14.21.26.468,2.397,0.000012938,0.000028187,0.000039000
1573798886507,2019-11-15T14.21.26.507,2.436,0.000013687,0.000027813,0.000038562
1573798886547,2019-11-15T14.21.26.547,2.476,0.000015563,0.000026375,0.000038562
1573798886587,2019-11-15T14.21.26.587,2.516,0.000014813,0.000027813,0.000039375
1573798886625,2019-11-15T14.21.26.625,2.554,0.000012938,0.000027063,0.000039000
1573798886664,2019-11-15T14.21.26.664,2.593,0.000013687,0.000026375,0.000039750
1573798886704,2019-11-15T14.21.26.704,2.633,0.000014813,0.000026375,0.000040937
1573798886743,2019-11-15T14.21.26.743,2.672,0.000015188,0.000027063,0.000039750
1573798886783,2019-11-15T14.21.26.783,2.712,0.000015188,0.000027437,0.000039000
1573798886822,2019-11-15T14.21.26.822,2.751,0.000011062,0.000027063,0.000038562
1573798886860,2019-11-15T14.21.26.860,2.789,0.000014062,0.000027437,0.000038562
1573798886900,2019-11-15T14.21.26.900,2.829,0.000014813,0.000027063,0.000040188
1573798886940,2019-11-15T14.21.26.940,2.869,0.000013687,0.000027437,0.000039000
1573798886979,2019-11-15T14.21.26.979,2.908,0.000013313,0.000026375,0.000039000
1573798887019,2019-11-15T14.21.27.019,2.948,0.000017000,0.000027063,0.000038562
1573798887057,2019-11-15T14.21.27.057,2.986,0.000013313,0.000027063,0.000039375
1573798887096,2019-11-15T14.21.27.096,3.025,0.000011812,0.000026750,0.000038187
1573798887136,2019-11-15T14.21.27.136,3.065,0.000013687,0.000026750,0.000039750
1573798887175,2019-11-15T14.21.27.175,3.104,0.000011062,0.000027437,0.000039375
1573798887215,2019-11-15T14.21.27.215,3.144,0.000013313,0.000028187,0.000038187
1573798887254,2019-11-15T14.21.27.254,3.183,0.000014813,0.000027063,0.000039375
1573798887293,2019-11-15T14.21.27.293,3.222,0.000013687,0.000027063,0.000039750
1573798887332,2019-11-15T14.21.27.332,3.261,0.000015937,0.000026750,0.000039750
1573798887372,2019-11-15T14.21.27.372,3.301,0.000015563,0.000026750,0.000038562
1573798887411,2019-11-15T14.21.27.411,3.340,0.000013687,0.000027813,0.000039750
1573798887451,2019-11-15T14.21.27.451,3.380,0.000012938,0.000027813,0.000039375
1573798887490,2019-11-15T14.21.27.490,3.419,0.000015188,0.000028187,0.000039750
1573798887528,2019-11-15T14.21.27.528,3.457,0.000014062,0.000028938,0.000039000
1573798887568,2019-11-15T14.21.27.568,3.497,0.000012563,0.000028187,0.000039000
1573798887608,2019-11-15T14.21.27.608,3.537,0.000015188,0.000028562,0.000039375
1573798887647,2019-11-15T14.21.27.647,3.576,0.000014813,0.000028187,0.000039000
1573798887687,2019-11-15T14.21.27.687,3.616,0.000012188,0.000027813,0.000039375
1573798887725,2019-11-15T14.21.27.725,3.654,0.000015188,0.000028187,0.000039750
1573798887764,2019-11-15T14.21.27.764,3.693,0.000014062,0.000027063,0.000039000
1573798887804,2019-11-15T14.21.27.804,3.733,0.000013687,0.000028562,0.000039375
1573798887843,2019-11-15T14.21.27.843,3.772,0.000012563,0.000028187,0.000039375
1573798887883,2019-11-15T14.21.27.883,3.812,0.000014062,0.000027437,0.000040188
1573798887922,2019-11-15T14.21.27.922,3.851,0.000009625,0.000028562,0.000039375
1573798887961,2019-11-15T14.21.27.961,3.890,0.000012188,0.000028938,0.000038562
1573798888000,2019-11-15T14.21.28.000,3.929,0.000014062,0.000027437,0.000039000
1573798888040,2019-11-15T14.21.28.040,3.969,0.000014813,0.000027437,0.000039000
1573798888079,2019-11-15T14.21.28.079,4.008,0.000014062,0.000028562,0.000039750
1573798888119,2019-11-15T14.21.28.119,4.048,0.000015188,0.000028562,0.000038562
1573798888158,2019-11-15T14.21.28.158,4.087,0.000016625,0.000027437,0.000039375
1573798888196,2019-11-15T14.21.28.196,4.125,0.000015563,0.000028187,0.000039000
1573798888236,2019-11-15T14.21.28.236,4.165,0.000014437,0.000028187,0.000039375
1573798888275,2019-11-15T14.21.28.275,4.204,0.000013313,0.000027437,0.000038562
1573798888315,2019-11-15T14.21.28.315,4.244,0.000014813,0.000028562,0.000039000
1573798888355,2019-11-15T14.21.28.355,4.284,0.000014062,0.000028187,0.000039750
1573798888393,2019-11-15T14.21.28.393,4.322,0.000014062,0.000027813,0.000039000
1573798888432,2019-11-15T14.21.28.432,4.361,0.000011812,0.000029688,0.000039750
1573798888472,2019-11-15T14.21.28.472,4.401,0.000014813,0.000027813,0.000039375
1573798888511,2019-11-15T14.21.28.511,4.440,0.000013687,0.000027437,0.000040188
1573798888551,2019-11-15T14.21.28.551,4.480,0.000012188,0.000027813,0.000039750
1573798888590,2019-11-15T14.21.28.590,4.519,0.000014813,0.000027437,0.000039750
1573798888628,2019-11-15T14.21.28.628,4.557,0.000016625,0.000027813,0.000039750
1573798888668,2019-11-15T14.21.28.668,4.597,0.000014437,0.000028562,0.000038625
1573798888708,2019-11-15T14.21.28.708,4.637,0.000014062,0.000029688,0.000039375
1573798888747,2019-11-15T14.21.28.747,4.676,0.000017375,0.000027063,0.000039750
1573798888787,2019-11-15T14.21.28.787,4.716,0.000011812,0.000028187,0.000039750
1573798888825,2019-11-15T14.21.28.825,4.754,0.000013313,0.000028562,0.000039000
1573798888864,2019-11-15T14.21.28.864,4.793,0.000014813,0.000029312,0.000040188
1573798888904,2019-11-15T14.21.28.904,4.833,0.000011437,0.000027063,0.000039375
1573798888943,2019-11-15T14.21.28.943,4.872,0.000013313,0.000028187,0.000039375
1573798888983,2019-11-15T14.21.28.983,4.912,0.000013313,0.000028938,0.000039375
1573798889023,2019-11-15T14.21.29.023,4.952,0.000014062,0.000028187,0.000039000
1573798889061,2019-11-15T14.21.29.061,4.990,0.000009625,0.000027813,0.000039375
1573798889100,2019-11-15T14.21.29.100,5.029,0.000012188,0.000027813,0.000037813
1573798889140,2019-11-15T14.21.29.140,5.069,0.000009625,0.000028562,0.000039000
1573798889179,2019-11-15T14.21.29.179,5.108,0.000012563,0.000027813,0.000039000
1573798889219,2019-11-15T14.21.29.219,5.148,0.000011062,0.000028562,0.000039375
1573798889258,2019-11-15T14.21.29.258,5.187,0.000014813,0.000028562,0.000039750
1573798889296,2019-11-15T14.21.29.296,5.225,0.000011437,0.000028562,0.000039000
1573798889336,2019-11-15T14.21.29.336,5.265,0.000015563,0.000028938,0.000039375
1573798889376,2019-11-15T14.21.29.376,5.305,0.000016250,0.000027437,0.000039000
1573798889415,2019-11-15T14.21.29.415,5.344,0.000012188,0.000027813,0.000038562
1573798889455,2019-11-15T14.21.29.455,5.384,0.000014062,0.000028562,0.000040188
1573798889493,2019-11-15T14.21.29.493,5.422,0.000015188,0.000027813,0.000038562
1573798889532,2019-11-15T14.21.29.532,5.461,0.000014062,0.000029312,0.000037813
1573798889572,2019-11-15T14.21.29.572,5.501,0.000012938,0.000028938,0.000039000
1573798889611,2019-11-15T14.21.29.611,5.540,0.000013687,0.000027813,0.000038562
1573798889651,2019-11-15T14.21.29.651,5.580,0.000012563,0.000028562,0.000039375
1573798889691,2019-11-15T14.21.29.691,5.620,0.000016250,0.000028187,0.000039750
1573798889729,2019-11-15T14.21.29.729,5.658,0.000009250,0.000028562,0.000039750
1573798889768,2019-11-15T14.21.29.768,5.697,0.000014813,0.000028187,0.000040188
1573798889808,2019-11-15T14.21.29.808,5.737,0.000011812,0.000028938,0.000039375
1573798889847,2019-11-15T14.21.29.847,5.776,0.000014062,0.000028187,0.000038562
1573798889887,2019-11-15T14.21.29.887,5.816,0.000011062,0.000027813,0.000039375
1573798889926,2019-11-15T14.21.29.926,5.855,0.000015188,0.000028187,0.000039375
1573798889964,2019-11-15T14.21.29.964,5.893,0.000013687,0.000027437,0.000039375
1573798890004,2019-11-15T14.21.30.004,5.933,0.000011062,0.000028562,0.000038187
1573798890044,2019-11-15T14.21.30.044,5.973,0.000013687,0.000028938,0.000039000
1573798890083,2019-11-15T14.21.30.083,6.012,0.000010000,0.000028187,0.000038562
1573798890123,2019-11-15T14.21.30.123,6.052,0.000010000,0.000028187,0.000040188
1573798890161,2019-11-15T14.21.30.161,6.090,0.000013687,0.000028562,0.000039000
1573798890200,2019-11-15T14.21.30.200,6.129,0.000013313,0.000028562,0.000039000
1573798890240,2019-11-15T14.21.30.240,6.169,0.000009625,0.000028562,0.000040188
1573798890279,2019-11-15T14.21.30.279,6.208,0.000014062,0.000026750,0.000039375
1573798890319,2019-11-15T14.21.30.319,6.248,0.000014813,0.000028562,0.000039375
1573798890358,2019-11-15T14.21.30.358,6.287,0.000014813,0.000027437,0.000039000
1573798890397,2019-11-15T14.21.30.397,6.326,0.000010688,0.000028187,0.000037375
1573798890436,2019-11-15T14.21.30.436,6.365,0.000009625,0.000027813,0.000039000
1573798890476,2019-11-15T14.21.30.476,6.405,0.000014062,0.000028187,0.000040562
1573798890515,2019-11-15T14.21.30.515,6.444,0.000014062,0.000028187,0.000037813
1573798890555,2019-11-15T14.21.30.555,6.484,0.000014062,0.000027813,0.000039000
1573798890594,2019-11-15T14.21.30.594,6.523,0.000011437,0.000026750,0.000039000
1573798890632,2019-11-15T14.21.30.632,6.561,0.000015188,0.000027437,0.000039375
1573798890672,2019-11-15T14.21.30.672,6.601,0.000015563,0.000026750,0.000039750
1573798890712,2019-11-15T14.21.30.712,6.641,0.000011437,0.000027063,0.000039750
1573798890751,2019-11-15T14.21.30.751,6.680,0.000015937,0.000028187,0.000039000
1573798890791,2019-11-15T14.21.30.791,6.720,0.000011437,0.000027813,0.000039750
1573798890829,2019-11-15T14.21.30.829,6.758,0.000011437,0.000028187,0.000040188
1573798890868,2019-11-15T14.21.30.868,6.797,0.000013687,0.000027813,0.000039750
1573798890908,2019-11-15T14.21.30.908,6.837,0.000012563,0.000028187,0.000037375
1573798890947,2019-11-15T14.21.30.947,6.876,0.000012563,0.000026375,0.000039375
1573798890987,2019-11-15T14.21.30.987,6.916,0.000014437,0.000027437,0.000038562
1573798891026,2019-11-15T14.21.31.026,6.955,0.000011812,0.000027437,0.000039750
1573798891065,2019-11-15T14.21.31.065,6.994,0.000014813,0.000027813,0.000039000
1573798891104,2019-11-15T14.21.31.104,7.033,0.000014437,0.000027063,0.000039000
1573798891144,2019-11-15T14.21.31.144,7.073,0.000013313,0.000028562,0.000039375
1573798891183,2019-11-15T14.21.31.183,7.112,0.000014437,0.000028187,0.000039000
1573798891223,2019-11-15T14.21.31.223,7.152,0.000014437,0.000027437,0.000038562
1573798891262,2019-11-15T14.21.31.262,7.191,0.000014813,0.000028187,0.000039375
1573798891300,2019-11-15T14.21.31.300,7.229,0.000011437,0.000028187,0.000038562
1573798891340,2019-11-15T14.21.31.340,7.269,0.000014062,0.000027437,0.000039750
1573798891379,2019-11-15T14.21.31.379,7.308,0.000010688,0.000028938,0.000038187
1573798891419,2019-11-15T14.21.31.419,7.348,0.000011437,0.000027813,0.000039000
