epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573799038454,2019-11-15T14.23.58.454,0.000,-0.000002250,0.000049937,0.000015813
1573799038494,2019-11-15T14.23.58.494,0.040,-0.000004125,0.000048500,0.000016187
1573799038535,2019-11-15T14.23.58.535,0.081,-0.000004125,0.000049562,0.000016625
1573799038574,2019-11-15T14.23.58.574,0.120,-0.000003000,0.000048125,0.000015813
1573799038614,2019-11-15T14.23.58.614,0.160,-0.000002625,0.000049187,0.000017375
1573799038655,2019-11-15T14.23.58.655,0.201,-0.000003000,0.000048500,0.000015813
1573799038694,2019-11-15T14.23.58.694,0.240,-0.000004125,0.000049250,0.000016625
1573799038735,2019-11-15T14.23.58.735,0.281,-0.000003000,0.000048875,0.000017000
1573799038775,2019-11-15T14.23.58.775,0.321,-0.000003375,0.000049250,0.000015813
1573799038816,2019-11-15T14.23.58.816,0.362,-0.000005250,0.000049250,0.000016625
1573799038855,2019-11-15T14.23.58.855,0.401,-0.000005250,0.000048500,0.000017375
1573799038895,2019-11-15T14.23.58.895,0.441,-0.000004125,0.000049250,0.000016250
1573799038936,2019-11-15T14.23.58.936,0.482,-0.000004875,0.000048875,0.000017812
1573799038976,2019-11-15T14.23.58.976,0.522,-0.000003750,0.000048125,0.000016625
1573799039017,2019-11-15T14.23.59.017,0.563,-0.000002250,0.000048500,0.000016250
1573799039056,2019-11-15T14.23.59.056,0.602,-0.000003750,0.000049250,0.000017812
1573799039097,2019-11-15T14.23.59.097,0.643,-0.000004500,0.000049250,0.000016250
1573799039137,2019-11-15T14.23.59.137,0.683,-0.000005250,0.000050688,0.000017000
1573799039178,2019-11-15T14.23.59.178,0.724,-0.000005250,0.000048125,0.000018188
1573799039217,2019-11-15T14.23.59.217,0.763,-0.000004500,0.000049250,0.000017000
1573799039257,2019-11-15T14.23.59.257,0.803,-0.000002625,0.000049250,0.000017812
1573799039298,2019-11-15T14.23.59.298,0.844,-0.000004125,0.000048500,0.000017812
1573799039337,2019-11-15T14.23.59.337,0.883,-0.000004125,0.000048875,0.000016250
1573799039378,2019-11-15T14.23.59.378,0.924,-0.000003750,0.000050375,0.000017437
1573799039418,2019-11-15T14.23.59.418,0.964,-0.000004125,0.000049250,0.000015813
1573799039459,2019-11-15T14.23.59.459,1.005,-0.000003750,0.000049625,0.000017000
1573799039499,2019-11-15T14.23.59.499,1.045,-0.000004125,0.000049625,0.000016625
1573799039540,2019-11-15T14.23.59.540,1.086,-0.000004125,0.000049250,0.000015813
1573799039579,2019-11-15T14.23.59.579,1.125,-0.000003750,0.000048500,0.000016625
1573799039619,2019-11-15T14.23.59.619,1.165,-0.000004125,0.000049250,0.000016625
1573799039660,2019-11-15T14.23.59.660,1.206,-0.000004125,0.000050000,0.000015813
1573799039699,2019-11-15T14.23.59.699,1.245,-0.000003375,0.000049250,0.000016250
1573799039740,2019-11-15T14.23.59.740,1.286,-0.000004875,0.000049250,0.000017812
1573799039780,2019-11-15T14.23.59.780,1.326,-0.000004875,0.000048500,0.000017437
1573799039821,2019-11-15T14.23.59.821,1.367,-0.000003000,0.000048500,0.000016250
1573799039860,2019-11-15T14.23.59.860,1.406,-0.000004875,0.000048875,0.000015813
1573799039900,2019-11-15T14.23.59.900,1.446,-0.000003750,0.000048125,0.000017437
1573799039941,2019-11-15T14.23.59.941,1.487,-0.000003750,0.000049250,0.000016625
1573799039980,2019-11-15T14.23.59.980,1.526,-0.000004125,0.000049250,0.000017437
1573799040021,2019-11-15T14.24.00.021,1.567,-0.000004500,0.000049250,0.000017000
1573799040061,2019-11-15T14.24.00.061,1.607,-0.000002625,0.000049250,0.000017000
1573799040102,2019-11-15T14.24.00.102,1.648,-0.000004875,0.000049625,0.000015813
1573799040142,2019-11-15T14.24.00.142,1.688,-0.000004875,0.000048500,0.000017437
1573799040183,2019-11-15T14.24.00.183,1.729,-0.000003375,0.000049937,0.000015813
1573799040222,2019-11-15T14.24.00.222,1.768,-0.000004875,0.000048875,0.000016625
1573799040262,2019-11-15T14.24.00.262,1.808,-0.000004500,0.000048875,0.000015813
1573799040303,2019-11-15T14.24.00.303,1.849,-0.000003750,0.000048875,0.000016250
1573799040342,2019-11-15T14.24.00.342,1.888,-0.000004125,0.000049250,0.000016625
1573799040383,2019-11-15T14.24.00.383,1.929,-0.000003750,0.000048875,0.000018625
1573799040423,2019-11-15T14.24.00.423,1.969,-0.000003375,0.000048875,0.000015813
1573799040464,2019-11-15T14.24.00.464,2.010,-0.000004125,0.000049625,0.000017812
1573799040503,2019-11-15T14.24.00.503,2.049,-0.000003000,0.000049250,0.000017000
1573799040544,2019-11-15T14.24.00.544,2.090,-0.000004500,0.000047750,0.000017812
1573799040584,2019-11-15T14.24.00.584,2.130,-0.000003750,0.000048875,0.000016625
1573799040624,2019-11-15T14.24.00.624,2.170,-0.000003750,0.000050000,0.000018188
1573799040665,2019-11-15T14.24.00.665,2.211,-0.000003750,0.000048875,0.000017000
1573799040704,2019-11-15T14.24.00.704,2.250,-0.000003000,0.000048875,0.000016250
1573799040745,2019-11-15T14.24.00.745,2.291,-0.000003375,0.000050000,0.000017000
1573799040785,2019-11-15T14.24.00.785,2.331,-0.000004500,0.000048875,0.000017437
1573799040826,2019-11-15T14.24.00.826,2.372,-0.000003375,0.000049250,0.000017000
1573799040865,2019-11-15T14.24.00.865,2.411,-0.000004875,0.000048500,0.000016250
1573799040905,2019-11-15T14.24.00.905,2.451,-0.000004125,0.000049250,0.000017000
1573799040946,2019-11-15T14.24.00.946,2.492,-0.000004500,0.000049250,0.000017000
1573799040985,2019-11-15T14.24.00.985,2.531,-0.000004500,0.000050000,0.000016250
1573799041026,2019-11-15T14.24.01.026,2.572,-0.000003000,0.000049250,0.000016625
1573799041066,2019-11-15T14.24.01.066,2.612,-0.000003750,0.000049250,0.000016250
1573799041107,2019-11-15T14.24.01.107,2.653,-0.000003000,0.000048500,0.000016250
1573799041146,2019-11-15T14.24.01.146,2.692,-0.000004500,0.000049625,0.000017000
1573799041187,2019-11-15T14.24.01.187,2.733,-0.000004500,0.000048500,0.000016250
1573799041227,2019-11-15T14.24.01.227,2.773,-0.000003375,0.000048875,0.000017812
1573799041267,2019-11-15T14.24.01.267,2.813,-0.000003750,0.000048875,0.000016625
1573799041308,2019-11-15T14.24.01.308,2.854,-0.000003000,0.000049625,0.000016250
1573799041347,2019-11-15T14.24.01.347,2.893,-0.000004875,0.000048125,0.000017437
1573799041388,2019-11-15T14.24.01.388,2.934,-0.000004125,0.000048875,0.000015813
1573799041428,2019-11-15T14.24.01.428,2.974,-0.000002625,0.000049625,0.000017437
1573799041469,2019-11-15T14.24.01.469,3.015,-0.000003750,0.000048875,0.000016625
