epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573799039184,2019-11-15T14.23.59.184,0.000,0.000004000,0.000054250,0.000005062
1573799039225,2019-11-15T14.23.59.225,0.041,0.000003625,0.000057563,0.000004688
1573799039264,2019-11-15T14.23.59.264,0.080,0.000002188,0.000057187,0.000005062
1573799039305,2019-11-15T14.23.59.305,0.121,0.000004000,0.000055375,0.000003500
1573799039345,2019-11-15T14.23.59.345,0.161,0.000004750,0.000054625,0.000004313
1573799039386,2019-11-15T14.23.59.386,0.202,0.000005813,0.000055000,0.000005062
1573799039426,2019-11-15T14.23.59.426,0.242,0.000005125,0.000055375,0.000004688
1573799039467,2019-11-15T14.23.59.467,0.283,0.000004375,0.000055750,0.000003937
1573799039506,2019-11-15T14.23.59.506,0.322,0.000003625,0.000057563,0.000003937
1573799039547,2019-11-15T14.23.59.547,0.363,0.000003625,0.000055375,0.000004688
1573799039587,2019-11-15T14.23.59.587,0.403,0.000004375,0.000056125,0.000005062
1573799039628,2019-11-15T14.23.59.628,0.444,0.000005813,0.000057187,0.000005875
1573799039667,2019-11-15T14.23.59.667,0.483,0.000004750,0.000056125,0.000003937
1573799039707,2019-11-15T14.23.59.707,0.523,0.000004750,0.000055000,0.000003125
1573799039748,2019-11-15T14.23.59.748,0.564,0.000004375,0.000053937,0.000003937
1573799039787,2019-11-15T14.23.59.787,0.603,0.000006187,0.000056125,0.000004313
1573799039828,2019-11-15T14.23.59.828,0.644,0.000004375,0.000055000,0.000004688
1573799039868,2019-11-15T14.23.59.868,0.684,0.000003625,0.000055000,0.000004688
1573799039909,2019-11-15T14.23.59.909,0.725,0.000005438,0.000056125,0.000004688
1573799039949,2019-11-15T14.23.59.949,0.765,0.000004000,0.000054250,0.000003937
1573799039990,2019-11-15T14.23.59.990,0.806,0.000004750,0.000055000,0.000003125
1573799040029,2019-11-15T14.24.00.029,0.845,0.000004000,0.000057187,0.000004313
1573799040070,2019-11-15T14.24.00.070,0.886,0.000003625,0.000056500,0.000004313
1573799040110,2019-11-15T14.24.00.110,0.926,0.000004375,0.000056500,0.000003937
1573799040151,2019-11-15T14.24.00.151,0.967,0.000003625,0.000055000,0.000003500
1573799040190,2019-11-15T14.24.00.190,1.006,0.000004000,0.000054250,0.000005125
1573799040231,2019-11-15T14.24.00.231,1.047,0.000005125,0.000057187,0.000004313
1573799040271,2019-11-15T14.24.00.271,1.087,0.000003250,0.000056500,0.000004313
1573799040312,2019-11-15T14.24.00.312,1.128,0.000001813,0.000056500,0.000003937
1573799040351,2019-11-15T14.24.00.351,1.167,0.000004375,0.000055750,0.000003500
1573799040391,2019-11-15T14.24.00.391,1.207,0.000004000,0.000055000,0.000005062
1573799040432,2019-11-15T14.24.00.432,1.248,0.000003625,0.000055375,0.000004313
1573799040472,2019-11-15T14.24.00.472,1.288,0.000002875,0.000056500,0.000004313
1573799040513,2019-11-15T14.24.00.513,1.329,0.000003625,0.000055000,0.000004688
