epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573799039225,2019-11-15T14.23.59.225,0.000,0.000017750,0.000048625,0.000010125
1573799039265,2019-11-15T14.23.59.265,0.040,0.000017375,0.000047938,0.000009375
1573799039304,2019-11-15T14.23.59.304,0.079,0.000017375,0.000047562,0.000011312
1573799039342,2019-11-15T14.23.59.342,0.117,0.000017375,0.000047562,0.000010125
1573799039382,2019-11-15T14.23.59.382,0.157,0.000017375,0.000047187,0.000008562
1573799039422,2019-11-15T14.23.59.422,0.197,0.000018438,0.000047562,0.000008937
1573799039461,2019-11-15T14.23.59.461,0.236,0.000017750,0.000048250,0.000010125
1573799039501,2019-11-15T14.23.59.501,0.276,0.000017000,0.000048250,0.000010937
1573799039539,2019-11-15T14.23.59.539,0.314,0.000017375,0.000047562,0.000010500
1573799039578,2019-11-15T14.23.59.578,0.353,0.000018438,0.000047938,0.000010500
1573799039618,2019-11-15T14.23.59.618,0.393,0.000016313,0.000047938,0.000009750
1573799039657,2019-11-15T14.23.59.657,0.432,0.000018500,0.000048625,0.000009375
1573799039697,2019-11-15T14.23.59.697,0.472,0.000017000,0.000047562,0.000010500
1573799039735,2019-11-15T14.23.59.735,0.510,0.000019188,0.000047562,0.000010125
1573799039775,2019-11-15T14.23.59.775,0.550,0.000018812,0.000046812,0.000009750
1573799039814,2019-11-15T14.23.59.814,0.589,0.000018125,0.000047562,0.000010500
1573799039854,2019-11-15T14.23.59.854,0.629,0.000017000,0.000049000,0.000010500
1573799039893,2019-11-15T14.23.59.893,0.668,0.000017750,0.000047938,0.000010125
1573799039931,2019-11-15T14.23.59.931,0.706,0.000017750,0.000047187,0.000010125
1573799039971,2019-11-15T14.23.59.971,0.746,0.000018125,0.000047562,0.000009750
1573799040010,2019-11-15T14.24.00.010,0.785,0.000017750,0.000047562,0.000009750
1573799040050,2019-11-15T14.24.00.050,0.825,0.000018125,0.000048625,0.000010125
1573799040090,2019-11-15T14.24.00.090,0.865,0.000019188,0.000047938,0.000010125
1573799040128,2019-11-15T14.24.00.128,0.903,0.000016625,0.000047562,0.000009375
1573799040167,2019-11-15T14.24.00.167,0.942,0.000017375,0.000047187,0.000010125
1573799040207,2019-11-15T14.24.00.207,0.982,0.000017750,0.000046812,0.000009750
1573799040246,2019-11-15T14.24.00.246,1.021,0.000018812,0.000047938,0.000008937
1573799040284,2019-11-15T14.24.00.284,1.059,0.000017375,0.000047938,0.000010125
1573799040324,2019-11-15T14.24.00.324,1.099,0.000016687,0.000047938,0.000009750
1573799040363,2019-11-15T14.24.00.363,1.138,0.000018125,0.000049000,0.000009750
1573799040403,2019-11-15T14.24.00.403,1.178,0.000018125,0.000047562,0.000010125
1573799040443,2019-11-15T14.24.00.443,1.218,0.000017375,0.000047187,0.000009375
1573799040481,2019-11-15T14.24.00.481,1.256,0.000018125,0.000048250,0.000010125
1573799040520,2019-11-15T14.24.00.520,1.295,0.000016625,0.000047187,0.000009375
1573799040560,2019-11-15T14.24.00.560,1.335,0.000017375,0.000048250,0.000010500
1573799040599,2019-11-15T14.24.00.599,1.374,0.000016313,0.000047187,0.000009750
1573799040639,2019-11-15T14.24.00.639,1.414,0.000017375,0.000046812,0.000010125
1573799040677,2019-11-15T14.24.00.677,1.452,0.000016687,0.000047562,0.000010125
1573799040716,2019-11-15T14.24.00.716,1.491,0.000017375,0.000048250,0.000010125
1573799040756,2019-11-15T14.24.00.756,1.531,0.000017375,0.000048250,0.000010125
1573799040796,2019-11-15T14.24.00.796,1.571,0.000017750,0.000047562,0.000010125
1573799040835,2019-11-15T14.24.00.835,1.610,0.000018500,0.000047562,0.000010125
1573799040873,2019-11-15T14.24.00.873,1.648,0.000017375,0.000047938,0.000009375
1573799040913,2019-11-15T14.24.00.913,1.688,0.000017750,0.000047562,0.000008937
1573799040952,2019-11-15T14.24.00.952,1.727,0.000017000,0.000047938,0.000010125
1573799040992,2019-11-15T14.24.00.992,1.767,0.000018125,0.000046812,0.000010500
1573799041031,2019-11-15T14.24.01.031,1.806,0.000016687,0.000047562,0.000010125
1573799041069,2019-11-15T14.24.01.069,1.844,0.000017375,0.000047562,0.000009375
1573799041109,2019-11-15T14.24.01.109,1.884,0.000018125,0.000047187,0.000010125
1573799041149,2019-11-15T14.24.01.149,1.924,0.000017750,0.000048250,0.000010125
1573799041188,2019-11-15T14.24.01.188,1.963,0.000017375,0.000048250,0.000010937
1573799041226,2019-11-15T14.24.01.226,2.001,0.000018812,0.000047562,0.000009750
1573799041266,2019-11-15T14.24.01.266,2.041,0.000017000,0.000047562,0.000010125
1573799041305,2019-11-15T14.24.01.305,2.080,0.000017000,0.000047562,0.000010500
1573799041345,2019-11-15T14.24.01.345,2.120,0.000017375,0.000048313,0.000009375
1573799041384,2019-11-15T14.24.01.384,2.159,0.000018125,0.000046812,0.000009375
1573799041423,2019-11-15T14.24.01.423,2.198,0.000016625,0.000047187,0.000010125
