epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573799038557,2019-11-15T14.23.58.557,0.000,-0.000020313,0.000020687,-0.000013750
1573799038597,2019-11-15T14.23.58.597,0.040,-0.000020313,0.000018875,-0.000013313
1573799038636,2019-11-15T14.23.58.636,0.079,-0.000017437,0.000019625,-0.000014125
1573799038677,2019-11-15T14.23.58.677,0.120,-0.000018188,0.000018500,-0.000012188
1573799038717,2019-11-15T14.23.58.717,0.160,-0.000017812,0.000019250,-0.000013313
1573799038756,2019-11-15T14.23.58.756,0.199,-0.000018188,0.000017812,-0.000013313
1573799038796,2019-11-15T14.23.58.796,0.239,-0.000020687,0.000019250,-0.000015687
1573799038837,2019-11-15T14.23.58.837,0.280,-0.000020313,0.000017812,-0.000012563
1573799038877,2019-11-15T14.23.58.877,0.320,-0.000017812,0.000018188,-0.000014125
1573799038916,2019-11-15T14.23.58.916,0.359,-0.000017812,0.000017812,-0.000013375
1573799038956,2019-11-15T14.23.58.956,0.399,-0.000019250,0.000018188,-0.000013375
1573799038997,2019-11-15T14.23.58.997,0.440,-0.000018500,0.000018188,-0.000013750
1573799039036,2019-11-15T14.23.59.036,0.479,-0.000019250,0.000018875,-0.000013750
1573799039076,2019-11-15T14.23.59.076,0.519,-0.000018500,0.000019250,-0.000014125
1573799039117,2019-11-15T14.23.59.117,0.560,-0.000018500,0.000018188,-0.000013750
1573799039156,2019-11-15T14.23.59.156,0.599,-0.000020000,0.000018875,-0.000013750
1573799039196,2019-11-15T14.23.59.196,0.639,-0.000018500,0.000017812,-0.000012563
1573799039235,2019-11-15T14.23.59.235,0.678,-0.000018875,0.000017812,-0.000014938
1573799039276,2019-11-15T14.23.59.276,0.719,-0.000017063,0.000017063,-0.000012938
1573799039316,2019-11-15T14.23.59.316,0.759,-0.000020000,0.000017437,-0.000013750
1573799039356,2019-11-15T14.23.59.356,0.799,-0.000020000,0.000019250,-0.000013375
1573799039395,2019-11-15T14.23.59.395,0.838,-0.000017063,0.000017812,-0.000013375
1573799039436,2019-11-15T14.23.59.436,0.879,-0.000018875,0.000018188,-0.000012563
1573799039476,2019-11-15T14.23.59.476,0.919,-0.000019625,0.000018875,-0.000013375
1573799039515,2019-11-15T14.23.59.515,0.958,-0.000018875,0.000018500,-0.000012938
1573799039556,2019-11-15T14.23.59.556,0.999,-0.000018875,0.000017063,-0.000012938
1573799039596,2019-11-15T14.23.59.596,1.039,-0.000019250,0.000017437,-0.000013750
1573799039635,2019-11-15T14.23.59.635,1.078,-0.000016687,0.000018188,-0.000012938
1573799039675,2019-11-15T14.23.59.675,1.118,-0.000018188,0.000018500,-0.000014500
1573799039716,2019-11-15T14.23.59.716,1.159,-0.000016687,0.000019625,-0.000013750
1573799039755,2019-11-15T14.23.59.755,1.198,-0.000017063,0.000017437,-0.000014125
1573799039795,2019-11-15T14.23.59.795,1.238,-0.000018875,0.000018875,-0.000012938
1573799039835,2019-11-15T14.23.59.835,1.278,-0.000018875,0.000017812,-0.000012938
1573799039876,2019-11-15T14.23.59.876,1.319,-0.000017812,0.000018500,-0.000013375
1573799039915,2019-11-15T14.23.59.915,1.358,-0.000019625,0.000017812,-0.000012188
1573799039955,2019-11-15T14.23.59.955,1.398,-0.000018500,0.000018875,-0.000013750
1573799039994,2019-11-15T14.23.59.994,1.437,-0.000017812,0.000018188,-0.000013750
1573799040035,2019-11-15T14.24.00.035,1.478,-0.000020313,0.000017063,-0.000014125
1573799040075,2019-11-15T14.24.00.075,1.518,-0.000018875,0.000018188,-0.000014500
1573799040114,2019-11-15T14.24.00.114,1.557,-0.000018875,0.000018875,-0.000012938
1573799040155,2019-11-15T14.24.00.155,1.598,-0.000020313,0.000018500,-0.000012563
1573799040195,2019-11-15T14.24.00.195,1.638,-0.000020313,0.000017812,-0.000013375
1573799040234,2019-11-15T14.24.00.234,1.677,-0.000018188,0.000018188,-0.000012938
1573799040274,2019-11-15T14.24.00.274,1.717,-0.000018875,0.000018875,-0.000014125
1573799040315,2019-11-15T14.24.00.315,1.758,-0.000018188,0.000018500,-0.000014125
1573799040355,2019-11-15T14.24.00.355,1.798,-0.000018875,0.000019250,-0.000012938
1573799040394,2019-11-15T14.24.00.394,1.837,-0.000019625,0.000018875,-0.000012938
1573799040434,2019-11-15T14.24.00.434,1.877,-0.000019250,0.000018500,-0.000012938
1573799040475,2019-11-15T14.24.00.475,1.918,-0.000019250,0.000018188,-0.000013375
1573799040514,2019-11-15T14.24.00.514,1.957,-0.000018875,0.000017812,-0.000012563
1573799040554,2019-11-15T14.24.00.554,1.997,-0.000018500,0.000018188,-0.000013750
1573799040593,2019-11-15T14.24.00.593,2.036,-0.000019625,0.000017812,-0.000014500
1573799040634,2019-11-15T14.24.00.634,2.077,-0.000020687,0.000018500,-0.000012938
1573799040674,2019-11-15T14.24.00.674,2.117,-0.000016687,0.000018188,-0.000013375
1573799040713,2019-11-15T14.24.00.713,2.156,-0.000017063,0.000017812,-0.000012563
1573799040754,2019-11-15T14.24.00.754,2.197,-0.000018188,0.000018500,-0.000013375
1573799040794,2019-11-15T14.24.00.794,2.237,-0.000018875,0.000018875,-0.000012563
1573799040834,2019-11-15T14.24.00.834,2.277,-0.000017437,0.000017812,-0.000013750
1573799040873,2019-11-15T14.24.00.873,2.316,-0.000017437,0.000018188,-0.000013375
1573799040914,2019-11-15T14.24.00.914,2.357,-0.000018188,0.000019250,-0.000012938
1573799040954,2019-11-15T14.24.00.954,2.397,-0.000019625,0.000018500,-0.000012938
1573799040993,2019-11-15T14.24.00.993,2.436,-0.000019250,0.000018500,-0.000013750
1573799041033,2019-11-15T14.24.01.033,2.476,-0.000019625,0.000017437,-0.000013750
1573799041074,2019-11-15T14.24.01.074,2.517,-0.000019625,0.000017437,-0.000013750
1573799041113,2019-11-15T14.24.01.113,2.556,-0.000019625,0.000018500,-0.000013750
1573799041153,2019-11-15T14.24.01.153,2.596,-0.000019250,0.000018875,-0.000012938
1573799041194,2019-11-15T14.24.01.194,2.637,-0.000018500,0.000018500,-0.000013750
1573799041233,2019-11-15T14.24.01.233,2.676,-0.000019250,0.000019625,-0.000011750
1573799041273,2019-11-15T14.24.01.273,2.716,-0.000018188,0.000018188,-0.000012938
1573799041313,2019-11-15T14.24.01.313,2.756,-0.000019625,0.000017812,-0.000014500
1573799041354,2019-11-15T14.24.01.354,2.797,-0.000018875,0.000018188,-0.000013375
1573799041393,2019-11-15T14.24.01.393,2.836,-0.000017812,0.000017812,-0.000014125
1573799041433,2019-11-15T14.24.01.433,2.876,-0.000017812,0.000016687,-0.000012563
1573799041472,2019-11-15T14.24.01.472,2.915,-0.000018875,0.000018875,-0.000012188
1573799041513,2019-11-15T14.24.01.513,2.956,-0.000019250,0.000018188,-0.000012938
1573799041553,2019-11-15T14.24.01.553,2.996,-0.000020000,0.000018500,-0.000013750
1573799041592,2019-11-15T14.24.01.592,3.035,-0.000019250,0.000019250,-0.000014562
1573799041632,2019-11-15T14.24.01.632,3.075,-0.000018875,0.000019250,-0.000013750
1573799041673,2019-11-15T14.24.01.673,3.116,-0.000020687,0.000017812,-0.000012938
1573799041712,2019-11-15T14.24.01.712,3.155,-0.000018188,0.000017812,-0.000012938
1573799041752,2019-11-15T14.24.01.752,3.195,-0.000019250,0.000017437,-0.000013375
1573799041793,2019-11-15T14.24.01.793,3.236,-0.000018875,0.000018188,-0.000014125
1573799041833,2019-11-15T14.24.01.833,3.276,-0.000018188,0.000019625,-0.000013375
1573799041872,2019-11-15T14.24.01.872,3.315,-0.000018188,0.000017063,-0.000012188
1573799041912,2019-11-15T14.24.01.912,3.355,-0.000018500,0.000018188,-0.000012938
1573799041953,2019-11-15T14.24.01.953,3.396,-0.000019250,0.000017812,-0.000012563
1573799041992,2019-11-15T14.24.01.992,3.435,-0.000020687,0.000017437,-0.000013375
1573799042032,2019-11-15T14.24.02.032,3.475,-0.000018875,0.000018188,-0.000012938
1573799042071,2019-11-15T14.24.02.071,3.514,-0.000018875,0.000016375,-0.000012938
1573799042112,2019-11-15T14.24.02.112,3.555,-0.000018875,0.000018500,-0.000013750
1573799042152,2019-11-15T14.24.02.152,3.595,-0.000020313,0.000017812,-0.000012938
1573799042191,2019-11-15T14.24.02.191,3.634,-0.000018500,0.000018188,-0.000012563
1573799042231,2019-11-15T14.24.02.231,3.674,-0.000018875,0.000018500,-0.000011750
1573799042272,2019-11-15T14.24.02.272,3.715,-0.000018500,0.000017063,-0.000012188
1573799042312,2019-11-15T14.24.02.312,3.755,-0.000019625,0.000018875,-0.000013750
1573799042351,2019-11-15T14.24.02.351,3.794,-0.000018188,0.000019625,-0.000014125
1573799042392,2019-11-15T14.24.02.392,3.835,-0.000019625,0.000017437,-0.000012188
1573799042432,2019-11-15T14.24.02.432,3.875,-0.000018500,0.000018875,-0.000012938
1573799042471,2019-11-15T14.24.02.471,3.914,-0.000018188,0.000017812,-0.000012188
1573799042511,2019-11-15T14.24.02.511,3.954,-0.000019250,0.000018188,-0.000013750
1573799042552,2019-11-15T14.24.02.552,3.995,-0.000017063,0.000017437,-0.000012188
1573799042591,2019-11-15T14.24.02.591,4.034,-0.000017812,0.000018500,-0.000014125
1573799042631,2019-11-15T14.24.02.631,4.074,-0.000019250,0.000017063,-0.000012563
1573799042670,2019-11-15T14.24.02.670,4.113,-0.000018188,0.000017063,-0.000012938
1573799042711,2019-11-15T14.24.02.711,4.154,-0.000018875,0.000018188,-0.000012938
1573799042751,2019-11-15T14.24.02.751,4.194,-0.000019250,0.000018500,-0.000012938
1573799042791,2019-11-15T14.24.02.791,4.234,-0.000020000,0.000018875,-0.000013375
1573799042832,2019-11-15T14.24.02.832,4.275,-0.000020313,0.000018500,-0.000012563
1573799042871,2019-11-15T14.24.02.871,4.314,-0.000019625,0.000018188,-0.000012563
1573799042911,2019-11-15T14.24.02.911,4.354,-0.000018875,0.000018500,-0.000012188
1573799042950,2019-11-15T14.24.02.950,4.393,-0.000018188,0.000017812,-0.000011750
1573799042991,2019-11-15T14.24.02.991,4.434,-0.000017437,0.000019625,-0.000011750
1573799043031,2019-11-15T14.24.03.031,4.474,-0.000018875,0.000017812,-0.000012938
1573799043070,2019-11-15T14.24.03.070,4.513,-0.000017063,0.000017812,-0.000012938
1573799043110,2019-11-15T14.24.03.110,4.553,-0.000017812,0.000018500,-0.000012188
1573799043151,2019-11-15T14.24.03.151,4.594,-0.000017063,0.000018188,-0.000014125
1573799043190,2019-11-15T14.24.03.190,4.633,-0.000018500,0.000017812,-0.000012938
1573799043230,2019-11-15T14.24.03.230,4.673,-0.000017437,0.000017812,-0.000012938
1573799043271,2019-11-15T14.24.03.271,4.714,-0.000018875,0.000018875,-0.000012938
1573799043311,2019-11-15T14.24.03.311,4.754,-0.000019250,0.000018188,-0.000012563
1573799043350,2019-11-15T14.24.03.350,4.793,-0.000018500,0.000017812,-0.000012188
1573799043390,2019-11-15T14.24.03.390,4.833,-0.000018188,0.000016687,-0.000012938
1573799043431,2019-11-15T14.24.03.431,4.874,-0.000018500,0.000018875,-0.000012938
1573799043470,2019-11-15T14.24.03.470,4.913,-0.000018875,0.000017812,-0.000013375
1573799043510,2019-11-15T14.24.03.510,4.953,-0.000020000,0.000018500,-0.000013750
1573799043549,2019-11-15T14.24.03.549,4.992,-0.000018875,0.000019250,-0.000013750
1573799043590,2019-11-15T14.24.03.590,5.033,-0.000018875,0.000018188,-0.000012563
1573799043630,2019-11-15T14.24.03.630,5.073,-0.000018500,0.000017812,-0.000014125
