epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573799039846,2019-11-15T14.23.59.846,0.000,-0.000032125,0.000054625,-0.000000750
1573799039885,2019-11-15T14.23.59.885,0.039,-0.000031375,0.000052000,-0.000002313
1573799039926,2019-11-15T14.23.59.926,0.080,-0.000031750,0.000052375,-0.000001125
1573799039966,2019-11-15T14.23.59.966,0.120,-0.000029875,0.000053875,-0.000001500
1573799040005,2019-11-15T14.24.00.005,0.159,-0.000033250,0.000053125,-0.000000750
1573799040045,2019-11-15T14.24.00.045,0.199,-0.000032500,0.000051688,-0.000001937
1573799040085,2019-11-15T14.24.00.085,0.239,-0.000032500,0.000052750,-0.000001500
1573799040124,2019-11-15T14.24.00.124,0.278,-0.000032500,0.000050937,-0.000001937
1573799040164,2019-11-15T14.24.00.164,0.318,-0.000032875,0.000052750,-0.000002313
1573799040205,2019-11-15T14.24.00.205,0.359,-0.000032875,0.000052375,-0.000001937
1573799040244,2019-11-15T14.24.00.244,0.398,-0.000031375,0.000052375,-0.000000750
1573799040284,2019-11-15T14.24.00.284,0.438,-0.000033625,0.000052750,-0.000002688
1573799040323,2019-11-15T14.24.00.323,0.477,-0.000032500,0.000053875,-0.000002313
1573799040363,2019-11-15T14.24.00.363,0.517,-0.000031375,0.000052375,-0.000001125
1573799040402,2019-11-15T14.24.00.402,0.556,-0.000032500,0.000052062,-0.000001937
1573799040442,2019-11-15T14.24.00.442,0.596,-0.000032500,0.000050562,-0.000000375
1573799040483,2019-11-15T14.24.00.483,0.637,-0.000033625,0.000052375,-0.000001500
1573799040523,2019-11-15T14.24.00.523,0.677,-0.000031375,0.000053875,-0.000001500
1573799040562,2019-11-15T14.24.00.562,0.716,-0.000031750,0.000052750,-0.000001937
1573799040602,2019-11-15T14.24.00.602,0.756,-0.000031375,0.000052437,-0.000001125
1573799040641,2019-11-15T14.24.00.641,0.795,-0.000031750,0.000053125,-0.000001937
1573799040681,2019-11-15T14.24.00.681,0.835,-0.000031375,0.000054250,-0.000001500
1573799040720,2019-11-15T14.24.00.720,0.874,-0.000031000,0.000052375,-0.000001500
1573799040761,2019-11-15T14.24.00.761,0.915,-0.000031375,0.000052750,-0.000002313
1573799040801,2019-11-15T14.24.00.801,0.955,-0.000031375,0.000053500,-0.000001125
1573799040840,2019-11-15T14.24.00.840,0.994,-0.000032500,0.000052437,-0.000001937
1573799040880,2019-11-15T14.24.00.880,1.034,-0.000032875,0.000052437,0.000000750
1573799040920,2019-11-15T14.24.00.920,1.074,-0.000032500,0.000053500,-0.000001937
1573799040959,2019-11-15T14.24.00.959,1.113,-0.000032500,0.000051688,-0.000000375
1573799040999,2019-11-15T14.24.00.999,1.153,-0.000032500,0.000052750,-0.000001500
1573799041040,2019-11-15T14.24.01.040,1.194,-0.000032875,0.000054250,-0.000000750
1573799041079,2019-11-15T14.24.01.079,1.233,-0.000031750,0.000053500,-0.000000750
1573799041119,2019-11-15T14.24.01.119,1.273,-0.000032125,0.000052062,-0.000000750
1573799041158,2019-11-15T14.24.01.158,1.312,-0.000031375,0.000053500,-0.000000375
1573799041198,2019-11-15T14.24.01.198,1.352,-0.000033625,0.000053875,-0.000001125
1573799041237,2019-11-15T14.24.01.237,1.391,-0.000031000,0.000053125,-0.000000750
1573799041277,2019-11-15T14.24.01.277,1.431,-0.000032125,0.000052750,-0.000001125
1573799041318,2019-11-15T14.24.01.318,1.472,-0.000030625,0.000052437,0.000000750
1573799041358,2019-11-15T14.24.01.358,1.512,-0.000032500,0.000052437,-0.000000750
1573799041397,2019-11-15T14.24.01.397,1.551,-0.000031750,0.000052750,-0.000002313
1573799041437,2019-11-15T14.24.01.437,1.591,-0.000033250,0.000055000,-0.000000750
1573799041476,2019-11-15T14.24.01.476,1.630,-0.000031750,0.000052437,-0.000001937
1573799041516,2019-11-15T14.24.01.516,1.670,-0.000031750,0.000053125,-0.000000375
1573799041555,2019-11-15T14.24.01.555,1.709,-0.000031000,0.000052437,-0.000001937
1573799041596,2019-11-15T14.24.01.596,1.750,-0.000033250,0.000050937,-0.000000750
1573799041636,2019-11-15T14.24.01.636,1.790,-0.000031375,0.000052750,-0.000002313
1573799041675,2019-11-15T14.24.01.675,1.829,-0.000031375,0.000052062,-0.000001125
1573799041715,2019-11-15T14.24.01.715,1.869,-0.000031375,0.000051688,-0.000001500
1573799041754,2019-11-15T14.24.01.754,1.908,-0.000032125,0.000051313,-0.000001500
1573799041794,2019-11-15T14.24.01.794,1.948,-0.000032125,0.000052062,-0.000001125
1573799041834,2019-11-15T14.24.01.834,1.988,-0.000033250,0.000052062,-0.000001125
1573799041875,2019-11-15T14.24.01.875,2.029,-0.000030625,0.000050937,-0.000001500
1573799041914,2019-11-15T14.24.01.914,2.068,-0.000031750,0.000050937,-0.000000750
1573799041954,2019-11-15T14.24.01.954,2.108,-0.000031375,0.000052750,-0.000000375
1573799041993,2019-11-15T14.24.01.993,2.147,-0.000032500,0.000053500,-0.000001500
1573799042033,2019-11-15T14.24.02.033,2.187,-0.000031375,0.000052437,-0.000000750
1573799042072,2019-11-15T14.24.02.072,2.226,-0.000032875,0.000051688,-0.000000750
1573799042112,2019-11-15T14.24.02.112,2.266,-0.000032125,0.000053500,-0.000002313
1573799042153,2019-11-15T14.24.02.153,2.307,-0.000032500,0.000052750,-0.000000750
1573799042192,2019-11-15T14.24.02.192,2.346,-0.000031750,0.000052062,-0.000001562
