epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573799040126,2019-11-15T14.24.00.126,0.000,-0.000009500,-0.000071437,0.000015188
1573799040166,2019-11-15T14.24.00.166,0.040,-0.000010250,-0.000071063,0.000014375
1573799040205,2019-11-15T14.24.00.205,0.079,-0.000009500,-0.000069938,0.000015188
1573799040245,2019-11-15T14.24.00.245,0.119,-0.000010250,-0.000070312,0.000014000
1573799040284,2019-11-15T14.24.00.284,0.158,-0.000009125,-0.000071063,0.000014813
1573799040324,2019-11-15T14.24.00.324,0.198,-0.000009500,-0.000071063,0.000014813
1573799040363,2019-11-15T14.24.00.363,0.237,-0.000009875,-0.000070687,0.000014813
1573799040403,2019-11-15T14.24.00.403,0.277,-0.000008812,-0.000070687,0.000015188
1573799040442,2019-11-15T14.24.00.442,0.316,-0.000010250,-0.000070000,0.000015188
1573799040482,2019-11-15T14.24.00.482,0.356,-0.000011000,-0.000070687,0.000014000
1573799040521,2019-11-15T14.24.00.521,0.395,-0.000010625,-0.000071063,0.000014437
1573799040561,2019-11-15T14.24.00.561,0.435,-0.000010625,-0.000070312,0.000015188
1573799040601,2019-11-15T14.24.00.601,0.475,-0.000008812,-0.000070312,0.000016000
1573799040640,2019-11-15T14.24.00.640,0.514,-0.000009500,-0.000070000,0.000014813
1573799040680,2019-11-15T14.24.00.680,0.554,-0.000010625,-0.000069625,0.000015563
1573799040719,2019-11-15T14.24.00.719,0.593,-0.000009875,-0.000071063,0.000015188
1573799040759,2019-11-15T14.24.00.759,0.633,-0.000009500,-0.000070312,0.000014437
1573799040798,2019-11-15T14.24.00.798,0.672,-0.000009125,-0.000071063,0.000015188
1573799040838,2019-11-15T14.24.00.838,0.712,-0.000009875,-0.000070312,0.000015188
1573799040877,2019-11-15T14.24.00.877,0.751,-0.000010625,-0.000071063,0.000014813
1573799040917,2019-11-15T14.24.00.917,0.791,-0.000011000,-0.000071063,0.000014813
1573799040957,2019-11-15T14.24.00.957,0.831,-0.000009500,-0.000071063,0.000015188
1573799040996,2019-11-15T14.24.00.996,0.870,-0.000009875,-0.000070312,0.000014813
1573799041037,2019-11-15T14.24.01.037,0.911,-0.000009875,-0.000069250,0.000014437
