epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573799040275,2019-11-15T14.24.00.275,0.000,-0.000008062,0.000064875,0.000022437
1573799040315,2019-11-15T14.24.00.315,0.040,-0.000010313,0.000065625,0.000023625
1573799040354,2019-11-15T14.24.00.354,0.079,-0.000008437,0.000065625,0.000023625
1573799040392,2019-11-15T14.24.00.392,0.117,-0.000009563,0.000065250,0.000022437
1573799040432,2019-11-15T14.24.00.432,0.157,-0.000009187,0.000064875,0.000021687
1573799040471,2019-11-15T14.24.00.471,0.196,-0.000009563,0.000065625,0.000022875
1573799040511,2019-11-15T14.24.00.511,0.236,-0.000009187,0.000064875,0.000022875
1573799040550,2019-11-15T14.24.00.550,0.275,-0.000008812,0.000065625,0.000021313
1573799040590,2019-11-15T14.24.00.590,0.315,-0.000009563,0.000066375,0.000023250
1573799040630,2019-11-15T14.24.00.630,0.355,-0.000010313,0.000066000,0.000023250
1573799040668,2019-11-15T14.24.00.668,0.393,-0.000009938,0.000065625,0.000023250
1573799040707,2019-11-15T14.24.00.707,0.432,-0.000009563,0.000065250,0.000022875
1573799040747,2019-11-15T14.24.00.747,0.472,-0.000009938,0.000065625,0.000023250
1573799040786,2019-11-15T14.24.00.786,0.511,-0.000008437,0.000066000,0.000022500
1573799040826,2019-11-15T14.24.00.826,0.551,-0.000009187,0.000065250,0.000022875
1573799040865,2019-11-15T14.24.00.865,0.590,-0.000008812,0.000065625,0.000022063
1573799040905,2019-11-15T14.24.00.905,0.630,-0.000009563,0.000066000,0.000022063
1573799040943,2019-11-15T14.24.00.943,0.668,-0.000009187,0.000064875,0.000022063
1573799040983,2019-11-15T14.24.00.983,0.708,-0.000009187,0.000064875,0.000023250
1573799041022,2019-11-15T14.24.01.022,0.747,-0.000008812,0.000064875,0.000023250
1573799041062,2019-11-15T14.24.01.062,0.787,-0.000008437,0.000065250,0.000023250
1573799041101,2019-11-15T14.24.01.101,0.826,-0.000008812,0.000064875,0.000023250
1573799041141,2019-11-15T14.24.01.141,0.866,-0.000009187,0.000065250,0.000023250
1573799041180,2019-11-15T14.24.01.180,0.905,-0.000008812,0.000065250,0.000022875
1573799041218,2019-11-15T14.24.01.218,0.943,-0.000009187,0.000064562,0.000023688
1573799041258,2019-11-15T14.24.01.258,0.983,-0.000009187,0.000064562,0.000022063
1573799041298,2019-11-15T14.24.01.298,1.023,-0.000009938,0.000065250,0.000023250
1573799041337,2019-11-15T14.24.01.337,1.062,-0.000009187,0.000066000,0.000022875
1573799041377,2019-11-15T14.24.01.377,1.102,-0.000008437,0.000064562,0.000022063
1573799041416,2019-11-15T14.24.01.416,1.141,-0.000009563,0.000065625,0.000021687
1573799041456,2019-11-15T14.24.01.456,1.181,-0.000009938,0.000064562,0.000023250
1573799041494,2019-11-15T14.24.01.494,1.219,-0.000008812,0.000064562,0.000022500
1573799041533,2019-11-15T14.24.01.533,1.258,-0.000009187,0.000064875,0.000024062
1573799041573,2019-11-15T14.24.01.573,1.298,-0.000010688,0.000066000,0.000023688
1573799041612,2019-11-15T14.24.01.612,1.337,-0.000009563,0.000065250,0.000022063
1573799041652,2019-11-15T14.24.01.652,1.377,-0.000009563,0.000066750,0.000023250
1573799041692,2019-11-15T14.24.01.692,1.417,-0.000009187,0.000066000,0.000023688
1573799041731,2019-11-15T14.24.01.731,1.456,-0.000008812,0.000065625,0.000023250
1573799041769,2019-11-15T14.24.01.769,1.494,-0.000009563,0.000066000,0.000023688
1573799041809,2019-11-15T14.24.01.809,1.534,-0.000008437,0.000064875,0.000022500
1573799041848,2019-11-15T14.24.01.848,1.573,-0.000008812,0.000065250,0.000023250
1573799041888,2019-11-15T14.24.01.888,1.613,-0.000008437,0.000065250,0.000022500
1573799041927,2019-11-15T14.24.01.927,1.652,-0.000009563,0.000065625,0.000023250
1573799041967,2019-11-15T14.24.01.967,1.692,-0.000009938,0.000065625,0.000023250
1573799042007,2019-11-15T14.24.02.007,1.732,-0.000009187,0.000065625,0.000022500
1573799042045,2019-11-15T14.24.02.045,1.770,-0.000009563,0.000065625,0.000023250
1573799042084,2019-11-15T14.24.02.084,1.809,-0.000009938,0.000065625,0.000023250
1573799042124,2019-11-15T14.24.02.124,1.849,-0.000009187,0.000065625,0.000023250
1573799042163,2019-11-15T14.24.02.163,1.888,-0.000008812,0.000064562,0.000023250
1573799042203,2019-11-15T14.24.02.203,1.928,-0.000009938,0.000066375,0.000022875
1573799042242,2019-11-15T14.24.02.242,1.967,-0.000009563,0.000064562,0.000023250
1573799042282,2019-11-15T14.24.02.282,2.007,-0.000009563,0.000065250,0.000022875
1573799042321,2019-11-15T14.24.02.321,2.046,-0.000009938,0.000065625,0.000023688
1573799042360,2019-11-15T14.24.02.360,2.085,-0.000009187,0.000065250,0.000023688
1573799042399,2019-11-15T14.24.02.399,2.124,-0.000009938,0.000063812,0.000023250
1573799042439,2019-11-15T14.24.02.439,2.164,-0.000008125,0.000065250,0.000023250
1573799042478,2019-11-15T14.24.02.478,2.203,-0.000008812,0.000064875,0.000023688
1573799042518,2019-11-15T14.24.02.518,2.243,-0.000009187,0.000064875,0.000023688
1573799042557,2019-11-15T14.24.02.557,2.282,-0.000009187,0.000064562,0.000022875
1573799042597,2019-11-15T14.24.02.597,2.322,-0.000008125,0.000066000,0.000024062
1573799042635,2019-11-15T14.24.02.635,2.360,-0.000009938,0.000064875,0.000023688
1573799042674,2019-11-15T14.24.02.674,2.399,-0.000008812,0.000064875,0.000022500
1573799042714,2019-11-15T14.24.02.714,2.439,-0.000008125,0.000064875,0.000022875
1573799042754,2019-11-15T14.24.02.754,2.479,-0.000010313,0.000065250,0.000024062
1573799042793,2019-11-15T14.24.02.793,2.518,-0.000008125,0.000065250,0.000023250
1573799042833,2019-11-15T14.24.02.833,2.558,-0.000008812,0.000065625,0.000023688
1573799042872,2019-11-15T14.24.02.872,2.597,-0.000008812,0.000064562,0.000022500
1573799042910,2019-11-15T14.24.02.910,2.635,-0.000008812,0.000064875,0.000022875
1573799042950,2019-11-15T14.24.02.950,2.675,-0.000008812,0.000064875,0.000023688
1573799042989,2019-11-15T14.24.02.989,2.714,-0.000009187,0.000065250,0.000023250
1573799043029,2019-11-15T14.24.03.029,2.754,-0.000008812,0.000065250,0.000023688
1573799043069,2019-11-15T14.24.03.069,2.794,-0.000009563,0.000065250,0.000023250
1573799043108,2019-11-15T14.24.03.108,2.833,-0.000008812,0.000065250,0.000024062
