epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573799039766,2019-11-15T14.23.59.766,0.000,-0.000021375,0.000054563,0.000011250
1573799039806,2019-11-15T14.23.59.806,0.040,-0.000022875,0.000055687,0.000011250
1573799039844,2019-11-15T14.23.59.844,0.078,-0.000023250,0.000053812,0.000012000
1573799039883,2019-11-15T14.23.59.883,0.117,-0.000024375,0.000054937,0.000012000
1573799039923,2019-11-15T14.23.59.923,0.157,-0.000021750,0.000053812,0.000012000
1573799039961,2019-11-15T14.23.59.961,0.195,-0.000022875,0.000054563,0.000012438
1573799040000,2019-11-15T14.24.00.000,0.234,-0.000023625,0.000054937,0.000012813
1573799040040,2019-11-15T14.24.00.040,0.274,-0.000023250,0.000055312,0.000012438
1573799040078,2019-11-15T14.24.00.078,0.312,-0.000023625,0.000054188,0.000011250
1573799040118,2019-11-15T14.24.00.118,0.352,-0.000023625,0.000054188,0.000010875
1573799040157,2019-11-15T14.24.00.157,0.391,-0.000022500,0.000054563,0.000010875
1573799040195,2019-11-15T14.24.00.195,0.429,-0.000019938,0.000056063,0.000011625
1573799040235,2019-11-15T14.24.00.235,0.469,-0.000021750,0.000054937,0.000011625
1573799040274,2019-11-15T14.24.00.274,0.508,-0.000021750,0.000054937,0.000011625
1573799040312,2019-11-15T14.24.00.312,0.546,-0.000021437,0.000054563,0.000010063
1573799040352,2019-11-15T14.24.00.352,0.586,-0.000023250,0.000054937,0.000010063
1573799040392,2019-11-15T14.24.00.392,0.626,-0.000021437,0.000054188,0.000012062
1573799040430,2019-11-15T14.24.00.430,0.664,-0.000021437,0.000055687,0.000010875
1573799040469,2019-11-15T14.24.00.469,0.703,-0.000022875,0.000054188,0.000012813
1573799040509,2019-11-15T14.24.00.509,0.743,-0.000022500,0.000054937,0.000011625
1573799040547,2019-11-15T14.24.00.547,0.781,-0.000023250,0.000054563,0.000011250
1573799040586,2019-11-15T14.24.00.586,0.820,-0.000021437,0.000055312,0.000011625
1573799040626,2019-11-15T14.24.00.626,0.860,-0.000021437,0.000054937,0.000011625
