epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573799040483,2019-11-15T14.24.00.483,0.000,0.000034750,0.000013437,0.000011312
1573799040523,2019-11-15T14.24.00.523,0.040,0.000034438,0.000013063,0.000012125
1573799040564,2019-11-15T14.24.00.564,0.081,0.000034812,0.000012750,0.000011687
1573799040603,2019-11-15T14.24.00.603,0.120,0.000034812,0.000013812,0.000011687
1573799040643,2019-11-15T14.24.00.643,0.160,0.000033687,0.000012750,0.000012125
1573799040682,2019-11-15T14.24.00.682,0.199,0.000034438,0.000013812,0.000011687
1573799040723,2019-11-15T14.24.00.723,0.240,0.000034438,0.000013063,0.000010937
1573799040763,2019-11-15T14.24.00.763,0.280,0.000034812,0.000013063,0.000012500
1573799040802,2019-11-15T14.24.00.802,0.319,0.000034438,0.000013063,0.000011687
1573799040842,2019-11-15T14.24.00.842,0.359,0.000035125,0.000012750,0.000010563
1573799040883,2019-11-15T14.24.00.883,0.400,0.000034063,0.000013812,0.000010563
1573799040923,2019-11-15T14.24.00.923,0.440,0.000034438,0.000013437,0.000010937
1573799040962,2019-11-15T14.24.00.962,0.479,0.000034438,0.000013812,0.000012125
1573799041002,2019-11-15T14.24.01.002,0.519,0.000034812,0.000013812,0.000011312
1573799041041,2019-11-15T14.24.01.041,0.558,0.000033687,0.000014562,0.000012125
1573799041082,2019-11-15T14.24.01.082,0.599,0.000034812,0.000014187,0.000011312
1573799041122,2019-11-15T14.24.01.122,0.639,0.000033687,0.000013063,0.000011687
1573799041161,2019-11-15T14.24.01.161,0.678,0.000033687,0.000013437,0.000010937
1573799041201,2019-11-15T14.24.01.201,0.718,0.000033687,0.000013437,0.000011687
1573799041242,2019-11-15T14.24.01.242,0.759,0.000033687,0.000014187,0.000012125
1573799041281,2019-11-15T14.24.01.281,0.798,0.000034438,0.000013812,0.000012500
1573799041321,2019-11-15T14.24.01.321,0.838,0.000034438,0.000013437,0.000011312
1573799041361,2019-11-15T14.24.01.361,0.878,0.000034063,0.000013063,0.000011687
1573799041402,2019-11-15T14.24.01.402,0.919,0.000034063,0.000013437,0.000012500
1573799041441,2019-11-15T14.24.01.441,0.958,0.000034438,0.000013063,0.000012875
1573799041481,2019-11-15T14.24.01.481,0.998,0.000033687,0.000014187,0.000012500
1573799041520,2019-11-15T14.24.01.520,1.037,0.000034812,0.000014187,0.000010563
1573799041561,2019-11-15T14.24.01.561,1.078,0.000034438,0.000012750,0.000012125
1573799041601,2019-11-15T14.24.01.601,1.118,0.000034812,0.000013812,0.000012125
1573799041640,2019-11-15T14.24.01.640,1.157,0.000034812,0.000012375,0.000010937
1573799041680,2019-11-15T14.24.01.680,1.197,0.000034812,0.000012750,0.000011687
1573799041721,2019-11-15T14.24.01.721,1.238,0.000035125,0.000013812,0.000010937
1573799041760,2019-11-15T14.24.01.760,1.277,0.000035500,0.000013063,0.000012125
1573799041800,2019-11-15T14.24.01.800,1.317,0.000035125,0.000013437,0.000012125
