epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573799039900,2019-11-15T14.23.59.900,0.000,0.000050062,0.000029500,-0.000002313
1573799039940,2019-11-15T14.23.59.940,0.040,0.000049313,0.000029125,-0.000001937
1573799039979,2019-11-15T14.23.59.979,0.079,0.000049313,0.000028750,-0.000001937
1573799040019,2019-11-15T14.24.00.019,0.119,0.000048250,0.000028750,-0.000002313
1573799040058,2019-11-15T14.24.00.058,0.158,0.000048250,0.000029125,-0.000001562
1573799040098,2019-11-15T14.24.00.098,0.198,0.000048250,0.000028750,-0.000002313
1573799040137,2019-11-15T14.24.00.137,0.237,0.000048938,0.000029500,-0.000003125
1573799040177,2019-11-15T14.24.00.177,0.277,0.000048938,0.000028000,-0.000002688
1573799040217,2019-11-15T14.24.00.217,0.317,0.000048562,0.000028750,-0.000001562
1573799040258,2019-11-15T14.24.00.258,0.358,0.000049313,0.000027687,-0.000002313
1573799040297,2019-11-15T14.24.00.297,0.397,0.000049313,0.000029125,-0.000002688
1573799040337,2019-11-15T14.24.00.337,0.437,0.000048938,0.000029125,-0.000002313
1573799040376,2019-11-15T14.24.00.376,0.476,0.000047875,0.000029125,-0.000002313
1573799040416,2019-11-15T14.24.00.416,0.516,0.000048250,0.000028375,-0.000001937
1573799040455,2019-11-15T14.24.00.455,0.555,0.000049313,0.000028375,-0.000001937
1573799040495,2019-11-15T14.24.00.495,0.595,0.000048562,0.000029500,-0.000002313
1573799040534,2019-11-15T14.24.00.534,0.634,0.000047500,0.000029125,-0.000001562
1573799040574,2019-11-15T14.24.00.574,0.674,0.000048938,0.000028750,-0.000002688
1573799040614,2019-11-15T14.24.00.614,0.714,0.000048938,0.000028750,-0.000001125
1573799040655,2019-11-15T14.24.00.655,0.755,0.000048562,0.000028375,-0.000002313
1573799040694,2019-11-15T14.24.00.694,0.794,0.000048938,0.000028375,-0.000001937
1573799040734,2019-11-15T14.24.00.734,0.834,0.000047875,0.000029125,-0.000002313
1573799040773,2019-11-15T14.24.00.773,0.873,0.000048938,0.000030250,-0.000001562
1573799040813,2019-11-15T14.24.00.813,0.913,0.000048250,0.000029125,-0.000001937
1573799040852,2019-11-15T14.24.00.852,0.952,0.000048562,0.000029500,-0.000001937
1573799040892,2019-11-15T14.24.00.892,0.992,0.000048562,0.000029125,-0.000001937
1573799040931,2019-11-15T14.24.00.931,1.031,0.000048562,0.000029875,-0.000003125
1573799040971,2019-11-15T14.24.00.971,1.071,0.000048562,0.000028375,-0.000000750
1573799041010,2019-11-15T14.24.01.010,1.110,0.000047875,0.000029125,-0.000002688
1573799041050,2019-11-15T14.24.01.050,1.150,0.000048938,0.000028750,-0.000001937
1573799041091,2019-11-15T14.24.01.091,1.191,0.000050062,0.000028375,-0.000001125
1573799041131,2019-11-15T14.24.01.131,1.231,0.000048250,0.000029125,-0.000002688
1573799041170,2019-11-15T14.24.01.170,1.270,0.000048250,0.000029500,-0.000001937
1573799041210,2019-11-15T14.24.01.210,1.310,0.000048938,0.000028750,-0.000001937
1573799041249,2019-11-15T14.24.01.249,1.349,0.000048250,0.000029500,-0.000001125
1573799041289,2019-11-15T14.24.01.289,1.389,0.000049687,0.000028750,-0.000001937
1573799041328,2019-11-15T14.24.01.328,1.428,0.000048938,0.000028375,-0.000001937
1573799041368,2019-11-15T14.24.01.368,1.468,0.000049687,0.000028750,-0.000002688
1573799041407,2019-11-15T14.24.01.407,1.507,0.000048938,0.000028375,-0.000001937
1573799041447,2019-11-15T14.24.01.447,1.547,0.000048562,0.000029125,-0.000002313
1573799041487,2019-11-15T14.24.01.487,1.587,0.000048562,0.000029500,-0.000002313
1573799041528,2019-11-15T14.24.01.528,1.628,0.000048938,0.000029500,-0.000002313
1573799041567,2019-11-15T14.24.01.567,1.667,0.000048938,0.000029875,-0.000001937
1573799041607,2019-11-15T14.24.01.607,1.707,0.000049687,0.000028750,-0.000001125
1573799041646,2019-11-15T14.24.01.646,1.746,0.000048250,0.000028750,-0.000002313
1573799041686,2019-11-15T14.24.01.686,1.786,0.000047875,0.000030250,-0.000001562
1573799041725,2019-11-15T14.24.01.725,1.825,0.000047875,0.000029125,-0.000002313
1573799041765,2019-11-15T14.24.01.765,1.865,0.000048250,0.000027687,-0.000001937
1573799041804,2019-11-15T14.24.01.804,1.904,0.000047875,0.000029875,-0.000002313
1573799041844,2019-11-15T14.24.01.844,1.944,0.000048625,0.000027687,-0.000001937
1573799041884,2019-11-15T14.24.01.884,1.984,0.000048562,0.000028375,-0.000002313
1573799041923,2019-11-15T14.24.01.923,2.023,0.000049313,0.000028750,-0.000002313
1573799041964,2019-11-15T14.24.01.964,2.064,0.000049313,0.000029125,-0.000000750
1573799042004,2019-11-15T14.24.02.004,2.104,0.000048250,0.000028375,-0.000002688
1573799042043,2019-11-15T14.24.02.043,2.143,0.000049687,0.000028000,-0.000002313
1573799042083,2019-11-15T14.24.02.083,2.183,0.000047500,0.000028750,-0.000002688
1573799042122,2019-11-15T14.24.02.122,2.222,0.000049313,0.000029125,-0.000002313
1573799042162,2019-11-15T14.24.02.162,2.262,0.000048250,0.000028750,-0.000001937
1573799042201,2019-11-15T14.24.02.201,2.301,0.000049313,0.000029125,-0.000001562
1573799042241,2019-11-15T14.24.02.241,2.341,0.000048625,0.000029125,-0.000001562
1573799042281,2019-11-15T14.24.02.281,2.381,0.000048250,0.000028375,-0.000001562
1573799042320,2019-11-15T14.24.02.320,2.420,0.000048938,0.000027687,-0.000002313
1573799042360,2019-11-15T14.24.02.360,2.460,0.000048562,0.000028750,-0.000001937
1573799042401,2019-11-15T14.24.02.401,2.501,0.000048938,0.000029500,-0.000001562
1573799042440,2019-11-15T14.24.02.440,2.540,0.000047875,0.000029875,-0.000002313
