epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573799042591,2019-11-15T14.24.02.591,0.000,0.000058625,0.000027187,-0.000013313
1573799042630,2019-11-15T14.24.02.630,0.039,0.000056812,0.000027500,-0.000011750
1573799042670,2019-11-15T14.24.02.670,0.079,0.000057563,0.000027875,-0.000014125
1573799042710,2019-11-15T14.24.02.710,0.119,0.000057875,0.000026437,-0.000012938
1573799042749,2019-11-15T14.24.02.749,0.158,0.000057875,0.000026437,-0.000013750
1573799042790,2019-11-15T14.24.02.790,0.199,0.000057563,0.000026437,-0.000013313
1573799042830,2019-11-15T14.24.02.830,0.239,0.000057875,0.000026437,-0.000013313
1573799042869,2019-11-15T14.24.02.869,0.278,0.000057187,0.000027187,-0.000013313
1573799042909,2019-11-15T14.24.02.909,0.318,0.000058625,0.000026437,-0.000012125
1573799042948,2019-11-15T14.24.02.948,0.357,0.000057563,0.000027500,-0.000013313
1573799042988,2019-11-15T14.24.02.988,0.397,0.000057563,0.000027187,-0.000012938
1573799043027,2019-11-15T14.24.03.027,0.436,0.000057563,0.000027187,-0.000012938
1573799043068,2019-11-15T14.24.03.068,0.477,0.000057187,0.000026813,-0.000012188
1573799043108,2019-11-15T14.24.03.108,0.517,0.000057563,0.000026813,-0.000014125
1573799043148,2019-11-15T14.24.03.148,0.557,0.000057875,0.000026437,-0.000012563
1573799043187,2019-11-15T14.24.03.187,0.596,0.000057563,0.000026813,-0.000012938
1573799043227,2019-11-15T14.24.03.227,0.636,0.000057563,0.000027187,-0.000013313
1573799043266,2019-11-15T14.24.03.266,0.675,0.000057563,0.000027187,-0.000012938
1573799043306,2019-11-15T14.24.03.306,0.715,0.000057563,0.000026437,-0.000013375
1573799043347,2019-11-15T14.24.03.347,0.756,0.000057187,0.000027563,-0.000014500
1573799043386,2019-11-15T14.24.03.386,0.795,0.000058625,0.000027187,-0.000013375
1573799043426,2019-11-15T14.24.03.426,0.835,0.000057875,0.000027563,-0.000012938
1573799043465,2019-11-15T14.24.03.465,0.874,0.000057563,0.000027875,-0.000013313
1573799043505,2019-11-15T14.24.03.505,0.914,0.000058250,0.000027187,-0.000012938
1573799043545,2019-11-15T14.24.03.545,0.954,0.000057563,0.000027563,-0.000012563
1573799043586,2019-11-15T14.24.03.586,0.995,0.000057187,0.000026437,-0.000013750
1573799043625,2019-11-15T14.24.03.625,1.034,0.000057875,0.000027187,-0.000012563
1573799043665,2019-11-15T14.24.03.665,1.074,0.000057563,0.000025687,-0.000012188
1573799043704,2019-11-15T14.24.03.704,1.113,0.000057875,0.000025687,-0.000012563
1573799043744,2019-11-15T14.24.03.744,1.153,0.000057563,0.000028625,-0.000013750
1573799043783,2019-11-15T14.24.03.783,1.192,0.000057875,0.000027187,-0.000013750
1573799043823,2019-11-15T14.24.03.823,1.232,0.000058625,0.000027187,-0.000014125
1573799043864,2019-11-15T14.24.03.864,1.273,0.000056812,0.000027563,-0.000013750
1573799043903,2019-11-15T14.24.03.903,1.312,0.000058250,0.000027563,-0.000012938
1573799043943,2019-11-15T14.24.03.943,1.352,0.000056812,0.000026813,-0.000013750
1573799043983,2019-11-15T14.24.03.983,1.392,0.000057187,0.000026437,-0.000012938
1573799044022,2019-11-15T14.24.04.022,1.431,0.000057187,0.000027187,-0.000013375
1573799044062,2019-11-15T14.24.04.062,1.471,0.000057875,0.000027187,-0.000012938
1573799044103,2019-11-15T14.24.04.103,1.512,0.000056812,0.000026437,-0.000013750
1573799044142,2019-11-15T14.24.04.142,1.551,0.000057875,0.000027563,-0.000012188
1573799044182,2019-11-15T14.24.04.182,1.591,0.000057563,0.000026813,-0.000012563
1573799044221,2019-11-15T14.24.04.221,1.630,0.000056812,0.000028250,-0.000013375
1573799044261,2019-11-15T14.24.04.261,1.670,0.000057938,0.000027875,-0.000013750
1573799044300,2019-11-15T14.24.04.300,1.709,0.000057563,0.000027875,-0.000012563
1573799044340,2019-11-15T14.24.04.340,1.749,0.000057563,0.000026813,-0.000013375
1573799044381,2019-11-15T14.24.04.381,1.790,0.000057563,0.000027563,-0.000012938
1573799044420,2019-11-15T14.24.04.420,1.829,0.000057187,0.000027563,-0.000013375
1573799044460,2019-11-15T14.24.04.460,1.869,0.000058625,0.000026813,-0.000014500
1573799044500,2019-11-15T14.24.04.500,1.909,0.000057563,0.000027563,-0.000012563
1573799044539,2019-11-15T14.24.04.539,1.948,0.000058625,0.000027563,-0.000013375
1573799044579,2019-11-15T14.24.04.579,1.988,0.000057187,0.000027187,-0.000013375
1573799044618,2019-11-15T14.24.04.618,2.027,0.000057187,0.000026437,-0.000013375
1573799044659,2019-11-15T14.24.04.659,2.068,0.000058250,0.000027875,-0.000012188
1573799044699,2019-11-15T14.24.04.699,2.108,0.000057563,0.000027187,-0.000012938
1573799044738,2019-11-15T14.24.04.738,2.147,0.000057563,0.000026437,-0.000012563
1573799044778,2019-11-15T14.24.04.778,2.187,0.000057563,0.000027563,-0.000013375
1573799044817,2019-11-15T14.24.04.817,2.226,0.000057563,0.000028250,-0.000013750
1573799044857,2019-11-15T14.24.04.857,2.266,0.000056812,0.000027187,-0.000012938
