epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573799039909,2019-11-15T14.23.59.909,0.000,-0.000006187,0.000027937,0.000008562
1573799039947,2019-11-15T14.23.59.947,0.038,-0.000006562,0.000026125,0.000009750
1573799039987,2019-11-15T14.23.59.987,0.078,-0.000006562,0.000026125,0.000008937
1573799040026,2019-11-15T14.24.00.026,0.117,-0.000007313,0.000027250,0.000009375
1573799040066,2019-11-15T14.24.00.066,0.157,-0.000006562,0.000028688,0.000009750
1573799040105,2019-11-15T14.24.00.105,0.196,-0.000007313,0.000026500,0.000009375
1573799040145,2019-11-15T14.24.00.145,0.236,-0.000006187,0.000023938,0.000008937
1573799040184,2019-11-15T14.24.00.184,0.275,-0.000005813,0.000027250,0.000009750
1573799040222,2019-11-15T14.24.00.222,0.313,-0.000006562,0.000027937,0.000009375
1573799040262,2019-11-15T14.24.00.262,0.353,-0.000008000,0.000026125,0.000009750
1573799040302,2019-11-15T14.24.00.302,0.393,-0.000006562,0.000026875,0.000007375
1573799040341,2019-11-15T14.24.00.341,0.432,-0.000005813,0.000026875,0.000008562
1573799040381,2019-11-15T14.24.00.381,0.472,-0.000007313,0.000027250,0.000007000
1573799040420,2019-11-15T14.24.00.420,0.511,-0.000007625,0.000026875,0.000008937
1573799040460,2019-11-15T14.24.00.460,0.551,-0.000007313,0.000027250,0.000008937
1573799040499,2019-11-15T14.24.00.499,0.590,-0.000007625,0.000027250,0.000009375
1573799040537,2019-11-15T14.24.00.537,0.628,-0.000006187,0.000029062,0.000008187
1573799040577,2019-11-15T14.24.00.577,0.668,-0.000006938,0.000026500,0.000008187
1573799040617,2019-11-15T14.24.00.617,0.708,-0.000007625,0.000026875,0.000009750
1573799040656,2019-11-15T14.24.00.656,0.747,-0.000006187,0.000027250,0.000008937
1573799040696,2019-11-15T14.24.00.696,0.787,-0.000006562,0.000026500,0.000008187
1573799040735,2019-11-15T14.24.00.735,0.826,-0.000006938,0.000026875,0.000009375
1573799040773,2019-11-15T14.24.00.773,0.864,-0.000007625,0.000027563,0.000009750
1573799040813,2019-11-15T14.24.00.813,0.904,-0.000005813,0.000025750,0.000008187
1573799040852,2019-11-15T14.24.00.852,0.943,-0.000006938,0.000027563,0.000009375
1573799040892,2019-11-15T14.24.00.892,0.983,-0.000006187,0.000027563,0.000008937
1573799040931,2019-11-15T14.24.00.931,1.022,-0.000006187,0.000026875,0.000008937
1573799040971,2019-11-15T14.24.00.971,1.062,-0.000006562,0.000026875,0.000009750
1573799041011,2019-11-15T14.24.01.011,1.102,-0.000006938,0.000025062,0.000008562
1573799041050,2019-11-15T14.24.01.050,1.141,-0.000005813,0.000026500,0.000008937
1573799041088,2019-11-15T14.24.01.088,1.179,-0.000007313,0.000026500,0.000008937
